Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.0,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.38201141357422,31.891809463500977,97.57406616210938,2.425935745239258,0.3147421777248382,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6447538137435913,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,158096474112.0,1388421760.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,777716224.0,155539885.33333334,5052026.5,2210809365.3333335,3.2553048133850098,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,5956324361.0,1920.0,3.0,55.0,53.0,52.0,24.0,51.0,36.0,72.0,545.0,2.0,20.07127106189728,0.7342010140419006,2736.0,62.0,2.2256650924682617
7.01,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.38201141357422,31.891809463500977,97.57406616210938,2.425935745239258,0.3147421777248382,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6447538137435913,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,158096474112.0,1388421760.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,777716224.0,155539885.33333334,5052026.5,2210809365.3333335,3.2553048133850098,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,5985742230.0,1920.0,3.0,55.0,53.0,52.0,24.0,51.0,36.0,72.0,545.0,2.0,20.07127106189728,0.7342010140419006,2736.0,62.0,2.2256650924682617
7.03,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.38201141357422,31.891809463500977,97.57406616210938,2.425935745239258,0.3147421777248382,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6447538137435913,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,158096474112.0,1388421760.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,777716224.0,155539885.33333334,5052026.5,2210809365.3333335,3.2553048133850098,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,6015158678.0,1920.0,3.0,55.0,53.0,52.0,24.0,51.0,36.0,72.0,545.0,2.0,20.07127106189728,0.7342010140419006,2736.0,62.0,2.2256650924682617
7.04,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.38201141357422,31.891809463500977,97.57406616210938,2.425935745239258,0.3147421777248382,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6447538137435913,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,158096474112.0,1388421760.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,777716224.0,155539885.33333334,5052026.5,2210809365.3333335,3.2553048133850098,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,5031611396.5,1920.0,3.0,55.0,53.0,52.0,24.0,51.0,36.0,72.0,545.0,2.0,20.07127106189728,0.7342010140419006,2736.0,62.0,2.2256650924682617
7.05,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.38201141357422,31.891809463500977,97.57406616210938,2.425935745239258,0.3147421777248382,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6447538137435913,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,158096474112.0,1388421760.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,777716224.0,155539885.33333334,5052026.5,2210809365.3333335,3.2553048133850098,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,5058531785.0,1920.0,3.0,55.0,53.0,52.0,24.0,51.0,36.0,72.0,545.0,2.0,20.07127106189728,0.7342010140419006,2736.0,62.0,2.2256650924682617
7.06,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.38201141357422,31.891809463500977,97.57406616210938,2.425935745239258,0.3147421777248382,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6447538137435913,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,158096474112.0,1388421760.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,777716224.0,155539885.33333334,5052026.5,2210809365.3333335,3.2553048133850098,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,7575674385.0,1920.0,3.0,55.0,53.0,52.0,24.0,51.0,36.0,72.0,545.0,2.0,20.07127106189728,0.7342010140419006,2736.0,62.0,2.2256650924682617
7.07,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.38201141357422,31.891809463500977,97.57406616210938,2.425935745239258,0.3147421777248382,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6447538137435913,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,158096474112.0,1388421760.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,777716224.0,155539885.33333334,5052026.5,2210809365.3333335,3.2553048133850098,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,7604447649.0,1920.0,3.0,55.0,53.0,52.0,24.0,51.0,36.0,72.0,545.0,2.0,20.07127106189728,0.7342010140419006,2736.0,62.0,2.2256650924682617
7.08,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,23.38201141357422,31.891809463500977,97.57406616210938,2.425935745239258,0.3147421777248382,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,0.6447538137435913,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,158096474112.0,1388421760.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,777716224.0,155539885.33333334,5052026.5,2210809365.3333335,3.2553048133850098,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,5103250046.0,1920.0,3.0,55.0,53.0,52.0,24.0,51.0,36.0,72.0,545.0,2.0,20.07127106189728,0.7342010140419006,2736.0,62.0,2.2256650924682617
7.1,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,22.49767303466797,32.622005462646484,97.35069274902344,2.649303674697876,0.4291931390762329,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,1.5614863634109497,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,156434169856.0,1374413440.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,804220416.0,155539885.33333334,5276964.0,2210809365.3333335,3.2553048133850098,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,6151047956.0,1920.0,3.0,55.0,53.0,52.0,24.0,51.0,36.0,72.0,545.0,2.0,20.07127106189728,0.7342010140419006,2736.0,62.0,2.2256650924682617
7.11,53.057387034098305,47.94534047444662,0.614193856716156,1.5395548144976299,53.54673767089844,0.18564996837327877,22.49767303466797,32.622005462646484,97.35069274902344,2.649303674697876,0.4291931390762329,-1.0,142.90833536783853,256.55189514160156,1.0701281229654949,0.4362950325012207,5.176194826761882,1.5614863634109497,544980181.3333334,-1.0,5.7415385246276855,108757045248.0,187029783893.33334,12674182314.666666,156434169856.0,1374413440.0,22.955575307210285,545000000.0,0.26966311534245807,27614453.333333332,120.75472005208333,1897772949.3333333,55677184.0,5297897.916666667,1565413077.3333333,-1.0,0.685419499874115,804220416.0,155539885.33333334,5276964.0,2210809365.3333335,3.2553048133850098,269.0,63.0,7860.0,1.0,21.75054168701172,2864.0,6179048640.0,1920.0,3.0,55.0,53.0,52.0,24.0,51.0,36.0,72.0,545.0,2.0,20.07127106189728,0.7342010140419006,2736.0,62.0,2.2256650924682617
