Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.05,0.8122045174241066,40.87794017791748,0.25275562067205704,16.095592657725017,25.27513885498047,0.6515715718269348,-1.0,142.46856562296549,260.5925776163737,0.7374143997828165,0.2685374567906062,6.109412829081218,5.542694091796875,544942976.0,-1.0,5.5622690469026566,72867326494.66667,105796624384.0,7236437418.666667,-1.0,-1.0,33.55095636844635,545000000.0,0.20088353753089902,15298473.375,109.9043477376302,1082498650.6666667,26427913.583333332,3456424.875,849625834.6666666,-1.0,0.8535180588563284,-1.0,87723085.66666667,10288697.0,1405659146.7369792,0.3423781394958496,103.0,2.0,6330.0,1.0,24.303001403808597,2876.0,1920.0,3.0,61.0,61.0,65.0,37.0,36.0,56.0,72.0,545.0,2.0,18.86710673570633,2736.0,15.0,2.208845853805542
7.08,0.8122045174241066,40.87794017791748,0.25275562067205704,16.095592657725017,25.0473747253418,0.59873366355896,-1.0,142.46856562296549,260.5925776163737,0.7374143997828165,0.2685374567906062,6.109412829081218,0.6919781565666199,544942976.0,-1.0,5.5622690469026566,72867326494.66667,105796624384.0,7236437418.666667,-1.0,-1.0,33.55095636844635,545000000.0,0.20088353753089902,15298473.375,109.9043477376302,1082498650.6666667,26427913.583333332,3456424.875,849625834.6666666,-1.0,0.8535180588563284,-1.0,87723085.66666667,8922807.0,1405659146.7369792,0.3423781394958496,103.0,2.0,6330.0,1.0,24.303001403808597,2876.0,1920.0,3.0,61.0,61.0,65.0,37.0,36.0,56.0,72.0,545.0,2.0,18.86710673570633,2736.0,15.0,2.208845853805542
7.19,0.8122045174241066,40.87794017791748,0.25275562067205704,16.095592657725017,28.67616081237793,0.615432620048523,-1.0,142.46856562296549,260.5925776163737,0.7374143997828165,0.2685374567906062,6.109412829081218,0.5963502526283264,544942976.0,-1.0,5.5622690469026566,72867326494.66667,105796624384.0,7236437418.666667,-1.0,-1.0,33.55095636844635,545000000.0,0.20088353753089902,15298473.375,109.9043477376302,1082498650.6666667,26427913.583333332,3456424.875,849625834.6666666,-1.0,0.8535180588563284,-1.0,87723085.66666667,9170700.0,1405659146.7369792,0.3423781394958496,103.0,2.0,6330.0,1.0,24.303001403808597,2876.0,1920.0,3.0,61.0,61.0,65.0,37.0,36.0,56.0,72.0,545.0,2.0,18.86710673570633,2736.0,15.0,2.208845853805542
7.29,0.8122045174241066,40.87794017791748,0.25275562067205704,16.095592657725017,31.735918045043945,0.2574455738067627,-1.0,142.46856562296549,260.5925776163737,0.7374143997828165,0.2685374567906062,6.109412829081218,0.6870013475418091,544942976.0,-1.0,5.5622690469026566,72867326494.66667,105796624384.0,7236437418.666667,-1.0,-1.0,33.55095636844635,545000000.0,0.20088353753089902,15298473.375,109.9043477376302,1082498650.6666667,26427913.583333332,3456424.875,849625834.6666666,-1.0,0.8535180588563284,-1.0,87723085.66666667,5102031.0,1405659146.7369792,0.3423781394958496,103.0,2.0,6330.0,1.0,24.303001403808597,2876.0,1920.0,3.0,61.0,61.0,65.0,37.0,36.0,56.0,72.0,545.0,2.0,18.86710673570633,2736.0,15.0,2.208845853805542
7.39,0.8122045174241066,40.87794017791748,0.25275562067205704,16.095592657725017,32.071964263916016,0.2774392664432525,-1.0,142.46856562296549,260.5925776163737,0.7374143997828165,0.2685374567906062,6.109412829081218,0.6507741808891296,544942976.0,-1.0,5.5622690469026566,72867326494.66667,105796624384.0,7236437418.666667,-1.0,-1.0,33.55095636844635,545000000.0,0.20088353753089902,15298473.375,109.9043477376302,1082498650.6666667,26427913.583333332,3456424.875,849625834.6666666,-1.0,0.8535180588563284,-1.0,87723085.66666667,4938392.0,1405659146.7369792,0.3423781394958496,103.0,2.0,6330.0,1.0,24.303001403808597,2876.0,1920.0,3.0,61.0,61.0,65.0,37.0,36.0,56.0,72.0,545.0,2.0,18.86710673570633,2736.0,15.0,2.208845853805542
7.44,0.8122045174241066,40.87794017791748,0.25275562067205704,16.095592657725017,32.071964263916016,0.2774392664432525,-1.0,142.46856562296549,260.5925776163737,0.7374143997828165,0.2685374567906062,6.109412829081218,0.6507741808891296,544942976.0,-1.0,5.5622690469026566,72867326494.66667,105796624384.0,7236437418.666667,-1.0,-1.0,33.55095636844635,545000000.0,0.20088353753089902,15298473.375,109.9043477376302,1082498650.6666667,26427913.583333332,3456424.875,849625834.6666666,-1.0,0.8535180588563284,-1.0,87723085.66666667,4938392.0,1405659146.7369792,0.3423781394958496,1058.0,456.0,12240.0,7.0,17.505390167236328,2876.0,1920.0,4.0,82.0,82.0,87.0,72.0,75.0,68.0,90.0,545.0,3.0,22.316499054431915,2736.0,64.0,3.804807662963867
7.49,0.8122045174241066,40.87794017791748,0.25275562067205704,16.095592657725017,31.824539184570312,0.3301755785942077,-1.0,142.46856562296549,260.5925776163737,0.7374143997828165,0.2685374567906062,6.109412829081218,0.6356397271156311,544942976.0,-1.0,5.5622690469026566,72867326494.66667,105796624384.0,7236437418.666667,-1.0,-1.0,33.55095636844635,545000000.0,0.20088353753089902,15298473.375,109.9043477376302,1082498650.6666667,26427913.583333332,3456424.875,849625834.6666666,-1.0,0.8535180588563284,-1.0,87723085.66666667,5648199.0,1405659146.7369792,0.3423781394958496,1058.0,456.0,12240.0,7.0,17.505390167236328,2876.0,1920.0,4.0,82.0,82.0,87.0,72.0,75.0,68.0,90.0,545.0,3.0,22.316499054431915,2736.0,64.0,3.804807662963867
7.54,0.8122045174241066,40.87794017791748,0.25275562067205704,16.095592657725017,31.824539184570312,0.3301755785942077,-1.0,142.46856562296549,260.5925776163737,0.7374143997828165,0.2685374567906062,6.109412829081218,0.6356397271156311,544942976.0,-1.0,5.5622690469026566,72867326494.66667,105796624384.0,7236437418.666667,-1.0,-1.0,33.55095636844635,545000000.0,0.20088353753089902,15298473.375,109.9043477376302,1082498650.6666667,26427913.583333332,3456424.875,849625834.6666666,-1.0,0.8535180588563284,-1.0,87723085.66666667,5648199.0,1405659146.7369792,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,2876.0,1920.0,4.0,82.0,82.0,87.0,72.0,75.0,68.0,90.0,545.0,3.0,22.316499054431915,2736.0,15.0,3.804807662963867
7.59,0.8122045174241066,40.87794017791748,0.25275562067205704,16.095592657725017,31.74799919128418,0.5457860231399536,-1.0,142.46856562296549,260.5925776163737,0.7374143997828165,0.2685374567906062,6.109412829081218,0.6359699368476868,544942976.0,-1.0,5.5622690469026566,72867326494.66667,105796624384.0,7236437418.666667,-1.0,-1.0,33.55095636844635,545000000.0,0.20088353753089902,15298473.375,109.9043477376302,1082498650.6666667,26427913.583333332,3456424.875,849625834.6666666,-1.0,0.8535180588563284,-1.0,87723085.66666667,7423747.0,1405659146.7369792,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,2876.0,1920.0,4.0,82.0,82.0,87.0,72.0,75.0,68.0,90.0,545.0,3.0,22.316499054431915,2736.0,15.0,3.804807662963867
7.69,0.8122045174241066,40.87794017791748,0.25275562067205704,16.095592657725017,32.53963088989258,0.5401673316955566,-1.0,142.46856562296549,260.5925776163737,0.7374143997828165,0.2685374567906062,6.109412829081218,0.6345002055168152,544942976.0,-1.0,5.5622690469026566,72867326494.66667,105796624384.0,7236437418.666667,-1.0,-1.0,33.55095636844635,545000000.0,0.20088353753089902,15298473.375,109.9043477376302,1082498650.6666667,26427913.583333332,3456424.875,849625834.6666666,-1.0,0.8535180588563284,-1.0,87723085.66666667,7621146.0,1405659146.7369792,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,2876.0,1920.0,4.0,82.0,82.0,87.0,72.0,75.0,68.0,90.0,545.0,3.0,22.316499054431915,2736.0,15.0,3.804807662963867
