Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.02,1.1534581439835685,37.15156936645508,0.12573916358607154,31.791576385498047,0.2446402460336685,-1.0,-1.0,-1.0,0.6285490223339626,-1.0,5.996108055114746,0.7236819863319397,545088832.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,15755054.357142856,99.58176967075893,1018440822.8571428,26702510.714285713,3258790.714285714,790209590.8571428,-1.0,-1.0,-1.0,88518992.0,4958939.5,141608.765625,0.633818507194519,102.0,2.0,6330.0,1.0,24.303001403808597,2794.0,1920.0,3.0,60.0,59.0,62.0,37.0,36.0,46.0,72.0,545.0,2.0,20.372101664543152,2736.0,15.0,2.370436191558838
7.12,1.1534581439835685,37.15156936645508,0.12573916358607154,31.785966873168945,0.2917156517505646,-1.0,-1.0,-1.0,0.6285490223339626,-1.0,5.996108055114746,0.6821559071540833,545088832.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,15755054.357142856,99.58176967075893,1018440822.8571428,26702510.714285713,3258790.714285714,790209590.8571428,-1.0,-1.0,-1.0,88518992.0,4961987.0,141608.765625,0.633818507194519,102.0,2.0,6330.0,1.0,24.303001403808597,2794.0,1920.0,3.0,60.0,59.0,62.0,37.0,36.0,46.0,72.0,545.0,2.0,20.372101664543152,2736.0,15.0,2.370436191558838
7.22,1.1534581439835685,37.15156936645508,0.12573916358607154,32.58392333984375,0.5360005497932434,-1.0,-1.0,-1.0,0.6285490223339626,-1.0,5.996108055114746,7.006109714508057,545088832.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,15755054.357142856,99.58176967075893,1018440822.8571428,26702510.714285713,3258790.714285714,790209590.8571428,-1.0,-1.0,-1.0,88518992.0,7354169.0,141608.765625,0.633818507194519,102.0,2.0,6330.0,1.0,24.303001403808597,2794.0,1920.0,3.0,60.0,59.0,62.0,37.0,36.0,46.0,72.0,545.0,2.0,20.372101664543152,2736.0,15.0,2.370436191558838
7.33,1.1534581439835685,37.15156936645508,0.12573916358607154,31.862808227539062,0.488860547542572,-1.0,-1.0,-1.0,0.6285490223339626,-1.0,5.996108055114746,0.6052714586257935,545088832.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,15755054.357142856,99.58176967075893,1018440822.8571428,26702510.714285713,3258790.714285714,790209590.8571428,-1.0,-1.0,-1.0,88518992.0,7427023.5,141608.765625,0.633818507194519,102.0,2.0,6330.0,1.0,24.303001403808597,2794.0,1920.0,3.0,60.0,59.0,62.0,37.0,36.0,46.0,72.0,545.0,2.0,20.372101664543152,2736.0,15.0,2.370436191558838
7.4,1.1534581439835685,37.15156936645508,0.12573916358607154,31.862808227539062,0.488860547542572,-1.0,-1.0,-1.0,0.6285490223339626,-1.0,5.996108055114746,0.6052714586257935,545088832.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,15755054.357142856,99.58176967075893,1018440822.8571428,26702510.714285713,3258790.714285714,790209590.8571428,-1.0,-1.0,-1.0,88518992.0,7427023.5,141608.765625,3.2246086597442627,1067.0,458.0,12260.0,6.0,17.618837356567383,2794.0,1920.0,4.0,62.0,63.0,68.0,55.0,44.0,54.0,90.0,545.0,2.0,25.628095865249637,2736.0,63.0,3.2946889400482178
7.43,1.1534581439835685,37.15156936645508,0.12573916358607154,32.61560821533203,0.5314825773239136,-1.0,-1.0,-1.0,0.6285490223339626,-1.0,5.996108055114746,0.6864199042320251,545088832.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,15755054.357142856,99.58176967075893,1018440822.8571428,26702510.714285713,3258790.714285714,790209590.8571428,-1.0,-1.0,-1.0,88518992.0,7426005.5,141608.765625,3.2246086597442627,1067.0,458.0,12260.0,6.0,17.618837356567383,2794.0,1920.0,4.0,62.0,63.0,68.0,55.0,44.0,54.0,90.0,545.0,2.0,25.628095865249637,2736.0,63.0,3.2946889400482178
7.49,1.1534581439835685,37.15156936645508,0.12573916358607154,32.61560821533203,0.5314825773239136,-1.0,-1.0,-1.0,0.6285490223339626,-1.0,5.996108055114746,0.6864199042320251,545088832.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,15755054.357142856,99.58176967075893,1018440822.8571428,26702510.714285713,3258790.714285714,790209590.8571428,-1.0,-1.0,-1.0,88518992.0,7426005.5,141608.765625,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,2794.0,1920.0,4.0,62.0,63.0,68.0,55.0,44.0,54.0,90.0,545.0,2.0,25.628095865249637,2736.0,15.0,3.2946889400482178
7.53,1.1534581439835685,37.15156936645508,0.12573916358607154,31.853099822998047,0.5140224695205688,-1.0,-1.0,-1.0,0.6285490223339626,-1.0,5.996108055114746,0.6337851285934448,545088832.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,15755054.357142856,99.58176967075893,1018440822.8571428,26702510.714285713,3258790.714285714,790209590.8571428,-1.0,-1.0,-1.0,88518992.0,7417231.5,141608.765625,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,2794.0,1920.0,4.0,62.0,63.0,68.0,55.0,44.0,54.0,90.0,545.0,2.0,25.628095865249637,2736.0,15.0,3.2946889400482178
7.63,1.1534581439835685,37.15156936645508,0.12573916358607154,31.79965209960937,0.5020037293434143,-1.0,-1.0,-1.0,0.6285490223339626,-1.0,5.996108055114746,4.0059356689453125,545088832.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,15755054.357142856,99.58176967075893,1018440822.8571428,26702510.714285713,3258790.714285714,790209590.8571428,-1.0,-1.0,-1.0,88518992.0,7427141.0,141608.765625,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,2794.0,1920.0,4.0,62.0,63.0,68.0,55.0,44.0,54.0,90.0,545.0,2.0,25.628095865249637,2736.0,15.0,3.2946889400482178
7.73,1.1534581439835685,37.15156936645508,0.12573916358607154,32.492733001708984,0.5327796339988708,-1.0,-1.0,-1.0,0.6285490223339626,-1.0,5.996108055114746,8.357767105102539,545088832.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,15755054.357142856,99.58176967075893,1018440822.8571428,26702510.714285713,3258790.714285714,790209590.8571428,-1.0,-1.0,-1.0,88518992.0,7627309.5,141608.765625,274.7228088378906,263.0,58.0,7858.0,1.0,24.303001403808597,2794.0,1920.0,4.0,62.0,63.0,68.0,55.0,44.0,54.0,90.0,545.0,2.0,25.628095865249637,2736.0,15.0,3.2946889400482178
