Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.02,0.8149021665255228,25.190236409505207,0.09124589494119084,13.622021993001303,23.852258682250977,0.9784737229347228,-1.0,72.59618631998698,156.34500630696616,0.5158612132072449,0.19983539481957754,2.6991535822550454,0.6128532290458679,545026645.3333334,-1.0,2.9452712535858154,63401704106.666664,109432692736.0,7396142080.0,-1.0,-1.0,64.1374724706014,545000000.0,0.1333032175898552,14007255.0,97.74219185965401,1080460714.6666667,27587908.666666668,1956239.1666666667,904885290.6666666,-1.0,0.3630123833815257,-1.0,79195182.66666667,9590245.0,1438602619.4713542,2.4418458938598637,248.0,49.0,7848.0,1.0,21.892169952392575,2655.0,1920.0,3.0,61.0,62.0,65.0,37.0,48.0,45.0,72.0,545.0,2.0,18.767891824245453,2736.0,1.0,91.0,2.206328153610229
7.12,0.8149021665255228,25.190236409505207,0.09124589494119084,13.622021993001303,22.72137260437012,0.8978337049484253,-1.0,72.59618631998698,156.34500630696616,0.5158612132072449,0.19983539481957754,2.6991535822550454,0.6055143475532532,545026645.3333334,-1.0,2.9452712535858154,63401704106.666664,109432692736.0,7396142080.0,-1.0,-1.0,64.1374724706014,545000000.0,0.1333032175898552,14007255.0,97.74219185965401,1080460714.6666667,27587908.666666668,1956239.1666666667,904885290.6666666,-1.0,0.3630123833815257,-1.0,79195182.66666667,8745515.0,1438602619.4713542,2.4418458938598637,248.0,49.0,7848.0,1.0,21.892169952392575,2655.0,1920.0,3.0,61.0,62.0,65.0,37.0,48.0,45.0,72.0,545.0,2.0,18.767891824245453,2736.0,1.0,91.0,2.206328153610229
7.22,0.8149021665255228,25.190236409505207,0.09124589494119084,13.622021993001303,25.27943992614746,0.8359664678573608,-1.0,72.59618631998698,156.34500630696616,0.5158612132072449,0.19983539481957754,2.6991535822550454,0.7101068496704102,545026645.3333334,-1.0,2.9452712535858154,63401704106.666664,109432692736.0,7396142080.0,-1.0,-1.0,64.1374724706014,545000000.0,0.1333032175898552,14007255.0,97.74219185965401,1080460714.6666667,27587908.666666668,1956239.1666666667,904885290.6666666,-1.0,0.3630123833815257,-1.0,79195182.66666667,11066577.0,1438602619.4713542,2.4418458938598637,248.0,49.0,7848.0,1.0,21.892169952392575,2655.0,1920.0,3.0,61.0,62.0,65.0,37.0,48.0,45.0,72.0,545.0,2.0,18.767891824245453,2736.0,1.0,91.0,2.206328153610229
7.26,0.8149021665255228,25.190236409505207,0.09124589494119084,13.622021993001303,25.27943992614746,0.8359664678573608,-1.0,72.59618631998698,156.34500630696616,0.5158612132072449,0.19983539481957754,2.6991535822550454,0.7101068496704102,545026645.3333334,-1.0,2.9452712535858154,63401704106.666664,109432692736.0,7396142080.0,-1.0,-1.0,64.1374724706014,545000000.0,0.1333032175898552,14007255.0,97.74219185965401,1080460714.6666667,27587908.666666668,1956239.1666666667,904885290.6666666,-1.0,0.3630123833815257,-1.0,79195182.66666667,11066577.0,1438602619.4713542,0.5005024075508118,101.0,2.0,6330.0,1.0,21.892169952392575,2655.0,1920.0,3.0,61.0,62.0,65.0,37.0,48.0,45.0,72.0,545.0,2.0,18.767891824245453,2736.0,1.0,91.0,2.206328153610229
7.32,0.8149021665255228,25.190236409505207,0.09124589494119084,13.622021993001303,24.454179763793945,0.7092029452323914,-1.0,72.59618631998698,156.34500630696616,0.5158612132072449,0.19983539481957754,2.6991535822550454,0.6812933683395386,545026645.3333334,-1.0,2.9452712535858154,63401704106.666664,109432692736.0,7396142080.0,-1.0,-1.0,64.1374724706014,545000000.0,0.1333032175898552,14007255.0,97.74219185965401,1080460714.6666667,27587908.666666668,1956239.1666666667,904885290.6666666,-1.0,0.3630123833815257,-1.0,79195182.66666667,10501049.0,1438602619.4713542,0.5005024075508118,101.0,2.0,6330.0,1.0,21.892169952392575,2655.0,1920.0,3.0,61.0,62.0,65.0,37.0,48.0,45.0,72.0,545.0,2.0,18.767891824245453,2736.0,1.0,91.0,2.206328153610229
7.42,0.8149021665255228,25.190236409505207,0.09124589494119084,13.622021993001303,25.019874572753903,0.5710820555686951,-1.0,72.59618631998698,156.34500630696616,0.5158612132072449,0.19983539481957754,2.6991535822550454,7.712446212768555,545026645.3333334,-1.0,2.9452712535858154,63401704106.666664,109432692736.0,7396142080.0,-1.0,-1.0,64.1374724706014,545000000.0,0.1333032175898552,14007255.0,97.74219185965401,1080460714.6666667,27587908.666666668,1956239.1666666667,904885290.6666666,-1.0,0.3630123833815257,-1.0,79195182.66666667,9211621.0,1438602619.4713542,0.5005024075508118,101.0,2.0,6330.0,1.0,21.892169952392575,2655.0,1920.0,3.0,61.0,62.0,65.0,37.0,48.0,45.0,72.0,545.0,2.0,18.767891824245453,2736.0,1.0,91.0,2.206328153610229
7.54,0.8149021665255228,25.190236409505207,0.09124589494119084,13.622021993001303,29.53968620300293,0.4240106344223022,-1.0,72.59618631998698,156.34500630696616,0.5158612132072449,0.19983539481957754,2.6991535822550454,12.29886531829834,545026645.3333334,-1.0,2.9452712535858154,63401704106.666664,109432692736.0,7396142080.0,-1.0,-1.0,64.1374724706014,545000000.0,0.1333032175898552,14007255.0,97.74219185965401,1080460714.6666667,27587908.666666668,1956239.1666666667,904885290.6666666,-1.0,0.3630123833815257,-1.0,79195182.66666667,6630219.5,1438602619.4713542,0.5005024075508118,101.0,2.0,6330.0,1.0,21.892169952392575,2655.0,1920.0,3.0,61.0,62.0,65.0,37.0,48.0,45.0,72.0,545.0,2.0,18.767891824245453,2736.0,1.0,91.0,2.206328153610229
7.64,0.8149021665255228,25.190236409505207,0.09124589494119084,13.622021993001303,31.710805892944336,0.2735869884490967,-1.0,72.59618631998698,156.34500630696616,0.5158612132072449,0.19983539481957754,2.6991535822550454,0.6570965647697449,545026645.3333334,-1.0,2.9452712535858154,63401704106.666664,109432692736.0,7396142080.0,-1.0,-1.0,64.1374724706014,545000000.0,0.1333032175898552,14007255.0,97.74219185965401,1080460714.6666667,27587908.666666668,1956239.1666666667,904885290.6666666,-1.0,0.3630123833815257,-1.0,79195182.66666667,4884883.5,1438602619.4713542,0.5005024075508118,101.0,2.0,6330.0,1.0,21.892169952392575,2655.0,1920.0,3.0,61.0,62.0,65.0,37.0,48.0,45.0,72.0,545.0,2.0,18.767891824245453,2736.0,1.0,91.0,2.206328153610229
7.69,0.8149021665255228,25.190236409505207,0.09124589494119084,13.622021993001303,31.710805892944336,0.2735869884490967,-1.0,72.59618631998698,156.34500630696616,0.5158612132072449,0.19983539481957754,2.6991535822550454,0.6570965647697449,545026645.3333334,-1.0,2.9452712535858154,63401704106.666664,109432692736.0,7396142080.0,-1.0,-1.0,64.1374724706014,545000000.0,0.1333032175898552,14007255.0,97.74219185965401,1080460714.6666667,27587908.666666668,1956239.1666666667,904885290.6666666,-1.0,0.3630123833815257,-1.0,79195182.66666667,4884883.5,1438602619.4713542,9.654877662658691,1205.0,459.0,12264.0,7.0,17.367080688476562,2655.0,1920.0,4.0,65.0,62.0,66.0,50.0,61.0,55.0,72.0,545.0,3.0,21.45802676677704,2736.0,1.0,65.0,3.7266128063201904
7.74,0.8149021665255228,25.190236409505207,0.09124589494119084,13.622021993001303,32.439353942871094,0.2560327053070068,-1.0,72.59618631998698,156.34500630696616,0.5158612132072449,0.19983539481957754,2.6991535822550454,0.6584662795066833,545026645.3333334,-1.0,2.9452712535858154,63401704106.666664,109432692736.0,7396142080.0,-1.0,-1.0,64.1374724706014,545000000.0,0.1333032175898552,14007255.0,97.74219185965401,1080460714.6666667,27587908.666666668,1956239.1666666667,904885290.6666666,-1.0,0.3630123833815257,-1.0,79195182.66666667,4780937.0,1438602619.4713542,9.654877662658691,248.0,49.0,7848.0,1.0,21.892169952392575,2655.0,1920.0,4.0,65.0,62.0,66.0,50.0,61.0,55.0,72.0,545.0,3.0,21.45802676677704,2736.0,1.0,91.0,3.7266128063201904
