Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.0,0.7419782355427742,19.037137508392334,0.05930354073643682,31.76443862915039,0.4918738007545471,-1.0,-1.0,-1.0,0.39352117362432176,-1.0,2.019964635372162,0.6557029485702515,544980053.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10890757.1484375,54.35921369280134,838522966.0,21441048.713623047,1857299.189453125,699705702.0,-1.0,-1.0,-1.0,61230974.0,7225015.5,170378.42708333334,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2711.0,6543863044.0,1920.0,4.0,53.0,54.0,55.0,42.0,63.0,24.0,72.0,545.0,3.0,21.197709441185,3196.0,61.0,3.522786855697632
7.01,0.7419782355427742,19.037137508392334,0.05930354073643682,31.76443862915039,0.4918738007545471,-1.0,-1.0,-1.0,0.39352117362432176,-1.0,2.019964635372162,0.6557029485702515,544980053.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10890757.1484375,54.35921369280134,838522966.0,21441048.713623047,1857299.189453125,699705702.0,-1.0,-1.0,-1.0,61230974.0,7225015.5,170378.42708333334,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2711.0,6570721227.0,1920.0,4.0,53.0,54.0,55.0,42.0,63.0,24.0,72.0,545.0,3.0,21.197709441185,3196.0,61.0,3.522786855697632
7.02,0.7419782355427742,19.037137508392334,0.05930354073643682,31.76443862915039,0.4918738007545471,-1.0,-1.0,-1.0,0.39352117362432176,-1.0,2.019964635372162,0.6557029485702515,544980053.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10890757.1484375,54.35921369280134,838522966.0,21441048.713623047,1857299.189453125,699705702.0,-1.0,-1.0,-1.0,61230974.0,7225015.5,170378.42708333334,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2711.0,6598221243.0,1920.0,4.0,53.0,54.0,55.0,42.0,63.0,24.0,72.0,545.0,3.0,21.197709441185,3196.0,61.0,3.522786855697632
7.04,0.7419782355427742,19.037137508392334,0.05930354073643682,31.76443862915039,0.4918738007545471,-1.0,-1.0,-1.0,0.39352117362432176,-1.0,2.019964635372162,0.6557029485702515,544980053.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10890757.1484375,54.35921369280134,838522966.0,21441048.713623047,1857299.189453125,699705702.0,-1.0,-1.0,-1.0,61230974.0,7225015.5,170378.42708333334,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2711.0,6626213351.0,1920.0,4.0,53.0,54.0,55.0,42.0,63.0,24.0,72.0,545.0,3.0,21.197709441185,3196.0,61.0,3.522786855697632
7.05,0.7419782355427742,19.037137508392334,0.05930354073643682,31.76443862915039,0.4918738007545471,-1.0,-1.0,-1.0,0.39352117362432176,-1.0,2.019964635372162,0.6557029485702515,544980053.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10890757.1484375,54.35921369280134,838522966.0,21441048.713623047,1857299.189453125,699705702.0,-1.0,-1.0,-1.0,61230974.0,7225015.5,170378.42708333334,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2711.0,6653772577.0,1920.0,4.0,53.0,54.0,55.0,42.0,63.0,24.0,72.0,545.0,3.0,21.197709441185,3196.0,61.0,3.522786855697632
7.06,0.7419782355427742,19.037137508392334,0.05930354073643682,31.76443862915039,0.4918738007545471,-1.0,-1.0,-1.0,0.39352117362432176,-1.0,2.019964635372162,0.6557029485702515,544980053.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10890757.1484375,54.35921369280134,838522966.0,21441048.713623047,1857299.189453125,699705702.0,-1.0,-1.0,-1.0,61230974.0,7225015.5,170378.42708333334,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2711.0,7699894218.0,1920.0,4.0,53.0,54.0,55.0,42.0,63.0,24.0,72.0,545.0,3.0,21.197709441185,3196.0,61.0,3.522786855697632
7.07,0.7419782355427742,19.037137508392334,0.05930354073643682,31.76443862915039,0.4918738007545471,-1.0,-1.0,-1.0,0.39352117362432176,-1.0,2.019964635372162,0.6557029485702515,544980053.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10890757.1484375,54.35921369280134,838522966.0,21441048.713623047,1857299.189453125,699705702.0,-1.0,-1.0,-1.0,61230974.0,7225015.5,170378.42708333334,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2711.0,7836580025.0,1920.0,4.0,53.0,54.0,55.0,42.0,63.0,24.0,72.0,545.0,3.0,21.197709441185,3196.0,61.0,3.522786855697632
7.08,0.7419782355427742,19.037137508392334,0.05930354073643682,31.76443862915039,0.4918738007545471,-1.0,-1.0,-1.0,0.39352117362432176,-1.0,2.019964635372162,0.6557029485702515,544980053.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10890757.1484375,54.35921369280134,838522966.0,21441048.713623047,1857299.189453125,699705702.0,-1.0,-1.0,-1.0,61230974.0,7225015.5,170378.42708333334,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2711.0,7621835029.0,1920.0,4.0,53.0,54.0,55.0,42.0,63.0,24.0,72.0,545.0,3.0,21.197709441185,3196.0,61.0,3.522786855697632
7.09,0.7419782355427742,19.037137508392334,0.05930354073643682,31.76443862915039,0.4918738007545471,-1.0,-1.0,-1.0,0.39352117362432176,-1.0,2.019964635372162,0.6557029485702515,544980053.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10890757.1484375,54.35921369280134,838522966.0,21441048.713623047,1857299.189453125,699705702.0,-1.0,-1.0,-1.0,61230974.0,7225015.5,170378.42708333334,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2711.0,7758431884.0,1920.0,4.0,53.0,54.0,55.0,42.0,63.0,24.0,72.0,545.0,3.0,21.197709441185,3196.0,61.0,3.522786855697632
7.1,0.7419782355427742,19.037137508392334,0.05930354073643682,32.534568786621094,0.5506317019462585,-1.0,-1.0,-1.0,0.39352117362432176,-1.0,2.019964635372162,0.6568635106086731,544980053.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10890757.1484375,54.35921369280134,838522966.0,21441048.713623047,1857299.189453125,699705702.0,-1.0,-1.0,-1.0,61230974.0,7322836.0,170378.42708333334,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2711.0,7895210162.0,1920.0,4.0,53.0,54.0,55.0,42.0,63.0,24.0,72.0,545.0,3.0,21.197709441185,3196.0,61.0,3.522786855697632
7.11,0.7419782355427742,19.037137508392334,0.05930354073643682,32.534568786621094,0.5506317019462585,-1.0,-1.0,-1.0,0.39352117362432176,-1.0,2.019964635372162,0.6568635106086731,544980053.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10890757.1484375,54.35921369280134,838522966.0,21441048.713623047,1857299.189453125,699705702.0,-1.0,-1.0,-1.0,61230974.0,7322836.0,170378.42708333334,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2711.0,7802248774.5,1920.0,4.0,53.0,54.0,55.0,42.0,63.0,24.0,72.0,545.0,3.0,21.197709441185,3196.0,61.0,3.522786855697632
7.12,0.7419782355427742,19.037137508392334,0.05930354073643682,32.534568786621094,0.5506317019462585,-1.0,-1.0,-1.0,0.39352117362432176,-1.0,2.019964635372162,0.6568635106086731,544980053.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10890757.1484375,54.35921369280134,838522966.0,21441048.713623047,1857299.189453125,699705702.0,-1.0,-1.0,-1.0,61230974.0,7322836.0,170378.42708333334,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2711.0,7829699505.0,1920.0,4.0,53.0,54.0,55.0,42.0,63.0,24.0,72.0,545.0,3.0,21.197709441185,3196.0,61.0,3.522786855697632
7.13,0.7419782355427742,19.037137508392334,0.05930354073643682,32.534568786621094,0.5506317019462585,-1.0,-1.0,-1.0,0.39352117362432176,-1.0,2.019964635372162,0.6568635106086731,544980053.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10890757.1484375,54.35921369280134,838522966.0,21441048.713623047,1857299.189453125,699705702.0,-1.0,-1.0,-1.0,61230974.0,7322836.0,170378.42708333334,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2711.0,7732370774.0,1920.0,4.0,53.0,54.0,55.0,42.0,63.0,24.0,72.0,545.0,3.0,21.197709441185,3196.0,61.0,3.522786855697632
7.14,0.7419782355427742,19.037137508392334,0.05930354073643682,32.534568786621094,0.5506317019462585,-1.0,-1.0,-1.0,0.39352117362432176,-1.0,2.019964635372162,0.6568635106086731,544980053.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10890757.1484375,54.35921369280134,838522966.0,21441048.713623047,1857299.189453125,699705702.0,-1.0,-1.0,-1.0,61230974.0,7322836.0,170378.42708333334,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2711.0,7871494458.5,1920.0,4.0,53.0,54.0,55.0,42.0,63.0,24.0,72.0,545.0,3.0,21.197709441185,3196.0,61.0,3.522786855697632
7.15,0.7419782355427742,19.037137508392334,0.05930354073643682,32.534568786621094,0.5506317019462585,-1.0,-1.0,-1.0,0.39352117362432176,-1.0,2.019964635372162,0.6568635106086731,544980053.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,10890757.1484375,54.35921369280134,838522966.0,21441048.713623047,1857299.189453125,699705702.0,-1.0,-1.0,-1.0,61230974.0,7322836.0,170378.42708333334,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,2711.0,8012262250.0,1920.0,4.0,53.0,54.0,55.0,42.0,63.0,24.0,72.0,545.0,3.0,21.197709441185,3196.0,61.0,3.522786855697632
