Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.0,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,17.951379776000977,26.085384368896484,63.28610483805338,36.71389555931091,0.5625848770141602,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,0.707364559173584,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,1884642944.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,1323601408.0,110126229.33333333,8931508.0,1806433991.0833333,0.4806417226791382,102.0,2.0,6330.0,1.0,18.238380432128903,2856.0,1920.0,3.0,65.0,65.0,67.0,51.0,35.0,53.0,72.0,545.0,2.0,19.42144930362701,2736.0,64.0,2.244574785232544
7.07,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,20.49922561645508,28.783226013183597,63.28610483805338,36.71389555931091,0.4998643696308136,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,26.540359497070312,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,2134974208.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,1470827520.0,110126229.33333333,9850331.0,1806433991.0833333,0.4806417226791382,102.0,2.0,6330.0,1.0,18.238380432128903,2856.0,1920.0,3.0,65.0,65.0,67.0,51.0,35.0,53.0,72.0,545.0,2.0,19.42144930362701,2736.0,64.0,2.244574785232544
7.17,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,23.14716339111328,32.5038948059082,63.28610483805338,36.71389555931091,0.2371635288000106,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,0.683125376701355,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,1385022848.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,762015232.0,110126229.33333333,4955714.5,1806433991.0833333,0.4806417226791382,102.0,2.0,6330.0,1.0,18.238380432128903,2856.0,1920.0,3.0,65.0,65.0,67.0,51.0,35.0,53.0,72.0,545.0,2.0,19.42144930362701,2736.0,64.0,2.244574785232544
7.27,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,23.489591598510746,31.70213508605957,63.28610483805338,36.71389555931091,0.2650482654571533,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,0.6655847430229187,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,1385884672.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,762085568.0,110126229.33333333,4957605.5,1806433991.0833333,0.4806417226791382,102.0,2.0,6330.0,1.0,18.238380432128903,2856.0,1920.0,3.0,65.0,65.0,67.0,51.0,35.0,53.0,72.0,545.0,2.0,19.42144930362701,2736.0,64.0,2.244574785232544
7.37,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,23.067419052124023,31.782114028930664,63.28610483805338,36.71389555931091,0.5052331686019897,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,0.6458410024642944,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,1766738560.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,907007232.0,110126229.33333333,6879427.5,1806433991.0833333,0.4806417226791382,102.0,2.0,6330.0,1.0,18.238380432128903,2856.0,1920.0,3.0,65.0,65.0,67.0,51.0,35.0,53.0,72.0,545.0,2.0,19.42144930362701,2736.0,64.0,2.244574785232544
7.47,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,22.838911056518555,32.55179977416992,63.28610483805338,36.71389555931091,0.53879714012146,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,0.6447411775588989,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,1873902336.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,947914496.0,110126229.33333333,7424339.5,1806433991.0833333,0.4806417226791382,102.0,2.0,6330.0,1.0,18.238380432128903,2856.0,1920.0,3.0,65.0,65.0,67.0,51.0,35.0,53.0,72.0,545.0,2.0,19.42144930362701,2736.0,64.0,2.244574785232544
7.48,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,22.838911056518555,32.55179977416992,63.28610483805338,36.71389555931091,0.53879714012146,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,0.6447411775588989,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,1873902336.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,947914496.0,110126229.33333333,7424339.5,1806433991.0833333,0.1605613231658935,265.0,62.0,7874.0,1.0,28.741500854492188,2856.0,1920.0,3.0,65.0,65.0,67.0,51.0,35.0,53.0,72.0,545.0,2.0,19.42144930362701,2736.0,73.0,2.244574785232544
7.5,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,22.838911056518555,32.55179977416992,63.28610483805338,36.71389555931091,0.53879714012146,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,0.6447411775588989,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,1873902336.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,947914496.0,110126229.33333333,7424339.5,1806433991.0833333,4.232227802276611,1112.0,456.0,12260.0,7.0,17.908971786499023,2856.0,1920.0,4.0,79.0,79.0,79.0,68.0,68.0,79.0,90.0,545.0,2.0,24.079318344593048,2736.0,64.0,3.5239415168762207
7.57,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,22.36652183532715,31.83368682861328,63.28610483805338,36.71389555931091,0.5451013445854187,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,5.226982116699219,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,1873105024.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,969257280.0,110126229.33333333,7619662.5,1806433991.0833333,4.232227802276611,1112.0,456.0,12260.0,7.0,17.908971786499023,2856.0,1920.0,4.0,79.0,79.0,79.0,68.0,68.0,79.0,90.0,545.0,2.0,24.079318344593048,2736.0,64.0,3.5239415168762207
7.67,39.989541371663414,26.737414677937824,0.35067852338155103,1.9932688077290852,40.643079121907554,0.16999629512429235,22.84227561950684,32.55937576293945,63.28610483805338,36.71389555931091,0.5118404030799866,-1.0,165.40243275960287,298.77208455403644,0.9733357032140096,0.268803467353185,9.091946363449097,0.6436513662338257,545050282.6666666,-1.0,6.977516174316406,82207156906.66667,142313745066.66666,9318008149.333334,-1.0,1873500800.0,21.385206699371338,545000000.0,0.18429935971895853,19080412.0,44.36721420288086,1432950082.6666667,37639829.333333336,2673120.8333333335,1191000405.3333333,-1.0,0.8987730940183004,947735296.0,110126229.33333333,7422947.5,1806433991.0833333,4.232227802276611,1112.0,456.0,12260.0,7.0,17.908971786499023,2856.0,1920.0,4.0,79.0,79.0,79.0,68.0,68.0,79.0,90.0,545.0,2.0,24.079318344593048,2736.0,64.0,3.5239415168762207
