Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.05,0.46092090010643,11.420683860778809,0.001495145377703,24.229944229125977,0.5633493065834045,-1.0,-1.0,-1.0,0.24982546269893646,-1.0,1.2702041864395142,1.1603965759277344,545046096.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.20767307281494,545000000.0,-1.0,5512478.0,104.01056780133929,432447656.77734375,10476735.0,962798.8125,356621792.0,-1.0,-1.0,-1.0,27988338.0,9036238.0,808733988.7851562,2.77698016166687,1084.0,461.0,12249.0,7.0,22.194358825683597,2903.0,1920.0,3.0,59.0,57.0,61.0,31.0,33.0,62.0,72.0,545.0,2.0,19.36909407377243,2736.0,1.0,60.0,2.2073042392730717
7.15,0.46092090010643,11.420683860778809,0.001495145377703,26.468149185180664,0.5961897373199463,-1.0,-1.0,-1.0,0.24982546269893646,-1.0,1.2702041864395142,0.6474819183349609,545046096.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.20767307281494,545000000.0,-1.0,5512478.0,104.01056780133929,432447656.77734375,10476735.0,962798.8125,356621792.0,-1.0,-1.0,-1.0,27988338.0,9805622.0,808733988.7851562,2.77698016166687,1084.0,461.0,12249.0,7.0,22.194358825683597,2903.0,1920.0,3.0,59.0,57.0,61.0,31.0,33.0,62.0,72.0,545.0,2.0,19.36909407377243,2736.0,1.0,60.0,2.2073042392730717
7.25,0.46092090010643,11.420683860778809,0.001495145377703,29.690576553344727,0.4782943725585937,-1.0,-1.0,-1.0,0.24982546269893646,-1.0,1.2702041864395142,19.616369247436523,545046096.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.20767307281494,545000000.0,-1.0,5512478.0,104.01056780133929,432447656.77734375,10476735.0,962798.8125,356621792.0,-1.0,-1.0,-1.0,27988338.0,8766457.0,808733988.7851562,2.77698016166687,1084.0,461.0,12249.0,7.0,22.194358825683597,2903.0,1920.0,3.0,59.0,57.0,61.0,31.0,33.0,62.0,72.0,545.0,2.0,19.36909407377243,2736.0,1.0,60.0,2.2073042392730717
7.35,0.46092090010643,11.420683860778809,0.001495145377703,31.34539794921875,0.2512145042419433,-1.0,-1.0,-1.0,0.24982546269893646,-1.0,1.2702041864395142,0.7307378053665161,545046096.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.20767307281494,545000000.0,-1.0,5512478.0,104.01056780133929,432447656.77734375,10476735.0,962798.8125,356621792.0,-1.0,-1.0,-1.0,27988338.0,4937863.0,808733988.7851562,2.77698016166687,1084.0,461.0,12249.0,7.0,22.194358825683597,2903.0,1920.0,3.0,59.0,57.0,61.0,31.0,33.0,62.0,72.0,545.0,2.0,19.36909407377243,2736.0,1.0,60.0,2.2073042392730717
7.42,0.46092090010643,11.420683860778809,0.001495145377703,31.34539794921875,0.2512145042419433,-1.0,-1.0,-1.0,0.24982546269893646,-1.0,1.2702041864395142,0.7307378053665161,545046096.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.20767307281494,545000000.0,-1.0,5512478.0,104.01056780133929,432447656.77734375,10476735.0,962798.8125,356621792.0,-1.0,-1.0,-1.0,27988338.0,4937863.0,808733988.7851562,0.2961145043373108,102.0,2.0,6330.0,1.0,22.194358825683597,2903.0,1920.0,3.0,59.0,57.0,61.0,31.0,33.0,62.0,72.0,545.0,2.0,19.36909407377243,2736.0,1.0,60.0,2.2073042392730717
7.45,0.46092090010643,11.420683860778809,0.001495145377703,31.752565383911133,0.2953195571899414,-1.0,-1.0,-1.0,0.24982546269893646,-1.0,1.2702041864395142,0.6590351462364197,545046096.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.20767307281494,545000000.0,-1.0,5512478.0,104.01056780133929,432447656.77734375,10476735.0,962798.8125,356621792.0,-1.0,-1.0,-1.0,27988338.0,4959082.0,808733988.7851562,0.2961145043373108,102.0,2.0,6330.0,1.0,22.194358825683597,2903.0,1920.0,3.0,59.0,57.0,61.0,31.0,33.0,62.0,72.0,545.0,2.0,19.36909407377243,2736.0,1.0,60.0,2.2073042392730717
7.55,0.46092090010643,11.420683860778809,0.001495145377703,32.5520133972168,0.481212317943573,-1.0,-1.0,-1.0,0.24982546269893646,-1.0,1.2702041864395142,0.6571832895278931,545046096.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.20767307281494,545000000.0,-1.0,5512478.0,104.01056780133929,432447656.77734375,10476735.0,962798.8125,356621792.0,-1.0,-1.0,-1.0,27988338.0,7348899.5,808733988.7851562,0.2961145043373108,102.0,2.0,6330.0,1.0,22.194358825683597,2903.0,1920.0,3.0,59.0,57.0,61.0,31.0,33.0,62.0,72.0,545.0,2.0,19.36909407377243,2736.0,1.0,60.0,2.2073042392730717
7.65,0.46092090010643,11.420683860778809,0.001495145377703,31.8408203125,0.5256493091583252,-1.0,-1.0,-1.0,0.24982546269893646,-1.0,1.2702041864395142,0.6535223126411438,545046096.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.20767307281494,545000000.0,-1.0,5512478.0,104.01056780133929,432447656.77734375,10476735.0,962798.8125,356621792.0,-1.0,-1.0,-1.0,27988338.0,7424846.0,808733988.7851562,0.2961145043373108,102.0,2.0,6330.0,1.0,22.194358825683597,2903.0,1920.0,3.0,59.0,57.0,61.0,31.0,33.0,62.0,72.0,545.0,2.0,19.36909407377243,2736.0,1.0,60.0,2.2073042392730717
7.75,0.46092090010643,11.420683860778809,0.001495145377703,32.531497955322266,0.5555403232574463,-1.0,-1.0,-1.0,0.24982546269893646,-1.0,1.2702041864395142,0.6611918210983276,545046096.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.20767307281494,545000000.0,-1.0,5512478.0,104.01056780133929,432447656.77734375,10476735.0,962798.8125,356621792.0,-1.0,-1.0,-1.0,27988338.0,7420364.0,808733988.7851562,0.2961145043373108,102.0,2.0,6330.0,1.0,22.194358825683597,2903.0,1920.0,3.0,59.0,57.0,61.0,31.0,33.0,62.0,72.0,545.0,2.0,19.36909407377243,2736.0,1.0,60.0,2.2073042392730717
7.85,0.46092090010643,11.420683860778809,0.001495145377703,31.7509822845459,0.5223559737205505,-1.0,-1.0,-1.0,0.24982546269893646,-1.0,1.2702041864395142,0.6282987594604492,545046096.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.20767307281494,545000000.0,-1.0,5512478.0,104.01056780133929,432447656.77734375,10476735.0,962798.8125,356621792.0,-1.0,-1.0,-1.0,27988338.0,7417716.5,808733988.7851562,0.2961145043373108,102.0,2.0,6330.0,1.0,22.194358825683597,2903.0,1920.0,3.0,59.0,57.0,61.0,31.0,33.0,62.0,72.0,545.0,2.0,19.36909407377243,2736.0,1.0,60.0,2.2073042392730717
