Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.01,24.323689222335815,43.88252258300781,0.034470406671365104,31.80484962463379,0.5629593133926392,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,8.461321830749512,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,9163106.0,940312868.46875,1.4109927415847778,834.0,477.0,12317.0,7.0,21.80034446716309,2912.0,1920.0,3.0,64.0,62.0,69.0,48.0,35.0,47.0,90.0,545.0,2.0,35.67338287830353,3196.0,1.0,1.0,2.33174204826355
7.03,24.323689222335815,43.88252258300781,0.034470406671365104,31.80484962463379,0.5629593133926392,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,8.461321830749512,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,9163106.0,940312868.46875,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2912.0,1920.0,3.0,64.0,62.0,69.0,48.0,35.0,47.0,90.0,545.0,2.0,35.67338287830353,3196.0,1.0,1.0,2.33174204826355
7.05,24.323689222335815,43.88252258300781,0.034470406671365104,31.80484962463379,0.5629593133926392,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,8.461321830749512,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,9163106.0,940312868.46875,0.3015438914299011,106.0,2.0,6691.0,1.0,21.9887809753418,2912.0,1920.0,3.0,64.0,62.0,69.0,48.0,35.0,47.0,90.0,545.0,2.0,35.67338287830353,3196.0,1.0,5.0,2.33174204826355
7.11,24.323689222335815,43.88252258300781,0.034470406671365104,32.56791305541992,0.5595879554748535,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,9.878013610839844,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8918003.0,940312868.46875,0.3015438914299011,106.0,2.0,6691.0,1.0,21.9887809753418,2912.0,1920.0,3.0,64.0,62.0,69.0,48.0,35.0,47.0,90.0,545.0,2.0,35.67338287830353,3196.0,1.0,5.0,2.33174204826355
7.17,24.323689222335815,43.88252258300781,0.034470406671365104,32.56791305541992,0.5595879554748535,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,9.878013610839844,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8918003.0,940312868.46875,0.3015438914299011,834.0,477.0,12317.0,5.0,24.084806442260746,2912.0,1920.0,4.0,80.0,79.0,80.0,71.0,70.0,71.0,90.0,545.0,2.0,37.4159187078476,3196.0,1.0,18.0,3.3877851963043213
7.21,24.323689222335815,43.88252258300781,0.034470406671365104,31.814189910888672,0.5401527881622314,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,7.239661693572998,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8778515.0,940312868.46875,0.3015438914299011,834.0,477.0,12317.0,5.0,24.084806442260746,2912.0,1920.0,4.0,80.0,79.0,80.0,71.0,70.0,71.0,90.0,545.0,2.0,37.4159187078476,3196.0,1.0,18.0,3.3877851963043213
7.31,24.323689222335815,43.88252258300781,0.034470406671365104,32.52454376220703,0.5808582901954651,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,7.759783744812012,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,9024011.0,940312868.46875,0.3015438914299011,834.0,477.0,12317.0,5.0,24.084806442260746,2912.0,1920.0,4.0,80.0,79.0,80.0,71.0,70.0,71.0,90.0,545.0,2.0,37.4159187078476,3196.0,1.0,18.0,3.3877851963043213
7.41,24.323689222335815,43.88252258300781,0.034470406671365104,31.778728485107425,0.5585734844207764,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,6.293542385101318,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8977378.0,940312868.46875,0.3015438914299011,834.0,477.0,12317.0,5.0,24.084806442260746,2912.0,1920.0,4.0,80.0,79.0,80.0,71.0,70.0,71.0,90.0,545.0,2.0,37.4159187078476,3196.0,1.0,18.0,3.3877851963043213
7.51,24.323689222335815,43.88252258300781,0.034470406671365104,31.82122230529785,0.6471993923187256,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,3.697916030883789,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,9099137.0,940312868.46875,0.3015438914299011,834.0,477.0,12317.0,5.0,24.084806442260746,2912.0,1920.0,4.0,80.0,79.0,80.0,71.0,70.0,71.0,90.0,545.0,2.0,37.4159187078476,3196.0,1.0,18.0,3.3877851963043213
7.61,24.323689222335815,43.88252258300781,0.034470406671365104,32.544044494628906,0.5344218611717224,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,5.486831665039063,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8875918.0,940312868.46875,0.3015438914299011,834.0,477.0,12317.0,5.0,24.084806442260746,2912.0,1920.0,4.0,80.0,79.0,80.0,71.0,70.0,71.0,90.0,545.0,2.0,37.4159187078476,3196.0,1.0,18.0,3.3877851963043213
7.71,24.323689222335815,43.88252258300781,0.034470406671365104,31.828659057617188,0.5875415802001953,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,6.416520118713379,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8810631.0,940312868.46875,0.3015438914299011,834.0,477.0,12317.0,5.0,24.084806442260746,2912.0,1920.0,4.0,80.0,79.0,80.0,71.0,70.0,71.0,90.0,545.0,2.0,37.4159187078476,3196.0,1.0,18.0,3.3877851963043213
7.81,24.323689222335815,43.88252258300781,0.034470406671365104,32.59020233154297,0.5234629511833191,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,7.798555850982666,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8823695.0,940312868.46875,0.3015438914299011,834.0,477.0,12317.0,5.0,24.084806442260746,2912.0,1920.0,4.0,80.0,79.0,80.0,71.0,70.0,71.0,90.0,545.0,2.0,37.4159187078476,3196.0,1.0,18.0,3.3877851963043213
7.91,24.323689222335815,43.88252258300781,0.034470406671365104,31.82996940612793,0.5484074950218201,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,10.234580039978027,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8826289.0,940312868.46875,0.3015438914299011,834.0,477.0,12317.0,5.0,24.084806442260746,2912.0,1920.0,4.0,80.0,79.0,80.0,71.0,70.0,71.0,90.0,545.0,2.0,37.4159187078476,3196.0,1.0,18.0,3.3877851963043213
8.02,24.323689222335815,43.88252258300781,0.034470406671365104,31.773286819458008,0.5653657913208008,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,7.0883989334106445,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8947551.0,940312868.46875,0.3015438914299011,834.0,477.0,12317.0,5.0,24.084806442260746,2912.0,1920.0,4.0,80.0,79.0,80.0,71.0,70.0,71.0,90.0,545.0,2.0,37.4159187078476,3196.0,1.0,18.0,3.3877851963043213
8.03,24.323689222335815,43.88252258300781,0.034470406671365104,31.773286819458008,0.5653657913208008,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,7.0883989334106445,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8947551.0,940312868.46875,7.010707378387451,212.0,41.0,7798.0,1.0,21.9887809753418,2912.0,1920.0,4.0,80.0,79.0,80.0,71.0,70.0,71.0,90.0,545.0,2.0,37.4159187078476,3196.0,1.0,1.0,3.3877851963043213
8.05,24.323689222335815,43.88252258300781,0.034470406671365104,31.773286819458008,0.5653657913208008,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,7.0883989334106445,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8947551.0,940312868.46875,0.2693550586700439,106.0,2.0,6691.0,1.0,21.9887809753418,2912.0,1920.0,4.0,80.0,79.0,80.0,71.0,70.0,71.0,90.0,545.0,2.0,37.4159187078476,3196.0,1.0,2.0,3.3877851963043213
8.12,24.323689222335815,43.88252258300781,0.034470406671365104,32.5118408203125,0.533845841884613,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,4.835773468017578,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8696592.0,940312868.46875,0.2693550586700439,106.0,2.0,6691.0,1.0,21.9887809753418,2912.0,1920.0,4.0,80.0,79.0,80.0,71.0,70.0,71.0,90.0,545.0,2.0,37.4159187078476,3196.0,1.0,2.0,3.3877851963043213
8.17,24.323689222335815,43.88252258300781,0.034470406671365104,32.5118408203125,0.533845841884613,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,4.835773468017578,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8696592.0,940312868.46875,0.3335898518562317,834.0,477.0,12317.0,2.0,29.79586410522461,2912.0,1920.0,4.0,81.0,78.0,77.0,78.0,73.0,69.0,90.0,545.0,2.0,37.26142644882202,3196.0,1.0,2.0,3.371323585510254
8.22,24.323689222335815,43.88252258300781,0.034470406671365104,31.764482498168945,0.5177364945411682,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,5.979184150695801,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8825194.0,940312868.46875,0.3335898518562317,834.0,477.0,12317.0,2.0,29.79586410522461,2912.0,1920.0,4.0,81.0,78.0,77.0,78.0,73.0,69.0,90.0,545.0,2.0,37.26142644882202,3196.0,1.0,2.0,3.371323585510254
8.32,24.323689222335815,43.88252258300781,0.034470406671365104,32.51345443725586,0.5968117713928223,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,9.461402893066406,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8824311.0,940312868.46875,0.3335898518562317,834.0,477.0,12317.0,2.0,29.79586410522461,2912.0,1920.0,4.0,81.0,78.0,77.0,78.0,73.0,69.0,90.0,545.0,2.0,37.26142644882202,3196.0,1.0,2.0,3.371323585510254
8.42,24.323689222335815,43.88252258300781,0.034470406671365104,31.771469116210938,0.5787225961685181,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,8.50021743774414,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8829798.0,940312868.46875,0.3335898518562317,834.0,477.0,12317.0,2.0,29.79586410522461,2912.0,1920.0,4.0,81.0,78.0,77.0,78.0,73.0,69.0,90.0,545.0,2.0,37.26142644882202,3196.0,1.0,2.0,3.371323585510254
8.52,24.323689222335815,43.88252258300781,0.034470406671365104,31.79288482666016,0.5627409219741821,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,0.6844687461853027,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8821198.0,940312868.46875,0.3335898518562317,834.0,477.0,12317.0,2.0,29.79586410522461,2912.0,1920.0,4.0,81.0,78.0,77.0,78.0,73.0,69.0,90.0,545.0,2.0,37.26142644882202,3196.0,1.0,2.0,3.371323585510254
8.62,24.323689222335815,43.88252258300781,0.034470406671365104,32.52467727661133,0.5313645601272583,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,0.6623525023460388,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8818929.0,940312868.46875,0.3335898518562317,834.0,477.0,12317.0,2.0,29.79586410522461,2912.0,1920.0,4.0,81.0,78.0,77.0,78.0,73.0,69.0,90.0,545.0,2.0,37.26142644882202,3196.0,1.0,2.0,3.371323585510254
8.72,24.323689222335815,43.88252258300781,0.034470406671365104,31.771484375,0.5441569089889526,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,1.6644471883773804,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8820744.0,940312868.46875,0.3335898518562317,834.0,477.0,12317.0,2.0,29.79586410522461,2912.0,1920.0,4.0,81.0,78.0,77.0,78.0,73.0,69.0,90.0,545.0,2.0,37.26142644882202,3196.0,1.0,2.0,3.371323585510254
8.82,24.323689222335815,43.88252258300781,0.034470406671365104,32.53599166870117,0.5395365953445435,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,5.208755970001221,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8820963.0,940312868.46875,0.3335898518562317,834.0,477.0,12317.0,2.0,29.79586410522461,2912.0,1920.0,4.0,81.0,78.0,77.0,78.0,73.0,69.0,90.0,545.0,2.0,37.26142644882202,3196.0,1.0,2.0,3.371323585510254
8.92,24.323689222335815,43.88252258300781,0.034470406671365104,31.77492904663086,0.5484565496444702,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,5.160245895385742,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8820769.0,940312868.46875,0.3335898518562317,834.0,477.0,12317.0,2.0,29.79586410522461,2912.0,1920.0,4.0,81.0,78.0,77.0,78.0,73.0,69.0,90.0,545.0,2.0,37.26142644882202,3196.0,1.0,2.0,3.371323585510254
9.02,24.323689222335815,43.88252258300781,0.034470406671365104,31.76673698425293,0.5123940706253052,-1.0,-1.0,-1.0,3.550174276034037,-1.0,18.219855308532715,6.19254207611084,544971200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.37128855784734,545000000.0,-1.0,11782173.740722656,122.31480916341145,907008122.0,24397344.2578125,2563069.1666666665,747859285.3333334,-1.0,-1.0,-1.0,76349127.08333333,8817128.0,940312868.46875,0.3335898518562317,834.0,477.0,12317.0,2.0,29.79586410522461,2912.0,1920.0,4.0,81.0,78.0,77.0,78.0,73.0,69.0,90.0,545.0,2.0,37.26142644882202,3196.0,1.0,2.0,3.371323585510254
