Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.08,0.7875292539596558,15.226322555541993,0.06058317720890044,31.64938735961914,0.347359836101532,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,0.6728063821792603,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,5467560.0,1164240564.165625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2929.0,1920.0,4.0,89.0,89.0,89.0,84.0,86.0,85.0,90.0,545.0,2.0,36.34399771690369,1.0863815546035769,3196.0,1.0,8.0,3.357715606689453
7.18,0.7875292539596558,15.226322555541993,0.06058317720890044,32.4602165222168,0.3489150404930115,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,0.655758261680603,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,5467466.5,1164240564.165625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2929.0,1920.0,4.0,89.0,89.0,89.0,84.0,86.0,85.0,90.0,545.0,2.0,36.34399771690369,1.0863815546035769,3196.0,1.0,8.0,3.357715606689453
7.28,0.7875292539596558,15.226322555541993,0.06058317720890044,31.81072807312012,0.3635339736938476,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,0.6857154965400696,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,5448977.5,1164240564.165625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2929.0,1920.0,4.0,89.0,89.0,89.0,84.0,86.0,85.0,90.0,545.0,2.0,36.34399771690369,1.0863815546035769,3196.0,1.0,8.0,3.357715606689453
7.38,0.7875292539596558,15.226322555541993,0.06058317720890044,32.54142761230469,0.3834376931190491,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,0.6574087738990784,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,5580424.0,1164240564.165625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2929.0,1920.0,4.0,89.0,89.0,89.0,84.0,86.0,85.0,90.0,545.0,2.0,36.34399771690369,1.0863815546035769,3196.0,1.0,8.0,3.357715606689453
7.48,0.7875292539596558,15.226322555541993,0.06058317720890044,31.712926864624023,0.3796065747737884,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,0.6845488548278809,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,6559200.5,1164240564.165625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2929.0,1920.0,4.0,89.0,89.0,89.0,84.0,86.0,85.0,90.0,545.0,2.0,36.34399771690369,1.0863815546035769,3196.0,1.0,8.0,3.357715606689453
7.58,0.7875292539596558,15.226322555541993,0.06058317720890044,31.62646484375,0.5573355555534363,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,0.6579686999320984,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,7321835.5,1164240564.165625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2929.0,1920.0,4.0,89.0,89.0,89.0,84.0,86.0,85.0,90.0,545.0,2.0,36.34399771690369,1.0863815546035769,3196.0,1.0,8.0,3.357715606689453
7.68,0.7875292539596558,15.226322555541993,0.06058317720890044,32.377742767333984,0.6012179851531982,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,0.6496482491493225,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,7928547.0,1164240564.165625,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2929.0,1920.0,4.0,89.0,89.0,89.0,84.0,86.0,85.0,90.0,545.0,2.0,36.34399771690369,1.0863815546035769,3196.0,1.0,8.0,3.357715606689453
7.74,0.7875292539596558,15.226322555541993,0.06058317720890044,32.377742767333984,0.6012179851531982,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,0.6496482491493225,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,7928547.0,1164240564.165625,0.3954001665115356,1141.0,453.0,12267.0,2.0,40.17441177368164,2929.0,1920.0,4.0,67.0,62.0,62.0,73.0,75.0,67.0,90.0,545.0,2.0,35.257700085639954,1.0863815546035769,3196.0,1.0,1.0,3.3067634105682373
7.78,0.7875292539596558,15.226322555541993,0.06058317720890044,31.678579330444336,0.5281881093978882,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,0.6558858752250671,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,8320410.0,1164240564.165625,0.3954001665115356,1141.0,453.0,12267.0,2.0,40.17441177368164,2929.0,1920.0,4.0,67.0,62.0,62.0,73.0,75.0,67.0,90.0,545.0,2.0,35.257700085639954,1.0863815546035769,3196.0,1.0,1.0,3.3067634105682373
7.88,0.7875292539596558,15.226322555541993,0.06058317720890044,32.38837432861328,0.5771271586418152,-1.0,-1.0,-1.0,0.4255542516708374,-1.0,2.7354931831359863,0.6654964685440063,545095027.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.05948410034179,545000000.0,-1.0,11081047.2,70.70260620117188,986722304.0,22870772.0,2063057.85,817590476.8,-1.0,-1.0,-1.0,80530540.8,8411394.0,1164240564.165625,0.3954001665115356,1141.0,453.0,12267.0,2.0,40.17441177368164,2929.0,1920.0,4.0,67.0,62.0,62.0,73.0,75.0,67.0,90.0,545.0,2.0,35.257700085639954,1.0863815546035769,3196.0,1.0,1.0,3.3067634105682373
