Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.05,1.171707769234975,33.62136681874593,0.048038388291994714,31.802669525146484,0.5772103071212769,-1.0,-1.0,-1.0,0.6574012438456217,-1.0,4.210157473882039,3.519165515899658,544966592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.61712694168091,545000000.0,-1.0,10506854.0,96.04422505696614,899705722.6666666,19305586.333333332,2123116.203125,691551459.3333334,-1.0,-1.0,-1.0,71844842.66666667,7930836.5,1010816473.8203125,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2730.0,1920.0,3.0,56.0,56.0,59.0,55.0,51.0,43.0,90.0,545.0,2.0,38.61528038978577,2736.0,1.0,2.7473039627075195
7.15,1.171707769234975,33.62136681874593,0.048038388291994714,32.51063919067383,0.5776914358139038,-1.0,-1.0,-1.0,0.6574012438456217,-1.0,4.210157473882039,6.790378093719482,544966592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.61712694168091,545000000.0,-1.0,10506854.0,96.04422505696614,899705722.6666666,19305586.333333332,2123116.203125,691551459.3333334,-1.0,-1.0,-1.0,71844842.66666667,7939605.0,1010816473.8203125,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2730.0,1920.0,3.0,56.0,56.0,59.0,55.0,51.0,43.0,90.0,545.0,2.0,38.61528038978577,2736.0,1.0,2.7473039627075195
7.25,1.171707769234975,33.62136681874593,0.048038388291994714,31.761138916015625,0.5315349102020264,-1.0,-1.0,-1.0,0.6574012438456217,-1.0,4.210157473882039,8.542896270751953,544966592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.61712694168091,545000000.0,-1.0,10506854.0,96.04422505696614,899705722.6666666,19305586.333333332,2123116.203125,691551459.3333334,-1.0,-1.0,-1.0,71844842.66666667,7938149.0,1010816473.8203125,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2730.0,1920.0,3.0,56.0,56.0,59.0,55.0,51.0,43.0,90.0,545.0,2.0,38.61528038978577,2736.0,1.0,2.7473039627075195
7.36,1.171707769234975,33.62136681874593,0.048038388291994714,31.729406356811523,0.5485684871673584,-1.0,-1.0,-1.0,0.6574012438456217,-1.0,4.210157473882039,4.224410057067871,544966592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.61712694168091,545000000.0,-1.0,10506854.0,96.04422505696614,899705722.6666666,19305586.333333332,2123116.203125,691551459.3333334,-1.0,-1.0,-1.0,71844842.66666667,7933483.0,1010816473.8203125,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2730.0,1920.0,3.0,56.0,56.0,59.0,55.0,51.0,43.0,90.0,545.0,2.0,38.61528038978577,2736.0,1.0,2.7473039627075195
7.46,1.171707769234975,33.62136681874593,0.048038388291994714,32.50740432739258,0.62005615234375,-1.0,-1.0,-1.0,0.6574012438456217,-1.0,4.210157473882039,4.770047187805176,544966592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.61712694168091,545000000.0,-1.0,10506854.0,96.04422505696614,899705722.6666666,19305586.333333332,2123116.203125,691551459.3333334,-1.0,-1.0,-1.0,71844842.66666667,8181760.5,1010816473.8203125,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2730.0,1920.0,3.0,56.0,56.0,59.0,55.0,51.0,43.0,90.0,545.0,2.0,38.61528038978577,2736.0,1.0,2.7473039627075195
7.5,1.171707769234975,33.62136681874593,0.048038388291994714,32.50740432739258,0.62005615234375,-1.0,-1.0,-1.0,0.6574012438456217,-1.0,4.210157473882039,4.770047187805176,544966592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.61712694168091,545000000.0,-1.0,10506854.0,96.04422505696614,899705722.6666666,19305586.333333332,2123116.203125,691551459.3333334,-1.0,-1.0,-1.0,71844842.66666667,8181760.5,1010816473.8203125,6.972110748291016,1132.0,447.0,12245.0,2.0,31.523963928222656,2730.0,1920.0,4.0,85.0,82.0,84.0,80.0,84.0,80.0,90.0,545.0,2.0,38.57758343219757,2736.0,18.0,3.3892662525177
7.56,1.171707769234975,33.62136681874593,0.048038388291994714,31.788021087646484,0.60075443983078,-1.0,-1.0,-1.0,0.6574012438456217,-1.0,4.210157473882039,0.6436994671821594,544966592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.61712694168091,545000000.0,-1.0,10506854.0,96.04422505696614,899705722.6666666,19305586.333333332,2123116.203125,691551459.3333334,-1.0,-1.0,-1.0,71844842.66666667,8049034.0,1010816473.8203125,6.972110748291016,1132.0,447.0,12245.0,2.0,31.523963928222656,2730.0,1920.0,4.0,85.0,82.0,84.0,80.0,84.0,80.0,90.0,545.0,2.0,38.57758343219757,2736.0,18.0,3.3892662525177
7.66,1.171707769234975,33.62136681874593,0.048038388291994714,32.490089416503906,0.5722606182098389,-1.0,-1.0,-1.0,0.6574012438456217,-1.0,4.210157473882039,0.6474599838256836,544966592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.61712694168091,545000000.0,-1.0,10506854.0,96.04422505696614,899705722.6666666,19305586.333333332,2123116.203125,691551459.3333334,-1.0,-1.0,-1.0,71844842.66666667,7940702.5,1010816473.8203125,6.972110748291016,1132.0,447.0,12245.0,2.0,31.523963928222656,2730.0,1920.0,4.0,85.0,82.0,84.0,80.0,84.0,80.0,90.0,545.0,2.0,38.57758343219757,2736.0,18.0,3.3892662525177
7.68,1.171707769234975,33.62136681874593,0.048038388291994714,32.490089416503906,0.5722606182098389,-1.0,-1.0,-1.0,0.6574012438456217,-1.0,4.210157473882039,0.6474599838256836,544966592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.61712694168091,545000000.0,-1.0,10506854.0,96.04422505696614,899705722.6666666,19305586.333333332,2123116.203125,691551459.3333334,-1.0,-1.0,-1.0,71844842.66666667,7940702.5,1010816473.8203125,0.1654636710882187,120.0,2.0,6330.0,1.0,31.523963928222656,2730.0,1920.0,4.0,85.0,82.0,84.0,80.0,84.0,80.0,90.0,545.0,2.0,38.57758343219757,2736.0,1.0,3.3892662525177
7.7,1.171707769234975,33.62136681874593,0.048038388291994714,32.490089416503906,0.5722606182098389,-1.0,-1.0,-1.0,0.6574012438456217,-1.0,4.210157473882039,0.6474599838256836,544966592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.61712694168091,545000000.0,-1.0,10506854.0,96.04422505696614,899705722.6666666,19305586.333333332,2123116.203125,691551459.3333334,-1.0,-1.0,-1.0,71844842.66666667,7940702.5,1010816473.8203125,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2730.0,1920.0,4.0,85.0,82.0,84.0,80.0,84.0,80.0,90.0,545.0,2.0,38.57758343219757,2736.0,1.0,3.3892662525177
