Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.06,0.8823217763565481,41.861815452575684,0.22895563649944964,32.59833908081055,0.5659669041633606,-1.0,-1.0,-1.0,0.6667959690093994,-1.0,4.6748000383377075,0.7003394961357117,545007152.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.17591980099678,545000000.0,-1.0,13735190.0,81.7243881225586,1158601484.0,20430716.42578125,3544955.875,922076832.0,-1.0,-1.0,-1.0,75883204.0,9011174.0,1527620906.0,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2644.0,2361.0,4.0,62.0,58.0,67.0,41.0,54.0,48.0,90.0,545.0,2.0,35.4746550321579,3196.0,1.0,23.0,3.536122560501098
7.16,0.8823217763565481,41.861815452575684,0.22895563649944964,31.87069320678711,0.5597318410873413,-1.0,-1.0,-1.0,0.6667959690093994,-1.0,4.6748000383377075,0.6637983322143555,545007152.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.17591980099678,545000000.0,-1.0,13735190.0,81.7243881225586,1158601484.0,20430716.42578125,3544955.875,922076832.0,-1.0,-1.0,-1.0,75883204.0,8823466.0,1527620906.0,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2644.0,2361.0,4.0,62.0,58.0,67.0,41.0,54.0,48.0,90.0,545.0,2.0,35.4746550321579,3196.0,1.0,23.0,3.536122560501098
7.26,0.8823217763565481,41.861815452575684,0.22895563649944964,32.603816986083984,0.5636981129646301,-1.0,-1.0,-1.0,0.6667959690093994,-1.0,4.6748000383377075,0.6628243923187256,545007152.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.17591980099678,545000000.0,-1.0,13735190.0,81.7243881225586,1158601484.0,20430716.42578125,3544955.875,922076832.0,-1.0,-1.0,-1.0,75883204.0,8818728.0,1527620906.0,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2644.0,2361.0,4.0,62.0,58.0,67.0,41.0,54.0,48.0,90.0,545.0,2.0,35.4746550321579,3196.0,1.0,23.0,3.536122560501098
7.36,0.8823217763565481,41.861815452575684,0.22895563649944964,31.743408203125,0.5792642831802368,-1.0,-1.0,-1.0,0.6667959690093994,-1.0,4.6748000383377075,0.6962032914161682,545007152.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.17591980099678,545000000.0,-1.0,13735190.0,81.7243881225586,1158601484.0,20430716.42578125,3544955.875,922076832.0,-1.0,-1.0,-1.0,75883204.0,8787304.0,1527620906.0,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2644.0,2361.0,4.0,62.0,58.0,67.0,41.0,54.0,48.0,90.0,545.0,2.0,35.4746550321579,3196.0,1.0,23.0,3.536122560501098
7.46,0.8823217763565481,41.861815452575684,0.22895563649944964,31.731689453125,0.5274551510810852,-1.0,-1.0,-1.0,0.6667959690093994,-1.0,4.6748000383377075,0.6780720353126526,545007152.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.17591980099678,545000000.0,-1.0,13735190.0,81.7243881225586,1158601484.0,20430716.42578125,3544955.875,922076832.0,-1.0,-1.0,-1.0,75883204.0,8617792.0,1527620906.0,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2644.0,2361.0,4.0,62.0,58.0,67.0,41.0,54.0,48.0,90.0,545.0,2.0,35.4746550321579,3196.0,1.0,23.0,3.536122560501098
7.56,0.8823217763565481,41.861815452575684,0.22895563649944964,32.432003021240234,0.6117741465568542,-1.0,-1.0,-1.0,0.6667959690093994,-1.0,4.6748000383377075,3.937130689620972,545007152.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.17591980099678,545000000.0,-1.0,13735190.0,81.7243881225586,1158601484.0,20430716.42578125,3544955.875,922076832.0,-1.0,-1.0,-1.0,75883204.0,8622292.0,1527620906.0,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2644.0,2361.0,4.0,62.0,58.0,67.0,41.0,54.0,48.0,90.0,545.0,2.0,35.4746550321579,3196.0,1.0,23.0,3.536122560501098
7.64,0.8823217763565481,41.861815452575684,0.22895563649944964,32.432003021240234,0.6117741465568542,-1.0,-1.0,-1.0,0.6667959690093994,-1.0,4.6748000383377075,3.937130689620972,545007152.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.17591980099678,545000000.0,-1.0,13735190.0,81.7243881225586,1158601484.0,20430716.42578125,3544955.875,922076832.0,-1.0,-1.0,-1.0,75883204.0,8622292.0,1527620906.0,6.972110748291016,461.0,36.0,11679.0,2.0,41.19922256469727,3375.0,2361.0,4.0,88.0,87.0,88.0,77.0,84.0,79.0,90.0,545.0,2.0,35.5197936296463,3196.0,1.0,23.0,3.352541923522949
7.66,0.8823217763565481,41.861815452575684,0.22895563649944964,31.678613662719727,0.5796481966972351,-1.0,-1.0,-1.0,0.6667959690093994,-1.0,4.6748000383377075,7.959280967712402,545007152.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.17591980099678,545000000.0,-1.0,13735190.0,81.7243881225586,1158601484.0,20430716.42578125,3544955.875,922076832.0,-1.0,-1.0,-1.0,75883204.0,8822954.0,1527620906.0,6.972110748291016,461.0,36.0,11679.0,2.0,41.19922256469727,3375.0,2361.0,4.0,88.0,87.0,88.0,77.0,84.0,79.0,90.0,545.0,2.0,35.5197936296463,3196.0,1.0,23.0,3.352541923522949
7.76,0.8823217763565481,41.861815452575684,0.22895563649944964,32.429283142089844,0.5358864068984985,-1.0,-1.0,-1.0,0.6667959690093994,-1.0,4.6748000383377075,6.983660697937012,545007152.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.17591980099678,545000000.0,-1.0,13735190.0,81.7243881225586,1158601484.0,20430716.42578125,3544955.875,922076832.0,-1.0,-1.0,-1.0,75883204.0,8818568.0,1527620906.0,6.972110748291016,461.0,36.0,11679.0,2.0,41.19922256469727,3375.0,2361.0,4.0,88.0,87.0,88.0,77.0,84.0,79.0,90.0,545.0,2.0,35.5197936296463,3196.0,1.0,23.0,3.352541923522949
7.81,0.8823217763565481,41.861815452575684,0.22895563649944964,32.429283142089844,0.5358864068984985,-1.0,-1.0,-1.0,0.6667959690093994,-1.0,4.6748000383377075,6.983660697937012,545007152.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.17591980099678,545000000.0,-1.0,13735190.0,81.7243881225586,1158601484.0,20430716.42578125,3544955.875,922076832.0,-1.0,-1.0,-1.0,75883204.0,8818568.0,1527620906.0,0.1689489483833313,121.0,2.0,6330.0,1.0,41.19922256469727,3375.0,2361.0,4.0,88.0,87.0,88.0,77.0,84.0,79.0,90.0,545.0,2.0,35.5197936296463,3196.0,1.0,4.0,3.352541923522949
