Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.0,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,20.840240478515625,32.45869445800781,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,0.3339497148990631,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6682294011116028,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,1379242496.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,912952576.0,87069521.33333333,6321234.5,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,7374601694.0,1920.0,4.0,67.0,67.0,72.0,49.0,46.0,53.0,90.0,545.0,2.0,35.94506084918976,2736.0,2.0,21.0,3.304023504257202
7.03,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,20.840240478515625,32.45869445800781,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,0.3339497148990631,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6682294011116028,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,1379242496.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,912952576.0,87069521.33333333,6321234.5,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,7673749718.0,1920.0,4.0,67.0,67.0,72.0,49.0,46.0,53.0,90.0,545.0,2.0,35.94506084918976,2736.0,2.0,21.0,3.304023504257202
7.04,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,20.840240478515625,32.45869445800781,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,0.3339497148990631,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6682294011116028,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,1379242496.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,912952576.0,87069521.33333333,6321234.5,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,7704303010.0,1920.0,4.0,67.0,67.0,72.0,49.0,46.0,53.0,90.0,545.0,2.0,35.94506084918976,2736.0,2.0,21.0,3.304023504257202
7.06,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,20.840240478515625,32.45869445800781,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,0.3339497148990631,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6682294011116028,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,1379242496.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,912952576.0,87069521.33333333,6321234.5,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,7734370056.0,1920.0,4.0,67.0,67.0,72.0,49.0,46.0,53.0,90.0,545.0,2.0,35.94506084918976,2736.0,2.0,21.0,3.304023504257202
7.07,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,20.840240478515625,32.45869445800781,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,0.3339497148990631,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.6682294011116028,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,1379242496.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,912952576.0,87069521.33333333,6321234.5,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,7764153472.0,1920.0,4.0,67.0,67.0,72.0,49.0,46.0,53.0,90.0,545.0,2.0,35.94506084918976,2736.0,2.0,21.0,3.304023504257202
7.08,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,20.97086334228516,31.730403900146484,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,0.3692553341388702,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.656984269618988,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,1383117440.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,915032576.0,87069521.33333333,6336004.0,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,7793774062.0,1920.0,4.0,67.0,67.0,72.0,49.0,46.0,53.0,90.0,545.0,2.0,35.94506084918976,2736.0,2.0,21.0,3.304023504257202
7.09,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,20.97086334228516,31.730403900146484,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,0.3692553341388702,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.656984269618988,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,1383117440.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,915032576.0,87069521.33333333,6336004.0,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,7823305381.0,1920.0,4.0,67.0,67.0,72.0,49.0,46.0,53.0,90.0,545.0,2.0,35.94506084918976,2736.0,2.0,21.0,3.304023504257202
7.11,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,20.97086334228516,31.730403900146484,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,0.3692553341388702,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.656984269618988,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,1383117440.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,915032576.0,87069521.33333333,6336004.0,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,7180168191.0,1920.0,4.0,67.0,67.0,72.0,49.0,46.0,53.0,90.0,545.0,2.0,35.94506084918976,2736.0,2.0,21.0,3.304023504257202
7.12,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,20.97086334228516,31.730403900146484,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,0.3692553341388702,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.656984269618988,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,1383117440.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,915032576.0,87069521.33333333,6336004.0,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,7210883267.0,1920.0,4.0,67.0,67.0,72.0,49.0,46.0,53.0,90.0,545.0,2.0,35.94506084918976,2736.0,2.0,21.0,3.304023504257202
7.13,39.51270294189453,27.137661616007488,0.44792481263478595,1.4642678101857503,21.24193795522054,50.06102752685547,41.70691998799642,0.08845691266469653,20.97086334228516,31.730403900146484,51.90541330973307,14.379117329915365,62.8710823059082,3.7955837845802307,0.3692553341388702,42.4200808207194,126.11064147949219,243.96437072753906,0.5912569959958395,0.2612736125787099,5.872079769770305,0.656984269618988,544899904.0,2.296172618865967,5.423913876215617,90211501397.33333,115312538965.33333,8000474112.0,-1.0,1383117440.0,46.138280073801674,545000000.0,0.1799821803967158,12955804.083333334,230.07433064778647,1086093184.0,21617003.416666668,3608999.625,849405674.6666666,-1.0,0.8840065797170004,915032576.0,87069521.33333333,6336004.0,1381660153.0364583,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2344.0,7242723934.0,1920.0,4.0,67.0,67.0,72.0,49.0,46.0,53.0,90.0,545.0,2.0,35.94506084918976,2736.0,2.0,21.0,3.304023504257202
