Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.07,0.7991224186761039,18.512503215244838,0.0287821357737162,31.72291755676269,0.2556981742382049,-1.0,-1.0,-1.0,0.41605739082608906,-1.0,3.1080147198268344,2.4436168670654297,544989686.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.93186066831861,545000000.0,-1.0,10844904.0,44.06337629045759,952513563.4285715,18496764.09779576,2642986.214285714,757875766.8571428,-1.0,-1.0,-1.0,75136011.42857143,6157244.5,1218479449.9754465,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2987.0,1920.0,4.0,58.0,60.0,59.0,36.0,41.0,47.0,90.0,545.0,3.0,34.45872962474823,3196.0,1.0,15.0,3.545552015304565
7.17,0.7991224186761039,18.512503215244838,0.0287821357737162,32.44609069824219,0.3246522545814514,-1.0,-1.0,-1.0,0.41605739082608906,-1.0,3.1080147198268344,12.244545936584473,544989686.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.93186066831861,545000000.0,-1.0,10844904.0,44.06337629045759,952513563.4285715,18496764.09779576,2642986.214285714,757875766.8571428,-1.0,-1.0,-1.0,75136011.42857143,6508673.5,1218479449.9754465,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2987.0,1920.0,4.0,58.0,60.0,59.0,36.0,41.0,47.0,90.0,545.0,3.0,34.45872962474823,3196.0,1.0,15.0,3.545552015304565
7.27,0.7991224186761039,18.512503215244838,0.0287821357737162,31.71066093444824,0.3075890243053436,-1.0,-1.0,-1.0,0.41605739082608906,-1.0,3.1080147198268344,6.144011974334717,544989686.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.93186066831861,545000000.0,-1.0,10844904.0,44.06337629045759,952513563.4285715,18496764.09779576,2642986.214285714,757875766.8571428,-1.0,-1.0,-1.0,75136011.42857143,6336219.5,1218479449.9754465,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2987.0,1920.0,4.0,58.0,60.0,59.0,36.0,41.0,47.0,90.0,545.0,3.0,34.45872962474823,3196.0,1.0,15.0,3.545552015304565
7.37,0.7991224186761039,18.512503215244838,0.0287821357737162,31.77403259277344,0.3269254863262176,-1.0,-1.0,-1.0,0.41605739082608906,-1.0,3.1080147198268344,6.366006374359131,544989686.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.93186066831861,545000000.0,-1.0,10844904.0,44.06337629045759,952513563.4285715,18496764.09779576,2642986.214285714,757875766.8571428,-1.0,-1.0,-1.0,75136011.42857143,6568585.5,1218479449.9754465,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2987.0,1920.0,4.0,58.0,60.0,59.0,36.0,41.0,47.0,90.0,545.0,3.0,34.45872962474823,3196.0,1.0,15.0,3.545552015304565
7.47,0.7991224186761039,18.512503215244838,0.0287821357737162,32.43588638305664,0.2793954610824585,-1.0,-1.0,-1.0,0.41605739082608906,-1.0,3.1080147198268344,7.789605617523193,544989686.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.93186066831861,545000000.0,-1.0,10844904.0,44.06337629045759,952513563.4285715,18496764.09779576,2642986.214285714,757875766.8571428,-1.0,-1.0,-1.0,75136011.42857143,6172010.5,1218479449.9754465,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2987.0,1920.0,4.0,58.0,60.0,59.0,36.0,41.0,47.0,90.0,545.0,3.0,34.45872962474823,3196.0,1.0,15.0,3.545552015304565
7.57,0.7991224186761039,18.512503215244838,0.0287821357737162,31.68674087524414,0.288853645324707,-1.0,-1.0,-1.0,0.41605739082608906,-1.0,3.1080147198268344,6.441182613372803,544989686.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.93186066831861,545000000.0,-1.0,10844904.0,44.06337629045759,952513563.4285715,18496764.09779576,2642986.214285714,757875766.8571428,-1.0,-1.0,-1.0,75136011.42857143,6545934.0,1218479449.9754465,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2987.0,1920.0,4.0,58.0,60.0,59.0,36.0,41.0,47.0,90.0,545.0,3.0,34.45872962474823,3196.0,1.0,15.0,3.545552015304565
7.67,0.7991224186761039,18.512503215244838,0.0287821357737162,32.47579574584961,0.3014017939567566,-1.0,-1.0,-1.0,0.41605739082608906,-1.0,3.1080147198268344,4.8370890617370605,544989686.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.93186066831861,545000000.0,-1.0,10844904.0,44.06337629045759,952513563.4285715,18496764.09779576,2642986.214285714,757875766.8571428,-1.0,-1.0,-1.0,75136011.42857143,6521191.5,1218479449.9754465,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2987.0,1920.0,4.0,58.0,60.0,59.0,36.0,41.0,47.0,90.0,545.0,3.0,34.45872962474823,3196.0,1.0,15.0,3.545552015304565
7.72,0.7991224186761039,18.512503215244838,0.0287821357737162,32.47579574584961,0.3014017939567566,-1.0,-1.0,-1.0,0.41605739082608906,-1.0,3.1080147198268344,4.8370890617370605,544989686.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.93186066831861,545000000.0,-1.0,10844904.0,44.06337629045759,952513563.4285715,18496764.09779576,2642986.214285714,757875766.8571428,-1.0,-1.0,-1.0,75136011.42857143,6521191.5,1218479449.9754465,0.8550679087638855,1134.0,451.0,12265.0,1.0,30.582963943481445,2987.0,1920.0,4.0,74.0,71.0,75.0,70.0,62.0,63.0,90.0,545.0,2.0,35.408273339271545,3196.0,1.0,6.0,3.293233633041382
7.76,0.7991224186761039,18.512503215244838,0.0287821357737162,32.47579574584961,0.3014017939567566,-1.0,-1.0,-1.0,0.41605739082608906,-1.0,3.1080147198268344,4.8370890617370605,544989686.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.93186066831861,545000000.0,-1.0,10844904.0,44.06337629045759,952513563.4285715,18496764.09779576,2642986.214285714,757875766.8571428,-1.0,-1.0,-1.0,75136011.42857143,6521191.5,1218479449.9754465,0.3694444298744201,136.0,2.0,6330.0,1.0,30.582963943481445,2987.0,1920.0,4.0,74.0,71.0,75.0,70.0,62.0,63.0,90.0,545.0,2.0,35.408273339271545,3196.0,1.0,5.0,3.293233633041382
7.77,0.7991224186761039,18.512503215244838,0.0287821357737162,31.75954818725586,0.3501229286193847,-1.0,-1.0,-1.0,0.41605739082608906,-1.0,3.1080147198268344,11.43023681640625,544989686.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.93186066831861,545000000.0,-1.0,10844904.0,44.06337629045759,952513563.4285715,18496764.09779576,2642986.214285714,757875766.8571428,-1.0,-1.0,-1.0,75136011.42857143,6355505.0,1218479449.9754465,0.3694444298744201,136.0,2.0,6330.0,1.0,30.582963943481445,2987.0,1920.0,4.0,74.0,71.0,75.0,70.0,62.0,63.0,90.0,545.0,2.0,35.408273339271545,3196.0,1.0,5.0,3.293233633041382
