Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.04,1.4709792931874592,54.06443532307943,0.3872114767630895,31.75615882873535,0.5807783603668213,-1.0,-1.0,-1.0,0.9439345995585123,-1.0,8.03618319829305,0.6776835918426514,544824533.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.050240834554035,545000000.0,-1.0,21547631.0,343.3146565755208,1706337536.0,36706046.0,53074407.25,1284706069.3333333,-1.0,-1.0,-1.0,149186794.66666666,7929070.0,2070511744.0,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2989.0,1920.0,4.0,75.0,74.0,76.0,72.0,65.0,70.0,90.0,545.0,2.0,35.61452627182007,2736.0,1.0,3.308476448059082
7.14,1.4709792931874592,54.06443532307943,0.3872114767630895,32.55099105834961,0.5771961808204651,-1.0,-1.0,-1.0,0.9439345995585123,-1.0,8.03618319829305,0.6506389379501343,544824533.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.050240834554035,545000000.0,-1.0,21547631.0,343.3146565755208,1706337536.0,36706046.0,53074407.25,1284706069.3333333,-1.0,-1.0,-1.0,149186794.66666666,7933251.0,2070511744.0,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2989.0,1920.0,4.0,75.0,74.0,76.0,72.0,65.0,70.0,90.0,545.0,2.0,35.61452627182007,2736.0,1.0,3.308476448059082
7.24,1.4709792931874592,54.06443532307943,0.3872114767630895,31.862340927124023,0.5821713805198669,-1.0,-1.0,-1.0,0.9439345995585123,-1.0,8.03618319829305,0.6606235504150391,544824533.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.050240834554035,545000000.0,-1.0,21547631.0,343.3146565755208,1706337536.0,36706046.0,53074407.25,1284706069.3333333,-1.0,-1.0,-1.0,149186794.66666666,7930231.0,2070511744.0,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2989.0,1920.0,4.0,75.0,74.0,76.0,72.0,65.0,70.0,90.0,545.0,2.0,35.61452627182007,2736.0,1.0,3.308476448059082
7.34,1.4709792931874592,54.06443532307943,0.3872114767630895,32.602333068847656,0.6376670598983765,-1.0,-1.0,-1.0,0.9439345995585123,-1.0,8.03618319829305,0.6581954956054688,544824533.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.050240834554035,545000000.0,-1.0,21547631.0,343.3146565755208,1706337536.0,36706046.0,53074407.25,1284706069.3333333,-1.0,-1.0,-1.0,149186794.66666666,7922957.5,2070511744.0,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2989.0,1920.0,4.0,75.0,74.0,76.0,72.0,65.0,70.0,90.0,545.0,2.0,35.61452627182007,2736.0,1.0,3.308476448059082
7.44,1.4709792931874592,54.06443532307943,0.3872114767630895,31.86504173278809,0.5739527344703674,-1.0,-1.0,-1.0,0.9439345995585123,-1.0,8.03618319829305,0.6332536339759827,544824533.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.050240834554035,545000000.0,-1.0,21547631.0,343.3146565755208,1706337536.0,36706046.0,53074407.25,1284706069.3333333,-1.0,-1.0,-1.0,149186794.66666666,8115289.0,2070511744.0,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2989.0,1920.0,4.0,75.0,74.0,76.0,72.0,65.0,70.0,90.0,545.0,2.0,35.61452627182007,2736.0,1.0,3.308476448059082
7.54,1.4709792931874592,54.06443532307943,0.3872114767630895,31.848819732666016,0.6028751134872437,-1.0,-1.0,-1.0,0.9439345995585123,-1.0,8.03618319829305,0.6474609971046448,544824533.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.050240834554035,545000000.0,-1.0,21547631.0,343.3146565755208,1706337536.0,36706046.0,53074407.25,1284706069.3333333,-1.0,-1.0,-1.0,149186794.66666666,7980353.0,2070511744.0,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2989.0,1920.0,4.0,75.0,74.0,76.0,72.0,65.0,70.0,90.0,545.0,2.0,35.61452627182007,2736.0,1.0,3.308476448059082
7.64,1.4709792931874592,54.06443532307943,0.3872114767630895,32.5374755859375,0.6028653979301453,-1.0,-1.0,-1.0,0.9439345995585123,-1.0,8.03618319829305,0.6486878991127014,544824533.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.050240834554035,545000000.0,-1.0,21547631.0,343.3146565755208,1706337536.0,36706046.0,53074407.25,1284706069.3333333,-1.0,-1.0,-1.0,149186794.66666666,7969302.5,2070511744.0,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2989.0,1920.0,4.0,75.0,74.0,76.0,72.0,65.0,70.0,90.0,545.0,2.0,35.61452627182007,2736.0,1.0,3.308476448059082
7.7,1.4709792931874592,54.06443532307943,0.3872114767630895,32.5374755859375,0.6028653979301453,-1.0,-1.0,-1.0,0.9439345995585123,-1.0,8.03618319829305,0.6486878991127014,544824533.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.050240834554035,545000000.0,-1.0,21547631.0,343.3146565755208,1706337536.0,36706046.0,53074407.25,1284706069.3333333,-1.0,-1.0,-1.0,149186794.66666666,7969302.5,2070511744.0,0.3739331364631653,1209.0,403.0,12117.0,2.0,41.38177490234375,2989.0,1920.0,4.0,80.0,79.0,77.0,77.0,81.0,81.0,90.0,545.0,2.0,35.32272279262543,2736.0,1.0,3.3623337745666504
7.74,1.4709792931874592,54.06443532307943,0.3872114767630895,31.75263214111328,0.5908249020576477,-1.0,-1.0,-1.0,0.9439345995585123,-1.0,8.03618319829305,0.6825594305992126,544824533.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.050240834554035,545000000.0,-1.0,21547631.0,343.3146565755208,1706337536.0,36706046.0,53074407.25,1284706069.3333333,-1.0,-1.0,-1.0,149186794.66666666,7927930.0,2070511744.0,0.3739331364631653,1209.0,403.0,12117.0,2.0,41.38177490234375,2989.0,1920.0,4.0,80.0,79.0,77.0,77.0,81.0,81.0,90.0,545.0,2.0,35.32272279262543,2736.0,1.0,3.3623337745666504
7.84,1.4709792931874592,54.06443532307943,0.3872114767630895,32.51136779785156,0.5594948530197144,-1.0,-1.0,-1.0,0.9439345995585123,-1.0,8.03618319829305,0.6620940566062927,544824533.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.050240834554035,545000000.0,-1.0,21547631.0,343.3146565755208,1706337536.0,36706046.0,53074407.25,1284706069.3333333,-1.0,-1.0,-1.0,149186794.66666666,8119519.5,2070511744.0,0.3739331364631653,1209.0,403.0,12117.0,2.0,41.38177490234375,2989.0,1920.0,4.0,80.0,79.0,77.0,77.0,81.0,81.0,90.0,545.0,2.0,35.32272279262543,2736.0,1.0,3.3623337745666504
