Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.0,58.99542617797852,41.00457382202149,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,23.72191619873047,22.81598854064941,81.02107747395833,22.82764498392741,93.49612426757812,6.50387716293335,0.9364117980003356,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.612842321395874,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1610078848.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,11491123.0,2634597333.3333335,1.3946160078048706,261.0,48.0,7872.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,55.0,54.0,53.0,39.0,37.0,40.0,90.0,545.0,2.0,25.19127130508423,0.6797651052474976,2736.0,2.0,73.0,2.2000622749328613
7.09,59.017372131347656,40.98262786865234,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,23.69004440307617,23.230052947998047,81.02107747395833,22.82764498392741,93.5025863647461,6.497409820556641,0.9542662501335144,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.6119468808174133,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1609922176.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,11494859.0,2634597333.3333335,1.3946160078048706,261.0,48.0,7872.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,55.0,54.0,53.0,39.0,37.0,40.0,90.0,545.0,2.0,25.19127130508423,0.6797651052474976,2736.0,2.0,73.0,2.2000622749328613
7.19,58.0029182434082,41.9970817565918,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.99586296081543,22.560264587402344,81.02107747395833,22.82764498392741,93.2881088256836,6.711893558502197,0.8765987753868103,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.6656056046485901,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1641946880.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,11794391.0,2634597333.3333335,1.3946160078048706,261.0,48.0,7872.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,55.0,54.0,53.0,39.0,37.0,40.0,90.0,545.0,2.0,25.19127130508423,0.6797651052474976,2736.0,2.0,73.0,2.2000622749328613
7.23,58.0029182434082,41.9970817565918,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.99586296081543,22.560264587402344,81.02107747395833,22.82764498392741,93.2881088256836,6.711893558502197,0.8765987753868103,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.6656056046485901,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1641946880.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,11794391.0,2634597333.3333335,0.2286133915185928,105.0,2.0,6330.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,55.0,54.0,53.0,39.0,37.0,40.0,90.0,545.0,2.0,25.19127130508423,0.6797651052474976,2736.0,2.0,73.0,2.2000622749328613
7.3,56.973392486572266,43.05864715576172,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,22.42530059814453,22.630619049072266,81.02107747395833,22.82764498392741,93.66829681396484,6.331703186035156,0.8748837113380432,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.7539806962013245,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1676089856.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,11524226.0,2634597333.3333335,0.2286133915185928,105.0,2.0,6330.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,55.0,54.0,53.0,39.0,37.0,40.0,90.0,545.0,2.0,25.19127130508423,0.6797651052474976,2736.0,2.0,73.0,2.2000622749328613
7.4,56.81257247924805,43.15547561645508,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,22.39767265319824,22.21361541748047,81.02107747395833,22.82764498392741,93.68955993652344,6.310442924499512,0.8804180026054382,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,10.974298477172852,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1682105856.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,11482064.0,2634597333.3333335,0.2286133915185928,105.0,2.0,6330.0,1.0,23.017717361450195,3050.0,5927994216.0,1920.0,3.0,55.0,54.0,53.0,39.0,37.0,40.0,90.0,545.0,2.0,25.19127130508423,0.6797651052474976,2736.0,2.0,73.0,2.2000622749328613
7.47,56.81257247924805,43.15547561645508,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,22.39767265319824,22.21361541748047,81.02107747395833,22.82764498392741,93.68955993652344,6.310442924499512,0.8804180026054382,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,10.974298477172852,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1682105856.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,11482064.0,2634597333.3333335,1.5050179958343506,1050.0,455.0,12257.0,7.0,17.408565521240234,3050.0,5927994216.0,1920.0,3.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,2.0,24.07851219177246,0.6797651052474976,2736.0,2.0,73.0,2.194732427597046
7.5,56.45710754394531,43.54289245605469,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,21.8603572845459,22.09998893737793,81.02107747395833,22.82764498392741,93.45535278320312,6.544647693634033,0.8698448538780212,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,18.34811210632324,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1690094848.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,11674838.0,2634597333.3333335,1.5050179958343506,1050.0,455.0,12257.0,7.0,17.408565521240234,3050.0,5927994216.0,1920.0,3.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,2.0,24.07851219177246,0.6797651052474976,2736.0,2.0,73.0,2.194732427597046
7.6,59.01022338867188,40.989776611328125,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,23.56667137145996,23.24034881591797,81.02107747395833,22.82764498392741,93.55496215820312,6.445038318634033,1.0242464542388916,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.5739569664001465,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1608839424.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,11379470.0,2634597333.3333335,1.5050179958343506,1050.0,455.0,12257.0,7.0,17.408565521240234,3050.0,5927994216.0,1920.0,3.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,2.0,24.07851219177246,0.6797651052474976,2736.0,2.0,73.0,2.194732427597046
7.68,59.01022338867188,40.989776611328125,1.596661593232836,1.9523659745852153,36.72377395629883,85.88086446126302,0.3099057873090108,23.56667137145996,23.24034881591797,81.02107747395833,22.82764498392741,93.55496215820312,6.445038318634033,1.0242464542388916,-1.0,166.83159383138022,305.44056193033856,1.038461685180664,0.40839656194051105,6.657033125559489,0.5739569664001465,545038784.0,3.6075422763824463,6.99022118250529,186327203840.0,-1.0,16873926997.333334,-1.0,1608839424.0,24.0772647857666,545000000.0,0.26698717474937433,22191365.333333332,102.88713727678571,2092137344.0,44005317.333333336,4014141.5833333335,1766121642.6666667,-1.0,0.9375238219896952,-1.0,154049402.66666666,11379470.0,2634597333.3333335,1.5050179958343506,1050.0,455.0,12257.0,7.0,17.408565521240234,3050.0,5927994216.0,1920.0,3.0,63.0,63.0,64.0,56.0,46.0,43.0,90.0,545.0,2.0,24.07851219177246,0.6797651052474976,2736.0,2.0,73.0,2.194732427597046
