Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.0,0.660690151154995,30.454926013946533,0.002474030305165775,32.467926025390625,0.5785341858863831,-1.0,-1.0,-1.0,0.4371982663869858,-1.0,3.2511696815490723,7.1544928550720215,544944864.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.82240676879883,545000000.0,-1.0,5849614.75,66.02112579345703,515904568.0,9430095.278320312,2096754.5625,372198240.0,-1.0,-1.0,-1.0,37219434.5,7870239.0,622275120.5859375,1.57812237739563,98.0,2.0,6691.0,1.0,21.32433319091797,2806.0,1920.0,4.0,62.0,58.0,61.0,42.0,35.0,32.0,90.0,545.0,3.0,28.612717986106876,3196.0,1.0,3.0267834663391118
7.11,0.660690151154995,30.454926013946533,0.002474030305165775,31.71386337280273,0.5688366889953613,-1.0,-1.0,-1.0,0.4371982663869858,-1.0,3.2511696815490723,7.7428388595581055,544944864.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.82240676879883,545000000.0,-1.0,5849614.75,66.02112579345703,515904568.0,9430095.278320312,2096754.5625,372198240.0,-1.0,-1.0,-1.0,37219434.5,7942052.5,622275120.5859375,1.57812237739563,98.0,2.0,6691.0,1.0,21.32433319091797,2806.0,1920.0,4.0,62.0,58.0,61.0,42.0,35.0,32.0,90.0,545.0,3.0,28.612717986106876,3196.0,1.0,3.0267834663391118
7.21,0.660690151154995,30.454926013946533,0.002474030305165775,31.705078125,0.533229649066925,-1.0,-1.0,-1.0,0.4371982663869858,-1.0,3.2511696815490723,9.309002876281738,544944864.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.82240676879883,545000000.0,-1.0,5849614.75,66.02112579345703,515904568.0,9430095.278320312,2096754.5625,372198240.0,-1.0,-1.0,-1.0,37219434.5,7896915.0,622275120.5859375,1.57812237739563,98.0,2.0,6691.0,1.0,21.32433319091797,2806.0,1920.0,4.0,62.0,58.0,61.0,42.0,35.0,32.0,90.0,545.0,3.0,28.612717986106876,3196.0,1.0,3.0267834663391118
7.31,0.660690151154995,30.454926013946533,0.002474030305165775,32.47428512573242,0.5584735870361328,-1.0,-1.0,-1.0,0.4371982663869858,-1.0,3.2511696815490723,6.050713062286377,544944864.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.82240676879883,545000000.0,-1.0,5849614.75,66.02112579345703,515904568.0,9430095.278320312,2096754.5625,372198240.0,-1.0,-1.0,-1.0,37219434.5,7843222.0,622275120.5859375,1.57812237739563,98.0,2.0,6691.0,1.0,21.32433319091797,2806.0,1920.0,4.0,62.0,58.0,61.0,42.0,35.0,32.0,90.0,545.0,3.0,28.612717986106876,3196.0,1.0,3.0267834663391118
7.37,0.660690151154995,30.454926013946533,0.002474030305165775,32.47428512573242,0.5584735870361328,-1.0,-1.0,-1.0,0.4371982663869858,-1.0,3.2511696815490723,6.050713062286377,544944864.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.82240676879883,545000000.0,-1.0,5849614.75,66.02112579345703,515904568.0,9430095.278320312,2096754.5625,372198240.0,-1.0,-1.0,-1.0,37219434.5,7843222.0,622275120.5859375,1.57812237739563,1088.0,451.0,12264.0,2.0,29.573326110839844,2806.0,1920.0,4.0,95.0,94.0,95.0,84.0,84.0,85.0,90.0,545.0,2.0,34.15243327617645,3196.0,11.0,3.380678415298462
7.4,0.660690151154995,30.454926013946533,0.002474030305165775,32.47428512573242,0.5584735870361328,-1.0,-1.0,-1.0,0.4371982663869858,-1.0,3.2511696815490723,6.050713062286377,544944864.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.82240676879883,545000000.0,-1.0,5849614.75,66.02112579345703,515904568.0,9430095.278320312,2096754.5625,372198240.0,-1.0,-1.0,-1.0,37219434.5,7843222.0,622275120.5859375,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2806.0,1920.0,4.0,95.0,94.0,95.0,84.0,84.0,85.0,90.0,545.0,2.0,34.15243327617645,3196.0,1.0,3.380678415298462
7.41,0.660690151154995,30.454926013946533,0.002474030305165775,31.6875,0.5266760587692261,-1.0,-1.0,-1.0,0.4371982663869858,-1.0,3.2511696815490723,8.294804573059082,544944864.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.82240676879883,545000000.0,-1.0,5849614.75,66.02112579345703,515904568.0,9430095.278320312,2096754.5625,372198240.0,-1.0,-1.0,-1.0,37219434.5,7941286.5,622275120.5859375,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2806.0,1920.0,4.0,95.0,94.0,95.0,84.0,84.0,85.0,90.0,545.0,2.0,34.15243327617645,3196.0,1.0,3.380678415298462
7.48,0.660690151154995,30.454926013946533,0.002474030305165775,31.6875,0.5266760587692261,-1.0,-1.0,-1.0,0.4371982663869858,-1.0,3.2511696815490723,8.294804573059082,544944864.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.82240676879883,545000000.0,-1.0,5849614.75,66.02112579345703,515904568.0,9430095.278320312,2096754.5625,372198240.0,-1.0,-1.0,-1.0,37219434.5,7941286.5,622275120.5859375,0.2040176093578338,98.0,2.0,6691.0,1.0,21.32433319091797,2806.0,1920.0,4.0,95.0,94.0,95.0,84.0,84.0,85.0,90.0,545.0,2.0,34.15243327617645,3196.0,10.0,3.380678415298462
7.51,0.660690151154995,30.454926013946533,0.002474030305165775,32.453025817871094,0.5649867653846741,-1.0,-1.0,-1.0,0.4371982663869858,-1.0,3.2511696815490723,8.946636199951172,544944864.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.82240676879883,545000000.0,-1.0,5849614.75,66.02112579345703,515904568.0,9430095.278320312,2096754.5625,372198240.0,-1.0,-1.0,-1.0,37219434.5,7935155.0,622275120.5859375,0.2040176093578338,98.0,2.0,6691.0,1.0,21.32433319091797,2806.0,1920.0,4.0,95.0,94.0,95.0,84.0,84.0,85.0,90.0,545.0,2.0,34.15243327617645,3196.0,10.0,3.380678415298462
7.61,0.660690151154995,30.454926013946533,0.002474030305165775,31.70391273498535,0.5524158477783203,-1.0,-1.0,-1.0,0.4371982663869858,-1.0,3.2511696815490723,7.719374179840088,544944864.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.82240676879883,545000000.0,-1.0,5849614.75,66.02112579345703,515904568.0,9430095.278320312,2096754.5625,372198240.0,-1.0,-1.0,-1.0,37219434.5,8203976.5,622275120.5859375,0.2040176093578338,98.0,2.0,6691.0,1.0,21.32433319091797,2806.0,1920.0,4.0,95.0,94.0,95.0,84.0,84.0,85.0,90.0,545.0,2.0,34.15243327617645,3196.0,10.0,3.380678415298462
