Time (s),% Linear Filtered,% Nearest Filtered,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.0,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,20.272104263305664,31.71842384338379,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,0.5418661832809448,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,4.680054664611816,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,1873772800.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,1102248832.0,105313896.66666667,8816510.0,1951497874.6666667,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2354.0,7638284581.0,2361.0,4.0,77.0,76.0,77.0,69.0,67.0,69.0,90.0,545.0,2.0,30.836623907089237,3196.0,1.0,3.2774581909179688
7.01,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,20.272104263305664,31.71842384338379,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,0.5418661832809448,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,4.680054664611816,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,1873772800.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,1102248832.0,105313896.66666667,8816510.0,1951497874.6666667,0.2040176093578338,375.0,45.0,11717.0,2.0,30.63420867919922,2354.0,7667033193.0,2361.0,4.0,91.0,89.0,89.0,81.0,86.0,90.0,90.0,545.0,2.0,35.78480780124664,3196.0,1.0,3.378526210784912
7.02,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,20.272104263305664,31.71842384338379,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,0.5418661832809448,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,4.680054664611816,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,1873772800.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,1102248832.0,105313896.66666667,8816510.0,1951497874.6666667,0.2040176093578338,375.0,45.0,11717.0,2.0,30.63420867919922,2354.0,6679566997.0,2361.0,4.0,91.0,89.0,89.0,81.0,86.0,90.0,90.0,545.0,2.0,35.78480780124664,3196.0,1.0,3.378526210784912
7.03,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,19.137432098388672,32.49757385253906,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,0.5584326982498169,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,7.699423313140869,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,1873671168.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,1102608128.0,105313896.66666667,8823224.0,1951497874.6666667,0.2040176093578338,375.0,45.0,11717.0,2.0,30.63420867919922,2354.0,6704562502.0,2361.0,4.0,91.0,89.0,89.0,81.0,86.0,90.0,90.0,545.0,2.0,35.78480780124664,3196.0,1.0,3.378526210784912
7.04,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,19.137432098388672,32.49757385253906,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,0.5584326982498169,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,7.699423313140869,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,1873671168.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,1102608128.0,105313896.66666667,8823224.0,1951497874.6666667,0.2040176093578338,375.0,45.0,11717.0,2.0,30.63420867919922,2354.0,7306749728.0,2361.0,4.0,91.0,89.0,89.0,81.0,86.0,90.0,90.0,545.0,2.0,35.78480780124664,3196.0,1.0,3.378526210784912
7.05,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,19.137432098388672,32.49757385253906,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,0.5584326982498169,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,7.699423313140869,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,1873671168.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,1102608128.0,105313896.66666667,8823224.0,1951497874.6666667,0.2040176093578338,102.0,2.0,6691.0,1.0,30.63420867919922,2354.0,7325587705.0,2361.0,4.0,91.0,89.0,89.0,81.0,86.0,90.0,90.0,545.0,2.0,35.78480780124664,3196.0,12.0,3.378526210784912
7.06,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,19.137432098388672,32.49757385253906,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,0.5584326982498169,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,7.699423313140869,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,1873671168.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,1102608128.0,105313896.66666667,8823224.0,1951497874.6666667,0.2040176093578338,102.0,2.0,6691.0,1.0,30.63420867919922,2354.0,7725026232.0,2361.0,4.0,91.0,89.0,89.0,81.0,86.0,90.0,90.0,545.0,2.0,35.78480780124664,3196.0,12.0,3.378526210784912
7.07,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,19.137432098388672,32.49757385253906,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,0.5584326982498169,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,7.699423313140869,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,1873671168.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,1102608128.0,105313896.66666667,8823224.0,1951497874.6666667,0.2040176093578338,102.0,2.0,6691.0,1.0,30.63420867919922,2354.0,7752105084.0,2361.0,4.0,91.0,89.0,89.0,81.0,86.0,90.0,90.0,545.0,2.0,35.78480780124664,3196.0,12.0,3.378526210784912
7.08,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,19.137432098388672,32.49757385253906,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,0.5584326982498169,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,7.699423313140869,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,1873671168.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,1102608128.0,105313896.66666667,8823224.0,1951497874.6666667,0.2040176093578338,102.0,2.0,6691.0,1.0,30.63420867919922,2354.0,7779713921.0,2361.0,4.0,91.0,89.0,89.0,81.0,86.0,90.0,90.0,545.0,2.0,35.78480780124664,3196.0,12.0,3.378526210784912
7.09,39.24595642089844,27.42071024576823,1.4607785940170288,55.86743354797363,52.73043425877889,57.049856185913086,0.0844237642983595,19.137432098388672,32.49757385253906,54.69962469736735,14.662946909666063,63.7785898844401,36.221409956614174,0.5584326982498169,42.575035095214844,148.95208231608072,208.7125040690104,0.9279718995094299,0.25639600555102027,6.460654576619466,7.699423313140869,545634005.3333334,2.316777149836222,4.835607886314392,125170559658.66667,159689495893.33334,11119542954.666666,-1.0,1873671168.0,16.77680548032125,545000000.0,0.17633119225502014,16051592.5,63.4153086344401,1447508224.0,29570024.583333332,4644863.458333333,1162588117.3333333,-1.0,0.6400278608004252,1102608128.0,105313896.66666667,8823224.0,1951497874.6666667,0.2040176093578338,102.0,2.0,6691.0,1.0,30.63420867919922,2354.0,7808068477.0,2361.0,4.0,91.0,89.0,89.0,81.0,86.0,90.0,90.0,545.0,2.0,35.78480780124664,3196.0,12.0,3.378526210784912
