Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.01,66.74447631835938,33.24786758422852,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.866512298583984,0.882291853427887,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,54.85023498535156,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,202393763840.0,3481205248.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.235884189605713,-1.0,-1.0,76234068.8,15306995.0,1741143952.159375,0.2514450550079345,986.0,460.0,12211.0,7.0,17.552898406982422,3054.0,1920.0,4.0,72.0,72.0,76.0,61.0,68.0,58.0,90.0,545.0,2.0,40.96246659755707,0.5632402896881104,2736.0,1.0,81.0,4.522982120513916
7.06,66.79466247558594,33.20388412475586,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,23.020545959472656,0.8724550604820251,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,31.7799129486084,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,203428806656.0,3513157376.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.2320553064346311,-1.0,-1.0,76234068.8,15534521.0,1741143952.159375,0.2514450550079345,986.0,460.0,12211.0,7.0,17.552898406982422,3054.0,1920.0,4.0,72.0,72.0,76.0,61.0,68.0,58.0,90.0,545.0,2.0,40.96246659755707,0.5632402896881104,2736.0,1.0,81.0,4.522982120513916
7.16,66.80369567871094,33.18848419189453,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.778478622436523,0.8624371886253357,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,48.86544036865234,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,204316262400.0,3518508800.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.237405776977539,-1.0,-1.0,76234068.8,15358005.0,1741143952.159375,0.2514450550079345,986.0,460.0,12211.0,7.0,17.552898406982422,3054.0,1920.0,4.0,72.0,72.0,76.0,61.0,68.0,58.0,90.0,545.0,2.0,40.96246659755707,0.5632402896881104,2736.0,1.0,81.0,4.522982120513916
7.26,66.84871673583984,33.15339660644531,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.813138961791992,0.8851636052131653,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,32.22476577758789,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,203053875200.0,3508743168.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.2321786880493164,-1.0,-1.0,76234068.8,15502551.0,1741143952.159375,0.2514450550079345,986.0,460.0,12211.0,7.0,17.552898406982422,3054.0,1920.0,4.0,72.0,72.0,76.0,61.0,68.0,58.0,90.0,545.0,2.0,40.96246659755707,0.5632402896881104,2736.0,1.0,81.0,4.522982120513916
7.36,66.7265853881836,33.27459716796875,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,23.009618759155277,0.8917780518531799,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,41.361366271972656,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,204515131392.0,3514876928.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.2371028661727903,-1.0,-1.0,76234068.8,15359542.0,1741143952.159375,0.2514450550079345,986.0,460.0,12211.0,7.0,17.552898406982422,3054.0,1920.0,4.0,72.0,72.0,76.0,61.0,68.0,58.0,90.0,545.0,2.0,40.96246659755707,0.5632402896881104,2736.0,1.0,81.0,4.522982120513916
7.46,67.50496673583984,32.48670959472656,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.282041549682617,1.1278119087219238,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,64.24632263183594,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,222230806528.0,2348319744.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,1.8823928833007808,-1.0,-1.0,76234068.8,10443963.0,1741143952.159375,0.2514450550079345,986.0,460.0,12211.0,7.0,17.552898406982422,3054.0,1920.0,4.0,72.0,72.0,76.0,61.0,68.0,58.0,90.0,545.0,2.0,40.96246659755707,0.5632402896881104,2736.0,1.0,81.0,4.522982120513916
7.56,67.63289642333984,32.36077880859375,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.40431785583496,1.3756892681121826,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,92.49166870117188,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,240954687488.0,2105318400.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,2.105560302734375,-1.0,-1.0,76234068.8,8583970.0,1741143952.159375,0.3492210507392883,287.0,48.0,7856.0,1.0,31.0072021484375,3054.0,1920.0,4.0,72.0,72.0,76.0,61.0,68.0,58.0,90.0,545.0,2.0,40.96246659755707,0.5632402896881104,2736.0,1.0,20.0,4.522982120513916
7.66,67.70250701904297,32.29559326171875,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.19941711425781,1.363119125366211,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,89.37165832519531,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,242491375616.0,2128034816.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,2.085517883300781,-1.0,-1.0,76234068.8,8586624.0,1741143952.159375,0.3492210507392883,287.0,48.0,7856.0,1.0,31.0072021484375,3054.0,1920.0,4.0,72.0,72.0,76.0,61.0,68.0,58.0,90.0,545.0,2.0,40.96246659755707,0.5632402896881104,2736.0,1.0,20.0,4.522982120513916
7.76,67.70076751708984,32.2974967956543,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.239524841308597,1.3663054704666138,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,75.94215393066406,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,242319163392.0,2126416640.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,2.0854151248931885,-1.0,-1.0,76234068.8,8772418.0,1741143952.159375,0.3492210507392883,287.0,48.0,7856.0,1.0,31.0072021484375,3054.0,1920.0,4.0,72.0,72.0,76.0,61.0,68.0,58.0,90.0,545.0,2.0,40.96246659755707,0.5632402896881104,2736.0,1.0,20.0,4.522982120513916
7.79,67.70076751708984,32.2974967956543,0.4066294193267822,0.7308110952377318,25.66518211364746,0.11452862024307249,22.239524841308597,1.3663054704666138,-1.0,-1.0,247.6029052734375,0.561599588394165,0.23308915495872498,3.5467923164367674,75.94215393066406,545009036.8,1.8319355964660644,5.12273268699646,77184734003.2,-1.0,8516981452.8,242319163392.0,2126416640.0,58.435027313232425,545000000.0,0.1776907742023468,12614512.8,99.82792445591518,1217835520.0,24152754.6,3420099.05,1036055398.4,2.0854151248931885,-1.0,-1.0,76234068.8,8772418.0,1741143952.159375,0.3673344850540161,106.0,2.0,6313.0,1.0,31.0072021484375,3054.0,1920.0,4.0,72.0,72.0,76.0,61.0,68.0,58.0,90.0,545.0,2.0,40.96246659755707,0.5632402896881104,2736.0,1.0,4.0,4.522982120513916
