Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.0,77.7144546508789,22.280542373657227,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,18.45351219177246,24.964982986450195,97.16502380371094,2.8349738121032715,0.3433160781860351,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,37.218299865722656,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,181989146624.0,1730619392.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,1.7909411191940308,0.8571939468383789,1206166144.0,75024368.0,8993269.0,1374335263.1614583,0.8562883734703064,104.0,2.0,6330.0,1.0,26.51882553100586,2778.0,8281534250.0,1920.0,3.0,57.0,57.0,63.0,31.0,55.0,36.0,90.0,545.0,2.0,24.57893043756485,0.7056052684783936,2736.0,1.0,1.0,2.206752061843872
7.03,77.7144546508789,22.280542373657227,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,18.45351219177246,24.964982986450195,97.16502380371094,2.8349738121032715,0.3433160781860351,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,37.218299865722656,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,181989146624.0,1730619392.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,1.7909411191940308,0.8571939468383789,1206166144.0,75024368.0,8993269.0,1374335263.1614583,0.8562883734703064,104.0,2.0,6330.0,1.0,26.51882553100586,2778.0,8333018983.0,1920.0,3.0,57.0,57.0,63.0,31.0,55.0,36.0,90.0,545.0,2.0,24.57893043756485,0.7056052684783936,2736.0,1.0,1.0,2.206752061843872
7.04,77.23860168457031,22.756282806396484,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,19.223373413085938,25.383750915527344,97.50057220458984,2.49942398071289,0.2614680528640747,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,2.372446298599243,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,170038919168.0,1394746624.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,2.129899740219116,0.8571939468383789,919638272.0,75024368.0,7296143.5,1374335263.1614583,0.8562883734703064,104.0,2.0,6330.0,1.0,26.51882553100586,2778.0,8333018983.0,1920.0,3.0,57.0,57.0,63.0,31.0,55.0,36.0,90.0,545.0,2.0,24.57893043756485,0.7056052684783936,2736.0,1.0,1.0,2.206752061843872
7.05,77.23860168457031,22.756282806396484,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,19.223373413085938,25.383750915527344,97.50057220458984,2.49942398071289,0.2614680528640747,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,2.372446298599243,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,170038919168.0,1394746624.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,2.129899740219116,0.8571939468383789,919638272.0,75024368.0,7296143.5,1374335263.1614583,0.8562883734703064,104.0,2.0,6330.0,1.0,26.51882553100586,2778.0,8386375798.0,1920.0,3.0,57.0,57.0,63.0,31.0,55.0,36.0,90.0,545.0,2.0,24.57893043756485,0.7056052684783936,2736.0,1.0,1.0,2.206752061843872
7.06,77.23860168457031,22.756282806396484,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,19.223373413085938,25.383750915527344,97.50057220458984,2.49942398071289,0.2614680528640747,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,2.372446298599243,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,170038919168.0,1394746624.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,2.129899740219116,0.8571939468383789,919638272.0,75024368.0,7296143.5,1374335263.1614583,0.8562883734703064,104.0,2.0,6330.0,1.0,26.51882553100586,2778.0,8414437680.0,1920.0,3.0,57.0,57.0,63.0,31.0,55.0,36.0,90.0,545.0,2.0,24.57893043756485,0.7056052684783936,2736.0,1.0,1.0,2.206752061843872
7.07,77.23860168457031,22.756282806396484,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,19.223373413085938,25.383750915527344,97.50057220458984,2.49942398071289,0.2614680528640747,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,2.372446298599243,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,170038919168.0,1394746624.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,2.129899740219116,0.8571939468383789,919638272.0,75024368.0,7296143.5,1374335263.1614583,0.8562883734703064,104.0,2.0,6330.0,1.0,26.51882553100586,2778.0,6538096234.0,1920.0,3.0,57.0,57.0,63.0,31.0,55.0,36.0,90.0,545.0,2.0,24.57893043756485,0.7056052684783936,2736.0,1.0,1.0,2.206752061843872
7.08,77.23860168457031,22.756282806396484,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,19.223373413085938,25.383750915527344,97.50057220458984,2.49942398071289,0.2614680528640747,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,2.372446298599243,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,170038919168.0,1394746624.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,2.129899740219116,0.8571939468383789,919638272.0,75024368.0,7296143.5,1374335263.1614583,18.54448890686035,1067.0,454.0,12241.0,7.0,17.21940803527832,2778.0,6538096234.0,1920.0,4.0,69.0,68.0,70.0,52.0,55.0,49.0,90.0,545.0,5.0,29.701539874076843,0.7056052684783936,2736.0,1.0,77.0,3.894439458847046
7.09,77.23860168457031,22.756282806396484,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,19.223373413085938,25.383750915527344,97.50057220458984,2.49942398071289,0.2614680528640747,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,2.372446298599243,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,170038919168.0,1394746624.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,2.129899740219116,0.8571939468383789,919638272.0,75024368.0,7296143.5,1374335263.1614583,18.54448890686035,1067.0,454.0,12241.0,7.0,17.21940803527832,2778.0,6567510686.0,1920.0,4.0,69.0,68.0,70.0,52.0,55.0,49.0,90.0,545.0,5.0,29.701539874076843,0.7056052684783936,2736.0,1.0,77.0,3.894439458847046
7.1,77.23860168457031,22.756282806396484,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,19.223373413085938,25.383750915527344,97.50057220458984,2.49942398071289,0.2614680528640747,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,2.372446298599243,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,170038919168.0,1394746624.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,2.129899740219116,0.8571939468383789,919638272.0,75024368.0,7296143.5,1374335263.1614583,18.54448890686035,1067.0,454.0,12241.0,7.0,17.21940803527832,2778.0,6595101519.0,1920.0,4.0,69.0,68.0,70.0,52.0,55.0,49.0,90.0,545.0,5.0,29.701539874076843,0.7056052684783936,2736.0,1.0,77.0,3.894439458847046
7.12,77.23860168457031,22.756282806396484,1.210752214704241,1.4665056268374126,21.179636001586914,40.4741595586141,47.69365946451823,0.2930676178851475,19.223373413085938,25.383750915527344,97.50057220458984,2.49942398071289,0.2614680528640747,-1.0,123.48187255859375,207.05017598470053,0.6777724027633667,0.19854244589805603,7.1278460423151655,2.372446298599243,545005696.0,-1.0,-1.0,89397040469.33333,113687562922.66667,7968178858.666667,170038919168.0,1394746624.0,47.429649432500206,545000000.0,0.13431782027085623,10351589.833333334,100.55750819614956,994195601.3333334,20409120.666666668,2430307.9166666665,834311112.4166666,2.129899740219116,0.8571939468383789,919638272.0,75024368.0,7296143.5,1374335263.1614583,18.54448890686035,1067.0,454.0,12241.0,7.0,17.21940803527832,2778.0,6621023422.0,1920.0,4.0,69.0,68.0,70.0,52.0,55.0,49.0,90.0,545.0,5.0,29.701539874076843,0.7056052684783936,2736.0,1.0,77.0,3.894439458847046
