Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.0,67.9399642944336,32.06003952026367,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,22.282838821411133,31.77998924255371,97.11293029785156,2.88706636428833,0.5388838052749634,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,7.41188383102417,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,1896920960.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,1.1599193811416626,0.935016393661499,981715264.0,133308829.33333333,7603009.0,1951460309.0833333,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3056.0,2361.0,3.0,56.0,56.0,59.0,42.0,54.0,42.0,72.0,545.0,2.0,21.23887985944748,3196.0,2.0,40.0,2.203092575073242
7.04,67.91211700439453,32.0878791809082,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,22.545061111450195,31.775611877441406,97.08331298828124,2.9166879653930664,0.5277679562568665,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,0.6454756855964661,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,1873437696.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,1.1493241786956787,0.935016393661499,969116160.0,133308829.33333333,7616540.5,1951460309.0833333,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3056.0,2361.0,3.0,56.0,56.0,59.0,42.0,54.0,42.0,72.0,545.0,2.0,21.23887985944748,3196.0,2.0,40.0,2.203092575073242
7.14,67.8053970336914,32.194602966308594,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,23.64942169189453,32.31242370605469,96.55191040039062,3.448087215423584,0.5524386763572693,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,6.315347194671631,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,1962353536.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,1.0911849737167358,0.935016393661499,1057332992.0,133308829.33333333,8969697.0,1951460309.0833333,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3056.0,2361.0,3.0,56.0,56.0,59.0,42.0,54.0,42.0,72.0,545.0,2.0,21.23887985944748,3196.0,2.0,40.0,2.203092575073242
7.23,67.8053970336914,32.194602966308594,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,23.64942169189453,32.31242370605469,96.55191040039062,3.448087215423584,0.5524386763572693,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,6.315347194671631,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,1962353536.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,1.0911849737167358,0.935016393661499,1057332992.0,133308829.33333333,8969697.0,1951460309.0833333,1.0412615537643433,1044.0,447.0,12125.0,2.0,34.0609245300293,3056.0,2361.0,4.0,95.0,96.0,94.0,80.0,94.0,87.0,90.0,545.0,2.0,25.837385654449463,3196.0,2.0,43.0,3.3046586513519287
7.24,67.6190185546875,32.380977630615234,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,26.164386749267575,31.392698287963867,95.97946166992188,4.020536422729492,0.5215684771537781,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,4.002376079559326,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2080834176.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,1.0256801843643188,0.935016393661499,1091665024.0,133308829.33333333,10687181.0,1951460309.0833333,1.0412615537643433,1044.0,447.0,12125.0,2.0,34.0609245300293,3056.0,2361.0,4.0,95.0,96.0,94.0,80.0,94.0,87.0,90.0,545.0,2.0,25.837385654449463,3196.0,2.0,43.0,3.3046586513519287
7.27,67.6190185546875,32.380977630615234,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,26.164386749267575,31.392698287963867,95.97946166992188,4.020536422729492,0.5215684771537781,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,4.002376079559326,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2080834176.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,1.0256801843643188,0.935016393661499,1091665024.0,133308829.33333333,10687181.0,1951460309.0833333,0.2016940861940384,103.0,2.0,6313.0,1.0,34.0609245300293,3056.0,2361.0,4.0,95.0,96.0,94.0,80.0,94.0,87.0,90.0,545.0,2.0,25.837385654449463,3196.0,2.0,8.0,3.3046586513519287
7.34,67.60870361328125,32.39129638671875,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,25.662437438964844,31.51094627380371,96.16551208496094,3.834488868713379,0.5325866341590881,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,0.6645087003707886,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2080883200.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,1.0254276990890503,0.935016393661499,1078310400.0,133308829.33333333,10317265.0,1951460309.0833333,0.2016940861940384,103.0,2.0,6313.0,1.0,34.0609245300293,3056.0,2361.0,4.0,95.0,96.0,94.0,80.0,94.0,87.0,90.0,545.0,2.0,25.837385654449463,3196.0,2.0,8.0,3.3046586513519287
7.44,67.70191955566406,32.2980842590332,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,22.997093200683597,32.45317077636719,96.81063842773438,3.189362049102783,0.4950654804706573,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,3.0475690364837646,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,2031958400.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,1.051087737083435,0.935016393661499,1016622592.0,133308829.33333333,8704177.0,1951460309.0833333,0.2016940861940384,103.0,2.0,6313.0,1.0,34.0609245300293,3056.0,2361.0,4.0,95.0,96.0,94.0,80.0,94.0,87.0,90.0,545.0,2.0,25.837385654449463,3196.0,2.0,8.0,3.3046586513519287
7.54,67.90966796875,32.09033203125,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,22.63766098022461,31.72068977355957,97.07408142089844,2.9259190559387207,0.5444924235343933,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,0.6517228484153748,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,1871661184.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,1.1492359638214111,0.935016393661499,968202688.0,133308829.33333333,7609397.5,1951460309.0833333,0.2016940861940384,103.0,2.0,6313.0,1.0,34.0609245300293,3056.0,2361.0,4.0,95.0,96.0,94.0,80.0,94.0,87.0,90.0,545.0,2.0,25.837385654449463,3196.0,2.0,8.0,3.3046586513519287
7.64,67.93648529052734,32.063514709472656,0.11263026297092438,1.620279590288798,40.29417483011881,0.045815085992217036,22.187646865844727,32.45365524291992,97.07907104492188,2.920928239822388,0.530377984046936,-1.0,-1.0,259.61573282877606,1.0761958360671997,0.4385468065738678,6.721844832102458,7.905026912689209,545021866.6666666,-1.0,6.968696594238281,139500595882.66666,-1.0,12752838826.666666,-1.0,1872456832.0,18.665446281433105,545000000.0,0.2845537662506103,19077465.0,93.82509504045758,1593811509.3333333,39035742.0,5417287.0,1345439648.0,1.1494289636611938,0.935016393661499,968989312.0,133308829.33333333,7616244.0,1951460309.0833333,0.2016940861940384,103.0,2.0,6313.0,1.0,34.0609245300293,3056.0,2361.0,4.0,95.0,96.0,94.0,80.0,94.0,87.0,90.0,545.0,2.0,25.837385654449463,3196.0,2.0,8.0,3.3046586513519287
