Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.05,0.0029985727742314334,16.656471252441406,0.5268336313643626,31.7379207611084,0.5161378383636475,-1.0,-1.0,-1.0,0.4160742660363515,-1.0,1.0046286582946777,4.555546283721924,544973280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.72222014268239,545000000.0,-1.0,3231988.994140625,58.02356974283854,67693141.33333333,2559913.9895833335,802117.8333333334,734244621.7142857,-1.0,-1.0,-1.0,13903376.0,7349332.5,40120358.638020836,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2901.0,1920.0,3.0,64.0,64.0,66.0,40.0,63.0,35.0,72.0,545.0,2.0,20.50751745700836,2736.0,48.0,2.279876947402954
7.15,0.0029985727742314334,16.656471252441406,0.5268336313643626,31.74167251586914,0.568709135055542,-1.0,-1.0,-1.0,0.4160742660363515,-1.0,1.0046286582946777,0.6688804030418396,544973280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.72222014268239,545000000.0,-1.0,3231988.994140625,58.02356974283854,67693141.33333333,2559913.9895833335,802117.8333333334,734244621.7142857,-1.0,-1.0,-1.0,13903376.0,7615439.5,40120358.638020836,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2901.0,1920.0,3.0,64.0,64.0,66.0,40.0,63.0,35.0,72.0,545.0,2.0,20.50751745700836,2736.0,48.0,2.279876947402954
7.21,0.0029985727742314334,16.656471252441406,0.5268336313643626,31.74167251586914,0.568709135055542,-1.0,-1.0,-1.0,0.4160742660363515,-1.0,1.0046286582946777,0.6688804030418396,544973280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.72222014268239,545000000.0,-1.0,3231988.994140625,58.02356974283854,67693141.33333333,2559913.9895833335,802117.8333333334,734244621.7142857,-1.0,-1.0,-1.0,13903376.0,7615439.5,40120358.638020836,2.6190645694732666,1029.0,455.0,12240.0,7.0,20.79787826538086,2901.0,1920.0,4.0,86.0,86.0,86.0,72.0,82.0,73.0,90.0,545.0,2.0,24.83150213956833,2736.0,58.0,3.282246828079224
7.23,0.0029985727742314334,16.656471252441406,0.5268336313643626,31.74167251586914,0.568709135055542,-1.0,-1.0,-1.0,0.4160742660363515,-1.0,1.0046286582946777,0.6688804030418396,544973280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.72222014268239,545000000.0,-1.0,3231988.994140625,58.02356974283854,67693141.33333333,2559913.9895833335,802117.8333333334,734244621.7142857,-1.0,-1.0,-1.0,13903376.0,7615439.5,40120358.638020836,0.3168309032917022,102.0,2.0,6330.0,1.0,20.79787826538086,2901.0,1920.0,4.0,86.0,86.0,86.0,72.0,82.0,73.0,90.0,545.0,2.0,24.83150213956833,2736.0,2.0,3.282246828079224
7.25,0.0029985727742314334,16.656471252441406,0.5268336313643626,32.53130340576172,0.6108691096305847,-1.0,-1.0,-1.0,0.4160742660363515,-1.0,1.0046286582946777,0.6381721496582031,544973280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.72222014268239,545000000.0,-1.0,3231988.994140625,58.02356974283854,67693141.33333333,2559913.9895833335,802117.8333333334,734244621.7142857,-1.0,-1.0,-1.0,13903376.0,7618251.0,40120358.638020836,0.3168309032917022,102.0,2.0,6330.0,1.0,20.79787826538086,2901.0,1920.0,4.0,86.0,86.0,86.0,72.0,82.0,73.0,90.0,545.0,2.0,24.83150213956833,2736.0,2.0,3.282246828079224
7.35,0.0029985727742314334,16.656471252441406,0.5268336313643626,31.73820304870605,0.5599184632301331,-1.0,-1.0,-1.0,0.4160742660363515,-1.0,1.0046286582946777,0.6367183923721313,544973280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.72222014268239,545000000.0,-1.0,3231988.994140625,58.02356974283854,67693141.33333333,2559913.9895833335,802117.8333333334,734244621.7142857,-1.0,-1.0,-1.0,13903376.0,7621061.5,40120358.638020836,0.3168309032917022,102.0,2.0,6330.0,1.0,20.79787826538086,2901.0,1920.0,4.0,86.0,86.0,86.0,72.0,82.0,73.0,90.0,545.0,2.0,24.83150213956833,2736.0,2.0,3.282246828079224
7.45,0.0029985727742314334,16.656471252441406,0.5268336313643626,32.49421310424805,0.5149734616279602,-1.0,-1.0,-1.0,0.4160742660363515,-1.0,1.0046286582946777,0.6454760432243347,544973280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.72222014268239,545000000.0,-1.0,3231988.994140625,58.02356974283854,67693141.33333333,2559913.9895833335,802117.8333333334,734244621.7142857,-1.0,-1.0,-1.0,13903376.0,7621020.5,40120358.638020836,0.3168309032917022,102.0,2.0,6330.0,1.0,20.79787826538086,2901.0,1920.0,4.0,86.0,86.0,86.0,72.0,82.0,73.0,90.0,545.0,2.0,24.83150213956833,2736.0,2.0,3.282246828079224
7.55,0.0029985727742314334,16.656471252441406,0.5268336313643626,31.75209617614746,0.5558213591575623,-1.0,-1.0,-1.0,0.4160742660363515,-1.0,1.0046286582946777,0.6929802298545837,544973280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.72222014268239,545000000.0,-1.0,3231988.994140625,58.02356974283854,67693141.33333333,2559913.9895833335,802117.8333333334,734244621.7142857,-1.0,-1.0,-1.0,13903376.0,7621088.0,40120358.638020836,0.3168309032917022,102.0,2.0,6330.0,1.0,20.79787826538086,2901.0,1920.0,4.0,86.0,86.0,86.0,72.0,82.0,73.0,90.0,545.0,2.0,24.83150213956833,2736.0,2.0,3.282246828079224
7.65,0.0029985727742314334,16.656471252441406,0.5268336313643626,31.684070587158203,0.4937568604946136,-1.0,-1.0,-1.0,0.4160742660363515,-1.0,1.0046286582946777,0.6623224020004272,544973280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.72222014268239,545000000.0,-1.0,3231988.994140625,58.02356974283854,67693141.33333333,2559913.9895833335,802117.8333333334,734244621.7142857,-1.0,-1.0,-1.0,13903376.0,7622205.0,40120358.638020836,0.3168309032917022,102.0,2.0,6330.0,1.0,20.79787826538086,2901.0,1920.0,4.0,86.0,86.0,86.0,72.0,82.0,73.0,90.0,545.0,2.0,24.83150213956833,2736.0,2.0,3.282246828079224
7.75,0.0029985727742314334,16.656471252441406,0.5268336313643626,32.457618713378906,0.5305548310279846,-1.0,-1.0,-1.0,0.4160742660363515,-1.0,1.0046286582946777,0.6396406292915344,544973280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.72222014268239,545000000.0,-1.0,3231988.994140625,58.02356974283854,67693141.33333333,2559913.9895833335,802117.8333333334,734244621.7142857,-1.0,-1.0,-1.0,13903376.0,7621596.5,40120358.638020836,0.3168309032917022,102.0,2.0,6330.0,1.0,20.79787826538086,2901.0,1920.0,4.0,86.0,86.0,86.0,72.0,82.0,73.0,90.0,545.0,2.0,24.83150213956833,2736.0,2.0,3.282246828079224
