Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.0,68.08561706542969,31.9173583984375,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,22.6074275970459,31.767074584960938,97.08738708496094,2.9126133918762207,0.5218470692634583,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6462329030036926,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,975360832.0,115593376.0,7648196.5,1975970841.1666667,0.2050361633300781,101.0,2.0,6330.0,1.0,26.92599296569824,3052.0,9988132378.0,1920.0,4.0,87.0,87.0,87.0,83.0,85.0,81.0,90.0,545.0,2.0,26.05755627155304,2736.0,1.0,3.3581089973449707
7.01,68.08561706542969,31.9173583984375,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,22.6074275970459,31.767074584960938,97.08738708496094,2.9126133918762207,0.5218470692634583,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6462329030036926,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,975360832.0,115593376.0,7648196.5,1975970841.1666667,0.2050361633300781,101.0,2.0,6330.0,1.0,26.92599296569824,3052.0,10017537777.0,1920.0,4.0,87.0,87.0,87.0,83.0,85.0,81.0,90.0,545.0,2.0,26.05755627155304,2736.0,1.0,3.3581089973449707
7.02,68.08561706542969,31.9173583984375,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,22.6074275970459,31.767074584960938,97.08738708496094,2.9126133918762207,0.5218470692634583,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6462329030036926,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,975360832.0,115593376.0,7648196.5,1975970841.1666667,0.2050361633300781,101.0,2.0,6330.0,1.0,26.92599296569824,3052.0,10046853220.0,1920.0,4.0,87.0,87.0,87.0,83.0,85.0,81.0,90.0,545.0,2.0,26.05755627155304,2736.0,1.0,3.3581089973449707
7.03,68.08561706542969,31.9173583984375,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,22.6074275970459,31.767074584960938,97.08738708496094,2.9126133918762207,0.5218470692634583,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,0.6462329030036926,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,975360832.0,115593376.0,7648196.5,1975970841.1666667,0.2050361633300781,101.0,2.0,6330.0,1.0,26.92599296569824,3052.0,10076184848.0,1920.0,4.0,87.0,87.0,87.0,83.0,85.0,81.0,90.0,545.0,2.0,26.05755627155304,2736.0,1.0,3.3581089973449707
7.05,67.80000305175781,32.20111083984375,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,22.99016571044922,31.78079414367676,97.2036361694336,2.796361923217773,0.4874304234981537,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,8.872963905334473,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,967236928.0,115593376.0,7524375.5,1975970841.1666667,0.2050361633300781,101.0,2.0,6330.0,1.0,26.92599296569824,3052.0,10105550067.0,1920.0,4.0,87.0,87.0,87.0,83.0,85.0,81.0,90.0,545.0,2.0,26.05755627155304,2736.0,1.0,3.3581089973449707
7.06,67.80000305175781,32.20111083984375,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,22.99016571044922,31.78079414367676,97.2036361694336,2.796361923217773,0.4874304234981537,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,8.872963905334473,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,967236928.0,115593376.0,7524375.5,1975970841.1666667,0.2050361633300781,101.0,2.0,6330.0,1.0,26.92599296569824,3052.0,10134936586.0,1920.0,4.0,87.0,87.0,87.0,83.0,85.0,81.0,90.0,545.0,2.0,26.05755627155304,2736.0,1.0,3.3581089973449707
7.07,67.80000305175781,32.20111083984375,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,22.99016571044922,31.78079414367676,97.2036361694336,2.796361923217773,0.4874304234981537,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,8.872963905334473,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,967236928.0,115593376.0,7524375.5,1975970841.1666667,0.2050361633300781,101.0,2.0,6330.0,1.0,26.92599296569824,3052.0,10164332937.0,1920.0,4.0,87.0,87.0,87.0,83.0,85.0,81.0,90.0,545.0,2.0,26.05755627155304,2736.0,1.0,3.3581089973449707
7.08,67.80000305175781,32.20111083984375,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,22.99016571044922,31.78079414367676,97.2036361694336,2.796361923217773,0.4874304234981537,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,8.872963905334473,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,967236928.0,115593376.0,7524375.5,1975970841.1666667,0.2050361633300781,101.0,2.0,6330.0,1.0,26.92599296569824,3052.0,7678558591.0,1920.0,4.0,87.0,87.0,87.0,83.0,85.0,81.0,90.0,545.0,2.0,26.05755627155304,2736.0,1.0,3.3581089973449707
7.12,67.80000305175781,32.20111083984375,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,22.99016571044922,31.78079414367676,97.2036361694336,2.796361923217773,0.4874304234981537,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,8.872963905334473,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,967236928.0,115593376.0,7524375.5,1975970841.1666667,0.2050361633300781,101.0,2.0,6330.0,1.0,26.92599296569824,3052.0,9806039641.0,1920.0,4.0,87.0,87.0,87.0,83.0,85.0,81.0,90.0,545.0,2.0,26.05755627155304,2736.0,1.0,3.3581089973449707
7.13,67.80000305175781,32.20111083984375,1.5110220909118652,2.4198872248331704,31.585367838541668,1.921177585919698,22.99016571044922,31.78079414367676,97.2036361694336,2.796361923217773,0.4874304234981537,-1.0,-1.0,319.0983772277832,0.9860044320424398,0.5424813528855642,9.252686341603598,8.872963905334473,545091520.0,-1.0,7.798725763956706,133280862208.0,-1.0,11731042218.666666,-1.0,-1.0,22.82213592529297,545000000.0,0.2781887849171956,16772640.833333334,53.05743408203126,1514276373.3333333,33214121.333333332,3625387.1666666665,1260095925.3333333,-1.0,1.0989760160446167,967236928.0,115593376.0,7524375.5,1975970841.1666667,0.2050361633300781,101.0,2.0,6330.0,1.0,26.92599296569824,3052.0,7766373360.0,1920.0,4.0,87.0,87.0,87.0,83.0,85.0,81.0,90.0,545.0,2.0,26.05755627155304,2736.0,1.0,3.3581089973449707
