Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.0,3.316835880279541,8.16091319492885,0.0789396315813064,32.13638687133789,0.3002636134624481,-1.0,-1.0,-1.0,0.7717287540435791,-1.0,19.82358169555664,0.6533145904541016,545051840.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.374019622802734,545000000.0,-1.0,6680354.0,104.83198765345982,1822262784.0,9657714.0,4306238.5,1569920896.0,-1.0,-1.0,-1.0,102198920.0,4953806.0,2825059584.0,0.4449608922004699,103.0,2.0,6330.0,1.0,19.54204368591309,2860.0,6683896275.0,1920.0,3.0,60.0,61.0,63.0,39.0,69.0,33.0,72.0,545.0,2.0,19.33070719242096,2736.0,56.0,2.20101261138916
7.01,3.316835880279541,8.16091319492885,0.0789396315813064,32.13638687133789,0.3002636134624481,-1.0,-1.0,-1.0,0.7717287540435791,-1.0,19.82358169555664,0.6533145904541016,545051840.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.374019622802734,545000000.0,-1.0,6680354.0,104.83198765345982,1822262784.0,9657714.0,4306238.5,1569920896.0,-1.0,-1.0,-1.0,102198920.0,4953806.0,2825059584.0,0.4449608922004699,103.0,2.0,6330.0,1.0,19.54204368591309,2860.0,6710893560.0,1920.0,3.0,60.0,61.0,63.0,39.0,69.0,33.0,72.0,545.0,2.0,19.33070719242096,2736.0,56.0,2.20101261138916
7.02,3.316835880279541,8.16091319492885,0.0789396315813064,32.13638687133789,0.3002636134624481,-1.0,-1.0,-1.0,0.7717287540435791,-1.0,19.82358169555664,0.6533145904541016,545051840.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.374019622802734,545000000.0,-1.0,6680354.0,104.83198765345982,1822262784.0,9657714.0,4306238.5,1569920896.0,-1.0,-1.0,-1.0,102198920.0,4953806.0,2825059584.0,0.4449608922004699,103.0,2.0,6330.0,1.0,19.54204368591309,2860.0,9622099608.0,1920.0,3.0,60.0,61.0,63.0,39.0,69.0,33.0,72.0,545.0,2.0,19.33070719242096,2736.0,56.0,2.20101261138916
7.03,3.316835880279541,8.16091319492885,0.0789396315813064,31.724178314208984,0.2889598608016968,-1.0,-1.0,-1.0,0.7717287540435791,-1.0,19.82358169555664,23.988142013549805,545051840.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.374019622802734,545000000.0,-1.0,6680354.0,104.83198765345982,1822262784.0,9657714.0,4306238.5,1569920896.0,-1.0,-1.0,-1.0,102198920.0,4954759.0,2825059584.0,0.4449608922004699,103.0,2.0,6330.0,1.0,19.54204368591309,2860.0,9399509707.5,1920.0,3.0,60.0,61.0,63.0,39.0,69.0,33.0,72.0,545.0,2.0,19.33070719242096,2736.0,56.0,2.20101261138916
7.05,3.316835880279541,8.16091319492885,0.0789396315813064,31.724178314208984,0.2889598608016968,-1.0,-1.0,-1.0,0.7717287540435791,-1.0,19.82358169555664,23.988142013549805,545051840.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.374019622802734,545000000.0,-1.0,6680354.0,104.83198765345982,1822262784.0,9657714.0,4306238.5,1569920896.0,-1.0,-1.0,-1.0,102198920.0,4954759.0,2825059584.0,0.4449608922004699,103.0,2.0,6330.0,1.0,19.54204368591309,2860.0,9673888322.0,1920.0,3.0,60.0,61.0,63.0,39.0,69.0,33.0,72.0,545.0,2.0,19.33070719242096,2736.0,56.0,2.20101261138916
7.07,3.316835880279541,8.16091319492885,0.0789396315813064,31.724178314208984,0.2889598608016968,-1.0,-1.0,-1.0,0.7717287540435791,-1.0,19.82358169555664,23.988142013549805,545051840.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.374019622802734,545000000.0,-1.0,6680354.0,104.83198765345982,1822262784.0,9657714.0,4306238.5,1569920896.0,-1.0,-1.0,-1.0,102198920.0,4954759.0,2825059584.0,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2860.0,6674088344.0,1920.0,3.0,60.0,61.0,63.0,39.0,69.0,33.0,72.0,545.0,2.0,19.33070719242096,2736.0,56.0,2.20101261138916
7.08,3.316835880279541,8.16091319492885,0.0789396315813064,31.724178314208984,0.2889598608016968,-1.0,-1.0,-1.0,0.7717287540435791,-1.0,19.82358169555664,23.988142013549805,545051840.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.374019622802734,545000000.0,-1.0,6680354.0,104.83198765345982,1822262784.0,9657714.0,4306238.5,1569920896.0,-1.0,-1.0,-1.0,102198920.0,4954759.0,2825059584.0,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2860.0,6703293507.0,1920.0,3.0,60.0,61.0,63.0,39.0,69.0,33.0,72.0,545.0,2.0,19.33070719242096,2736.0,56.0,2.20101261138916
7.09,3.316835880279541,8.16091319492885,0.0789396315813064,31.724178314208984,0.2889598608016968,-1.0,-1.0,-1.0,0.7717287540435791,-1.0,19.82358169555664,23.988142013549805,545051840.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.374019622802734,545000000.0,-1.0,6680354.0,104.83198765345982,1822262784.0,9657714.0,4306238.5,1569920896.0,-1.0,-1.0,-1.0,102198920.0,4954759.0,2825059584.0,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2860.0,6879212469.0,1920.0,3.0,60.0,61.0,63.0,39.0,69.0,33.0,72.0,545.0,2.0,19.33070719242096,2736.0,56.0,2.20101261138916
7.1,3.316835880279541,8.16091319492885,0.0789396315813064,31.724178314208984,0.2889598608016968,-1.0,-1.0,-1.0,0.7717287540435791,-1.0,19.82358169555664,23.988142013549805,545051840.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.374019622802734,545000000.0,-1.0,6680354.0,104.83198765345982,1822262784.0,9657714.0,4306238.5,1569920896.0,-1.0,-1.0,-1.0,102198920.0,4954759.0,2825059584.0,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2860.0,6908177117.0,1920.0,3.0,60.0,61.0,63.0,39.0,69.0,33.0,72.0,545.0,2.0,19.33070719242096,2736.0,56.0,2.20101261138916
7.12,3.316835880279541,8.16091319492885,0.0789396315813064,31.724178314208984,0.2889598608016968,-1.0,-1.0,-1.0,0.7717287540435791,-1.0,19.82358169555664,23.988142013549805,545051840.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.374019622802734,545000000.0,-1.0,6680354.0,104.83198765345982,1822262784.0,9657714.0,4306238.5,1569920896.0,-1.0,-1.0,-1.0,102198920.0,4954759.0,2825059584.0,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2860.0,6937284958.0,1920.0,3.0,60.0,61.0,63.0,39.0,69.0,33.0,72.0,545.0,2.0,19.33070719242096,2736.0,56.0,2.20101261138916
