Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.06,0.8971691844718795,15.937811715262276,0.0730205868769969,23.007469177246094,0.974907398223877,-1.0,-1.0,-1.0,0.4547353992238641,-1.0,2.85500362941197,0.6090275049209595,544934438.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,9263923.017857144,51.965767996651785,883333289.1428572,18297055.911551338,1947268.8158482143,741244614.8571428,-1.0,-1.0,-1.0,63827053.71428572,8942846.0,166011.178125,0.5929889678955078,102.0,2.0,6330.0,1.0,17.769512176513672,2856.0,2361.0,3.0,65.0,65.0,71.0,30.0,65.0,45.0,72.0,545.0,2.0,21.514420211315155,0.4914901554584503,3196.0,4.0,54.0,2.2483386993408203
7.16,0.8971691844718795,15.937811715262276,0.0730205868769969,23.48215103149414,0.9952318072319032,-1.0,-1.0,-1.0,0.4547353992238641,-1.0,2.85500362941197,0.6570698618888855,544934438.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,9263923.017857144,51.965767996651785,883333289.1428572,18297055.911551338,1947268.8158482143,741244614.8571428,-1.0,-1.0,-1.0,63827053.71428572,9142467.0,166011.178125,0.5929889678955078,102.0,2.0,6330.0,1.0,17.769512176513672,2856.0,2361.0,3.0,65.0,65.0,71.0,30.0,65.0,45.0,72.0,545.0,2.0,21.514420211315155,0.4914901554584503,3196.0,4.0,54.0,2.2483386993408203
7.26,0.8971691844718795,15.937811715262276,0.0730205868769969,22.69808006286621,0.9757989048957824,-1.0,-1.0,-1.0,0.4547353992238641,-1.0,2.85500362941197,0.5996498465538025,544934438.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,9263923.017857144,51.965767996651785,883333289.1428572,18297055.911551338,1947268.8158482143,741244614.8571428,-1.0,-1.0,-1.0,63827053.71428572,9630735.0,166011.178125,0.5929889678955078,102.0,2.0,6330.0,1.0,17.769512176513672,2856.0,2361.0,3.0,65.0,65.0,71.0,30.0,65.0,45.0,72.0,545.0,2.0,21.514420211315155,0.4914901554584503,3196.0,4.0,54.0,2.2483386993408203
7.31,0.8971691844718795,15.937811715262276,0.0730205868769969,22.69808006286621,0.9757989048957824,-1.0,-1.0,-1.0,0.4547353992238641,-1.0,2.85500362941197,0.5996498465538025,544934438.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,9263923.017857144,51.965767996651785,883333289.1428572,18297055.911551338,1947268.8158482143,741244614.8571428,-1.0,-1.0,-1.0,63827053.71428572,9630735.0,166011.178125,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2856.0,2361.0,3.0,65.0,65.0,71.0,30.0,65.0,45.0,72.0,545.0,2.0,21.514420211315155,0.4914901554584503,3196.0,4.0,54.0,2.2483386993408203
7.36,0.8971691844718795,15.937811715262276,0.0730205868769969,22.75861549377441,0.8880892395973206,-1.0,-1.0,-1.0,0.4547353992238641,-1.0,2.85500362941197,0.6467787027359009,544934438.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,9263923.017857144,51.965767996651785,883333289.1428572,18297055.911551338,1947268.8158482143,741244614.8571428,-1.0,-1.0,-1.0,63827053.71428572,9066937.0,166011.178125,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2856.0,2361.0,3.0,65.0,65.0,71.0,30.0,65.0,45.0,72.0,545.0,2.0,21.514420211315155,0.4914901554584503,3196.0,4.0,54.0,2.2483386993408203
7.46,0.8971691844718795,15.937811715262276,0.0730205868769969,23.952129364013672,0.4723970592021942,-1.0,-1.0,-1.0,0.4547353992238641,-1.0,2.85500362941197,7.006106376647949,544934438.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,9263923.017857144,51.965767996651785,883333289.1428572,18297055.911551338,1947268.8158482143,741244614.8571428,-1.0,-1.0,-1.0,63827053.71428572,12121626.0,166011.178125,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2856.0,2361.0,3.0,65.0,65.0,71.0,30.0,65.0,45.0,72.0,545.0,2.0,21.514420211315155,0.4914901554584503,3196.0,4.0,54.0,2.2483386993408203
7.53,0.8971691844718795,15.937811715262276,0.0730205868769969,23.952129364013672,0.4723970592021942,-1.0,-1.0,-1.0,0.4547353992238641,-1.0,2.85500362941197,7.006106376647949,544934438.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,9263923.017857144,51.965767996651785,883333289.1428572,18297055.911551338,1947268.8158482143,741244614.8571428,-1.0,-1.0,-1.0,63827053.71428572,12121626.0,166011.178125,0.7550199031829834,1118.0,290.0,12078.0,7.0,17.953466415405273,2856.0,1920.0,3.0,72.0,70.0,79.0,38.0,60.0,44.0,72.0,545.0,2.0,20.68825364112854,0.4914901554584503,3196.0,4.0,58.0,2.200634002685547
7.57,0.8971691844718795,15.937811715262276,0.0730205868769969,23.89045143127441,0.6610749959945679,-1.0,-1.0,-1.0,0.4547353992238641,-1.0,2.85500362941197,0.7142301201820374,544934438.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,9263923.017857144,51.965767996651785,883333289.1428572,18297055.911551338,1947268.8158482143,741244614.8571428,-1.0,-1.0,-1.0,63827053.71428572,11273065.0,166011.178125,0.7550199031829834,1118.0,290.0,12078.0,7.0,17.953466415405273,2856.0,1920.0,3.0,72.0,70.0,79.0,38.0,60.0,44.0,72.0,545.0,2.0,20.68825364112854,0.4914901554584503,3196.0,4.0,58.0,2.200634002685547
7.58,0.8971691844718795,15.937811715262276,0.0730205868769969,23.89045143127441,0.6610749959945679,-1.0,-1.0,-1.0,0.4547353992238641,-1.0,2.85500362941197,0.7142301201820374,544934438.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,9263923.017857144,51.965767996651785,883333289.1428572,18297055.911551338,1947268.8158482143,741244614.8571428,-1.0,-1.0,-1.0,63827053.71428572,11273065.0,166011.178125,0.378770500421524,102.0,2.0,6330.0,1.0,17.953466415405273,2856.0,1920.0,3.0,72.0,70.0,79.0,38.0,60.0,44.0,72.0,545.0,2.0,20.68825364112854,0.4914901554584503,3196.0,4.0,58.0,2.200634002685547
7.67,0.8971691844718795,15.937811715262276,0.0730205868769969,23.95615005493164,0.6246093511581421,-1.0,-1.0,-1.0,0.4547353992238641,-1.0,2.85500362941197,7.613656044006348,544934438.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,9263923.017857144,51.965767996651785,883333289.1428572,18297055.911551338,1947268.8158482143,741244614.8571428,-1.0,-1.0,-1.0,63827053.71428572,10526525.0,166011.178125,0.378770500421524,102.0,2.0,6330.0,1.0,17.953466415405273,2856.0,1920.0,3.0,72.0,70.0,79.0,38.0,60.0,44.0,72.0,545.0,2.0,20.68825364112854,0.4914901554584503,3196.0,4.0,58.0,2.200634002685547
7.77,0.8971691844718795,15.937811715262276,0.0730205868769969,27.54258918762207,0.6847718954086304,-1.0,-1.0,-1.0,0.4547353992238641,-1.0,2.85500362941197,0.6519418358802795,544934438.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,9263923.017857144,51.965767996651785,883333289.1428572,18297055.911551338,1947268.8158482143,741244614.8571428,-1.0,-1.0,-1.0,63827053.71428572,11200819.0,166011.178125,0.378770500421524,102.0,2.0,6330.0,1.0,17.953466415405273,2856.0,1920.0,3.0,72.0,70.0,79.0,38.0,60.0,44.0,72.0,545.0,2.0,20.68825364112854,0.4914901554584503,3196.0,4.0,58.0,2.200634002685547
7.87,0.8971691844718795,15.937811715262276,0.0730205868769969,30.12093162536621,0.3740170300006866,-1.0,-1.0,-1.0,0.4547353992238641,-1.0,2.85500362941197,24.069486618041992,544934438.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,9263923.017857144,51.965767996651785,883333289.1428572,18297055.911551338,1947268.8158482143,741244614.8571428,-1.0,-1.0,-1.0,63827053.71428572,7075533.5,166011.178125,0.378770500421524,102.0,2.0,6330.0,1.0,17.953466415405273,2856.0,1920.0,3.0,72.0,70.0,79.0,38.0,60.0,44.0,72.0,545.0,2.0,20.68825364112854,0.4914901554584503,3196.0,4.0,58.0,2.200634002685547
7.97,0.8971691844718795,15.937811715262276,0.0730205868769969,32.48723602294922,0.2901503145694732,-1.0,-1.0,-1.0,0.4547353992238641,-1.0,2.85500362941197,0.6425758004188538,544934438.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,9263923.017857144,51.965767996651785,883333289.1428572,18297055.911551338,1947268.8158482143,741244614.8571428,-1.0,-1.0,-1.0,63827053.71428572,5155484.0,166011.178125,0.378770500421524,102.0,2.0,6330.0,1.0,17.953466415405273,2856.0,1920.0,3.0,72.0,70.0,79.0,38.0,60.0,44.0,72.0,545.0,2.0,20.68825364112854,0.4914901554584503,3196.0,4.0,58.0,2.200634002685547
