Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.07,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,22.617603302001957,31.7177677154541,30.462243216378347,9.05357824053083,0.5647028684616089,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6513339877128601,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,1841173632.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,7488127.5,153643.890625,11.312579154968262,1097.0,460.0,12245.0,5.0,25.322154998779297,2769.0,1920.0,4.0,65.0,61.0,68.0,34.0,61.0,54.0,90.0,545.0,2.0,22.505490481853485,3196.0,1.0,51.0,3.238675832748413
7.17,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,22.481069564819336,32.49787902832031,30.462243216378347,9.05357824053083,0.5450908541679382,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,3.889412879943848,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,1850494848.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,7529676.5,153643.890625,11.312579154968262,1097.0,460.0,12245.0,5.0,25.322154998779297,2769.0,1920.0,4.0,65.0,61.0,68.0,34.0,61.0,54.0,90.0,545.0,2.0,22.505490481853485,3196.0,1.0,51.0,3.238675832748413
7.27,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,23.092836380004883,31.79373359680176,30.462243216378347,9.05357824053083,0.4870691299438476,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6250083446502686,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,1874826368.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,7426010.0,153643.890625,11.312579154968262,1097.0,460.0,12245.0,5.0,25.322154998779297,2769.0,1920.0,4.0,65.0,61.0,68.0,34.0,61.0,54.0,90.0,545.0,2.0,22.505490481853485,3196.0,1.0,51.0,3.238675832748413
7.37,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,22.505157470703125,32.528778076171875,30.462243216378347,9.05357824053083,0.5755497813224792,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6542508006095886,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,1874040192.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,7624426.5,153643.890625,11.312579154968262,1097.0,460.0,12245.0,5.0,25.322154998779297,2769.0,1920.0,4.0,65.0,61.0,68.0,34.0,61.0,54.0,90.0,545.0,2.0,22.505490481853485,3196.0,1.0,51.0,3.238675832748413
7.47,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,23.129526138305664,31.733360290527344,30.462243216378347,9.05357824053083,0.5563421249389648,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6283090710639954,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,1873097984.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,7419174.0,153643.890625,11.312579154968262,1097.0,460.0,12245.0,5.0,25.322154998779297,2769.0,1920.0,4.0,65.0,61.0,68.0,34.0,61.0,54.0,90.0,545.0,2.0,22.505490481853485,3196.0,1.0,51.0,3.238675832748413
7.57,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,22.55588722229004,31.727293014526367,30.462243216378347,9.05357824053083,0.5664649605751038,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6813040971755981,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,1874624000.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,7624182.0,153643.890625,11.312579154968262,1097.0,460.0,12245.0,5.0,25.322154998779297,2769.0,1920.0,4.0,65.0,61.0,68.0,34.0,61.0,54.0,90.0,545.0,2.0,22.505490481853485,3196.0,1.0,51.0,3.238675832748413
7.6,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,22.55588722229004,31.727293014526367,30.462243216378347,9.05357824053083,0.5664649605751038,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6813040971755981,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,1874624000.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,7624182.0,153643.890625,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,4.0,65.0,61.0,68.0,34.0,61.0,54.0,90.0,545.0,2.0,22.505490481853485,3196.0,1.0,51.0,3.238675832748413
7.67,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,22.4663200378418,32.53125762939453,30.462243216378347,9.05357824053083,0.5470839738845825,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6527966260910034,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,1872924288.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,7619747.0,153643.890625,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,4.0,65.0,61.0,68.0,34.0,61.0,54.0,90.0,545.0,2.0,22.505490481853485,3196.0,1.0,51.0,3.238675832748413
7.77,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,22.627227783203125,31.768892288208008,30.462243216378347,9.05357824053083,0.5392847061157227,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6666796207427979,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,1874622080.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,7623964.5,153643.890625,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,4.0,65.0,61.0,68.0,34.0,61.0,54.0,90.0,545.0,2.0,22.505490481853485,3196.0,1.0,51.0,3.238675832748413
7.85,25.107022966657365,17.75011989048549,0.37703408513750347,0.7104649373463222,21.4033693586077,29.36925506591797,34.362454005650115,0.6541753323482615,22.627227783203125,31.768892288208008,30.462243216378347,9.05357824053083,0.5392847061157227,20.81019265311105,62.31605093819754,134.1000758579799,0.4423672982624599,0.16881131274359568,2.3487510681152344,0.6666796207427979,544721792.0,1.311666454587664,-1.0,55382678381.71429,95660357339.42857,6415811437.714286,-1.0,1874622080.0,100.0,545000000.0,0.11318868398666382,12133508.857142856,93.99927629743304,932490686.3579799,23890167.42857143,1469132.7142857143,779063094.8571428,-1.0,0.31022827114377705,-1.0,69565329.14285715,7623964.5,153643.890625,0.3300300240516662,102.0,2.0,6330.0,1.0,22.742305755615234,2769.0,1920.0,4.0,65.0,61.0,68.0,34.0,61.0,54.0,90.0,545.0,2.0,22.505490481853485,3196.0,1.0,4.0,3.238675832748413
