Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.01,0.5550182206290108,14.893057686941964,0.15795626863837242,31.70363044738769,0.3196918070316314,-1.0,-1.0,-1.0,0.3059577260698591,-1.0,1.6246677126203264,0.6643918752670288,544982592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.73689133780343,545000000.0,-1.0,7163322.285714285,43.80721173967634,469982281.14285713,14680106.285714285,844209.6071428572,386806235.4285714,-1.0,-1.0,-1.0,43199778.28571428,6558564.0,478304594.578125,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3052.0,8266099120.0,1920.0,3.0,63.0,62.0,64.0,28.0,38.0,61.0,72.0,545.0,2.0,19.8740154504776,3196.0,49.0,2.216016292572021
7.02,0.5550182206290108,14.893057686941964,0.15795626863837242,31.70363044738769,0.3196918070316314,-1.0,-1.0,-1.0,0.3059577260698591,-1.0,1.6246677126203264,0.6643918752670288,544982592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.73689133780343,545000000.0,-1.0,7163322.285714285,43.80721173967634,469982281.14285713,14680106.285714285,844209.6071428572,386806235.4285714,-1.0,-1.0,-1.0,43199778.28571428,6558564.0,478304594.578125,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3052.0,7844653339.0,1920.0,3.0,63.0,62.0,64.0,28.0,38.0,61.0,72.0,545.0,2.0,19.8740154504776,3196.0,49.0,2.216016292572021
7.03,0.5550182206290108,14.893057686941964,0.15795626863837242,31.70363044738769,0.3196918070316314,-1.0,-1.0,-1.0,0.3059577260698591,-1.0,1.6246677126203264,0.6643918752670288,544982592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.73689133780343,545000000.0,-1.0,7163322.285714285,43.80721173967634,469982281.14285713,14680106.285714285,844209.6071428572,386806235.4285714,-1.0,-1.0,-1.0,43199778.28571428,6558564.0,478304594.578125,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3052.0,7871409106.0,1920.0,3.0,63.0,62.0,64.0,28.0,38.0,61.0,72.0,545.0,2.0,19.8740154504776,3196.0,49.0,2.216016292572021
7.04,0.5550182206290108,14.893057686941964,0.15795626863837242,31.70363044738769,0.3196918070316314,-1.0,-1.0,-1.0,0.3059577260698591,-1.0,1.6246677126203264,0.6643918752670288,544982592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.73689133780343,545000000.0,-1.0,7163322.285714285,43.80721173967634,469982281.14285713,14680106.285714285,844209.6071428572,386806235.4285714,-1.0,-1.0,-1.0,43199778.28571428,6558564.0,478304594.578125,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3052.0,8352309658.0,1920.0,3.0,63.0,62.0,64.0,28.0,38.0,61.0,72.0,545.0,2.0,19.8740154504776,3196.0,49.0,2.216016292572021
7.06,0.5550182206290108,14.893057686941964,0.15795626863837242,31.70363044738769,0.3196918070316314,-1.0,-1.0,-1.0,0.3059577260698591,-1.0,1.6246677126203264,0.6643918752670288,544982592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.73689133780343,545000000.0,-1.0,7163322.285714285,43.80721173967634,469982281.14285713,14680106.285714285,844209.6071428572,386806235.4285714,-1.0,-1.0,-1.0,43199778.28571428,6558564.0,478304594.578125,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3052.0,6951529101.0,1920.0,3.0,63.0,62.0,64.0,28.0,38.0,61.0,72.0,545.0,2.0,19.8740154504776,3196.0,49.0,2.216016292572021
7.08,0.5550182206290108,14.893057686941964,0.15795626863837242,31.70363044738769,0.3196918070316314,-1.0,-1.0,-1.0,0.3059577260698591,-1.0,1.6246677126203264,0.6643918752670288,544982592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.73689133780343,545000000.0,-1.0,7163322.285714285,43.80721173967634,469982281.14285713,14680106.285714285,844209.6071428572,386806235.4285714,-1.0,-1.0,-1.0,43199778.28571428,6558564.0,478304594.578125,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3052.0,8451008355.333333,1920.0,3.0,63.0,62.0,64.0,28.0,38.0,61.0,72.0,545.0,2.0,19.8740154504776,3196.0,49.0,2.216016292572021
7.09,0.5550182206290108,14.893057686941964,0.15795626863837242,31.70363044738769,0.3196918070316314,-1.0,-1.0,-1.0,0.3059577260698591,-1.0,1.6246677126203264,0.6643918752670288,544982592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.73689133780343,545000000.0,-1.0,7163322.285714285,43.80721173967634,469982281.14285713,14680106.285714285,844209.6071428572,386806235.4285714,-1.0,-1.0,-1.0,43199778.28571428,6558564.0,478304594.578125,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3052.0,8447264460.0,1920.0,3.0,63.0,62.0,64.0,28.0,38.0,61.0,72.0,545.0,2.0,19.8740154504776,3196.0,49.0,2.216016292572021
7.1,0.5550182206290108,14.893057686941964,0.15795626863837242,31.70363044738769,0.3196918070316314,-1.0,-1.0,-1.0,0.3059577260698591,-1.0,1.6246677126203264,0.6643918752670288,544982592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.73689133780343,545000000.0,-1.0,7163322.285714285,43.80721173967634,469982281.14285713,14680106.285714285,844209.6071428572,386806235.4285714,-1.0,-1.0,-1.0,43199778.28571428,6558564.0,478304594.578125,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3052.0,7008737471.0,1920.0,3.0,63.0,62.0,64.0,28.0,38.0,61.0,72.0,545.0,2.0,19.8740154504776,3196.0,49.0,2.216016292572021
7.11,0.5550182206290108,14.893057686941964,0.15795626863837242,31.73322296142578,0.3161910474300384,-1.0,-1.0,-1.0,0.3059577260698591,-1.0,1.6246677126203264,0.6360716223716736,544982592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.73689133780343,545000000.0,-1.0,7163322.285714285,43.80721173967634,469982281.14285713,14680106.285714285,844209.6071428572,386806235.4285714,-1.0,-1.0,-1.0,43199778.28571428,6248573.5,478304594.578125,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3052.0,8026581401.0,1920.0,3.0,63.0,62.0,64.0,28.0,38.0,61.0,72.0,545.0,2.0,19.8740154504776,3196.0,49.0,2.216016292572021
7.13,0.5550182206290108,14.893057686941964,0.15795626863837242,31.73322296142578,0.3161910474300384,-1.0,-1.0,-1.0,0.3059577260698591,-1.0,1.6246677126203264,0.6360716223716736,544982592.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.73689133780343,545000000.0,-1.0,7163322.285714285,43.80721173967634,469982281.14285713,14680106.285714285,844209.6071428572,386806235.4285714,-1.0,-1.0,-1.0,43199778.28571428,6248573.5,478304594.578125,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3052.0,7895542761.333333,1920.0,3.0,63.0,62.0,64.0,28.0,38.0,61.0,72.0,545.0,2.0,19.8740154504776,3196.0,49.0,2.216016292572021
