Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.04,2.9243483543396,24.19288146495819,0.0035546498838812,31.46170997619629,0.2778250873088836,-1.0,-1.0,-1.0,0.3752913773059845,-1.0,7.263692855834961,4.074289798736572,544834560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.143638610839844,545000000.0,-1.0,3386209.25,118.57781473795573,774262976.0,2563157.25,1010337.5,661403648.0,-1.0,-1.0,-1.0,9230811.0,4960573.0,1949698816.0,9.413891792297363,1026.0,455.0,12239.0,6.0,21.620973587036133,3009.0,1920.0,4.0,60.0,61.0,64.0,30.0,51.0,46.0,72.0,545.0,3.0,20.871078968048096,2736.0,2.0,49.0,3.252640962600708
7.14,2.9243483543396,24.19288146495819,0.0035546498838812,32.51443099975586,0.3341394066810608,-1.0,-1.0,-1.0,0.3752913773059845,-1.0,7.263692855834961,0.6571800708770752,544834560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.143638610839844,545000000.0,-1.0,3386209.25,118.57781473795573,774262976.0,2563157.25,1010337.5,661403648.0,-1.0,-1.0,-1.0,9230811.0,6251830.0,1949698816.0,9.413891792297363,1026.0,455.0,12239.0,6.0,21.620973587036133,3009.0,1920.0,4.0,60.0,61.0,64.0,30.0,51.0,46.0,72.0,545.0,3.0,20.871078968048096,2736.0,2.0,49.0,3.252640962600708
7.24,2.9243483543396,24.19288146495819,0.0035546498838812,31.756187438964844,0.3051594793796539,-1.0,-1.0,-1.0,0.3752913773059845,-1.0,7.263692855834961,0.6447511315345764,544834560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.143638610839844,545000000.0,-1.0,3386209.25,118.57781473795573,774262976.0,2563157.25,1010337.5,661403648.0,-1.0,-1.0,-1.0,9230811.0,6253262.5,1949698816.0,9.413891792297363,1026.0,455.0,12239.0,6.0,21.620973587036133,3009.0,1920.0,4.0,60.0,61.0,64.0,30.0,51.0,46.0,72.0,545.0,3.0,20.871078968048096,2736.0,2.0,49.0,3.252640962600708
7.34,2.9243483543396,24.19288146495819,0.0035546498838812,32.546321868896484,0.3108817934989929,-1.0,-1.0,-1.0,0.3752913773059845,-1.0,7.263692855834961,0.648402750492096,544834560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.143638610839844,545000000.0,-1.0,3386209.25,118.57781473795573,774262976.0,2563157.25,1010337.5,661403648.0,-1.0,-1.0,-1.0,9230811.0,6251279.5,1949698816.0,9.413891792297363,1026.0,455.0,12239.0,6.0,21.620973587036133,3009.0,1920.0,4.0,60.0,61.0,64.0,30.0,51.0,46.0,72.0,545.0,3.0,20.871078968048096,2736.0,2.0,49.0,3.252640962600708
7.44,2.9243483543396,24.19288146495819,0.0035546498838812,31.75774574279785,0.3181545436382293,-1.0,-1.0,-1.0,0.3752913773059845,-1.0,7.263692855834961,0.6352518200874329,544834560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.143638610839844,545000000.0,-1.0,3386209.25,118.57781473795573,774262976.0,2563157.25,1010337.5,661403648.0,-1.0,-1.0,-1.0,9230811.0,6235731.0,1949698816.0,9.413891792297363,1026.0,455.0,12239.0,6.0,21.620973587036133,3009.0,1920.0,4.0,60.0,61.0,64.0,30.0,51.0,46.0,72.0,545.0,3.0,20.871078968048096,2736.0,2.0,49.0,3.252640962600708
7.54,2.9243483543396,24.19288146495819,0.0035546498838812,31.710731506347656,0.3968504667282104,-1.0,-1.0,-1.0,0.3752913773059845,-1.0,7.263692855834961,0.6542060971260071,544834560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.143638610839844,545000000.0,-1.0,3386209.25,118.57781473795573,774262976.0,2563157.25,1010337.5,661403648.0,-1.0,-1.0,-1.0,9230811.0,6242215.0,1949698816.0,9.413891792297363,1026.0,455.0,12239.0,6.0,21.620973587036133,3009.0,1920.0,4.0,60.0,61.0,64.0,30.0,51.0,46.0,72.0,545.0,3.0,20.871078968048096,2736.0,2.0,49.0,3.252640962600708
7.6,2.9243483543396,24.19288146495819,0.0035546498838812,31.710731506347656,0.3968504667282104,-1.0,-1.0,-1.0,0.3752913773059845,-1.0,7.263692855834961,0.6542060971260071,544834560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.143638610839844,545000000.0,-1.0,3386209.25,118.57781473795573,774262976.0,2563157.25,1010337.5,661403648.0,-1.0,-1.0,-1.0,9230811.0,6242215.0,1949698816.0,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3009.0,1920.0,4.0,60.0,61.0,64.0,30.0,51.0,46.0,72.0,545.0,3.0,20.871078968048096,2736.0,2.0,49.0,3.252640962600708
7.64,2.9243483543396,24.19288146495819,0.0035546498838812,32.463836669921875,0.3752152025699615,-1.0,-1.0,-1.0,0.3752913773059845,-1.0,7.263692855834961,0.6506491899490356,544834560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.143638610839844,545000000.0,-1.0,3386209.25,118.57781473795573,774262976.0,2563157.25,1010337.5,661403648.0,-1.0,-1.0,-1.0,9230811.0,6244325.0,1949698816.0,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3009.0,1920.0,4.0,60.0,61.0,64.0,30.0,51.0,46.0,72.0,545.0,3.0,20.871078968048096,2736.0,2.0,49.0,3.252640962600708
7.75,2.9243483543396,24.19288146495819,0.0035546498838812,31.75520896911621,0.3478856980800628,-1.0,-1.0,-1.0,0.3752913773059845,-1.0,7.263692855834961,0.6381831765174866,544834560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.143638610839844,545000000.0,-1.0,3386209.25,118.57781473795573,774262976.0,2563157.25,1010337.5,661403648.0,-1.0,-1.0,-1.0,9230811.0,6213976.5,1949698816.0,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3009.0,1920.0,4.0,60.0,61.0,64.0,30.0,51.0,46.0,72.0,545.0,3.0,20.871078968048096,2736.0,2.0,49.0,3.252640962600708
7.85,2.9243483543396,24.19288146495819,0.0035546498838812,32.50294876098633,0.348725825548172,-1.0,-1.0,-1.0,0.3752913773059845,-1.0,7.263692855834961,0.6374301314353943,544834560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.143638610839844,545000000.0,-1.0,3386209.25,118.57781473795573,774262976.0,2563157.25,1010337.5,661403648.0,-1.0,-1.0,-1.0,9230811.0,6243566.5,1949698816.0,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3009.0,1920.0,4.0,60.0,61.0,64.0,30.0,51.0,46.0,72.0,545.0,3.0,20.871078968048096,2736.0,2.0,49.0,3.252640962600708
