Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.02,1.013124903043111,34.78561274210612,0.027853420780350732,31.760799407958984,0.5950652956962585,-1.0,-1.0,-1.0,0.6332742671171824,-1.0,4.290377775828044,0.6707950830459595,544937877.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.71955215930939,545000000.0,-1.0,12626464.5,115.88620503743489,1113202208.0,22948652.666666668,2663603.7916666665,882046293.3333334,-1.0,-1.0,-1.0,82922840.66666667,7932421.5,1536038398.6328125,1.0642327070236206,941.0,134.0,11966.0,7.0,22.48758125305176,2695.0,1920.0,3.0,58.0,58.0,62.0,48.0,38.0,54.0,90.0,545.0,2.0,33.583804965019226,2736.0,4.0,2.267374277114868
7.12,1.013124903043111,34.78561274210612,0.027853420780350732,31.76039123535156,0.5510620474815369,-1.0,-1.0,-1.0,0.6332742671171824,-1.0,4.290377775828044,0.6704391837120056,544937877.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.71955215930939,545000000.0,-1.0,12626464.5,115.88620503743489,1113202208.0,22948652.666666668,2663603.7916666665,882046293.3333334,-1.0,-1.0,-1.0,82922840.66666667,7930083.5,1536038398.6328125,1.0642327070236206,941.0,134.0,11966.0,7.0,22.48758125305176,2695.0,1920.0,3.0,58.0,58.0,62.0,48.0,38.0,54.0,90.0,545.0,2.0,33.583804965019226,2736.0,4.0,2.267374277114868
7.22,1.013124903043111,34.78561274210612,0.027853420780350732,32.50051498413086,0.565952479839325,-1.0,-1.0,-1.0,0.6332742671171824,-1.0,4.290377775828044,0.6355326771736145,544937877.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.71955215930939,545000000.0,-1.0,12626464.5,115.88620503743489,1113202208.0,22948652.666666668,2663603.7916666665,882046293.3333334,-1.0,-1.0,-1.0,82922840.66666667,7929766.0,1536038398.6328125,1.0642327070236206,941.0,134.0,11966.0,7.0,22.48758125305176,2695.0,1920.0,3.0,58.0,58.0,62.0,48.0,38.0,54.0,90.0,545.0,2.0,33.583804965019226,2736.0,4.0,2.267374277114868
7.32,1.013124903043111,34.78561274210612,0.027853420780350732,31.73177719116211,0.5508517026901245,-1.0,-1.0,-1.0,0.6332742671171824,-1.0,4.290377775828044,0.6499063372612,544937877.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.71955215930939,545000000.0,-1.0,12626464.5,115.88620503743489,1113202208.0,22948652.666666668,2663603.7916666665,882046293.3333334,-1.0,-1.0,-1.0,82922840.66666667,7933709.0,1536038398.6328125,1.0642327070236206,941.0,134.0,11966.0,7.0,22.48758125305176,2695.0,1920.0,3.0,58.0,58.0,62.0,48.0,38.0,54.0,90.0,545.0,2.0,33.583804965019226,2736.0,4.0,2.267374277114868
7.42,1.013124903043111,34.78561274210612,0.027853420780350732,32.510154724121094,0.5462416410446167,-1.0,-1.0,-1.0,0.6332742671171824,-1.0,4.290377775828044,0.6798714399337769,544937877.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.71955215930939,545000000.0,-1.0,12626464.5,115.88620503743489,1113202208.0,22948652.666666668,2663603.7916666665,882046293.3333334,-1.0,-1.0,-1.0,82922840.66666667,7929283.0,1536038398.6328125,1.0642327070236206,941.0,134.0,11966.0,7.0,22.48758125305176,2695.0,1920.0,3.0,58.0,58.0,62.0,48.0,38.0,54.0,90.0,545.0,2.0,33.583804965019226,2736.0,4.0,2.267374277114868
7.52,1.013124903043111,34.78561274210612,0.027853420780350732,31.728179931640625,0.6080949902534485,-1.0,-1.0,-1.0,0.6332742671171824,-1.0,4.290377775828044,0.6503826975822449,544937877.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.71955215930939,545000000.0,-1.0,12626464.5,115.88620503743489,1113202208.0,22948652.666666668,2663603.7916666665,882046293.3333334,-1.0,-1.0,-1.0,82922840.66666667,7927153.0,1536038398.6328125,1.0642327070236206,941.0,134.0,11966.0,7.0,22.48758125305176,2695.0,1920.0,3.0,58.0,58.0,62.0,48.0,38.0,54.0,90.0,545.0,2.0,33.583804965019226,2736.0,4.0,2.267374277114868
7.54,1.013124903043111,34.78561274210612,0.027853420780350732,31.728179931640625,0.6080949902534485,-1.0,-1.0,-1.0,0.6332742671171824,-1.0,4.290377775828044,0.6503826975822449,544937877.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.71955215930939,545000000.0,-1.0,12626464.5,115.88620503743489,1113202208.0,22948652.666666668,2663603.7916666665,882046293.3333334,-1.0,-1.0,-1.0,82922840.66666667,7927153.0,1536038398.6328125,0.40756694227457047,264.5,32.0,7094.0,1.0,16.43876838684082,2695.0,1920.0,3.0,58.0,58.0,62.0,48.0,38.0,54.0,90.0,545.0,2.0,33.583804965019226,2736.0,6.0,2.267374277114868
7.62,1.013124903043111,34.78561274210612,0.027853420780350732,31.73317146301269,0.5977227687835693,-1.0,-1.0,-1.0,0.6332742671171824,-1.0,4.290377775828044,1.4005385637283323,544937877.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.71955215930939,545000000.0,-1.0,12626464.5,115.88620503743489,1113202208.0,22948652.666666668,2663603.7916666665,882046293.3333334,-1.0,-1.0,-1.0,82922840.66666667,8051888.0,1536038398.6328125,0.40756694227457047,264.5,32.0,7094.0,1.0,16.43876838684082,2695.0,1920.0,3.0,58.0,58.0,62.0,48.0,38.0,54.0,90.0,545.0,2.0,33.583804965019226,2736.0,6.0,2.267374277114868
7.72,1.013124903043111,34.78561274210612,0.027853420780350732,32.493534088134766,0.5511490702629089,-1.0,-1.0,-1.0,0.6332742671171824,-1.0,4.290377775828044,0.6311387419700623,544937877.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.71955215930939,545000000.0,-1.0,12626464.5,115.88620503743489,1113202208.0,22948652.666666668,2663603.7916666665,882046293.3333334,-1.0,-1.0,-1.0,82922840.66666667,8015958.0,1536038398.6328125,0.40756694227457047,264.5,32.0,7094.0,1.0,16.43876838684082,2695.0,1920.0,3.0,58.0,58.0,62.0,48.0,38.0,54.0,90.0,545.0,2.0,33.583804965019226,2736.0,6.0,2.267374277114868
7.82,1.013124903043111,34.78561274210612,0.027853420780350732,31.75532913208008,0.5496986508369446,-1.0,-1.0,-1.0,0.6332742671171824,-1.0,4.290377775828044,4.081992149353027,544937877.3333334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.71955215930939,545000000.0,-1.0,12626464.5,115.88620503743489,1113202208.0,22948652.666666668,2663603.7916666665,882046293.3333334,-1.0,-1.0,-1.0,82922840.66666667,7759220.0,1536038398.6328125,0.40756694227457047,264.5,32.0,7094.0,1.0,16.43876838684082,2695.0,1920.0,3.0,58.0,58.0,62.0,48.0,38.0,54.0,90.0,545.0,2.0,33.583804965019226,2736.0,6.0,2.267374277114868
