Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.0,0.8159347602299282,18.32304082598005,0.012823288595037785,31.73269271850586,0.5716726779937744,-1.0,-1.0,-1.0,0.4039523686681475,-1.0,2.953894172395979,0.6411819458007812,544939382.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.40827669416156,545000000.0,-1.0,10176060.42857143,179.58442034040178,880809768.6897322,18755186.57142857,2437447.5714285714,698504009.1428572,-1.0,-1.0,-1.0,63776253.14285714,7928812.5,1191930456.044643,2.658320903778076,1151.0,451.0,12219.0,7.0,22.450380325317383,2621.0,9682005893.0,1920.0,4.0,60.0,61.0,56.0,50.0,51.0,44.0,90.0,545.0,2.0,35.53361892700195,1.0811686515808103,3196.0,4.0,3.1903440952301025
7.01,0.8159347602299282,18.32304082598005,0.012823288595037785,31.73269271850586,0.5716726779937744,-1.0,-1.0,-1.0,0.4039523686681475,-1.0,2.953894172395979,0.6411819458007812,544939382.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.40827669416156,545000000.0,-1.0,10176060.42857143,179.58442034040178,880809768.6897322,18755186.57142857,2437447.5714285714,698504009.1428572,-1.0,-1.0,-1.0,63776253.14285714,7928812.5,1191930456.044643,2.658320903778076,1151.0,451.0,12219.0,7.0,22.450380325317383,2621.0,8618982081.5,1920.0,4.0,60.0,61.0,56.0,50.0,51.0,44.0,90.0,545.0,2.0,35.53361892700195,1.0811686515808103,3196.0,4.0,3.1903440952301025
7.02,0.8159347602299282,18.32304082598005,0.012823288595037785,31.73269271850586,0.5716726779937744,-1.0,-1.0,-1.0,0.4039523686681475,-1.0,2.953894172395979,0.6411819458007812,544939382.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.40827669416156,545000000.0,-1.0,10176060.42857143,179.58442034040178,880809768.6897322,18755186.57142857,2437447.5714285714,698504009.1428572,-1.0,-1.0,-1.0,63776253.14285714,7928812.5,1191930456.044643,2.658320903778076,1151.0,451.0,12219.0,7.0,22.450380325317383,2621.0,9743764259.0,1920.0,4.0,60.0,61.0,56.0,50.0,51.0,44.0,90.0,545.0,2.0,35.53361892700195,1.0811686515808103,3196.0,4.0,3.1903440952301025
7.03,0.8159347602299282,18.32304082598005,0.012823288595037785,31.73269271850586,0.5716726779937744,-1.0,-1.0,-1.0,0.4039523686681475,-1.0,2.953894172395979,0.6411819458007812,544939382.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.40827669416156,545000000.0,-1.0,10176060.42857143,179.58442034040178,880809768.6897322,18755186.57142857,2437447.5714285714,698504009.1428572,-1.0,-1.0,-1.0,63776253.14285714,7928812.5,1191930456.044643,2.658320903778076,1151.0,451.0,12219.0,7.0,22.450380325317383,2621.0,7659279454.0,1920.0,4.0,60.0,61.0,56.0,50.0,51.0,44.0,90.0,545.0,2.0,35.53361892700195,1.0811686515808103,3196.0,4.0,3.1903440952301025
7.04,0.8159347602299282,18.32304082598005,0.012823288595037785,31.73269271850586,0.5716726779937744,-1.0,-1.0,-1.0,0.4039523686681475,-1.0,2.953894172395979,0.6411819458007812,544939382.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.40827669416156,545000000.0,-1.0,10176060.42857143,179.58442034040178,880809768.6897322,18755186.57142857,2437447.5714285714,698504009.1428572,-1.0,-1.0,-1.0,63776253.14285714,7928812.5,1191930456.044643,2.658320903778076,1151.0,451.0,12219.0,7.0,22.450380325317383,2621.0,8677185389.5,1920.0,4.0,60.0,61.0,56.0,50.0,51.0,44.0,90.0,545.0,2.0,35.53361892700195,1.0811686515808103,3196.0,4.0,3.1903440952301025
7.05,0.8159347602299282,18.32304082598005,0.012823288595037785,31.73269271850586,0.5716726779937744,-1.0,-1.0,-1.0,0.4039523686681475,-1.0,2.953894172395979,0.6411819458007812,544939382.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.40827669416156,545000000.0,-1.0,10176060.42857143,179.58442034040178,880809768.6897322,18755186.57142857,2437447.5714285714,698504009.1428572,-1.0,-1.0,-1.0,63776253.14285714,7928812.5,1191930456.044643,2.658320903778076,1151.0,451.0,12219.0,7.0,22.450380325317383,2621.0,8401743923.666667,1920.0,4.0,60.0,61.0,56.0,50.0,51.0,44.0,90.0,545.0,2.0,35.53361892700195,1.0811686515808103,3196.0,4.0,3.1903440952301025
7.06,0.8159347602299282,18.32304082598005,0.012823288595037785,31.73269271850586,0.5716726779937744,-1.0,-1.0,-1.0,0.4039523686681475,-1.0,2.953894172395979,0.6411819458007812,544939382.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.40827669416156,545000000.0,-1.0,10176060.42857143,179.58442034040178,880809768.6897322,18755186.57142857,2437447.5714285714,698504009.1428572,-1.0,-1.0,-1.0,63776253.14285714,7928812.5,1191930456.044643,2.658320903778076,1151.0,451.0,12219.0,7.0,22.450380325317383,2621.0,8826632836.5,1920.0,4.0,60.0,61.0,56.0,50.0,51.0,44.0,90.0,545.0,2.0,35.53361892700195,1.0811686515808103,3196.0,4.0,3.1903440952301025
7.07,0.8159347602299282,18.32304082598005,0.012823288595037785,31.73269271850586,0.5716726779937744,-1.0,-1.0,-1.0,0.4039523686681475,-1.0,2.953894172395979,0.6411819458007812,544939382.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.40827669416156,545000000.0,-1.0,10176060.42857143,179.58442034040178,880809768.6897322,18755186.57142857,2437447.5714285714,698504009.1428572,-1.0,-1.0,-1.0,63776253.14285714,7928812.5,1191930456.044643,2.658320903778076,1151.0,451.0,12219.0,7.0,22.450380325317383,2621.0,8854661725.0,1920.0,4.0,60.0,61.0,56.0,50.0,51.0,44.0,90.0,545.0,2.0,35.53361892700195,1.0811686515808103,3196.0,4.0,3.1903440952301025
7.08,0.8159347602299282,18.32304082598005,0.012823288595037785,31.73749351501465,0.5433043837547302,-1.0,-1.0,-1.0,0.4039523686681475,-1.0,2.953894172395979,0.6750058531761169,544939382.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.40827669416156,545000000.0,-1.0,10176060.42857143,179.58442034040178,880809768.6897322,18755186.57142857,2437447.5714285714,698504009.1428572,-1.0,-1.0,-1.0,63776253.14285714,7932443.5,1191930456.044643,2.658320903778076,1151.0,451.0,12219.0,7.0,22.450380325317383,2621.0,8854661725.0,1920.0,4.0,60.0,61.0,56.0,50.0,51.0,44.0,90.0,545.0,2.0,35.53361892700195,1.0811686515808103,3196.0,4.0,3.1903440952301025
7.09,0.8159347602299282,18.32304082598005,0.012823288595037785,31.73749351501465,0.5433043837547302,-1.0,-1.0,-1.0,0.4039523686681475,-1.0,2.953894172395979,0.6750058531761169,544939382.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.40827669416156,545000000.0,-1.0,10176060.42857143,179.58442034040178,880809768.6897322,18755186.57142857,2437447.5714285714,698504009.1428572,-1.0,-1.0,-1.0,63776253.14285714,7932443.5,1191930456.044643,2.658320903778076,1151.0,451.0,12219.0,7.0,22.450380325317383,2621.0,9891137828.0,1920.0,4.0,60.0,61.0,56.0,50.0,51.0,44.0,90.0,545.0,2.0,35.53361892700195,1.0811686515808103,3196.0,4.0,3.1903440952301025
