Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.06,1.5454137325286865,46.33236026763916,0.011040701996535,22.51207160949707,0.6331828832626343,-1.0,-1.0,-1.0,0.883531928062439,-1.0,8.22611403465271,21.33930206298828,544703424.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.377909660339355,545000000.0,-1.0,13322490.5,141.59292602539062,1621702976.0,20990129.0,4531687.375,1321357024.0,-1.0,-1.0,-1.0,99607042.0,12043176.0,2370527744.0,1.2981356382369995,1145.0,449.0,12248.0,7.0,21.002840042114254,2900.0,1920.0,3.0,55.0,54.0,60.0,41.0,48.0,49.0,90.0,545.0,2.0,35.230207443237305,3196.0,3.0,2.5328025817871094
7.16,1.5454137325286865,46.33236026763916,0.011040701996535,23.636816024780277,0.783531129360199,-1.0,-1.0,-1.0,0.883531928062439,-1.0,8.22611403465271,4.018174171447754,544703424.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.377909660339355,545000000.0,-1.0,13322490.5,141.59292602539062,1621702976.0,20990129.0,4531687.375,1321357024.0,-1.0,-1.0,-1.0,99607042.0,11377949.0,2370527744.0,1.2981356382369995,1145.0,449.0,12248.0,7.0,21.002840042114254,2900.0,1920.0,3.0,55.0,54.0,60.0,41.0,48.0,49.0,90.0,545.0,2.0,35.230207443237305,3196.0,3.0,2.5328025817871094
7.21,1.5454137325286865,46.33236026763916,0.011040701996535,23.636816024780277,0.783531129360199,-1.0,-1.0,-1.0,0.883531928062439,-1.0,8.22611403465271,4.018174171447754,544703424.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.377909660339355,545000000.0,-1.0,13322490.5,141.59292602539062,1621702976.0,20990129.0,4531687.375,1321357024.0,-1.0,-1.0,-1.0,99607042.0,11377949.0,2370527744.0,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2900.0,1920.0,3.0,55.0,54.0,60.0,41.0,48.0,49.0,90.0,545.0,2.0,35.230207443237305,3196.0,3.0,2.5328025817871094
7.22,1.5454137325286865,46.33236026763916,0.011040701996535,23.636816024780277,0.783531129360199,-1.0,-1.0,-1.0,0.883531928062439,-1.0,8.22611403465271,4.018174171447754,544703424.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.377909660339355,545000000.0,-1.0,13322490.5,141.59292602539062,1621702976.0,20990129.0,4531687.375,1321357024.0,-1.0,-1.0,-1.0,99607042.0,11377949.0,2370527744.0,1.2278223037719729,116.0,2.0,6330.0,1.0,22.83596611022949,2900.0,1920.0,3.0,55.0,54.0,60.0,41.0,48.0,49.0,90.0,545.0,2.0,35.230207443237305,3196.0,3.0,2.5328025817871094
7.27,1.5454137325286865,46.33236026763916,0.011040701996535,24.379642486572266,0.8162514567375183,-1.0,-1.0,-1.0,0.883531928062439,-1.0,8.22611403465271,8.089357376098633,544703424.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.377909660339355,545000000.0,-1.0,13322490.5,141.59292602539062,1621702976.0,20990129.0,4531687.375,1321357024.0,-1.0,-1.0,-1.0,99607042.0,11477966.0,2370527744.0,1.2278223037719729,116.0,2.0,6330.0,1.0,22.83596611022949,2900.0,1920.0,3.0,55.0,54.0,60.0,41.0,48.0,49.0,90.0,545.0,2.0,35.230207443237305,3196.0,3.0,2.5328025817871094
7.37,1.5454137325286865,46.33236026763916,0.011040701996535,23.94230461120605,0.7890828847885132,-1.0,-1.0,-1.0,0.883531928062439,-1.0,8.22611403465271,0.6493574380874634,544703424.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.377909660339355,545000000.0,-1.0,13322490.5,141.59292602539062,1621702976.0,20990129.0,4531687.375,1321357024.0,-1.0,-1.0,-1.0,99607042.0,11271321.0,2370527744.0,1.2278223037719729,116.0,2.0,6330.0,1.0,22.83596611022949,2900.0,1920.0,3.0,55.0,54.0,60.0,41.0,48.0,49.0,90.0,545.0,2.0,35.230207443237305,3196.0,3.0,2.5328025817871094
7.43,1.5454137325286865,46.33236026763916,0.011040701996535,23.94230461120605,0.7890828847885132,-1.0,-1.0,-1.0,0.883531928062439,-1.0,8.22611403465271,0.6493574380874634,544703424.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.377909660339355,545000000.0,-1.0,13322490.5,141.59292602539062,1621702976.0,20990129.0,4531687.375,1321357024.0,-1.0,-1.0,-1.0,99607042.0,11271321.0,2370527744.0,0.9570254683494568,1145.0,449.0,12248.0,7.0,24.766807556152344,2900.0,1920.0,3.0,56.0,57.0,62.0,62.0,57.0,46.0,90.0,545.0,2.0,35.73388755321503,3196.0,8.0,2.604392766952514
7.47,1.5454137325286865,46.33236026763916,0.011040701996535,23.52950668334961,0.8178748488426208,-1.0,-1.0,-1.0,0.883531928062439,-1.0,8.22611403465271,10.724294662475586,544703424.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.377909660339355,545000000.0,-1.0,13322490.5,141.59292602539062,1621702976.0,20990129.0,4531687.375,1321357024.0,-1.0,-1.0,-1.0,99607042.0,11375118.0,2370527744.0,0.9570254683494568,1145.0,449.0,12248.0,7.0,24.766807556152344,2900.0,1920.0,3.0,56.0,57.0,62.0,62.0,57.0,46.0,90.0,545.0,2.0,35.73388755321503,3196.0,8.0,2.604392766952514
7.57,1.5454137325286865,46.33236026763916,0.011040701996535,25.16750144958496,0.4611701667308807,-1.0,-1.0,-1.0,0.883531928062439,-1.0,8.22611403465271,17.686561584472656,544703424.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.377909660339355,545000000.0,-1.0,13322490.5,141.59292602539062,1621702976.0,20990129.0,4531687.375,1321357024.0,-1.0,-1.0,-1.0,99607042.0,15959468.0,2370527744.0,0.9570254683494568,1145.0,449.0,12248.0,7.0,24.766807556152344,2900.0,1920.0,3.0,56.0,57.0,62.0,62.0,57.0,46.0,90.0,545.0,2.0,35.73388755321503,3196.0,8.0,2.604392766952514
7.67,1.5454137325286865,46.33236026763916,0.011040701996535,26.154685974121094,0.5126315355300903,-1.0,-1.0,-1.0,0.883531928062439,-1.0,8.22611403465271,0.7091860175132751,544703424.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.377909660339355,545000000.0,-1.0,13322490.5,141.59292602539062,1621702976.0,20990129.0,4531687.375,1321357024.0,-1.0,-1.0,-1.0,99607042.0,12252671.0,2370527744.0,0.9570254683494568,1145.0,449.0,12248.0,7.0,24.766807556152344,2900.0,1920.0,3.0,56.0,57.0,62.0,62.0,57.0,46.0,90.0,545.0,2.0,35.73388755321503,3196.0,8.0,2.604392766952514
