Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.0,67.29318237304688,32.70681381225586,0.1706273357073466,1.12478772799174,29.095701853434246,48.53909810384115,35.77529271443685,0.035380184650421136,19.10052490234375,31.305641174316406,50.664649963378906,14.299548467000326,95.98246002197266,4.017542362213135,0.5853498578071594,42.24895731608073,110.82290649414062,197.66593424479166,0.676219662030538,0.27135170499483746,4.904668966929118,6.915910720825195,544808448.0,2.3332844575246177,4.382362365722656,112655395498.66667,145367640746.66666,10214759082.666666,159084249088.0,1885957376.0,43.54595470428467,545000000.0,0.1837928593158722,22133811.0,456.2461140950522,1398527872.0,38116410.0,4556075.166666667,1085147733.3333333,1.1479121446609497,0.6114057898521423,1123796736.0,137578016.0,9030972.0,1659544771.9010417,1.3729898929595947,1087.0,402.0,12104.0,7.0,24.980371475219727,2748.0,8126873216.0,1920.0,3.0,56.0,54.0,57.0,50.0,45.0,28.0,90.0,545.0,2.0,36.79492175579071,2736.0,73.0,2.249156951904297
7.01,67.29318237304688,32.70681381225586,0.1706273357073466,1.12478772799174,29.095701853434246,48.53909810384115,35.77529271443685,0.035380184650421136,19.10052490234375,31.305641174316406,50.664649963378906,14.299548467000326,95.98246002197266,4.017542362213135,0.5853498578071594,42.24895731608073,110.82290649414062,197.66593424479166,0.676219662030538,0.27135170499483746,4.904668966929118,6.915910720825195,544808448.0,2.3332844575246177,4.382362365722656,112655395498.66667,145367640746.66666,10214759082.666666,159084249088.0,1885957376.0,43.54595470428467,545000000.0,0.1837928593158722,22133811.0,456.2461140950522,1398527872.0,38116410.0,4556075.166666667,1085147733.3333333,1.1479121446609497,0.6114057898521423,1123796736.0,137578016.0,9030972.0,1659544771.9010417,1.3729898929595947,1087.0,402.0,12104.0,7.0,24.980371475219727,2748.0,8571904056.0,1920.0,3.0,56.0,54.0,57.0,50.0,45.0,28.0,90.0,545.0,2.0,36.79492175579071,2736.0,73.0,2.249156951904297
7.03,67.29318237304688,32.70681381225586,0.1706273357073466,1.12478772799174,29.095701853434246,48.53909810384115,35.77529271443685,0.035380184650421136,19.10052490234375,31.305641174316406,50.664649963378906,14.299548467000326,95.98246002197266,4.017542362213135,0.5853498578071594,42.24895731608073,110.82290649414062,197.66593424479166,0.676219662030538,0.27135170499483746,4.904668966929118,6.915910720825195,544808448.0,2.3332844575246177,4.382362365722656,112655395498.66667,145367640746.66666,10214759082.666666,159084249088.0,1885957376.0,43.54595470428467,545000000.0,0.1837928593158722,22133811.0,456.2461140950522,1398527872.0,38116410.0,4556075.166666667,1085147733.3333333,1.1479121446609497,0.6114057898521423,1123796736.0,137578016.0,9030972.0,1659544771.9010417,1.3729898929595947,1087.0,402.0,12104.0,7.0,24.980371475219727,2748.0,7280936488.0,1920.0,3.0,56.0,54.0,57.0,50.0,45.0,28.0,90.0,545.0,2.0,36.79492175579071,2736.0,73.0,2.249156951904297
7.04,67.29318237304688,32.70681381225586,0.1706273357073466,1.12478772799174,29.095701853434246,48.53909810384115,35.77529271443685,0.035380184650421136,19.10052490234375,31.305641174316406,50.664649963378906,14.299548467000326,95.98246002197266,4.017542362213135,0.5853498578071594,42.24895731608073,110.82290649414062,197.66593424479166,0.676219662030538,0.27135170499483746,4.904668966929118,6.915910720825195,544808448.0,2.3332844575246177,4.382362365722656,112655395498.66667,145367640746.66666,10214759082.666666,159084249088.0,1885957376.0,43.54595470428467,545000000.0,0.1837928593158722,22133811.0,456.2461140950522,1398527872.0,38116410.0,4556075.166666667,1085147733.3333333,1.1479121446609497,0.6114057898521423,1123796736.0,137578016.0,9030972.0,1659544771.9010417,1.3729898929595947,1087.0,402.0,12104.0,7.0,24.980371475219727,2748.0,7312127833.0,1920.0,3.0,56.0,54.0,57.0,50.0,45.0,28.0,90.0,545.0,2.0,36.79492175579071,2736.0,73.0,2.249156951904297
7.05,67.29318237304688,32.70681381225586,0.1706273357073466,1.12478772799174,29.095701853434246,48.53909810384115,35.77529271443685,0.035380184650421136,19.10052490234375,31.305641174316406,50.664649963378906,14.299548467000326,95.98246002197266,4.017542362213135,0.5853498578071594,42.24895731608073,110.82290649414062,197.66593424479166,0.676219662030538,0.27135170499483746,4.904668966929118,6.915910720825195,544808448.0,2.3332844575246177,4.382362365722656,112655395498.66667,145367640746.66666,10214759082.666666,159084249088.0,1885957376.0,43.54595470428467,545000000.0,0.1837928593158722,22133811.0,456.2461140950522,1398527872.0,38116410.0,4556075.166666667,1085147733.3333333,1.1479121446609497,0.6114057898521423,1123796736.0,137578016.0,9030972.0,1659544771.9010417,1.3729898929595947,1087.0,402.0,12104.0,7.0,24.980371475219727,2748.0,8219511679.0,1920.0,3.0,56.0,54.0,57.0,50.0,45.0,28.0,90.0,545.0,2.0,36.79492175579071,2736.0,73.0,2.249156951904297
7.07,67.29318237304688,32.70681381225586,0.1706273357073466,1.12478772799174,29.095701853434246,48.53909810384115,35.77529271443685,0.035380184650421136,19.10052490234375,31.305641174316406,50.664649963378906,14.299548467000326,95.98246002197266,4.017542362213135,0.5853498578071594,42.24895731608073,110.82290649414062,197.66593424479166,0.676219662030538,0.27135170499483746,4.904668966929118,6.915910720825195,544808448.0,2.3332844575246177,4.382362365722656,112655395498.66667,145367640746.66666,10214759082.666666,159084249088.0,1885957376.0,43.54595470428467,545000000.0,0.1837928593158722,22133811.0,456.2461140950522,1398527872.0,38116410.0,4556075.166666667,1085147733.3333333,1.1479121446609497,0.6114057898521423,1123796736.0,137578016.0,9030972.0,1659544771.9010417,1.3729898929595947,1087.0,402.0,12104.0,7.0,24.980371475219727,2748.0,7835477223.0,1920.0,3.0,56.0,54.0,57.0,50.0,45.0,28.0,90.0,545.0,2.0,36.79492175579071,2736.0,73.0,2.249156951904297
7.08,67.29318237304688,32.70681381225586,0.1706273357073466,1.12478772799174,29.095701853434246,48.53909810384115,35.77529271443685,0.035380184650421136,19.10052490234375,31.305641174316406,50.664649963378906,14.299548467000326,95.98246002197266,4.017542362213135,0.5853498578071594,42.24895731608073,110.82290649414062,197.66593424479166,0.676219662030538,0.27135170499483746,4.904668966929118,6.915910720825195,544808448.0,2.3332844575246177,4.382362365722656,112655395498.66667,145367640746.66666,10214759082.666666,159084249088.0,1885957376.0,43.54595470428467,545000000.0,0.1837928593158722,22133811.0,456.2461140950522,1398527872.0,38116410.0,4556075.166666667,1085147733.3333333,1.1479121446609497,0.6114057898521423,1123796736.0,137578016.0,9030972.0,1659544771.9010417,1.3729898929595947,1087.0,402.0,12104.0,7.0,24.980371475219727,2748.0,7862504970.0,1920.0,3.0,56.0,54.0,57.0,50.0,45.0,28.0,90.0,545.0,2.0,36.79492175579071,2736.0,73.0,2.249156951904297
7.1,67.98538970947266,32.01460647583008,0.1706273357073466,1.12478772799174,29.095701853434246,48.53909810384115,35.77529271443685,0.035380184650421136,20.345630645751957,32.48673248291016,50.664649963378906,14.299548467000326,96.10616302490234,3.893836498260498,0.5525821447372437,42.24895731608073,110.82290649414062,197.66593424479166,0.676219662030538,0.27135170499483746,4.904668966929118,0.6650124788284302,544808448.0,2.3332844575246177,4.382362365722656,112655395498.66667,145367640746.66666,10214759082.666666,159451643904.0,1832528128.0,43.54595470428467,545000000.0,0.1837928593158722,22133811.0,456.2461140950522,1398527872.0,38116410.0,4556075.166666667,1085147733.3333333,1.175679087638855,0.6114057898521423,1105276160.0,137578016.0,8758271.0,1659544771.9010417,1.3729898929595947,1087.0,402.0,12104.0,7.0,24.980371475219727,2748.0,7917478243.0,1920.0,3.0,56.0,54.0,57.0,50.0,45.0,28.0,90.0,545.0,2.0,36.79492175579071,2736.0,73.0,2.249156951904297
7.12,67.98538970947266,32.01460647583008,0.1706273357073466,1.12478772799174,29.095701853434246,48.53909810384115,35.77529271443685,0.035380184650421136,20.345630645751957,32.48673248291016,50.664649963378906,14.299548467000326,96.10616302490234,3.893836498260498,0.5525821447372437,42.24895731608073,110.82290649414062,197.66593424479166,0.676219662030538,0.27135170499483746,4.904668966929118,0.6650124788284302,544808448.0,2.3332844575246177,4.382362365722656,112655395498.66667,145367640746.66666,10214759082.666666,159451643904.0,1832528128.0,43.54595470428467,545000000.0,0.1837928593158722,22133811.0,456.2461140950522,1398527872.0,38116410.0,4556075.166666667,1085147733.3333333,1.175679087638855,0.6114057898521423,1105276160.0,137578016.0,8758271.0,1659544771.9010417,1.3729898929595947,1087.0,402.0,12104.0,7.0,24.980371475219727,2748.0,7718027851.5,1920.0,3.0,56.0,54.0,57.0,50.0,45.0,28.0,90.0,545.0,2.0,36.79492175579071,2736.0,73.0,2.249156951904297
7.14,67.98538970947266,32.01460647583008,0.1706273357073466,1.12478772799174,29.095701853434246,48.53909810384115,35.77529271443685,0.035380184650421136,20.345630645751957,32.48673248291016,50.664649963378906,14.299548467000326,96.10616302490234,3.893836498260498,0.5525821447372437,42.24895731608073,110.82290649414062,197.66593424479166,0.676219662030538,0.27135170499483746,4.904668966929118,0.6650124788284302,544808448.0,2.3332844575246177,4.382362365722656,112655395498.66667,145367640746.66666,10214759082.666666,159451643904.0,1832528128.0,43.54595470428467,545000000.0,0.1837928593158722,22133811.0,456.2461140950522,1398527872.0,38116410.0,4556075.166666667,1085147733.3333333,1.175679087638855,0.6114057898521423,1105276160.0,137578016.0,8758271.0,1659544771.9010417,1.3729898929595947,1087.0,402.0,12104.0,7.0,24.980371475219727,2748.0,7971345588.0,1920.0,3.0,56.0,54.0,57.0,50.0,45.0,28.0,90.0,545.0,2.0,36.79492175579071,2736.0,73.0,2.249156951904297
