Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.08,1.0016236305236816,14.1365065574646,0.06133268005214629,31.73484992980957,0.570516049861908,-1.0,-1.0,-1.0,0.4061841336078942,-1.0,4.32051694393158,0.6562414169311523,544984128.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,8768740.65625,46.67807769775391,835190648.0,17314417.463867188,1809336.3359375,696166300.0,-1.0,-1.0,-1.0,61638448.15234375,8798985.0,163506.828125,1.261941373348236,253.0,31.0,7123.5,1.0,16.024084091186523,2650.0,1920.0,3.0,47.0,46.0,55.0,23.0,71.0,36.0,90.0,545.0,2.0,33.826446533203125,3196.0,1.0,1.0,2.262720823287964
7.14,1.0016236305236816,14.1365065574646,0.06133268005214629,31.73484992980957,0.570516049861908,-1.0,-1.0,-1.0,0.4061841336078942,-1.0,4.32051694393158,0.6562414169311523,544984128.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,8768740.65625,46.67807769775391,835190648.0,17314417.463867188,1809336.3359375,696166300.0,-1.0,-1.0,-1.0,61638448.15234375,8798985.0,163506.828125,2.377389669418335,1153.0,451.0,12255.0,7.0,41.68870162963867,2650.0,1920.0,4.0,56.0,56.0,60.0,43.0,45.0,62.0,90.0,545.0,2.0,34.42310392856598,3196.0,1.0,10.0,3.817720651626587
7.18,1.0016236305236816,14.1365065574646,0.06133268005214629,32.51225662231445,0.5271815657615662,-1.0,-1.0,-1.0,0.4061841336078942,-1.0,4.32051694393158,0.6633018255233765,544984128.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,8768740.65625,46.67807769775391,835190648.0,17314417.463867188,1809336.3359375,696166300.0,-1.0,-1.0,-1.0,61638448.15234375,8801120.0,163506.828125,2.377389669418335,1153.0,451.0,12255.0,7.0,41.68870162963867,2650.0,1920.0,4.0,56.0,56.0,60.0,43.0,45.0,62.0,90.0,545.0,2.0,34.42310392856598,3196.0,1.0,10.0,3.817720651626587
7.28,1.0016236305236816,14.1365065574646,0.06133268005214629,31.735248565673828,0.498847484588623,-1.0,-1.0,-1.0,0.4061841336078942,-1.0,4.32051694393158,5.896825313568115,544984128.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,8768740.65625,46.67807769775391,835190648.0,17314417.463867188,1809336.3359375,696166300.0,-1.0,-1.0,-1.0,61638448.15234375,8820561.0,163506.828125,2.377389669418335,1153.0,451.0,12255.0,7.0,41.68870162963867,2650.0,1920.0,4.0,56.0,56.0,60.0,43.0,45.0,62.0,90.0,545.0,2.0,34.42310392856598,3196.0,1.0,10.0,3.817720651626587
7.38,1.0016236305236816,14.1365065574646,0.06133268005214629,31.737592697143555,0.5443432331085205,-1.0,-1.0,-1.0,0.4061841336078942,-1.0,4.32051694393158,1.1351721286773682,544984128.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,8768740.65625,46.67807769775391,835190648.0,17314417.463867188,1809336.3359375,696166300.0,-1.0,-1.0,-1.0,61638448.15234375,8814531.0,163506.828125,2.377389669418335,1153.0,451.0,12255.0,7.0,41.68870162963867,2650.0,1920.0,4.0,56.0,56.0,60.0,43.0,45.0,62.0,90.0,545.0,2.0,34.42310392856598,3196.0,1.0,10.0,3.817720651626587
7.48,1.0016236305236816,14.1365065574646,0.06133268005214629,32.51238250732422,0.5440791249275208,-1.0,-1.0,-1.0,0.4061841336078942,-1.0,4.32051694393158,0.6629379391670227,544984128.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,8768740.65625,46.67807769775391,835190648.0,17314417.463867188,1809336.3359375,696166300.0,-1.0,-1.0,-1.0,61638448.15234375,8806045.0,163506.828125,2.377389669418335,1153.0,451.0,12255.0,7.0,41.68870162963867,2650.0,1920.0,4.0,56.0,56.0,60.0,43.0,45.0,62.0,90.0,545.0,2.0,34.42310392856598,3196.0,1.0,10.0,3.817720651626587
7.58,1.0016236305236816,14.1365065574646,0.06133268005214629,31.74490165710449,0.560505211353302,-1.0,-1.0,-1.0,0.4061841336078942,-1.0,4.32051694393158,0.6503937244415283,544984128.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,8768740.65625,46.67807769775391,835190648.0,17314417.463867188,1809336.3359375,696166300.0,-1.0,-1.0,-1.0,61638448.15234375,8813259.0,163506.828125,2.377389669418335,1153.0,451.0,12255.0,7.0,41.68870162963867,2650.0,1920.0,4.0,56.0,56.0,60.0,43.0,45.0,62.0,90.0,545.0,2.0,34.42310392856598,3196.0,1.0,10.0,3.817720651626587
7.68,1.0016236305236816,14.1365065574646,0.06133268005214629,32.51168441772461,0.5338262915611267,-1.0,-1.0,-1.0,0.4061841336078942,-1.0,4.32051694393158,0.6613321304321289,544984128.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,8768740.65625,46.67807769775391,835190648.0,17314417.463867188,1809336.3359375,696166300.0,-1.0,-1.0,-1.0,61638448.15234375,8815171.0,163506.828125,2.377389669418335,1153.0,451.0,12255.0,7.0,41.68870162963867,2650.0,1920.0,4.0,56.0,56.0,60.0,43.0,45.0,62.0,90.0,545.0,2.0,34.42310392856598,3196.0,1.0,10.0,3.817720651626587
7.78,1.0016236305236816,14.1365065574646,0.06133268005214629,31.749500274658203,0.5324035882949829,-1.0,-1.0,-1.0,0.4061841336078942,-1.0,4.32051694393158,3.6236977577209473,544984128.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,8768740.65625,46.67807769775391,835190648.0,17314417.463867188,1809336.3359375,696166300.0,-1.0,-1.0,-1.0,61638448.15234375,8820353.0,163506.828125,2.377389669418335,1153.0,451.0,12255.0,7.0,41.68870162963867,2650.0,1920.0,4.0,56.0,56.0,60.0,43.0,45.0,62.0,90.0,545.0,2.0,34.42310392856598,3196.0,1.0,10.0,3.817720651626587
7.88,1.0016236305236816,14.1365065574646,0.06133268005214629,31.74373435974121,0.5289149880409241,-1.0,-1.0,-1.0,0.4061841336078942,-1.0,4.32051694393158,0.6469796895980835,544984128.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,8768740.65625,46.67807769775391,835190648.0,17314417.463867188,1809336.3359375,696166300.0,-1.0,-1.0,-1.0,61638448.15234375,8819258.0,163506.828125,2.377389669418335,1153.0,451.0,12255.0,7.0,41.68870162963867,2650.0,1920.0,4.0,56.0,56.0,60.0,43.0,45.0,62.0,90.0,545.0,2.0,34.42310392856598,3196.0,1.0,10.0,3.817720651626587
