Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.07,0.6917998620441982,21.27701187133789,0.036535713821649544,31.63581275939941,0.5444945693016052,-1.0,-1.0,-1.0,0.4441045437540327,-1.0,2.582698549543108,2.0140984058380127,544961920.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.250691413879395,545000000.0,-1.0,10077011.714285715,135.0106157575335,618807396.5714285,17601517.42857143,1602846.392857143,475560548.5714286,-1.0,-1.0,-1.0,59288266.28571428,9020571.0,722247755.3348215,1.3742730617523191,1154.0,452.0,12259.0,7.0,41.40803909301758,2572.0,1920.0,3.0,59.0,59.0,63.0,59.0,59.0,49.0,90.0,545.0,2.0,33.72633457183838,3196.0,10.0,2.28096866607666
7.17,0.6917998620441982,21.27701187133789,0.036535713821649544,32.49546813964844,0.560088038444519,-1.0,-1.0,-1.0,0.4441045437540327,-1.0,2.582698549543108,0.6491736769676208,544961920.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.250691413879395,545000000.0,-1.0,10077011.714285715,135.0106157575335,618807396.5714285,17601517.42857143,1602846.392857143,475560548.5714286,-1.0,-1.0,-1.0,59288266.28571428,8815677.0,722247755.3348215,1.3742730617523191,1154.0,452.0,12259.0,7.0,41.40803909301758,2572.0,1920.0,3.0,59.0,59.0,63.0,59.0,59.0,49.0,90.0,545.0,2.0,33.72633457183838,3196.0,10.0,2.28096866607666
7.27,0.6917998620441982,21.27701187133789,0.036535713821649544,31.772680282592773,0.5501659512519836,-1.0,-1.0,-1.0,0.4441045437540327,-1.0,2.582698549543108,0.6577041149139404,544961920.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.250691413879395,545000000.0,-1.0,10077011.714285715,135.0106157575335,618807396.5714285,17601517.42857143,1602846.392857143,475560548.5714286,-1.0,-1.0,-1.0,59288266.28571428,8816134.0,722247755.3348215,1.3742730617523191,1154.0,452.0,12259.0,7.0,41.40803909301758,2572.0,1920.0,3.0,59.0,59.0,63.0,59.0,59.0,49.0,90.0,545.0,2.0,33.72633457183838,3196.0,10.0,2.28096866607666
7.37,0.6917998620441982,21.27701187133789,0.036535713821649544,32.510990142822266,0.5356002449989319,-1.0,-1.0,-1.0,0.4441045437540327,-1.0,2.582698549543108,1.8560947179794312,544961920.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.250691413879395,545000000.0,-1.0,10077011.714285715,135.0106157575335,618807396.5714285,17601517.42857143,1602846.392857143,475560548.5714286,-1.0,-1.0,-1.0,59288266.28571428,8821908.0,722247755.3348215,1.3742730617523191,1154.0,452.0,12259.0,7.0,41.40803909301758,2572.0,1920.0,3.0,59.0,59.0,63.0,59.0,59.0,49.0,90.0,545.0,2.0,33.72633457183838,3196.0,10.0,2.28096866607666
7.47,0.6917998620441982,21.27701187133789,0.036535713821649544,31.727684020996094,0.5705854296684265,-1.0,-1.0,-1.0,0.4441045437540327,-1.0,2.582698549543108,9.637487411499023,544961920.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.250691413879395,545000000.0,-1.0,10077011.714285715,135.0106157575335,618807396.5714285,17601517.42857143,1602846.392857143,475560548.5714286,-1.0,-1.0,-1.0,59288266.28571428,8825596.0,722247755.3348215,1.3742730617523191,1154.0,452.0,12259.0,7.0,41.40803909301758,2572.0,1920.0,3.0,59.0,59.0,63.0,59.0,59.0,49.0,90.0,545.0,2.0,33.72633457183838,3196.0,10.0,2.28096866607666
7.57,0.6917998620441982,21.27701187133789,0.036535713821649544,31.728168487548828,0.5628851056098938,-1.0,-1.0,-1.0,0.4441045437540327,-1.0,2.582698549543108,3.942160606384277,544961920.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.250691413879395,545000000.0,-1.0,10077011.714285715,135.0106157575335,618807396.5714285,17601517.42857143,1602846.392857143,475560548.5714286,-1.0,-1.0,-1.0,59288266.28571428,8820805.0,722247755.3348215,1.3742730617523191,1154.0,452.0,12259.0,7.0,41.40803909301758,2572.0,1920.0,3.0,59.0,59.0,63.0,59.0,59.0,49.0,90.0,545.0,2.0,33.72633457183838,3196.0,10.0,2.28096866607666
7.67,0.6917998620441982,21.27701187133789,0.036535713821649544,32.48501205444336,0.5612214803695679,-1.0,-1.0,-1.0,0.4441045437540327,-1.0,2.582698549543108,4.368492126464844,544961920.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.250691413879395,545000000.0,-1.0,10077011.714285715,135.0106157575335,618807396.5714285,17601517.42857143,1602846.392857143,475560548.5714286,-1.0,-1.0,-1.0,59288266.28571428,8823844.0,722247755.3348215,1.3742730617523191,1154.0,452.0,12259.0,7.0,41.40803909301758,2572.0,1920.0,3.0,59.0,59.0,63.0,59.0,59.0,49.0,90.0,545.0,2.0,33.72633457183838,3196.0,10.0,2.28096866607666
7.68,0.6917998620441982,21.27701187133789,0.036535713821649544,32.48501205444336,0.5612214803695679,-1.0,-1.0,-1.0,0.4441045437540327,-1.0,2.582698549543108,4.368492126464844,544961920.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.250691413879395,545000000.0,-1.0,10077011.714285715,135.0106157575335,618807396.5714285,17601517.42857143,1602846.392857143,475560548.5714286,-1.0,-1.0,-1.0,59288266.28571428,8823844.0,722247755.3348215,0.5365864336490631,252.5,31.0,7123.5,1.0,16.024084091186523,2572.0,1920.0,3.0,59.0,59.0,63.0,59.0,59.0,49.0,90.0,545.0,2.0,33.72633457183838,3196.0,2.0,2.28096866607666
7.73,0.6917998620441982,21.27701187133789,0.036535713821649544,32.48501205444336,0.5612214803695679,-1.0,-1.0,-1.0,0.4441045437540327,-1.0,2.582698549543108,4.368492126464844,544961920.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.250691413879395,545000000.0,-1.0,10077011.714285715,135.0106157575335,618807396.5714285,17601517.42857143,1602846.392857143,475560548.5714286,-1.0,-1.0,-1.0,59288266.28571428,8823844.0,722247755.3348215,0.4260031580924988,1154.0,452.0,12259.0,7.0,41.51375961303711,2572.0,1920.0,4.0,68.0,66.0,73.0,74.0,72.0,56.0,90.0,545.0,2.0,35.312265157699585,3196.0,25.0,3.4734442234039307
7.77,0.6917998620441982,21.27701187133789,0.036535713821649544,31.72021102905273,0.5257460474967957,-1.0,-1.0,-1.0,0.4441045437540327,-1.0,2.582698549543108,0.6498950719833374,544961920.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.250691413879395,545000000.0,-1.0,10077011.714285715,135.0106157575335,618807396.5714285,17601517.42857143,1602846.392857143,475560548.5714286,-1.0,-1.0,-1.0,59288266.28571428,8816526.0,722247755.3348215,0.4260031580924988,1154.0,452.0,12259.0,7.0,41.51375961303711,2572.0,1920.0,4.0,68.0,66.0,73.0,74.0,72.0,56.0,90.0,545.0,2.0,35.312265157699585,3196.0,25.0,3.4734442234039307
