Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.0,68.42218017578125,31.57781982421875,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,18.354461669921875,30.86823463439941,79.65408325195312,17.853092193603516,95.87737274169922,4.122628688812256,0.3843332529067993,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,7.204861164093018,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,160648724480.0,1683361024.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,1.3325201272964478,0.365209766796657,1224364288.0,63910603.428571425,8555168.0,1437024640.0,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2790.0,1920.0,3.0,50.0,47.0,53.0,46.0,36.0,44.0,90.0,545.0,2.0,35.06394028663635,2736.0,3.0,2.4083287715911865
7.01,68.42218017578125,31.57781982421875,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,18.354461669921875,30.86823463439941,79.65408325195312,17.853092193603516,95.87737274169922,4.122628688812256,0.3843332529067993,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,7.204861164093018,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,160648724480.0,1683361024.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,1.3325201272964478,0.365209766796657,1224364288.0,63910603.428571425,8555168.0,1437024640.0,1.2744207382202148,116.0,2.0,6330.0,1.0,22.83596611022949,2790.0,1920.0,3.0,50.0,47.0,53.0,46.0,36.0,44.0,90.0,545.0,2.0,35.06394028663635,2736.0,3.0,2.4083287715911865
7.08,63.47004318237305,36.54020690917969,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,18.85382843017578,29.410741806030277,79.65408325195312,17.853092193603516,96.69708251953124,3.302919149398804,0.2497280836105346,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,0.6439558267593384,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,163147169792.0,1545226880.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,1.5449811220169067,0.365209766796657,933390464.0,63910603.428571425,6659632.5,1437024640.0,1.2744207382202148,116.0,2.0,6330.0,1.0,22.83596611022949,2790.0,1920.0,3.0,50.0,47.0,53.0,46.0,36.0,44.0,90.0,545.0,2.0,35.06394028663635,2736.0,3.0,2.4083287715911865
7.18,67.59696960449219,32.41560745239258,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,20.43804931640625,31.04592704772949,79.65408325195312,17.853092193603516,96.3750991821289,3.6249029636383057,0.4530754089355469,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,0.6681897640228271,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,161566654464.0,1719561856.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,1.2929182052612305,0.365209766796657,1040193536.0,63910603.428571425,8018519.5,1437024640.0,1.2744207382202148,116.0,2.0,6330.0,1.0,22.83596611022949,2790.0,1920.0,3.0,50.0,47.0,53.0,46.0,36.0,44.0,90.0,545.0,2.0,35.06394028663635,2736.0,3.0,2.4083287715911865
7.22,67.59696960449219,32.41560745239258,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,20.43804931640625,31.04592704772949,79.65408325195312,17.853092193603516,96.3750991821289,3.6249029636383057,0.4530754089355469,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,0.6681897640228271,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,161566654464.0,1719561856.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,1.2929182052612305,0.365209766796657,1040193536.0,63910603.428571425,8018519.5,1437024640.0,1.2087063789367676,1155.0,451.0,12253.0,6.0,24.357778549194336,2790.0,1920.0,3.0,57.0,58.0,63.0,54.0,59.0,49.0,90.0,545.0,2.0,35.382479429244995,2736.0,5.0,2.3267040252685547
7.28,68.06367492675781,31.93219757080078,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,20.31476593017578,31.724836349487305,79.65408325195312,17.853092193603516,96.18710327148438,3.8128981590271,0.5487945079803467,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,0.6574541926383972,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,162285322240.0,1907869056.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,1.1473255157470703,0.365209766796657,1118024704.0,63910603.428571425,8871462.0,1437024640.0,1.2087063789367676,1155.0,451.0,12253.0,6.0,24.357778549194336,2790.0,1920.0,3.0,57.0,58.0,63.0,54.0,59.0,49.0,90.0,545.0,2.0,35.382479429244995,2736.0,5.0,2.3267040252685547
7.38,67.95076751708984,32.0437126159668,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,20.36802101135254,31.71904182434082,79.65408325195312,17.853092193603516,96.19512176513672,3.804877519607544,0.5637003779411316,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,0.6457642912864685,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,161768931328.0,1900128256.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,1.1478426456451416,0.365209766796657,1111972992.0,63910603.428571425,8854604.0,1437024640.0,1.2087063789367676,1155.0,451.0,12253.0,6.0,24.357778549194336,2790.0,1920.0,3.0,57.0,58.0,63.0,54.0,59.0,49.0,90.0,545.0,2.0,35.382479429244995,2736.0,5.0,2.3267040252685547
7.48,67.70403289794922,32.28537368774414,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,20.52948760986328,32.4913330078125,79.65408325195312,17.853092193603516,96.20887756347656,3.791123390197754,0.5456537008285522,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,0.6427955031394958,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,161856913408.0,1899774080.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,1.148067831993103,0.365209766796657,1107537408.0,63910603.428571425,8820039.0,1437024640.0,1.2087063789367676,1155.0,451.0,12253.0,6.0,24.357778549194336,2790.0,1920.0,3.0,57.0,58.0,63.0,54.0,59.0,49.0,90.0,545.0,2.0,35.382479429244995,2736.0,5.0,2.3267040252685547
7.58,67.91558837890625,32.080448150634766,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,20.488916397094727,31.75650978088379,79.65408325195312,17.853092193603516,96.17096710205078,3.82903265953064,0.5231616497039795,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,0.6625916361808777,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,159591219200.0,1874716160.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,1.148859620094299,0.365209766796657,1102461696.0,63910603.428571425,8813192.0,1437024640.0,1.2087063789367676,1155.0,451.0,12253.0,6.0,24.357778549194336,2790.0,1920.0,3.0,57.0,58.0,63.0,54.0,59.0,49.0,90.0,545.0,2.0,35.382479429244995,2736.0,5.0,2.3267040252685547
7.68,67.94132995605469,32.05867385864258,6.3784894943237305,1.2255840301513672,18.967742919921875,78.4637222290039,0.007602134719491,20.31470489501953,32.51312255859375,79.65408325195312,17.853092193603516,96.1551513671875,3.8448503017425537,0.5381121039390564,-1.0,69.9009530203683,693.2339477539062,0.0068939104676246,0.2649786174297333,2.9242700849260603,0.648225724697113,544864064.0,2.7487235069274902,2.7605248178754533,-1.0,61098991616.0,3516453632.0,159239045120.0,1872100864.0,31.866628646850582,545000000.0,0.2367063611745834,1764810.25,267.5778547014509,375851200.0,12166.443359375,173033.859375,321150848.0,1.1495611667633057,0.365209766796657,1102009088.0,63910603.428571425,8808887.0,1437024640.0,1.2087063789367676,1155.0,451.0,12253.0,6.0,24.357778549194336,2790.0,1920.0,3.0,57.0,58.0,63.0,54.0,59.0,49.0,90.0,545.0,2.0,35.382479429244995,2736.0,5.0,2.3267040252685547
