Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.05,0.4571346839269003,22.89423370361328,0.24896923700968424,24.628454208374023,0.8447256088256836,-1.0,-1.0,-1.0,0.2899293502171834,-1.0,2.6190916697184243,0.6418923735618591,544870890.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.76719156901042,545000000.0,-1.0,13022541.333333334,348.8118489583333,839849642.6666666,18139612.0,53651914.666666664,581427498.6666666,-1.0,-1.0,-1.0,88998181.33333333,12117544.0,1006091364.359375,1.102941632270813,1135.0,452.0,12251.0,6.0,21.911392211914062,2729.0,1920.0,3.0,42.0,41.0,46.0,33.0,48.0,35.0,90.0,545.0,2.0,34.908291697502136,3196.0,3.0,2.5042171478271484
7.15,0.4571346839269003,22.89423370361328,0.24896923700968424,23.826492309570312,0.7965355515480042,-1.0,-1.0,-1.0,0.2899293502171834,-1.0,2.6190916697184243,0.6603138446807861,544870890.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.76719156901042,545000000.0,-1.0,13022541.333333334,348.8118489583333,839849642.6666666,18139612.0,53651914.666666664,581427498.6666666,-1.0,-1.0,-1.0,88998181.33333333,12370384.0,1006091364.359375,1.102941632270813,1135.0,452.0,12251.0,6.0,21.911392211914062,2729.0,1920.0,3.0,42.0,41.0,46.0,33.0,48.0,35.0,90.0,545.0,2.0,34.908291697502136,3196.0,3.0,2.5042171478271484
7.25,0.4571346839269003,22.89423370361328,0.24896923700968424,21.765316009521484,0.7129914164543152,-1.0,-1.0,-1.0,0.2899293502171834,-1.0,2.6190916697184243,14.522638320922852,544870890.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.76719156901042,545000000.0,-1.0,13022541.333333334,348.8118489583333,839849642.6666666,18139612.0,53651914.666666664,581427498.6666666,-1.0,-1.0,-1.0,88998181.33333333,12711144.0,1006091364.359375,1.102941632270813,1135.0,452.0,12251.0,6.0,21.911392211914062,2729.0,1920.0,3.0,42.0,41.0,46.0,33.0,48.0,35.0,90.0,545.0,2.0,34.908291697502136,3196.0,3.0,2.5042171478271484
7.35,0.4571346839269003,22.89423370361328,0.24896923700968424,20.384078979492188,0.6320911645889282,-1.0,-1.0,-1.0,0.2899293502171834,-1.0,2.6190916697184243,20.57573127746582,544870890.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.76719156901042,545000000.0,-1.0,13022541.333333334,348.8118489583333,839849642.6666666,18139612.0,53651914.666666664,581427498.6666666,-1.0,-1.0,-1.0,88998181.33333333,13292801.0,1006091364.359375,1.102941632270813,1135.0,452.0,12251.0,6.0,21.911392211914062,2729.0,1920.0,3.0,42.0,41.0,46.0,33.0,48.0,35.0,90.0,545.0,2.0,34.908291697502136,3196.0,3.0,2.5042171478271484
7.45,0.4571346839269003,22.89423370361328,0.24896923700968424,20.995695114135746,0.6362041234970093,-1.0,-1.0,-1.0,0.2899293502171834,-1.0,2.6190916697184243,10.826900482177734,544870890.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.76719156901042,545000000.0,-1.0,13022541.333333334,348.8118489583333,839849642.6666666,18139612.0,53651914.666666664,581427498.6666666,-1.0,-1.0,-1.0,88998181.33333333,13176103.0,1006091364.359375,1.102941632270813,1135.0,452.0,12251.0,6.0,21.911392211914062,2729.0,1920.0,3.0,42.0,41.0,46.0,33.0,48.0,35.0,90.0,545.0,2.0,34.908291697502136,3196.0,3.0,2.5042171478271484
7.55,0.4571346839269003,22.89423370361328,0.24896923700968424,24.115034103393555,0.7500042915344238,-1.0,-1.0,-1.0,0.2899293502171834,-1.0,2.6190916697184243,1.1060091257095337,544870890.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.76719156901042,545000000.0,-1.0,13022541.333333334,348.8118489583333,839849642.6666666,18139612.0,53651914.666666664,581427498.6666666,-1.0,-1.0,-1.0,88998181.33333333,12844003.0,1006091364.359375,1.102941632270813,1135.0,452.0,12251.0,6.0,21.911392211914062,2729.0,1920.0,3.0,42.0,41.0,46.0,33.0,48.0,35.0,90.0,545.0,2.0,34.908291697502136,3196.0,3.0,2.5042171478271484
7.6,0.4571346839269003,22.89423370361328,0.24896923700968424,24.115034103393555,0.7500042915344238,-1.0,-1.0,-1.0,0.2899293502171834,-1.0,2.6190916697184243,1.1060091257095337,544870890.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.76719156901042,545000000.0,-1.0,13022541.333333334,348.8118489583333,839849642.6666666,18139612.0,53651914.666666664,581427498.6666666,-1.0,-1.0,-1.0,88998181.33333333,12844003.0,1006091364.359375,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2729.0,1920.0,3.0,42.0,41.0,46.0,33.0,48.0,35.0,90.0,545.0,2.0,34.908291697502136,3196.0,3.0,2.5042171478271484
7.61,0.4571346839269003,22.89423370361328,0.24896923700968424,24.115034103393555,0.7500042915344238,-1.0,-1.0,-1.0,0.2899293502171834,-1.0,2.6190916697184243,1.1060091257095337,544870890.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.76719156901042,545000000.0,-1.0,13022541.333333334,348.8118489583333,839849642.6666666,18139612.0,53651914.666666664,581427498.6666666,-1.0,-1.0,-1.0,88998181.33333333,12844003.0,1006091364.359375,1.117946743965149,117.0,2.0,6330.0,1.0,22.83596611022949,2729.0,1920.0,3.0,42.0,41.0,46.0,33.0,48.0,35.0,90.0,545.0,2.0,34.908291697502136,3196.0,3.0,2.5042171478271484
7.65,0.4571346839269003,22.89423370361328,0.24896923700968424,21.69658851623535,0.7747325897216797,-1.0,-1.0,-1.0,0.2899293502171834,-1.0,2.6190916697184243,15.077506065368652,544870890.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.76719156901042,545000000.0,-1.0,13022541.333333334,348.8118489583333,839849642.6666666,18139612.0,53651914.666666664,581427498.6666666,-1.0,-1.0,-1.0,88998181.33333333,13323623.0,1006091364.359375,1.117946743965149,117.0,2.0,6330.0,1.0,22.83596611022949,2729.0,1920.0,3.0,42.0,41.0,46.0,33.0,48.0,35.0,90.0,545.0,2.0,34.908291697502136,3196.0,3.0,2.5042171478271484
7.75,0.4571346839269003,22.89423370361328,0.24896923700968424,22.52201271057129,0.7759349346160889,-1.0,-1.0,-1.0,0.2899293502171834,-1.0,2.6190916697184243,10.072185516357422,544870890.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.76719156901042,545000000.0,-1.0,13022541.333333334,348.8118489583333,839849642.6666666,18139612.0,53651914.666666664,581427498.6666666,-1.0,-1.0,-1.0,88998181.33333333,12664856.0,1006091364.359375,1.117946743965149,117.0,2.0,6330.0,1.0,22.83596611022949,2729.0,1920.0,3.0,42.0,41.0,46.0,33.0,48.0,35.0,90.0,545.0,2.0,34.908291697502136,3196.0,3.0,2.5042171478271484
