filepath,filename,room_type,scan_type,trial_number,num_rows,folder
meta_scan_csvs\cleaned\blinds\blinds_10_cleaned.csv,blinds_10_cleaned.csv,blinds,base,10,1719,blinds
meta_scan_csvs\cleaned\blinds\blinds_6_cleaned.csv,blinds_6_cleaned.csv,blinds,base,6,1365,blinds
meta_scan_csvs\cleaned\blinds\blinds_7_cleaned.csv,blinds_7_cleaned.csv,blinds,base,7,301,blinds
meta_scan_csvs\cleaned\blinds\blinds_8_cleaned.csv,blinds_8_cleaned.csv,blinds,base,8,312,blinds
meta_scan_csvs\cleaned\blinds\blinds_9_cleaned.csv,blinds_9_cleaned.csv,blinds,base,9,290,blinds
meta_scan_csvs\cleaned\blinds\blinds_motion_1_cleaned.csv,blinds_motion_1_cleaned.csv,blinds,motion,1,1838,blinds
meta_scan_csvs\cleaned\blinds\blinds_motion_2_cleaned.csv,blinds_motion_2_cleaned.csv,blinds,motion,2,329,blinds
meta_scan_csvs\cleaned\blinds\blinds_motion_3_cleaned.csv,blinds_motion_3_cleaned.csv,blinds,motion,3,335,blinds
meta_scan_csvs\cleaned\blinds\blinds_motion_4_cleaned.csv,blinds_motion_4_cleaned.csv,blinds,motion,4,312,blinds
meta_scan_csvs\cleaned\blinds\blinds_motion_5_cleaned.csv,blinds_motion_5_cleaned.csv,blinds,motion,5,327,blinds
meta_scan_csvs\cleaned\blinds\blinds_object_1_cleaned.csv,blinds_object_1_cleaned.csv,blinds,object,1,1821,blinds
meta_scan_csvs\cleaned\blinds\blinds_object_2_cleaned.csv,blinds_object_2_cleaned.csv,blinds,object,2,327,blinds
meta_scan_csvs\cleaned\blinds\blinds_object_3_cleaned.csv,blinds_object_3_cleaned.csv,blinds,object,3,327,blinds
meta_scan_csvs\cleaned\blinds\blinds_object_4_cleaned.csv,blinds_object_4_cleaned.csv,blinds,object,4,325,blinds
meta_scan_csvs\cleaned\blinds\blinds_object_5_cleaned.csv,blinds_object_5_cleaned.csv,blinds,object,5,1827,blinds
meta_scan_csvs\cleaned\blinds\blinds_person_1_cleaned.csv,blinds_person_1_cleaned.csv,blinds,person,1,350,blinds
meta_scan_csvs\cleaned\blinds\blinds_person_2_cleaned.csv,blinds_person_2_cleaned.csv,blinds,person,2,313,blinds
meta_scan_csvs\cleaned\blinds\blinds_person_3_cleaned.csv,blinds_person_3_cleaned.csv,blinds,person,3,326,blinds
meta_scan_csvs\cleaned\blinds\blinds_person_4_cleaned.csv,blinds_person_4_cleaned.csv,blinds,person,4,312,blinds
meta_scan_csvs\cleaned\blinds\blinds_person_5_cleaned.csv,blinds_person_5_cleaned.csv,blinds,person,5,327,blinds
meta_scan_csvs\cleaned\blinds_up\blinds_up_10_cleaned.csv,blinds_up_10_cleaned.csv,blinds_up,base,10,319,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_6_cleaned.csv,blinds_up_6_cleaned.csv,blinds_up,base,6,295,blinds_up
