ts,value,counter_name,t_s
177052755966604,544908224.0,Clocks / Second,0.0
177052755971292,4.236291408538818,GPU % Bus Busy,4.688e-06
177052755973948,0.14222560822963715,% Vertex Fetch Stall,7.344e-06
177052755976136,0.0,% Texture Fetch Stall,9.532e-06
177052755979261,-1.0,L1 Texture Cache Miss Per Pixel,1.2657e-05
177052755981240,17.79315948486328,% Texture L2 Miss,1.4636e-05
177052755984365,0.005233410280197859,% Stalled on System Memory,1.7761e-05
177052755986604,1460855.375,Pre-clipped Polygons/Second,2e-05
177052755988479,0.26893770694732666,% Prims Trivially Rejected,2.1875e-05
177052755990406,0.22411474585533142,% Prims Clipped,2.3802e-05
177052755992229,2.0192737579345703,Average Vertices / Polygon,2.5625e-05
177052755994677,1542705.125,Reused Vertices / Second,2.8073e-05
177052755996969,-1.0,Average Polygon Area,3.0365e-05
177052755998948,0.0,% Shaders Busy,3.2344e-05
177052756001552,2949867.0,Vertices Shaded / Second,3.4948e-05
177052756003427,-1.0,Fragments Shaded / Second,3.6823e-05
177052756005615,-1.0,Vertex Instructions / Second,3.9011e-05
177052756007958,-1.0,Fragment Instructions / Second,4.1354e-05
177052756010042,-1.0,Fragment ALU Instructions / Sec (Full),4.3438e-05
177052756012021,-1.0,Fragment ALU Instructions / Sec (Half),4.5417e-05
177052756013792,-1.0,Fragment EFU Instructions / Second,4.7188e-05
177052756015823,-1.0,Textures / Vertex,4.9219e-05
177052756017906,-1.0,Textures / Fragment,5.1302e-05
177052756019677,-1.0,ALU / Vertex,5.3073e-05
177052756021448,-1.0,ALU / Fragment,5.4844e-05
177052756023167,-1.0,EFU / Fragment,5.6563e-05
177052756032802,-1.0,EFU / Vertex,6.6198e-05
177052756035302,0.0,% Time Shading Fragments,6.8698e-05
177052756037386,0.0,% Time Shading Vertices,7.0782e-05
177052756039313,0.0,% Time Compute,7.2709e-05
177052756041969,0.0,% Shader ALU Capacity Utilized,7.5365e-05
177052756043740,0.0,% Time ALUs Working,7.7136e-05
177052756045458,0.0,% Time EFUs Working,7.8854e-05
177052756049521,0.0,% Nearest Filtered,8.2917e-05
177052756051448,0.0,% Linear Filtered,8.4844e-05
177052756053167,0.0,% Anisotropic Filtered,8.6563e-05
177052756055094,0.0,% Non-Base Level Textures,8.849e-05
177052756057177,180933904.0,Read Total (Bytes/sec),9.0573e-05
