ts,value,counter_name,t_s
178114855058608,545050880.0,Clocks / Second,0.0
178114855063660,22.540552139282227,GPU % Bus Busy,5.052e-06
178114855066994,1.7557276487350464,% Vertex Fetch Stall,8.386e-06
178114855068869,0.0,% Texture Fetch Stall,1.0261e-05
178114855071837,-1.0,L1 Texture Cache Miss Per Pixel,1.3229e-05
178114855074077,29.205720901489258,% Texture L2 Miss,1.5469e-05
178114855077046,0.11532193422317505,% Stalled on System Memory,1.8438e-05
178114855079181,15188180.0,Pre-clipped Polygons/Second,2.0573e-05
178114855081056,31.425796508789062,% Prims Trivially Rejected,2.2448e-05
178114855083192,1.5851988792419434,% Prims Clipped,2.4584e-05
178114855085119,1.0363844633102417,Average Vertices / Polygon,2.6511e-05
178114855087515,29947144.0,Reused Vertices / Second,2.8907e-05
178114855089494,-1.0,Average Polygon Area,3.0886e-05
178114855091317,0.0,% Shaders Busy,3.2709e-05
178114855094025,15740794.0,Vertices Shaded / Second,3.5417e-05
178114855096525,-1.0,Fragments Shaded / Second,3.7917e-05
178114855098817,-1.0,Vertex Instructions / Second,4.0209e-05
178114855101160,-1.0,Fragment Instructions / Second,4.2552e-05
178114855103087,-1.0,Fragment ALU Instructions / Sec (Full),4.4479e-05
178114855105067,-1.0,Fragment ALU Instructions / Sec (Half),4.6459e-05
178114855106994,-1.0,Fragment EFU Instructions / Second,4.8386e-05
178114855108869,-1.0,Textures / Vertex,5.0261e-05
178114855111004,-1.0,Textures / Fragment,5.2396e-05
178114855112879,-1.0,ALU / Vertex,5.4271e-05
178114855114962,-1.0,ALU / Fragment,5.6354e-05
178114855116733,-1.0,EFU / Fragment,5.8125e-05
178114855128869,-1.0,EFU / Vertex,7.0261e-05
178114855131160,0.0,% Time Shading Fragments,7.2552e-05
178114855133140,0.0,% Time Shading Vertices,7.4532e-05
178114855135015,0.0,% Time Compute,7.6407e-05
178114855137567,0.0,% Shader ALU Capacity Utilized,7.8959e-05
178114855139337,0.0,% Time ALUs Working,8.0729e-05
178114855141369,0.0,% Time EFUs Working,8.2761e-05
178114855144754,0.0,% Nearest Filtered,8.6146e-05
178114855146733,0.0,% Linear Filtered,8.8125e-05
178114855148712,0.0,% Anisotropic Filtered,9.0104e-05
178114855150952,0.0,% Non-Base Level Textures,9.2344e-05
178114855152879,1582022656.0,Read Total (Bytes/sec),9.4271e-05
178114855155119,2357485568.0,Write Total (Bytes/sec),9.6511e-05
178114855157462,1342348800.0,Texture Memory Read BW (Bytes/Second),9.8854e-05
178114855159650,105372312.0,Vertex Memory Read (Bytes/Second),0.000101042
178114855162150,1716860.5,SP Memory Read (Bytes/Second),0.000103542
178114855164077,-1.0,Avg Bytes / Fragment,0.000105469
178114855165848,6.694218635559082,Avg Bytes / Vertex,0.00010724
178114855168140,335.3243103027344,Preemptions / second,0.000109532
178114855170483,0.0,Avg Preemption Delay,0.000111875
178114855172254,545000000.0,GPU Frequency,0.000113646
178114856562723,547323264.0,Clocks / Second,0.001504115
178114856566733,100.0,GPU % Bus Busy,0.001508125
178114856567879,0.0,% Vertex Fetch Stall,0.001509271
178114856568713,0.0,% Texture Fetch Stall,0.001510105
178114856569650,-1.0,L1 Texture Cache Miss Per Pixel,0.001511042
178114856570536,0.0,% Texture L2 Miss,0.001511928
178114856571473,0.0,% Stalled on System Memory,0.001512865
178114856572358,0.0,Pre-clipped Polygons/Second,0.00151375
178114856572983,0.0,% Prims Trivially Rejected,0.001514375
178114856573608,0.0,% Prims Clipped,0.001515
178114856574077,0.0,Average Vertices / Polygon,0.001515469
178114856574598,0.0,Reused Vertices / Second,0.00151599
178114856575171,-1.0,Average Polygon Area,0.001516563
178114856575848,0.0,% Shaders Busy,0.00151724
178114856576317,0.0,Vertices Shaded / Second,0.001517709
178114856576942,-1.0,Fragments Shaded / Second,0.001518334
178114856577463,-1.0,Vertex Instructions / Second,0.001518855
178114856577931,-1.0,Fragment Instructions / Second,0.001519323
178114856578661,-1.0,Fragment ALU Instructions / Sec (Full),0.001520053
178114856579129,-1.0,Fragment ALU Instructions / Sec (Half),0.001520521
178114856579546,-1.0,Fragment EFU Instructions / Second,0.001520938
178114856580015,-1.0,Textures / Vertex,0.001521407
178114856580588,-1.0,Textures / Fragment,0.00152198
178114856581004,-1.0,ALU / Vertex,0.001522396
178114856581525,-1.0,ALU / Fragment,0.001522917
178114856582046,-1.0,EFU / Fragment,0.001523438
178114856582515,-1.0,EFU / Vertex,0.001523907
178114856583192,0.0,% Time Shading Fragments,0.001524584
178114856583713,0.0,% Time Shading Vertices,0.001525105
178114856584233,0.0,% Time Compute,0.001525625
178114856584650,0.0,% Shader ALU Capacity Utilized,0.001526042
178114856585171,0.0,% Time ALUs Working,0.001526563
178114856585848,0.0,% Time EFUs Working,0.00152724
178114856586421,0.0,% Nearest Filtered,0.001527813
178114856586890,0.0,% Linear Filtered,0.001528282
178114856587463,0.0,% Anisotropic Filtered,0.001528855
178114856588192,0.0,% Non-Base Level Textures,0.001529584
178114856588713,0.0,Read Total (Bytes/sec),0.001530105
178114856589181,124943.3515625,Write Total (Bytes/sec),0.001530573
178114856589858,0.0,Texture Memory Read BW (Bytes/Second),0.00153125
178114856590379,0.0,Vertex Memory Read (Bytes/Second),0.001531771
178114856590848,0.0,SP Memory Read (Bytes/Second),0.00153224
178114856591473,-1.0,Avg Bytes / Fragment,0.001532865
178114856591942,0.0,Avg Bytes / Vertex,0.001533334
178114856592411,0.0,Preemptions / second,0.001533803
178114856592879,0.0,Avg Preemption Delay,0.001534271
178114856593348,545000000.0,GPU Frequency,0.00153474
178114857934754,542020992.0,Clocks / Second,0.002876146
178114857938869,100.0,GPU % Bus Busy,0.002880261
178114857939911,0.0,% Vertex Fetch Stall,0.002881303
178114857940744,0.0,% Texture Fetch Stall,0.002882136
178114857941629,-1.0,L1 Texture Cache Miss Per Pixel,0.002883021
178114857942306,0.0,% Texture L2 Miss,0.002883698
178114857942827,0.0,% Stalled on System Memory,0.002884219
178114857943296,0.0,Pre-clipped Polygons/Second,0.002884688
178114857943765,0.0,% Prims Trivially Rejected,0.002885157
178114857944234,0.0,% Prims Clipped,0.002885626
178114857944754,0.0,Average Vertices / Polygon,0.002886146
178114857945275,0.0,Reused Vertices / Second,0.002886667
