ts,value,counter_name,t_s
176199649227192,0.0,application_prediction_milliseconds,0.0
176199649518807,0.0,stale_frames_per_second,0.000291615
176199649522296,0.0,last_used_foveation_level,0.000295104
176199649524848,1.0,application_layer_count,0.000297656
176199649527296,6330.0,app_vss_mb,0.000300104
176199649529744,102.0,app_rss_mb,0.000302552
176199649531775,2.0,app_uss_mb,0.000304583
176199649533286,0.3370116949081421,app_gpu_ms,0.000306094
176199657228026,545109504.0,Clocks / Second,0.008000834
176199657232922,100.0,GPU % Bus Busy,0.00800573
176199657236203,0.0,% Vertex Fetch Stall,0.008009011
176199657238651,0.0,% Texture Fetch Stall,0.008011459
176199657241932,0.0,L1 Texture Cache Miss Per Pixel,0.00801474
176199657244432,0.0,% Texture L2 Miss,0.00801724
176199657247557,0.0,% Stalled on System Memory,0.008020365
176199657249589,0.0,Pre-clipped Polygons/Second,0.008022397
176199657251307,0.0,% Prims Trivially Rejected,0.008024115
176199657253391,0.0,% Prims Clipped,0.008026199
176199657255214,0.0,Average Vertices / Polygon,0.008028022
176199657257401,0.0,Reused Vertices / Second,0.008030209
176199657259328,0.0,Average Polygon Area,0.008032136
176199657261255,0.0,% Shaders Busy,0.008034063
176199657263859,0.0,Vertices Shaded / Second,0.008036667
176199657266151,0.0,Fragments Shaded / Second,0.008038959
176199657268130,0.0,Vertex Instructions / Second,0.008040938
176199657270370,0.0,Fragment Instructions / Second,0.008043178
176199657272349,0.0,Fragment ALU Instructions / Sec (Full),0.008045157
176199657274276,0.0,Fragment ALU Instructions / Sec (Half),0.008047084
176199657276151,0.0,Fragment EFU Instructions / Second,0.008048959
176199657278078,0.0,Textures / Vertex,0.008050886
176199657280214,0.0,Textures / Fragment,0.008053022
176199657282037,0.0,ALU / Vertex,0.008054845
176199657283964,-1.0,ALU / Fragment,0.008056772
176199657285734,-1.0,EFU / Fragment,0.008058542
176199657305578,0.0,EFU / Vertex,0.008078386
176199657307974,0.0,% Time Shading Fragments,0.008080782
176199657310109,0.0,% Time Shading Vertices,0.008082917
176199657311984,0.0,% Time Compute,0.008084792
176199657314380,0.0,% Shader ALU Capacity Utilized,0.008087188
176199657316151,0.0,% Time ALUs Working,0.008088959
176199657317818,0.0,% Time EFUs Working,0.008090626
176199657321203,0.0,% Nearest Filtered,0.008094011
176199657323182,0.0,% Linear Filtered,0.00809599
176199657324901,0.0,% Anisotropic Filtered,0.008097709
176199657327089,0.0,% Non-Base Level Textures,0.008099897
176199657329172,0.0,Read Total (Bytes/sec),0.00810198
176199657349797,147322.984375,Write Total (Bytes/sec),0.008122605
176199657351932,0.0,Texture Memory Read BW (Bytes/Second),0.00812474
176199657353912,0.0,Vertex Memory Read (Bytes/Second),0.00812672
