ts,value,counter_name,t_s
178799174420065,545164288.0,Clocks / Second,0.0
178799174425065,30.475656509399414,GPU % Bus Busy,5e-06
178799174428242,0.6194475293159485,% Vertex Fetch Stall,8.177e-06
178799174430586,0.0,% Texture Fetch Stall,1.0521e-05
178799174434701,-1.0,L1 Texture Cache Miss Per Pixel,1.4636e-05
178799174437721,22.307790756225586,% Texture L2 Miss,1.7656e-05
178799174445534,0.3637630045413971,% Stalled on System Memory,2.5469e-05
178799174447513,24026834.0,Pre-clipped Polygons/Second,2.7448e-05
178799174449440,51.48588943481445,% Prims Trivially Rejected,2.9375e-05
178799174452096,2.0977275371551514,% Prims Clipped,3.2031e-05
178799174454232,1.0217264890670776,Average Vertices / Polygon,3.4167e-05
178799174456680,47579652.0,Reused Vertices / Second,3.6615e-05
178799174459023,-1.0,Average Polygon Area,3.8958e-05
178799174461003,0.0,% Shaders Busy,4.0938e-05
178799174463607,24548852.0,Vertices Shaded / Second,4.3542e-05
178799174466055,-1.0,Fragments Shaded / Second,4.599e-05
178799174468555,-1.0,Vertex Instructions / Second,4.849e-05
178799174470951,-1.0,Fragment Instructions / Second,5.0886e-05
178799174473086,-1.0,Fragment ALU Instructions / Sec (Full),5.3021e-05
178799174475430,-1.0,Fragment ALU Instructions / Sec (Half),5.5365e-05
178799174477409,-1.0,Fragment EFU Instructions / Second,5.7344e-05
178799174479388,-1.0,Textures / Vertex,5.9323e-05
178799174481628,-1.0,Textures / Fragment,6.1563e-05
178799174483555,-1.0,ALU / Vertex,6.349e-05
178799174485586,-1.0,ALU / Fragment,6.5521e-05
178799174487461,-1.0,EFU / Fragment,6.7396e-05
178799174498867,-1.0,EFU / Vertex,7.8802e-05
178799174501263,0.0,% Time Shading Fragments,8.1198e-05
178799174503607,0.0,% Time Shading Vertices,8.3542e-05
178799174505690,0.0,% Time Compute,8.5625e-05
178799174508399,0.0,% Shader ALU Capacity Utilized,8.8334e-05
178799174510378,0.0,% Time ALUs Working,9.0313e-05
178799174512409,0.0,% Time EFUs Working,9.2344e-05
178799174516003,0.0,% Nearest Filtered,9.5938e-05
178799174518086,0.0,% Linear Filtered,9.8021e-05
178799174520378,0.0,% Anisotropic Filtered,0.000100313
178799174522617,0.0,% Non-Base Level Textures,0.000102552
178799174524596,1984922240.0,Read Total (Bytes/sec),0.000104531
178799174527044,2663217920.0,Write Total (Bytes/sec),0.000106979
178799174529596,1666852480.0,Texture Memory Read BW (Bytes/Second),0.000109531
178799174531940,135258032.0,Vertex Memory Read (Bytes/Second),0.000111875
178799174534076,3925469.75,SP Memory Read (Bytes/Second),0.000114011
178799174536159,-1.0,Avg Bytes / Fragment,0.000116094
178799174538034,5.509749412536621,Avg Bytes / Vertex,0.000117969
178799174540169,0.0,Preemptions / second,0.000120104
178799174543086,0.0,Avg Preemption Delay,0.000123021
178799174545482,545000000.0,GPU Frequency,0.000125417
178799175897565,544846144.0,Clocks / Second,0.0014775
178799175901419,27.502561569213867,GPU % Bus Busy,0.001481354
178799175902409,0.8486610054969788,% Vertex Fetch Stall,0.001482344
178799175903294,0.0,% Texture Fetch Stall,0.001483229
178799175904336,-1.0,L1 Texture Cache Miss Per Pixel,0.001484271
178799175905117,22.0290470123291,% Texture L2 Miss,0.001485052
178799175906003,0.08801508694887161,% Stalled on System Memory,0.001485938
178799175906836,30044074.0,Pre-clipped Polygons/Second,0.001486771
178799175907826,50.75893020629883,% Prims Trivially Rejected,0.001487761
178799175908659,1.6243770122528076,% Prims Clipped,0.001488594
178799175909492,1.0380226373672485,Average Vertices / Polygon,0.001489427
178799175910274,58986940.0,Reused Vertices / Second,0.001490209
178799175910951,-1.0,Average Polygon Area,0.001490886
178799175911419,0.0,% Shaders Busy,0.001491354
178799175911888,31186428.0,Vertices Shaded / Second,0.001491823
178799175912513,-1.0,Fragments Shaded / Second,0.001492448
178799175913138,-1.0,Vertex Instructions / Second,0.001493073
178799175913607,-1.0,Fragment Instructions / Second,0.001493542
178799175914024,-1.0,Fragment ALU Instructions / Sec (Full),0.001493959
178799175914492,-1.0,Fragment ALU Instructions / Sec (Half),0.001494427
178799175915013,-1.0,Fragment EFU Instructions / Second,0.001494948
178799175915482,-1.0,Textures / Vertex,0.001495417
178799175915951,-1.0,Textures / Fragment,0.001495886
178799175916419,-1.0,ALU / Vertex,0.001496354
178799175917044,-1.0,ALU / Fragment,0.001496979
178799175917461,-1.0,EFU / Fragment,0.001497396
178799175917930,-1.0,EFU / Vertex,0.001497865
178799175918399,0.0,% Time Shading Fragments,0.001498334
178799175918867,0.0,% Time Shading Vertices,0.001498802
178799175919336,0.0,% Time Compute,0.001499271
178799175919805,0.0,% Shader ALU Capacity Utilized,0.00149974
178799175920222,0.0,% Time ALUs Working,0.001500157
178799175920742,0.0,% Time EFUs Working,0.001500677
178799175921263,0.0,% Nearest Filtered,0.001501198
178799175921732,0.0,% Linear Filtered,0.001501667
178799175922149,0.0,% Anisotropic Filtered,0.001502084
178799175922774,0.0,% Non-Base Level Textures,0.001502709
178799175923190,2178378752.0,Read Total (Bytes/sec),0.001503125
178799175923659,2947923968.0,Write Total (Bytes/sec),0.001503594
178799175924128,1802438656.0,Texture Memory Read BW (Bytes/Second),0.001504063
178799175924544,178771792.0,Vertex Memory Read (Bytes/Second),0.001504479
178799175924961,4900863.0,SP Memory Read (Bytes/Second),0.001504896
178799175925482,-1.0,Avg Bytes / Fragment,0.001505417
178799175925951,5.732358455657959,Avg Bytes / Vertex,0.001505886
178799175926419,0.0,Preemptions / second,0.001506354
178799175926940,0.0,Avg Preemption Delay,0.001506875
178799175927409,545000000.0,GPU Frequency,0.001507344
178799177364336,544955968.0,Clocks / Second,0.002944271
178799177369961,24.251968383789062,GPU % Bus Busy,0.002949896
178799177370899,2.24737286567688,% Vertex Fetch Stall,0.002950834
178799177371680,0.0,% Texture Fetch Stall,0.002951615
178799177373138,-1.0,L1 Texture Cache Miss Per Pixel,0.002953073
178799177373763,28.13462257385254,% Texture L2 Miss,0.002953698
178799177374284,0.019081467762589455,% Stalled on System Memory,0.002954219
178799177374753,21263400.0,Pre-clipped Polygons/Second,0.002954688
178799177375430,49.61516189575195,% Prims Trivially Rejected,0.002955365
178799177375951,1.4206761121749878,% Prims Clipped,0.002955886
178799177376315,1.0584206581115723,Average Vertices / Polygon,0.00295625
178799177376836,42811580.0,Reused Vertices / Second,0.002956771
178799177377253,-1.0,Average Polygon Area,0.002957188
178799177377722,0.0,% Shaders Busy,0.002957657
178799177378190,22505622.0,Vertices Shaded / Second,0.002958125
178799177378711,-1.0,Fragments Shaded / Second,0.002958646
178799177379336,-1.0,Vertex Instructions / Second,0.002959271
178799177379857,-1.0,Fragment Instructions / Second,0.002959792
178799177380326,-1.0,Fragment ALU Instructions / Sec (Full),0.002960261
178799177380795,-1.0,Fragment ALU Instructions / Sec (Half),0.00296073
178799177381263,-1.0,Fragment EFU Instructions / Second,0.002961198
178799177381732,-1.0,Textures / Vertex,0.002961667
178799177382149,-1.0,Textures / Fragment,0.002962084
178799177382565,-1.0,ALU / Vertex,0.0029625
178799177383243,-1.0,ALU / Fragment,0.002963178
178799177383711,-1.0,EFU / Fragment,0.002963646
178799177384232,-1.0,EFU / Vertex,0.002964167
178799177384857,0.0,% Time Shading Fragments,0.002964792
178799177385378,0.0,% Time Shading Vertices,0.002965313
178799177385847,0.0,% Time Compute,0.002965782
178799177386315,0.0,% Shader ALU Capacity Utilized,0.00296625
178799177386732,0.0,% Time ALUs Working,0.002966667
178799177387253,0.0,% Time EFUs Working,0.002967188
178799177387826,0.0,% Nearest Filtered,0.002967761
178799177388190,0.0,% Linear Filtered,0.002968125
178799177388711,0.0,% Anisotropic Filtered,0.002968646
178799177389180,0.0,% Non-Base Level Textures,0.002969115
178799177389649,1494853120.0,Read Total (Bytes/sec),0.002969584
178799177390065,1405776512.0,Write Total (Bytes/sec),0.00297
178799177390534,1265690240.0,Texture Memory Read BW (Bytes/Second),0.002970469
178799177390951,114246888.0,Vertex Memory Read (Bytes/Second),0.002970886
178799177391420,1984093.75,SP Memory Read (Bytes/Second),0.002971355
178799177391940,-1.0,Avg Bytes / Fragment,0.002971875
178799177392409,5.076371192932129,Avg Bytes / Vertex,0.002972344
178799177392930,0.0,Preemptions / second,0.002972865
178799177393399,0.0,Avg Preemption Delay,0.002973334
178799177393868,545000000.0,GPU Frequency,0.002973803
178799178729857,545201792.0,Clocks / Second,0.004309792
178799178734232,48.618350982666016,GPU % Bus Busy,0.004314167
