ts,value,counter_name,t_s
178857051364737,544868608.0,Clocks / Second,0.0
178857051370779,14.194369316101074,GPU % Bus Busy,6.042e-06
178857051374008,0.759223222732544,% Vertex Fetch Stall,9.271e-06
178857051375935,0.0,% Texture Fetch Stall,1.1198e-05
178857051379372,-1.0,L1 Texture Cache Miss Per Pixel,1.4635e-05
178857051381716,26.621278762817383,% Texture L2 Miss,1.6979e-05
178857051384581,0.11828595399856567,% Stalled on System Memory,1.9844e-05
178857051386560,43962256.0,Pre-clipped Polygons/Second,2.1823e-05
178857051388227,63.127315521240234,% Prims Trivially Rejected,2.349e-05
178857051390154,1.5046311616897583,% Prims Clipped,2.5417e-05
178857051392029,0.9079039096832275,Average Vertices / Polygon,2.7292e-05
178857051394320,67114272.0,Reused Vertices / Second,2.9583e-05
178857051396456,-1.0,Average Polygon Area,3.1719e-05
178857051398331,0.0,% Shaders Busy,3.3594e-05
178857051401352,39913504.0,Vertices Shaded / Second,3.6615e-05
178857051403487,-1.0,Fragments Shaded / Second,3.875e-05
178857051405727,-1.0,Vertex Instructions / Second,4.099e-05
178857051407966,-1.0,Fragment Instructions / Second,4.3229e-05
178857051409998,-1.0,Fragment ALU Instructions / Sec (Full),4.5261e-05
178857051411977,-1.0,Fragment ALU Instructions / Sec (Half),4.724e-05
178857051413748,-1.0,Fragment EFU Instructions / Second,4.9011e-05
178857051416039,-1.0,Textures / Vertex,5.1302e-05
178857051418070,-1.0,Textures / Fragment,5.3333e-05
178857051420154,-1.0,ALU / Vertex,5.5417e-05
178857051422341,-1.0,ALU / Fragment,5.7604e-05
178857051424060,-1.0,EFU / Fragment,5.9323e-05
178857051436143,-1.0,EFU / Vertex,7.1406e-05
178857051438383,0.0,% Time Shading Fragments,7.3646e-05
178857051440310,0.0,% Time Shading Vertices,7.5573e-05
178857051442185,0.0,% Time Compute,7.7448e-05
178857051444789,0.0,% Shader ALU Capacity Utilized,8.0052e-05
178857051446716,0.0,% Time ALUs Working,8.1979e-05
178857051448539,0.0,% Time EFUs Working,8.3802e-05
178857051451820,0.0,% Nearest Filtered,8.7083e-05
178857051453748,0.0,% Linear Filtered,8.9011e-05
178857051455935,0.0,% Anisotropic Filtered,9.1198e-05
178857051458123,0.0,% Non-Base Level Textures,9.3386e-05
178857051459841,2347038464.0,Read Total (Bytes/sec),9.5104e-05
178857051462654,2459138304.0,Write Total (Bytes/sec),9.7917e-05
178857051465206,1822496384.0,Texture Memory Read BW (Bytes/Second),0.000100469
178857051467237,206777072.0,Vertex Memory Read (Bytes/Second),0.0001025
178857051469216,6524339.5,SP Memory Read (Bytes/Second),0.000104479
178857051470987,-1.0,Avg Bytes / Fragment,0.00010625
178857051472758,5.180629730224609,Avg Bytes / Vertex,0.000108021
178857051474685,579.220458984375,Preemptions / second,0.000109948
178857051477237,49.80833435058594,Avg Preemption Delay,0.0001125
178857051479060,545000000.0,GPU Frequency,0.000114323
178857052797706,544646784.0,Clocks / Second,0.001432969
178857052802966,15.46909236907959,GPU % Bus Busy,0.001438229
178857052803852,0.122047558426857,% Vertex Fetch Stall,0.001439115
178857052804321,0.0,% Texture Fetch Stall,0.001439584
178857052804841,-1.0,L1 Texture Cache Miss Per Pixel,0.001440104
178857052805310,22.733110427856445,% Texture L2 Miss,0.001440573
178857052805779,0.046015072613954544,% Stalled on System Memory,0.001441042
178857052806508,14910870.0,Pre-clipped Polygons/Second,0.001441771
178857052807133,28.15056610107422,% Prims Trivially Rejected,0.001442396
178857052807550,1.9281736612319946,% Prims Clipped,0.001442813
178857052807966,0.9214903116226196,Average Vertices / Polygon,0.001443229
178857052808956,25872808.0,Reused Vertices / Second,0.001444219
178857052809581,-1.0,Average Polygon Area,0.001444844
178857052810102,0.0,% Shaders Busy,0.001445365
178857052810779,13740222.0,Vertices Shaded / Second,0.001446042
178857052811248,-1.0,Fragments Shaded / Second,0.001446511
178857052812029,-1.0,Vertex Instructions / Second,0.001447292
178857052812498,-1.0,Fragment Instructions / Second,0.001447761
178857052812914,-1.0,Fragment ALU Instructions / Sec (Full),0.001448177
178857052813331,-1.0,Fragment ALU Instructions / Sec (Half),0.001448594
178857052813904,-1.0,Fragment EFU Instructions / Second,0.001449167
178857052814373,-1.0,Textures / Vertex,0.001449636
178857052814789,-1.0,Textures / Fragment,0.001450052
178857052815206,-1.0,ALU / Vertex,0.001450469
178857052816196,-1.0,ALU / Fragment,0.001451459
178857052816716,-1.0,EFU / Fragment,0.001451979
178857052817185,-1.0,EFU / Vertex,0.001452448
178857052817654,0.0,% Time Shading Fragments,0.001452917
178857052818175,0.0,% Time Shading Vertices,0.001453438
178857052818643,0.0,% Time Compute,0.001453906
178857052819112,0.0,% Shader ALU Capacity Utilized,0.001454375
178857052819581,0.0,% Time ALUs Working,0.001454844
178857052820050,0.0,% Time EFUs Working,0.001455313
178857052821143,0.0,% Nearest Filtered,0.001456406
178857052821612,0.0,% Linear Filtered,0.001456875
178857052822393,0.0,% Anisotropic Filtered,0.001457656
178857052822862,0.0,% Non-Base Level Textures,0.001458125
178857052823696,1844262912.0,Read Total (Bytes/sec),0.001458959
178857052824164,3014690816.0,Write Total (Bytes/sec),0.001459427
178857052824581,1365740544.0,Texture Memory Read BW (Bytes/Second),0.001459844
178857052825050,149916240.0,Vertex Memory Read (Bytes/Second),0.001460313
178857052825466,5388187.5,SP Memory Read (Bytes/Second),0.001460729
178857052826039,-1.0,Avg Bytes / Fragment,0.001461302
178857052826456,10.910758018493652,Avg Bytes / Vertex,0.001461719
178857052827237,572.7239990234375,Preemptions / second,0.0014625
178857052827706,0.9161900877952576,Avg Preemption Delay,0.001462969
178857052828175,545000000.0,GPU Frequency,0.001463438
178857054205675,545012480.0,Clocks / Second,0.002840938
178857054212446,26.686447143554688,GPU % Bus Busy,0.002847709
178857054213279,0.3193076550960541,% Vertex Fetch Stall,0.002848542
178857054213748,0.0,% Texture Fetch Stall,0.002849011
178857054214581,-1.0,L1 Texture Cache Miss Per Pixel,0.002849844
178857054215050,30.26171112060547,% Texture L2 Miss,0.002850313
178857054215727,0.01061326451599598,% Stalled on System Memory,0.00285099
178857054216456,5230637.5,Pre-clipped Polygons/Second,0.002851719
178857054217289,0.0,% Prims Trivially Rejected,0.002852552
178857054217810,1.0823974609375,% Prims Clipped,0.002853073
178857054218279,1.0269246101379395,Average Vertices / Polygon,0.002853542
178857054218800,10345920.0,Reused Vertices / Second,0.002854063
178857054219269,-1.0,Average Polygon Area,0.002854532
178857054219789,0.0,% Shaders Busy,0.002855052
178857054220258,5371470.5,Vertices Shaded / Second,0.002855521
178857054220831,-1.0,Fragments Shaded / Second,0.002856094
178857054221821,-1.0,Vertex Instructions / Second,0.002857084
178857054222394,-1.0,Fragment Instructions / Second,0.002857657
178857054222810,-1.0,Fragment ALU Instructions / Sec (Full),0.002858073
178857054223279,-1.0,Fragment ALU Instructions / Sec (Half),0.002858542
178857054223904,-1.0,Fragment EFU Instructions / Second,0.002859167
178857054224373,-1.0,Textures / Vertex,0.002859636
178857054224842,-1.0,Textures / Fragment,0.002860105
178857054225258,-1.0,ALU / Vertex,0.002860521
178857054225987,-1.0,ALU / Fragment,0.00286125
178857054226456,-1.0,EFU / Fragment,0.002861719
178857054226925,-1.0,EFU / Vertex,0.002862188
178857054227602,0.0,% Time Shading Fragments,0.002862865
178857054228175,0.0,% Time Shading Vertices,0.002863438
178857054228644,0.0,% Time Compute,0.002863907
178857054229112,0.0,% Shader ALU Capacity Utilized,0.002864375
178857054229529,0.0,% Time ALUs Working,0.002864792
178857054230154,0.0,% Time EFUs Working,0.002865417
178857054230883,0.0,% Nearest Filtered,0.002866146
178857054231300,0.0,% Linear Filtered,0.002866563
178857054231769,0.0,% Anisotropic Filtered,0.002867032
178857054232394,0.0,% Non-Base Level Textures,0.002867657
178857054232810,1512311680.0,Read Total (Bytes/sec),0.002868073
178857054233279,2472139008.0,Write Total (Bytes/sec),0.002868542
178857054233696,1391243520.0,Texture Memory Read BW (Bytes/Second),0.002868959
178857054234321,28761076.0,Vertex Memory Read (Bytes/Second),0.002869584
178857054234946,1766428.25,SP Memory Read (Bytes/Second),0.002870209
178857054235519,-1.0,Avg Bytes / Fragment,0.002870782
178857054235935,5.3544135093688965,Avg Bytes / Vertex,0.002871198
178857054236560,0.0,Preemptions / second,0.002871823
178857054237029,0.0,Avg Preemption Delay,0.002872292
178857054237498,545000000.0,GPU Frequency,0.002872761
178857055552550,545047488.0,Clocks / Second,0.004187813
178857055570675,100.0,GPU % Bus Busy,0.004205938
178857055571717,0.0,% Vertex Fetch Stall,0.00420698
178857055572394,0.0,% Texture Fetch Stall,0.004207657
178857055573175,-1.0,L1 Texture Cache Miss Per Pixel,0.004208438
178857055573852,0.0,% Texture L2 Miss,0.004209115
178857055575675,0.0,% Stalled on System Memory,0.004210938
178857055576404,0.0,Pre-clipped Polygons/Second,0.004211667
178857055577185,0.0,% Prims Trivially Rejected,0.004212448
178857055577967,0.0,% Prims Clipped,0.00421323
178857055578644,0.0,Average Vertices / Polygon,0.004213907
178857055579373,0.0,Reused Vertices / Second,0.004214636
178857055579998,-1.0,Average Polygon Area,0.004215261
178857055580623,0.0,% Shaders Busy,0.004215886
178857055581144,0.0,Vertices Shaded / Second,0.004216407
178857055581613,-1.0,Fragments Shaded / Second,0.004216876
178857055582290,-1.0,Vertex Instructions / Second,0.004217553
178857055582758,-1.0,Fragment Instructions / Second,0.004218021
178857055583383,-1.0,Fragment ALU Instructions / Sec (Full),0.004218646
