ts,value,counter_name,t_s
258383480724034,544751552.0,Clocks / Second,0.0
258383480729087,24.517969131469727,GPU % Bus Busy,5.053e-06
258383480731899,0.4030091464519501,% Vertex Fetch Stall,7.865e-06
258383480734295,24.5745792388916,% Texture Fetch Stall,1.0261e-05
258383480737472,0.2530158758163452,L1 Texture Cache Miss Per Pixel,1.3438e-05
258383480739712,27.330711364746094,% Texture L2 Miss,1.5678e-05
258383480742159,0.007507032714784145,% Stalled on System Memory,1.8125e-05
258383480744139,14347535.0,Pre-clipped Polygons/Second,2.0105e-05
258383480745962,29.88254737854004,% Prims Trivially Rejected,2.1928e-05
258383480748201,2.0826966762542725,% Prims Clipped,2.4167e-05
258383480750232,1.0330524444580078,Average Vertices / Polygon,2.6198e-05
258383480752212,28265954.0,Reused Vertices / Second,2.8178e-05
258383480754087,310.8257751464844,Average Polygon Area,3.0053e-05
258383480756014,83.83296966552734,% Shaders Busy,3.198e-05
258383480758149,14821756.0,Vertices Shaded / Second,3.4115e-05
258383480760389,3058990592.0,Fragments Shaded / Second,3.6355e-05
258383480762159,2622378240.0,Vertex Instructions / Second,3.8125e-05
258383480764243,243560120320.0,Fragment Instructions / Second,4.0209e-05
258383480765962,141879066624.0,Fragment ALU Instructions / Sec (Full),4.1928e-05
258383480767680,177436147712.0,Fragment ALU Instructions / Sec (Half),4.3646e-05
258383480769347,12962974720.0,Fragment EFU Instructions / Second,4.5313e-05
258383480771482,1.1029585599899292,Textures / Vertex,4.7448e-05
258383480773618,1.0502468347549438,Textures / Fragment,4.9584e-05
258383480834087,169.5164794921875,ALU / Vertex,0.000110053
258383480841222,65.52257537841797,ALU / Fragment,0.000117188
258383480845857,3.6833393573760986,EFU / Fragment,0.000121823
258383480874347,7.411158084869385,EFU / Vertex,0.000150313
258383480877628,96.02962493896484,% Time Shading Fragments,0.000153594
258383480880441,3.9703750610351562,% Time Shading Vertices,0.000156407
258383480883409,0.0,% Time Compute,0.000159375
258383480887107,76.11894989013672,% Shader ALU Capacity Utilized,0.000163073
258383480889191,79.09380340576172,% Time ALUs Working,0.000165157
258383480891066,22.477313995361328,% Time EFUs Working,0.000167032
258383480900701,44.42420196533203,% Nearest Filtered,0.000176667
258383480902680,55.57579803466797,% Linear Filtered,0.000178646
258383480904764,0.0,% Anisotropic Filtered,0.00018073
258383480907003,0.0,% Non-Base Level Textures,0.000182969
258383480909191,1530777984.0,Read Total (Bytes/sec),0.000185157
258383480911222,2199944448.0,Write Total (Bytes/sec),0.000187188
258383480913722,1295995264.0,Texture Memory Read BW (Bytes/Second),0.000189688
258383480915753,100833048.0,Vertex Memory Read (Bytes/Second),0.000191719
258383480917732,2245189.0,SP Memory Read (Bytes/Second),0.000193698
258383480919607,0.3998662233352661,Avg Bytes / Fragment,0.000195573
258383480921534,6.803042888641357,Avg Bytes / Vertex,0.0001975
258383480923201,0.0,Preemptions / second,0.000199167
258383480924920,0.0,Avg Preemption Delay,0.000200886
258383480926847,545000000.0,GPU Frequency,0.000202813
258383482288930,544841344.0,Clocks / Second,0.001564896
258383482292524,2.2567474842071533,GPU % Bus Busy,0.00156849
258383482293566,0.22937534749507904,% Vertex Fetch Stall,0.001569532
258383482294451,0.0,% Texture Fetch Stall,0.001570417
258383482295389,0.0,L1 Texture Cache Miss Per Pixel,0.001571355
258383482296170,0.0,% Texture L2 Miss,0.001572136
258383482297003,0.018581120297312737,% Stalled on System Memory,0.001572969
258383482297889,15627711.0,Pre-clipped Polygons/Second,0.001573855
258383482298618,99.99639892578125,% Prims Trivially Rejected,0.001574584
258383482299191,0.018001800402998924,% Prims Clipped,0.001575157
258383482299764,0.71596759557724,Average Vertices / Polygon,0.00157573
258383482300285,12353065.0,Reused Vertices / Second,0.001576251
258383482300805,0.0,Average Polygon Area,0.001576771
258383482301274,5.193110942840576,% Shaders Busy,0.00157724
258383482301743,11188934.0,Vertices Shaded / Second,0.001577709
258383482302212,0.0,Fragments Shaded / Second,0.001578178
258383482302733,1248736000.0,Vertex Instructions / Second,0.001578699
258383482303201,0.0,Fragment Instructions / Second,0.001579167
258383482303722,0.0,Fragment ALU Instructions / Sec (Full),0.001579688
258383482304139,0.0,Fragment ALU Instructions / Sec (Half),0.001580105
258383482304660,0.0,Fragment EFU Instructions / Second,0.001580626
258383482305128,0.0,Textures / Vertex,0.001581094
258383482305597,0.0,Textures / Fragment,0.001581563
258383482306066,111.27245330810547,ALU / Vertex,0.001582032
258383482306639,0.0,ALU / Fragment,0.001582605
258383482307108,0.0,EFU / Fragment,0.001583074
258383482307576,0.33209294080734253,EFU / Vertex,0.001583542
258383482308097,0.0,% Time Shading Fragments,0.001584063
258383482308566,100.0,% Time Shading Vertices,0.001584532
258383482309035,0.0,% Time Compute,0.001585001
258383482309451,6.385362148284912,% Shader ALU Capacity Utilized,0.001585417
258383482309920,6.558145999908447,% Time ALUs Working,0.001585886
258383482310389,0.1529187560081482,% Time EFUs Working,0.001586355
258383482310858,0.0,% Nearest Filtered,0.001586824
258383482311378,0.0,% Linear Filtered,0.001587344
258383482311795,0.0,% Anisotropic Filtered,0.001587761
258383482312420,0.0,% Non-Base Level Textures,0.001588386
258383482312889,331758720.0,Read Total (Bytes/sec),0.001588855
258383482313410,184406416.0,Write Total (Bytes/sec),0.001589376
258383482313930,0.0,Texture Memory Read BW (Bytes/Second),0.001589896
258383482314399,67338416.0,Vertex Memory Read (Bytes/Second),0.001590365
258383482314920,3889063.5,SP Memory Read (Bytes/Second),0.001590886
258383482315389,0.0,Avg Bytes / Fragment,0.001591355
258383482315910,6.018304347991943,Avg Bytes / Vertex,0.001591876
258383482316430,281.3269348144531,Preemptions / second,0.001592396
258383482316899,0.6313764452934265,Avg Preemption Delay,0.001592865
258383482317368,545000000.0,GPU Frequency,0.001593334
258383483620806,545007552.0,Clocks / Second,0.002896772
258383483622681,100.0,GPU % Bus Busy,0.002898647
258383483623462,0.0,% Vertex Fetch Stall,0.002899428
258383483624243,0.0,% Texture Fetch Stall,0.002900209
258383483624972,0.0,L1 Texture Cache Miss Per Pixel,0.002900938
258383483625701,0.0,% Texture L2 Miss,0.002901667
258383483626431,0.0,% Stalled on System Memory,0.002902397
258383483627160,0.0,Pre-clipped Polygons/Second,0.002903126
258383483627941,0.0,% Prims Trivially Rejected,0.002903907
258383483628566,0.0,% Prims Clipped,0.002904532
258383483629087,0.0,Average Vertices / Polygon,0.002905053
258383483629556,0.0,Reused Vertices / Second,0.002905522
258383483630128,0.0,Average Polygon Area,0.002906094
258383483630649,0.0,% Shaders Busy,0.002906615
258383483631118,0.0,Vertices Shaded / Second,0.002907084
258383483631587,0.0,Fragments Shaded / Second,0.002907553
258383483632056,0.0,Vertex Instructions / Second,0.002908022
258383483632524,0.0,Fragment Instructions / Second,0.00290849
258383483632941,0.0,Fragment ALU Instructions / Sec (Full),0.002908907
258383483633358,0.0,Fragment ALU Instructions / Sec (Half),0.002909324
258383483633826,0.0,Fragment EFU Instructions / Second,0.002909792
258383483634243,0.0,Textures / Vertex,0.002910209
258383483634712,0.0,Textures / Fragment,0.002910678
258383483635181,0.0,ALU / Vertex,0.002911147
258383483635597,0.0,ALU / Fragment,0.002911563
258383483636118,0.0,EFU / Fragment,0.002912084
258383483636535,0.0,EFU / Vertex,0.002912501
258383483637108,0.0,% Time Shading Fragments,0.002913074
258383483637628,0.0,% Time Shading Vertices,0.002913594
258383483638097,0.0,% Time Compute,0.002914063
258383483638566,0.0,% Shader ALU Capacity Utilized,0.002914532
258383483639035,0.0,% Time ALUs Working,0.002915001
258383483639451,0.0,% Time EFUs Working,0.002915417
258383483639972,0.0,% Nearest Filtered,0.002915938
258383483640389,0.0,% Linear Filtered,0.002916355
258383483640806,0.0,% Anisotropic Filtered,0.002916772
258383483641326,0.0,% Non-Base Level Textures,0.002917292
258383483641847,0.0,Read Total (Bytes/sec),0.002917813
258383483642264,164058.75,Write Total (Bytes/sec),0.00291823
258383483642785,0.0,Texture Memory Read BW (Bytes/Second),0.002918751
258383483643253,0.0,Vertex Memory Read (Bytes/Second),0.002919219
258383483643774,0.0,SP Memory Read (Bytes/Second),0.00291974
258383483644243,0.0,Avg Bytes / Fragment,0.002920209
258383483644712,0.0,Avg Bytes / Vertex,0.002920678
258383483645181,0.0,Preemptions / second,0.002921147
258383483645701,0.0,Avg Preemption Delay,0.002921667
258383483646170,545000000.0,GPU Frequency,0.002922136
258383484927524,544959488.0,Clocks / Second,0.00420349
258383484928462,100.0,GPU % Bus Busy,0.004204428
258383484928931,0.0,% Vertex Fetch Stall,0.004204897
258383484929399,0.0,% Texture Fetch Stall,0.004205365
258383484929868,0.0,L1 Texture Cache Miss Per Pixel,0.004205834
258383484930285,0.0,% Texture L2 Miss,0.004206251
258383484930754,0.0,% Stalled on System Memory,0.00420672
258383484931170,0.0,Pre-clipped Polygons/Second,0.004207136
258383484931639,0.0,% Prims Trivially Rejected,0.004207605
258383484932108,0.0,% Prims Clipped,0.004208074
258383484932524,0.0,Average Vertices / Polygon,0.00420849
258383484932941,0.0,Reused Vertices / Second,0.004208907
258383484933410,0.0,Average Polygon Area,0.004209376
258383484933931,0.0,% Shaders Busy,0.004209897
258383484934347,0.0,Vertices Shaded / Second,0.004210313
258383484934816,0.0,Fragments Shaded / Second,0.004210782
258383484935337,0.0,Vertex Instructions / Second,0.004211303
258383484935754,0.0,Fragment Instructions / Second,0.00421172
258383484936222,0.0,Fragment ALU Instructions / Sec (Full),0.004212188
258383484936691,0.0,Fragment ALU Instructions / Sec (Half),0.004212657
258383484937160,0.0,Fragment EFU Instructions / Second,0.004213126
258383484937577,0.0,Textures / Vertex,0.004213543
258383484937993,0.0,Textures / Fragment,0.004213959
258383484938410,0.0,ALU / Vertex,0.004214376
258383484938879,0.0,ALU / Fragment,0.004214845
258383484939295,0.0,EFU / Fragment,0.004215261
258383484939712,0.0,EFU / Vertex,0.004215678
258383484940233,0.0,% Time Shading Fragments,0.004216199
258383484940702,0.0,% Time Shading Vertices,0.004216668
258383484941170,0.0,% Time Compute,0.004217136
258383484941639,0.0,% Shader ALU Capacity Utilized,0.004217605
258383484942056,0.0,% Time ALUs Working,0.004218022
258383484942472,0.0,% Time EFUs Working,0.004218438
258383484942941,0.0,% Nearest Filtered,0.004218907
258383484943306,0.0,% Linear Filtered,0.004219272
258383484943827,0.0,% Anisotropic Filtered,0.004219793
258383484944295,0.0,% Non-Base Level Textures,0.004220261
258383484944764,0.0,Read Total (Bytes/sec),0.00422073
258383484945181,169583.21875,Write Total (Bytes/sec),0.004221147
258383484945702,0.0,Texture Memory Read BW (Bytes/Second),0.004221668
258383484946170,0.0,Vertex Memory Read (Bytes/Second),0.004222136
258383484946639,0.0,SP Memory Read (Bytes/Second),0.004222605
258383484947160,0.0,Avg Bytes / Fragment,0.004223126
258383484947629,0.0,Avg Bytes / Vertex,0.004223595
258383484948097,0.0,Preemptions / second,0.004224063
258383484948566,0.0,Avg Preemption Delay,0.004224532
258383484949035,545000000.0,GPU Frequency,0.004225001
258383486323462,545036608.0,Clocks / Second,0.005599428
