ts,value,counter_name,t_s
3309875931594,544832000.0,Clocks / Second,0.0
3309875937167,8.713425636291504,GPU % Bus Busy,5.573e-06
3309875940032,0.8060101270675659,% Vertex Fetch Stall,8.438e-06
3309875942532,0.0,% Texture Fetch Stall,1.0938e-05
3309875945553,-1.0,L1 Texture Cache Miss Per Pixel,1.3959e-05
3309875947584,26.532976150512695,% Texture L2 Miss,1.599e-05
3309875949980,0.33487439155578613,% Stalled on System Memory,1.8386e-05
3309875952584,13972665.0,Pre-clipped Polygons/Second,2.099e-05
3309875954303,50.018707275390625,% Prims Trivially Rejected,2.2709e-05
3309875957532,2.1464645862579346,% Prims Clipped,2.5938e-05
3309875959459,1.1716235876083374,Average Vertices / Polygon,2.7865e-05
3309875961542,31610346.0,Reused Vertices / Second,2.9948e-05
3309875963782,-1.0,Average Polygon Area,3.2188e-05
3309875966074,0.0,% Shaders Busy,3.448e-05
3309875968626,16370705.0,Vertices Shaded / Second,3.7032e-05
3309875970709,-1.0,Fragments Shaded / Second,3.9115e-05
3309875972636,-1.0,Vertex Instructions / Second,4.1042e-05
3309875974563,-1.0,Fragment Instructions / Second,4.2969e-05
3309875976230,-1.0,Fragment ALU Instructions / Sec (Full),4.4636e-05
3309875977949,-1.0,Fragment ALU Instructions / Sec (Half),4.6355e-05
3309875979667,-1.0,Fragment EFU Instructions / Second,4.8073e-05
3309875981490,-1.0,Textures / Vertex,4.9896e-05
3309875983313,-1.0,Textures / Fragment,5.1719e-05
3309875985084,-1.0,ALU / Vertex,5.349e-05
3309875986959,-1.0,ALU / Fragment,5.5365e-05
3309875989147,-1.0,EFU / Fragment,5.7553e-05
3309876002897,-1.0,EFU / Vertex,7.1303e-05
3309876004928,0.0,% Time Shading Fragments,7.3334e-05
3309876007115,0.0,% Time Shading Vertices,7.5521e-05
3309876009042,0.0,% Time Compute,7.7448e-05
3309876010969,0.0,% Shader ALU Capacity Utilized,7.9375e-05
3309876012740,0.0,% Time ALUs Working,8.1146e-05
3309876014459,0.0,% Time EFUs Working,8.2865e-05
3309876018782,0.0,% Nearest Filtered,8.7188e-05
3309876020501,0.0,% Linear Filtered,8.8907e-05
3309876022272,0.0,% Anisotropic Filtered,9.0678e-05
3309876024355,0.0,% Non-Base Level Textures,9.2761e-05
3309876026282,567646720.0,Read Total (Bytes/sec),9.4688e-05
3309876028886,8342826.0,Write Total (Bytes/sec),9.7292e-05
3309876030917,396754688.0,Texture Memory Read BW (Bytes/Second),9.9323e-05
3309876032792,85770104.0,Vertex Memory Read (Bytes/Second),0.000101198
3309876034719,920010.875,SP Memory Read (Bytes/Second),0.000103125
3309876036386,-1.0,Avg Bytes / Fragment,0.000104792
3309876038157,5.239243030548096,Avg Bytes / Vertex,0.000106563
3309876039980,326.7084045410156,Preemptions / second,0.000108386
3309876041803,0.42949017882347107,Avg Preemption Delay,0.000110209
3309876043522,545000000.0,GPU Frequency,0.000111928
3309877479407,545024896.0,Clocks / Second,0.001547813
3309877484303,24.996278762817383,GPU % Bus Busy,0.001552709
3309877485553,0.6389270424842834,% Vertex Fetch Stall,0.001553959
3309877486438,0.0,% Texture Fetch Stall,0.001554844
