ts,value,counter_name,t_s
1502772552560,545193472.0,Clocks / Second,0.0
1502772592404,100.0,GPU % Bus Busy,3.9844e-05
1502772595789,0.0,% Vertex Fetch Stall,4.3229e-05
1502772598550,0.0,% Texture Fetch Stall,4.599e-05
1502772601206,0.0,L1 Texture Cache Miss Per Pixel,4.8646e-05
1502772602873,0.0,% Texture L2 Miss,5.0313e-05
1502772604644,0.0,% Stalled on System Memory,5.2084e-05
1502772621154,0.0,Pre-clipped Polygons/Second,6.8594e-05
1502772623029,0.0,% Prims Trivially Rejected,7.0469e-05
1502772624644,0.0,% Prims Clipped,7.2084e-05
1502772626258,0.0,Average Vertices / Polygon,7.3698e-05
1502772642456,0.0,Reused Vertices / Second,8.9896e-05
1502772644071,0.0,Average Polygon Area,9.1511e-05
1502772645581,0.0,% Shaders Busy,9.3021e-05
1502772647508,0.0,Vertices Shaded / Second,9.4948e-05
1502772649331,0.0,Fragments Shaded / Second,9.6771e-05
1502772650841,0.0,Vertex Instructions / Second,9.8281e-05
1502772652404,0.0,Fragment Instructions / Second,9.9844e-05
1502772653966,0.0,Fragment ALU Instructions / Sec (Full),0.000101406
1502772655685,0.0,Fragment ALU Instructions / Sec (Half),0.000103125
1502772657248,0.0,Fragment EFU Instructions / Second,0.000104688
1502772658758,0.0,Textures / Vertex,0.000106198
1502772660269,0.0,Textures / Fragment,0.000107709
1502772661831,0.0,ALU / Vertex,0.000109271
1502772663237,0.0,ALU / Fragment,0.000110677
1502772664800,0.0,EFU / Fragment,0.00011224
1502772674539,0.0,EFU / Vertex,0.000121979
1502772676050,0.0,% Time Shading Fragments,0.00012349
1502772677508,0.0,% Time Shading Vertices,0.000124948
1502772678966,0.0,% Time Compute,0.000126406
1502772680946,0.0,% Shader ALU Capacity Utilized,0.000128386
1502772682508,0.0,% Time ALUs Working,0.000129948
1502772683914,0.0,% Time EFUs Working,0.000131354
1502772688237,0.0,% Nearest Filtered,0.000135677
1502772689644,0.0,% Linear Filtered,0.000137084
1502772691050,0.0,% Anisotropic Filtered,0.00013849
1502772692508,0.0,% Non-Base Level Textures,0.000139948
1502772693914,0.0,Read Total (Bytes/sec),0.000141354
1502772695425,145032.703125,Write Total (Bytes/sec),0.000142865
1502772697248,0.0,Texture Memory Read BW (Bytes/Second),0.000144688
1502772699019,0.0,Vertex Memory Read (Bytes/Second),0.000146459
1502772700425,0.0,SP Memory Read (Bytes/Second),0.000147865
1502772701831,0.0,Avg Bytes / Fragment,0.000149271
1502772703341,0.0,Avg Bytes / Vertex,0.000150781
1502772704748,0.0,Preemptions / second,0.000152188
1502772706050,0.0,Avg Preemption Delay,0.00015349
1502772707508,545000000.0,GPU Frequency,0.000154948
1502774078394,544998784.0,Clocks / Second,0.001525834
1502774082352,100.0,GPU % Bus Busy,0.001529792
1502774083185,0.0,% Vertex Fetch Stall,0.001530625
1502774083654,0.0,% Texture Fetch Stall,0.001531094
1502774084331,0.0,L1 Texture Cache Miss Per Pixel,0.001531771
1502774084904,0.0,% Texture L2 Miss,0.001532344
1502774085321,0.0,% Stalled on System Memory,0.001532761
1502774085633,0.0,Pre-clipped Polygons/Second,0.001533073
1502774086050,0.0,% Prims Trivially Rejected,0.00153349
1502774086415,0.0,% Prims Clipped,0.001533855
1502774086831,0.0,Average Vertices / Polygon,0.001534271
1502774087196,0.0,Reused Vertices / Second,0.001534636
1502774087560,0.0,Average Polygon Area,0.001535
1502774087977,0.0,% Shaders Busy,0.001535417
1502774088342,0.0,Vertices Shaded / Second,0.001535782
1502774088862,0.0,Fragments Shaded / Second,0.001536302
1502774089331,0.0,Vertex Instructions / Second,0.001536771
1502774089852,0.0,Fragment Instructions / Second,0.001537292
1502774090217,0.0,Fragment ALU Instructions / Sec (Full),0.001537657
1502774090633,0.0,Fragment ALU Instructions / Sec (Half),0.001538073
1502774090998,0.0,Fragment EFU Instructions / Second,0.001538438
1502774091310,0.0,Textures / Vertex,0.00153875
1502774091779,0.0,Textures / Fragment,0.001539219
1502774092144,0.0,ALU / Vertex,0.001539584
1502774092717,0.0,ALU / Fragment,0.001540157
1502774093081,0.0,EFU / Fragment,0.001540521
1502774093446,0.0,EFU / Vertex,0.001540886
1502774094019,0.0,% Time Shading Fragments,0.001541459
1502774094487,0.0,% Time Shading Vertices,0.001541927
1502774094852,0.0,% Time Compute,0.001542292
1502774095269,0.0,% Shader ALU Capacity Utilized,0.001542709
1502774095581,0.0,% Time ALUs Working,0.001543021
1502774096258,0.0,% Time EFUs Working,0.001543698
1502774096675,0.0,% Nearest Filtered,0.001544115
1502774096987,0.0,% Linear Filtered,0.001544427
1502774097352,0.0,% Anisotropic Filtered,0.001544792
1502774097769,0.0,% Non-Base Level Textures,0.001545209
1502774098185,0.0,Read Total (Bytes/sec),0.001545625
1502774098550,125270.8828125,Write Total (Bytes/sec),0.00154599
1502774098967,0.0,Texture Memory Read BW (Bytes/Second),0.001546407
1502774099383,0.0,Vertex Memory Read (Bytes/Second),0.001546823
1502774099748,0.0,SP Memory Read (Bytes/Second),0.001547188
1502774100112,0.0,Avg Bytes / Fragment,0.001547552
1502774100477,0.0,Avg Bytes / Vertex,0.001547917
1502774100894,0.0,Preemptions / second,0.001548334
1502774101258,0.0,Avg Preemption Delay,0.001548698
1502774101675,545000000.0,GPU Frequency,0.001549115
1502775453550,544774528.0,Clocks / Second,0.00290099
1502775458810,100.0,GPU % Bus Busy,0.00290625
1502775459800,0.0,% Vertex Fetch Stall,0.00290724
1502775460477,0.0,% Texture Fetch Stall,0.002907917
1502775461467,0.0,L1 Texture Cache Miss Per Pixel,0.002908907
1502775462196,0.0,% Texture L2 Miss,0.002909636
1502775462977,0.0,% Stalled on System Memory,0.002910417
1502775463498,0.0,Pre-clipped Polygons/Second,0.002910938
1502775463915,0.0,% Prims Trivially Rejected,0.002911355
1502775464279,0.0,% Prims Clipped,0.002911719
1502775464644,0.0,Average Vertices / Polygon,0.002912084
1502775465008,0.0,Reused Vertices / Second,0.002912448
1502775465373,0.0,Average Polygon Area,0.002912813
1502775466102,0.0,% Shaders Busy,0.002913542
1502775466467,0.0,Vertices Shaded / Second,0.002913907
1502775466831,0.0,Fragments Shaded / Second,0.002914271
1502775467456,0.0,Vertex Instructions / Second,0.002914896
1502775467925,0.0,Fragment Instructions / Second,0.002915365
1502775468238,0.0,Fragment ALU Instructions / Sec (Full),0.002915678
1502775468602,0.0,Fragment ALU Instructions / Sec (Half),0.002916042
1502775469019,0.0,Fragment EFU Instructions / Second,0.002916459
1502775469383,0.0,Textures / Vertex,0.002916823
1502775469748,0.0,Textures / Fragment,0.002917188
1502775470113,0.0,ALU / Vertex,0.002917553
