ts,value,counter_name,t_s
2855386047673,545023424.0,Clocks / Second,0.0
2855386053142,100.0,GPU % Bus Busy,5.469e-06
2855386056423,0.0,% Vertex Fetch Stall,8.75e-06
2855386058454,0.0,% Texture Fetch Stall,1.0781e-05
2855386061840,-1.0,L1 Texture Cache Miss Per Pixel,1.4167e-05
2855386064131,0.0,% Texture L2 Miss,1.6458e-05
2855386066944,0.0,% Stalled on System Memory,1.9271e-05
2855386069235,0.0,Pre-clipped Polygons/Second,2.1562e-05
2855386071267,0.0,% Prims Trivially Rejected,2.3594e-05
2855386074235,0.0,% Prims Clipped,2.6562e-05
2855386076163,0.0,Average Vertices / Polygon,2.849e-05
2855386078298,0.0,Reused Vertices / Second,3.0625e-05
2855386080225,-1.0,Average Polygon Area,3.2552e-05
2855386082256,0.0,% Shaders Busy,3.4583e-05
2855386084548,0.0,Vertices Shaded / Second,3.6875e-05
2855386087360,-1.0,Fragments Shaded / Second,3.9687e-05
2855386089131,-1.0,Vertex Instructions / Second,4.1458e-05
2855386091527,-1.0,Fragment Instructions / Second,4.3854e-05
2855386093246,-1.0,Fragment ALU Instructions / Sec (Full),4.5573e-05
2855386095225,-1.0,Fragment ALU Instructions / Sec (Half),4.7552e-05
2855386097152,-1.0,Fragment EFU Instructions / Second,4.9479e-05
2855386099131,-1.0,Textures / Vertex,5.1458e-05
2855386101371,-1.0,Textures / Fragment,5.3698e-05
2855386103402,-1.0,ALU / Vertex,5.5729e-05
2855386105173,-1.0,ALU / Fragment,5.75e-05
2855386107465,-1.0,EFU / Fragment,5.9792e-05
2855386113402,-1.0,EFU / Vertex,6.5729e-05
2855386115850,0.0,% Time Shading Fragments,6.8177e-05
2855386117933,0.0,% Time Shading Vertices,7.026e-05
2855386119965,0.0,% Time Compute,7.2292e-05
2855386122256,0.0,% Shader ALU Capacity Utilized,7.4583e-05
2855386124288,0.0,% Time ALUs Working,7.6615e-05
2855386126371,0.0,% Time EFUs Working,7.8698e-05
2855386129392,0.0,% Nearest Filtered,8.1719e-05
2855386131475,0.0,% Linear Filtered,8.3802e-05
2855386133506,0.0,% Anisotropic Filtered,8.5833e-05
2855386135538,0.0,% Non-Base Level Textures,8.7865e-05
2855386137308,0.0,Read Total (Bytes/sec),8.9635e-05
2855386139600,125365.828125,Write Total (Bytes/sec),9.1927e-05
2855386141631,0.0,Texture Memory Read BW (Bytes/Second),9.3958e-05
2855386143663,0.0,Vertex Memory Read (Bytes/Second),9.599e-05
2855386145798,0.0,SP Memory Read (Bytes/Second),9.8125e-05
2855386147777,-1.0,Avg Bytes / Fragment,0.000100104
2855386149756,0.0,Avg Bytes / Vertex,0.000102083
2855386151788,0.0,Preemptions / second,0.000104115
2855386153923,0.0,Avg Preemption Delay,0.00010625
2855386155954,545000000.0,GPU Frequency,0.000108281
2855387592152,544976320.0,Clocks / Second,0.001544479
2855387600329,1.0920063257217407,GPU % Bus Busy,0.001552656
2855387601527,0.07663202285766602,% Vertex Fetch Stall,0.001553854
2855387601996,0.0,% Texture Fetch Stall,0.001554323
2855387603506,-1.0,L1 Texture Cache Miss Per Pixel,0.001555833
2855387604131,0.0,% Texture L2 Miss,0.001556458
2855387604600,0.0,% Stalled on System Memory,0.001556927
2855387605069,0.0,Pre-clipped Polygons/Second,0.001557396
2855387605538,0.0,% Prims Trivially Rejected,0.001557865
2855387606163,0.0,% Prims Clipped,0.00155849
2855387606579,0.0,Average Vertices / Polygon,0.001558906
2855387607152,19914.837890625,Reused Vertices / Second,0.001559479
2855387607673,-1.0,Average Polygon Area,0.00156
2855387608298,0.0,% Shaders Busy,0.001560625
2855387608767,20438.912109375,Vertices Shaded / Second,0.001561094
2855387609444,-1.0,Fragments Shaded / Second,0.001561771
2855387610486,-1.0,Vertex Instructions / Second,0.001562813
2855387610954,-1.0,Fragment Instructions / Second,0.001563281
2855387611684,-1.0,Fragment ALU Instructions / Sec (Full),0.001564011
2855387612204,-1.0,Fragment ALU Instructions / Sec (Half),0.001564531
2855387612986,-1.0,Fragment EFU Instructions / Second,0.001565313
2855387613454,-1.0,Textures / Vertex,0.001565781
2855387614184,-1.0,Textures / Fragment,0.001566511
2855387614704,-1.0,ALU / Vertex,0.001567031
2855387615954,-1.0,ALU / Fragment,0.001568281
2855387616579,-1.0,EFU / Fragment,0.001568906
2855387617048,-1.0,EFU / Vertex,0.001569375
2855387618194,0.0,% Time Shading Fragments,0.001570521
2855387618715,0.0,% Time Shading Vertices,0.001571042
2855387619184,0.0,% Time Compute,0.001571511
2855387619652,0.0,% Shader ALU Capacity Utilized,0.001571979
2855387620121,0.0,% Time ALUs Working,0.001572448
2855387620694,0.0,% Time EFUs Working,0.001573021
2855387621215,0.0,% Nearest Filtered,0.001573542
2855387621684,0.0,% Linear Filtered,0.001574011
2855387622256,0.0,% Anisotropic Filtered,0.001574583
2855387623038,0.0,% Non-Base Level Textures,0.001575365
2855387623559,3588863.5,Read Total (Bytes/sec),0.001575886
2855387624079,4058434.25,Write Total (Bytes/sec),0.001576406
2855387624861,0.0,Texture Memory Read BW (Bytes/Second),0.001577188
2855387625486,0.0,Vertex Memory Read (Bytes/Second),0.001577813
2855387625954,0.0,SP Memory Read (Bytes/Second),0.001578281
2855387626579,-1.0,Avg Bytes / Fragment,0.001578906
2855387627048,0.0,Avg Bytes / Vertex,0.001579375
2855387627673,262.037353515625,Preemptions / second,0.00158
2855387628246,0.42937642335891724,Avg Preemption Delay,0.001580573
2855387628767,545000000.0,GPU Frequency,0.001581094
2855389216319,544889280.0,Clocks / Second,0.003168646
2855389226111,22.781660079956055,GPU % Bus Busy,0.003178438
2855389227152,0.4510001242160797,% Vertex Fetch Stall,0.003179479
2855389227621,0.0,% Texture Fetch Stall,0.003179948
2855389228767,-1.0,L1 Texture Cache Miss Per Pixel,0.003181094
2855389229184,25.89279556274414,% Texture L2 Miss,0.003181511
2855389229600,0.4691509008407593,% Stalled on System Memory,0.003181927
2855389230017,33345952.0,Pre-clipped Polygons/Second,0.003182344
2855389230434,50.32383728027344,% Prims Trivially Rejected,0.003182761
2855389230955,2.1517019271850586,% Prims Clipped,0.003183282
2855389231371,1.0932141542434692,Average Vertices / Polygon,0.003183698
2855389232257,70169800.0,Reused Vertices / Second,0.003184584
2855389232725,-1.0,Average Polygon Area,0.003185052
2855389233298,0.0,% Shaders Busy,0.003185625
2855389233715,36454268.0,Vertices Shaded / Second,0.003186042
2855389234652,-1.0,Fragments Shaded / Second,0.003186979
2855389235330,-1.0,Vertex Instructions / Second,0.003187657
2855389235798,-1.0,Fragment Instructions / Second,0.003188125
2855389236215,-1.0,Fragment ALU Instructions / Sec (Full),0.003188542
2855389236632,-1.0,Fragment ALU Instructions / Sec (Half),0.003188959
2855389237048,-1.0,Fragment EFU Instructions / Second,0.003189375
2855389237465,-1.0,Textures / Vertex,0.003189792
2855389238194,-1.0,Textures / Fragment,0.003190521
2855389238611,-1.0,ALU / Vertex,0.003190938
2855389241423,-1.0,ALU / Fragment,0.00319375
2855389241892,-1.0,EFU / Fragment,0.003194219
2855389242361,-1.0,EFU / Vertex,0.003194688
2855389242882,0.0,% Time Shading Fragments,0.003195209
2855389243298,0.0,% Time Shading Vertices,0.003195625
2855389243767,0.0,% Time Compute,0.003196094
2855389244184,0.0,% Shader ALU Capacity Utilized,0.003196511
2855389244600,0.0,% Time ALUs Working,0.003196927
2855389245017,0.0,% Time EFUs Working,0.003197344
2855389245538,0.0,% Nearest Filtered,0.003197865
2855389245955,0.0,% Linear Filtered,0.003198282
2855389246996,0.0,% Anisotropic Filtered,0.003199323
2855389248038,0.0,% Non-Base Level Textures,0.003200365
2855389248559,2086960128.0,Read Total (Bytes/sec),0.003200886
2855389249027,2483732224.0,Write Total (Bytes/sec),0.003201354
2855389249809,1646431488.0,Texture Memory Read BW (Bytes/Second),0.003202136
2855389250277,219056448.0,Vertex Memory Read (Bytes/Second),0.003202604
2855389250746,3024945.25,SP Memory Read (Bytes/Second),0.003203073
2855389251215,-1.0,Avg Bytes / Fragment,0.003203542
2855389251632,6.00907564163208,Avg Bytes / Vertex,0.003203959
2855389252205,0.0,Preemptions / second,0.003204532
2855389252621,0.0,Avg Preemption Delay,0.003204948
2855389253090,545000000.0,GPU Frequency,0.003205417
2855390622101,544952384.0,Clocks / Second,0.004574428
2855390627934,24.71406364440918,GPU % Bus Busy,0.004580261
2855390628559,0.8952096104621887,% Vertex Fetch Stall,0.004580886
2855390629028,0.0,% Texture Fetch Stall,0.004581355
2855390629809,-1.0,L1 Texture Cache Miss Per Pixel,0.004582136
2855390630278,24.9325008392334,% Texture L2 Miss,0.004582605
2855390630746,0.00832225289195776,% Stalled on System Memory,0.004583073
2855390631163,12650309.0,Pre-clipped Polygons/Second,0.00458349
2855390631632,10.406643867492676,% Prims Trivially Rejected,0.004583959
2855390632101,1.990175724029541,% Prims Clipped,0.004584428
2855390632569,0.8700562119483948,Average Vertices / Polygon,0.004584896
2855390633090,20631784.0,Reused Vertices / Second,0.004585417
2855390633559,-1.0,Average Polygon Area,0.004585886
2855390634028,0.0,% Shaders Busy,0.004586355
2855390634444,11006480.0,Vertices Shaded / Second,0.004586771
2855390635434,-1.0,Fragments Shaded / Second,0.004587761
2855390636215,-1.0,Vertex Instructions / Second,0.004588542
2855390636684,-1.0,Fragment Instructions / Second,0.004589011
2855390637101,-1.0,Fragment ALU Instructions / Sec (Full),0.004589428
2855390637517,-1.0,Fragment ALU Instructions / Sec (Half),0.004589844
2855390637986,-1.0,Fragment EFU Instructions / Second,0.004590313
2855390638455,-1.0,Textures / Vertex,0.004590782
2855390638923,-1.0,Textures / Fragment,0.00459125
2855390639340,-1.0,ALU / Vertex,0.004591667
2855390640226,-1.0,ALU / Fragment,0.004592553
2855390640642,-1.0,EFU / Fragment,0.004592969
2855390641111,-1.0,EFU / Vertex,0.004593438
2855390641632,0.0,% Time Shading Fragments,0.004593959
2855390642205,0.0,% Time Shading Vertices,0.004594532
2855390642673,0.0,% Time Compute,0.004595
2855390643090,0.0,% Shader ALU Capacity Utilized,0.004595417
2855390643507,0.0,% Time ALUs Working,0.004595834
2855390643976,0.0,% Time EFUs Working,0.004596303
2855390644392,0.0,% Nearest Filtered,0.004596719
2855390644809,0.0,% Linear Filtered,0.004597136
2855390645226,0.0,% Anisotropic Filtered,0.004597553
2855390645903,0.0,% Non-Base Level Textures,0.00459823
2855390646371,2289173504.0,Read Total (Bytes/sec),0.004598698
2855390646840,3066198528.0,Write Total (Bytes/sec),0.004599167
2855390647465,2007424000.0,Texture Memory Read BW (Bytes/Second),0.004599792
2855390647934,106640048.0,Vertex Memory Read (Bytes/Second),0.004600261
2855390648455,8363925.0,SP Memory Read (Bytes/Second),0.004600782
2855390648923,-1.0,Avg Bytes / Fragment,0.00460125
