ts,value,counter_name,t_s
172973147723877,545061312.0,Clocks / Second,0.0
172973147733721,11.164517402648926,GPU % Bus Busy,9.844e-06
172973147736950,1.002912163734436,% Vertex Fetch Stall,1.3073e-05
172973147739086,16.72585105895996,% Texture Fetch Stall,1.5209e-05
172973147743200,0.2955370545387268,L1 Texture Cache Miss Per Pixel,1.9323e-05
172973147745075,27.743249893188477,% Texture L2 Miss,2.1198e-05
172973147748148,0.694609522819519,% Stalled on System Memory,2.4271e-05
172973147750492,15083890.0,Pre-clipped Polygons/Second,2.6615e-05
172973147752211,49.33161163330078,% Prims Trivially Rejected,2.8334e-05
172973147754502,1.7556368112564087,% Prims Clipped,3.0625e-05
172973147757002,1.1672310829162598,Average Vertices / Polygon,3.3125e-05
172973147759138,33894728.0,Reused Vertices / Second,3.5261e-05
172973147760961,139.91201782226562,Average Polygon Area,3.7084e-05
172973147762888,56.909610748291016,% Shaders Busy,3.9011e-05
172973147765648,17606386.0,Vertices Shaded / Second,4.1771e-05
172973147768148,1018533568.0,Fragments Shaded / Second,4.4271e-05
172973147769971,-1.0,Vertex Instructions / Second,4.6094e-05
172973147772159,87138140160.0,Fragment Instructions / Second,4.8282e-05
172973147774086,49526525952.0,Fragment ALU Instructions / Sec (Full),5.0209e-05
172973147776065,64640761856.0,Fragment ALU Instructions / Sec (Half),5.2188e-05
172973147777784,5291236864.0,Fragment EFU Instructions / Second,5.3907e-05
172973147779450,0.8155754804611206,Textures / Vertex,5.5573e-05
172973147781481,1.1015053987503052,Textures / Fragment,5.7604e-05
172973147784346,152.7696075439453,ALU / Vertex,6.0469e-05
172973147787940,-1.0,ALU / Fragment,6.4063e-05
172973147789763,-1.0,EFU / Fragment,6.5886e-05
172973147805700,-1.0,EFU / Vertex,8.1823e-05
172973147808096,89.22120666503906,% Time Shading Fragments,8.4219e-05
172973147810596,10.778794288635254,% Time Shading Vertices,8.6719e-05
172973147812523,0.0,% Time Compute,8.8646e-05
172973147814971,71.26136779785156,% Shader ALU Capacity Utilized,9.1094e-05
172973147816690,0.0,% Time ALUs Working,9.2813e-05
172973147818617,0.0,% Time EFUs Working,9.474e-05
172973147823721,58.70667266845703,% Nearest Filtered,9.9844e-05
172973147825648,43.590599060058594,% Linear Filtered,0.000101771
172973147827679,0.0,% Anisotropic Filtered,0.000103802
172973147829919,0.0,% Non-Base Level Textures,0.000106042
172973147832315,764827584.0,Read Total (Bytes/sec),0.000108438
172973147834346,144534336.0,Write Total (Bytes/sec),0.000110469
172973147836325,587816000.0,Texture Memory Read BW (Bytes/Second),0.000112448
172973147838565,100098632.0,Vertex Memory Read (Bytes/Second),0.000114688
172973147840544,2667002.75,SP Memory Read (Bytes/Second),0.000116667
172973147842315,0.546711802482605,Avg Bytes / Fragment,0.000118438
172973147844034,5.685359954833984,Avg Bytes / Vertex,0.000120157
172973147845909,336.0638427734375,Preemptions / second,0.000122032
172973147848721,0.42930951714515686,Avg Preemption Delay,0.000124844
172973147850596,545000000.0,GPU Frequency,0.000126719
172973149192367,544836032.0,Clocks / Second,0.00146849
172973149197732,24.185985565185547,GPU % Bus Busy,0.001473855
172973149198357,1.306355595588684,% Vertex Fetch Stall,0.00147448
172973149198982,23.160900115966797,% Texture Fetch Stall,0.001475105
172973149199711,0.2761174738407135,L1 Texture Cache Miss Per Pixel,0.001475834
172973149200180,25.298702239990234,% Texture L2 Miss,0.001476303
172973149200648,0.1638752520084381,% Stalled on System Memory,0.001476771
172973149201169,24837070.0,Pre-clipped Polygons/Second,0.001477292
172973149201898,39.623985290527344,% Prims Trivially Rejected,0.001478021
172973149202367,1.9726535081863403,% Prims Clipped,0.00147849
172973149202888,1.0341594219207764,Average Vertices / Polygon,0.001479011
172973149203357,49033848.0,Reused Vertices / Second,0.00147948
172973149203825,309.810791015625,Average Polygon Area,0.001479948
172973149204346,86.25885772705078,% Shaders Busy,0.001480469
172973149204867,25685490.0,Vertices Shaded / Second,0.00148099
172973149205492,4515753984.0,Fragments Shaded / Second,0.001481615
172973149206221,-1.0,Vertex Instructions / Second,0.001482344
172973149206638,345225297920.0,Fragment Instructions / Second,0.001482761
172973149207107,200773697536.0,Fragment ALU Instructions / Sec (Full),0.00148323
172973149207523,254522458112.0,Fragment ALU Instructions / Sec (Half),0.001483646
172973149207992,17190379520.0,Fragment EFU Instructions / Second,0.001484115
172973149208461,0.7153449058532715,Textures / Vertex,0.001484584
172973149208930,1.0481716394424438,Textures / Fragment,0.001485053
172973149209398,167.03977966308594,ALU / Vertex,0.001485521
172973149210388,-1.0,ALU / Fragment,0.001486511
172973149210857,-1.0,EFU / Fragment,0.00148698
172973149211325,-1.0,EFU / Vertex,0.001487448
172973149212002,95.16972351074219,% Time Shading Fragments,0.001488125
172973149212575,4.830279350280762,% Time Shading Vertices,0.001488698
172973149213044,0.0,% Time Compute,0.001489167
172973149213461,76.02606964111328,% Shader ALU Capacity Utilized,0.001489584
172973149214034,0.0,% Time ALUs Working,0.001490157
172973149214659,0.0,% Time EFUs Working,0.001490782
172973149215336,38.624656677246094,% Nearest Filtered,0.001491459
172973149215752,61.36568069458008,% Linear Filtered,0.001491875
172973149216482,0.0,% Anisotropic Filtered,0.001492605
