ts,value,counter_name,t_s
173996973927588,545081280.0,Clocks / Second,0.0
173996973932432,26.003164291381836,GPU % Bus Busy,4.844e-06
173996973936286,1.3452072143554688,% Vertex Fetch Stall,8.698e-06
173996973938161,0.0,% Texture Fetch Stall,1.0573e-05
173996973941547,-1.0,L1 Texture Cache Miss Per Pixel,1.3959e-05
173996973943578,28.101627349853516,% Texture L2 Miss,1.599e-05
173996973946911,0.5834658741950989,% Stalled on System Memory,1.9323e-05
173996973949151,20154818.0,Pre-clipped Polygons/Second,2.1563e-05
173996973950974,58.71281814575195,% Prims Trivially Rejected,2.3386e-05
173996973953369,1.0343983173370361,% Prims Clipped,2.5781e-05
173996973955661,1.1109070777893066,Average Vertices / Polygon,2.8073e-05
173996973963786,43157440.0,Reused Vertices / Second,3.6198e-05
173996973965609,-1.0,Average Polygon Area,3.8021e-05
173996973967484,0.0,% Shaders Busy,3.9896e-05
173996973970140,22390132.0,Vertices Shaded / Second,4.2552e-05
173996973972640,-1.0,Fragments Shaded / Second,4.5052e-05
173996973974828,-1.0,Vertex Instructions / Second,4.724e-05
173996973976755,-1.0,Fragment Instructions / Second,4.9167e-05
173996973978630,-1.0,Fragment ALU Instructions / Sec (Full),5.1042e-05
173996973980557,-1.0,Fragment ALU Instructions / Sec (Half),5.2969e-05
173996973982224,-1.0,Fragment EFU Instructions / Second,5.4636e-05
173996973984307,-1.0,Textures / Vertex,5.6719e-05
173996973986442,-1.0,Textures / Fragment,5.8854e-05
173996973988369,-1.0,ALU / Vertex,6.0781e-05
173996973990192,-1.0,ALU / Fragment,6.2604e-05
173996973991963,-1.0,EFU / Fragment,6.4375e-05
173996974025349,-1.0,EFU / Vertex,9.7761e-05
173996974030609,0.0,% Time Shading Fragments,0.000103021
173996974033578,0.0,% Time Shading Vertices,0.00010599
173996974035661,0.0,% Time Compute,0.000108073
173996974038005,0.0,% Shader ALU Capacity Utilized,0.000110417
173996974039984,0.0,% Time ALUs Working,0.000112396
173996974041859,0.0,% Time EFUs Working,0.000114271
173996974048265,0.0,% Nearest Filtered,0.000120677
173996974050297,0.0,% Linear Filtered,0.000122709
173996974052119,0.0,% Anisotropic Filtered,0.000124531
173996974054203,0.0,% Non-Base Level Textures,0.000126615
173996974056182,1366234752.0,Read Total (Bytes/sec),0.000128594
173996974058734,1037224384.0,Write Total (Bytes/sec),0.000131146
173996974060765,1149749888.0,Texture Memory Read BW (Bytes/Second),0.000133177
173996974062640,112229456.0,Vertex Memory Read (Bytes/Second),0.000135052
173996974064463,5289745.5,SP Memory Read (Bytes/Second),0.000136875
173996974066494,-1.0,Avg Bytes / Fragment,0.000138906
173996974068317,5.012451648712158,Avg Bytes / Vertex,0.000140729
173996974070401,0.0,Preemptions / second,0.000142813
173996974072797,0.0,Avg Preemption Delay,0.000145209
173996974074776,545000000.0,GPU Frequency,0.000147188
