ts,value,counter_name,t_s
174671938817692,23.566102981567383,application_prediction_milliseconds,0.0
174671938963265,0.0,stale_frames_per_second,0.000145573
174671938966598,0.0,last_used_foveation_level,0.000148906
174671938969775,1.0,application_layer_count,0.000152083
174671938972431,7924.0,app_vss_mb,0.000154739
174671938974931,330.0,app_rss_mb,0.000157239
174671938976650,64.0,app_uss_mb,0.000158958
174671938978265,0.36640501022338867,app_gpu_ms,0.000160573
174671995201708,544929792.0,Clocks / Second,0.056384016
174671995207385,100.0,GPU % Bus Busy,0.056389693
174671995210614,0.0,% Vertex Fetch Stall,0.056392922
174671995212802,0.0,% Texture Fetch Stall,0.05639511
174671995216447,0.0,L1 Texture Cache Miss Per Pixel,0.056398755
174671995218479,0.0,% Texture L2 Miss,0.056400787
174671995221760,0.0,% Stalled on System Memory,0.056404068
174671995223739,0.0,Pre-clipped Polygons/Second,0.056406047
174671995225458,0.0,% Prims Trivially Rejected,0.056407766
174671995227489,0.0,% Prims Clipped,0.056409797
174671995229260,0.0,Average Vertices / Polygon,0.056411568
174671995231239,0.0,Reused Vertices / Second,0.056413547
174671995233218,0.0,Average Polygon Area,0.056415526
174671995235302,0.0,% Shaders Busy,0.05641761
174671995238374,0.0,Vertices Shaded / Second,0.056420682
174671995240979,0.0,Fragments Shaded / Second,0.056423287
174671995242802,-1.0,Vertex Instructions / Second,0.05642511
174671995244729,0.0,Fragment Instructions / Second,0.056427037
174671995247072,0.0,Fragment ALU Instructions / Sec (Full),0.05642938
174671995248791,0.0,Fragment ALU Instructions / Sec (Half),0.056431099
174671995250562,0.0,Fragment EFU Instructions / Second,0.05643287
174671995252489,0.0,Textures / Vertex,0.056434797
174671995254468,0.0,Textures / Fragment,0.056436776
174671995256343,0.0,ALU / Vertex,0.056438651
174671995258218,0.0,ALU / Fragment,0.056440526
174671995259833,0.0,EFU / Fragment,0.056442141
174671995266447,-1.0,EFU / Vertex,0.056448755
174671995268583,0.0,% Time Shading Fragments,0.056450891
174671995270875,0.0,% Time Shading Vertices,0.056453183
174671995272697,0.0,% Time Compute,0.056455005
174671995275718,0.0,% Shader ALU Capacity Utilized,0.056458026
174671995277645,0.0,% Time ALUs Working,0.056459953
174671995279312,0.0,% Time EFUs Working,0.05646162
174671995283531,0.0,% Nearest Filtered,0.056465839
174671995285302,0.0,% Linear Filtered,0.05646761
174671995287020,0.0,% Anisotropic Filtered,0.056469328
174671995289156,0.0,% Non-Base Level Textures,0.056471464
174671995290927,0.0,Read Total (Bytes/sec),0.056473235
174671995292750,142523.859375,Write Total (Bytes/sec),0.056475058
174671995295093,0.0,Texture Memory Read BW (Bytes/Second),0.056477401
174671995297020,0.0,Vertex Memory Read (Bytes/Second),0.056479328
