ts,value,counter_name,t_s
174798647939273,545168064.0,Clocks / Second,0.0
174798647943491,25.107664108276367,GPU % Bus Busy,4.218e-06
174798647946044,0.9700453281402588,% Vertex Fetch Stall,6.771e-06
174798647947814,0.0,% Texture Fetch Stall,8.541e-06
174798647950575,-1.0,L1 Texture Cache Miss Per Pixel,1.1302e-05
174798647952502,28.013328552246094,% Texture L2 Miss,1.3229e-05
174798647954689,0.007443482521921396,% Stalled on System Memory,1.5416e-05
174798647956460,15664256.0,Pre-clipped Polygons/Second,1.7187e-05
174798647957866,29.886463165283203,% Prims Trivially Rejected,1.8593e-05
174798647959741,2.0742359161376953,% Prims Clipped,2.0468e-05
174798647961252,1.033013105392456,Average Vertices / Polygon,2.1979e-05
174798647963179,30860636.0,Reused Vertices / Second,2.3906e-05
174798647964794,-1.0,Average Polygon Area,2.5521e-05
174798647966356,0.0,% Shaders Busy,2.7083e-05
174798647968960,16181382.0,Vertices Shaded / Second,2.9687e-05
174798647970991,-1.0,Fragments Shaded / Second,3.1718e-05
174798647972814,-1.0,Vertex Instructions / Second,3.3541e-05
174798647975002,-1.0,Fragment Instructions / Second,3.5729e-05
174798647976773,-1.0,Fragment ALU Instructions / Sec (Full),3.75e-05
174798647978439,-1.0,Fragment ALU Instructions / Sec (Half),3.9166e-05
174798647979950,-1.0,Fragment EFU Instructions / Second,4.0677e-05
174798647981616,-1.0,Textures / Vertex,4.2343e-05
174798647983387,-1.0,Textures / Fragment,4.4114e-05
174798647984950,-1.0,ALU / Vertex,4.5677e-05
174798647986825,-1.0,ALU / Fragment,4.7552e-05
174798647988283,-1.0,EFU / Fragment,4.901e-05
174798647997554,-1.0,EFU / Vertex,5.8281e-05
174798647999481,0.0,% Time Shading Fragments,6.0208e-05
174798648001616,0.0,% Time Shading Vertices,6.2343e-05
174798648003075,0.0,% Time Compute,6.3802e-05
174798648005106,0.0,% Shader ALU Capacity Utilized,6.5833e-05
174798648006512,0.0,% Time ALUs Working,6.7239e-05
174798648008023,0.0,% Time EFUs Working,6.875e-05
174798648010939,0.0,% Nearest Filtered,7.1666e-05
174798648012502,0.0,% Linear Filtered,7.3229e-05
174798648014116,0.0,% Anisotropic Filtered,7.4843e-05
174798648221564,0.0,% Non-Base Level Textures,0.000282291
174798648228179,1657603840.0,Read Total (Bytes/sec),0.000288906
174798648232137,2475855360.0,Write Total (Bytes/sec),0.000292864
174798648234637,1401722496.0,Texture Memory Read BW (Bytes/Second),0.000295364
174798648236252,109926136.0,Vertex Memory Read (Bytes/Second),0.000296979
174798648238179,3458448.75,SP Memory Read (Bytes/Second),0.000298906
174798648240002,-1.0,Avg Bytes / Fragment,0.000300729
174798648241721,6.793371677398682,Avg Bytes / Vertex,0.000302448
174798648243491,0.0,Preemptions / second,0.000304218
174798648245835,0.0,Avg Preemption Delay,0.000306562
174798648247554,545000000.0,GPU Frequency,0.000308281
174798649653335,545120832.0,Clocks / Second,0.001714062
174798649658023,100.0,GPU % Bus Busy,0.00171875
174798649658908,0.0,% Vertex Fetch Stall,0.001719635
174798649659273,0.0,% Texture Fetch Stall,0.00172
174798649660158,-1.0,L1 Texture Cache Miss Per Pixel,0.001720885
174798649660575,0.0,% Texture L2 Miss,0.001721302
174798649660992,0.0,% Stalled on System Memory,0.001721719
174798649661460,0.0,Pre-clipped Polygons/Second,0.001722187
174798649662085,0.0,% Prims Trivially Rejected,0.001722812
174798649662502,0.0,% Prims Clipped,0.001723229
174798649662919,0.0,Average Vertices / Polygon,0.001723646
174798649663387,0.0,Reused Vertices / Second,0.001724114
174798649663908,-1.0,Average Polygon Area,0.001724635
174798649664533,0.0,% Shaders Busy,0.00172526
174798649664898,0.0,Vertices Shaded / Second,0.001725625
174798649665262,-1.0,Fragments Shaded / Second,0.001725989
174798649665679,-1.0,Vertex Instructions / Second,0.001726406
174798649666044,-1.0,Fragment Instructions / Second,0.001726771
174798649666408,-1.0,Fragment ALU Instructions / Sec (Full),0.001727135
174798649666773,-1.0,Fragment ALU Instructions / Sec (Half),0.0017275
174798649667137,-1.0,Fragment EFU Instructions / Second,0.001727864
174798649667450,-1.0,Textures / Vertex,0.001728177
174798649667815,-1.0,Textures / Fragment,0.001728542
174798649668179,-1.0,ALU / Vertex,0.001728906
174798649668596,-1.0,ALU / Fragment,0.001729323
174798649668960,-1.0,EFU / Fragment,0.001729687
174798649669325,-1.0,EFU / Vertex,0.001730052
174798649669794,0.0,% Time Shading Fragments,0.001730521
174798649670158,0.0,% Time Shading Vertices,0.001730885
174798649670523,0.0,% Time Compute,0.00173125
174798649670887,0.0,% Shader ALU Capacity Utilized,0.001731614
174798649671252,0.0,% Time ALUs Working,0.001731979
174798649671617,0.0,% Time EFUs Working,0.001732344
174798649672137,0.0,% Nearest Filtered,0.001732864
174798649672450,0.0,% Linear Filtered,0.001733177
174798649672867,0.0,% Anisotropic Filtered,0.001733594
174798649673335,0.0,% Non-Base Level Textures,0.001734062
174798649673700,0.0,Read Total (Bytes/sec),0.001734427
174798649674117,116521.265625,Write Total (Bytes/sec),0.001734844
174798649674533,0.0,Texture Memory Read BW (Bytes/Second),0.00173526
174798649674950,0.0,Vertex Memory Read (Bytes/Second),0.001735677
174798649675315,0.0,SP Memory Read (Bytes/Second),0.001736042
174798649675731,-1.0,Avg Bytes / Fragment,0.001736458
174798649676096,0.0,Avg Bytes / Vertex,0.001736823
174798649676669,0.0,Preemptions / second,0.001737396
174798649677085,0.0,Avg Preemption Delay,0.001737812
174798649677450,545000000.0,GPU Frequency,0.001738177
174798650943544,544873472.0,Clocks / Second,0.003004271
174798650949117,100.0,GPU % Bus Busy,0.003009844
174798650950158,0.0,% Vertex Fetch Stall,0.003010885
174798650950940,0.0,% Texture Fetch Stall,0.003011667
