ts,value,counter_name,t_s
173408068764495,0.0,application_prediction_milliseconds,0.0
173408068884600,0.0,stale_frames_per_second,0.000120105
173408068887360,0.0,last_used_foveation_level,0.000122865
173408068889391,1.0,application_layer_count,0.000124896
173408068891579,6313.0,app_vss_mb,0.000127084
173408068893922,103.0,app_rss_mb,0.000129427
173408068895485,2.0,app_uss_mb,0.00013099
173408068896943,0.35680532455444336,app_gpu_ms,0.000132448
173408104709759,26.160465240478516,application_prediction_milliseconds,0.035945264
173408104924499,48.0,stale_frames_per_second,0.036160004
173408104927989,0.0,last_used_foveation_level,0.036163494
173408104930384,7.0,application_layer_count,0.036165889
173408104934655,12267.0,app_vss_mb,0.03617016
173408104937051,1103.0,app_rss_mb,0.036172556
173408104938614,491.0,app_uss_mb,0.036174119
173408104940072,1.120812177658081,app_gpu_ms,0.036175577
173408105058770,72.0,display_refresh_rate,0.036294275
173408105067311,3.0,cpu_level,0.036302816
173408105070436,2.0,gpu_level,0.036305941
173408105072416,1920.0,cpu_frequency_mhz,0.036307921
173408105074499,545.0,gpu_frequency_mhz,0.036310004
173408105076426,3196.0,mem_frequency_mhz,0.036311931
173408105077989,2966.0,available_memory_mb,0.036313494
173408105079968,2.2620959281921387,timewarp_gpu_ms,0.036315473
173408105081895,0.0,guardian_gpu_ms,0.0363174
173408105083666,0.0,screen_tears_per_second,0.036319171
173408105085957,43.0,cpu_util_0,0.036321462
173408105088561,41.0,cpu_util_1,0.036324066
173408105091582,51.0,cpu_util_2,0.036327087
173408105095541,40.0,cpu_util_3,0.036331046
173408105097416,39.0,cpu_util_4,0.036332921
173408105098978,40.0,cpu_util_5,0.036334483
173408105100645,0.0,cpu_util_6,0.03633615
173408105102155,0.0,cpu_util_7,0.03633766
173408105103770,19.801931083202362,gpu_util,0.036339275
173408472047921,0.8568454384803772,% Vertex Fetch Stall,0.403283426
173408472052608,23.228248596191406,% Texture Fetch Stall,0.403288113
173408472056879,21.992536544799805,,0.403292384
173408472059223,23.53180503845215,% Texture L2 Miss,0.403294728
173408472062244,9429756.0,Vertices Shaded / Second,0.403297749
173408472065525,1358552576.0,Fragments Shaded / Second,0.40330103
173408472067713,-1.0,Vertex Instructions / Second,0.403303218
173408472069744,-1.0,Fragment Instructions / Second,0.403305249
173408472072765,-1.0,Textures / Fragment,0.40330827
173408472074848,0.0,% Time Shading Fragments,0.403310353
173408472077088,6.214536190032959,% Time Shading Vertices,0.403312593
173408472079536,0.0,% Time Compute,0.403315041
173408472081931,0.0,% Nearest Filtered,0.403317436
173408472083650,0.0,% Linear Filtered,0.403319155
173408472085890,0.0,% Anisotropic Filtered,0.403321395
173408472088129,0.619985818862915,Avg Preemption Delay,0.403323634
173408572568868,0.8408663272857666,% Vertex Fetch Stall,0.503804373
173408572576993,21.765893936157227,% Texture Fetch Stall,0.503812498
173408572577879,22.01076889038086,,0.503813384
173408572578348,23.958892822265625,% Texture L2 Miss,0.503813853
173408572579077,8819607.0,Vertices Shaded / Second,0.503814582
173408572579754,1235229056.0,Fragments Shaded / Second,0.503815259
173408572580171,-1.0,Vertex Instructions / Second,0.503815676
173408572580639,-1.0,Fragment Instructions / Second,0.503816144
173408572581368,-1.0,Textures / Fragment,0.503816873
173408572582150,0.0,% Time Shading Fragments,0.503817655
173408572582618,6.535624980926514,% Time Shading Vertices,0.503818123
173408572583035,0.0,% Time Compute,0.50381854
173408572583816,0.0,% Nearest Filtered,0.503819321
173408572584181,0.0,% Linear Filtered,0.503819686
173408572584962,0.0,% Anisotropic Filtered,0.503820467
173408572585900,0.6475768685340881,Avg Preemption Delay,0.503821405
173408672953722,0.8065099120140076,% Vertex Fetch Stall,0.604189227
173408672963670,22.094240188598633,% Texture Fetch Stall,0.604199175
173408672965076,22.01552391052246,,0.604200581
173408672965545,24.08984375,% Texture L2 Miss,0.60420105
173408672966222,8648586.0,Vertices Shaded / Second,0.604201727
173408672966951,1238590592.0,Fragments Shaded / Second,0.604202456
173408672967368,-1.0,Vertex Instructions / Second,0.604202873
173408672967785,-1.0,Fragment Instructions / Second,0.60420329
173408672968618,-1.0,Textures / Fragment,0.604204123
173408672969503,0.0,% Time Shading Fragments,0.604205008
173408672969920,6.26804780960083,% Time Shading Vertices,0.604205425
173408672970389,0.0,% Time Compute,0.604205894
173408672971014,0.0,% Nearest Filtered,0.604206519
173408672971431,0.0,% Linear Filtered,0.604206936
173408672971951,0.0,% Anisotropic Filtered,0.604207456
173408672972733,0.5783625245094299,Avg Preemption Delay,0.604208238
173408773342170,0.7715292572975159,% Vertex Fetch Stall,0.704577675
173408773354566,23.44394302368164,% Texture Fetch Stall,0.704590071
173408773355555,22.021398544311523,,0.70459106
173408773356076,23.495182037353516,% Texture L2 Miss,0.704591581
173408773356857,8877971.0,Vertices Shaded / Second,0.704592362
173408773357847,1239630336.0,Fragments Shaded / Second,0.704593352
173408773358263,-1.0,Vertex Instructions / Second,0.704593768
173408773358680,-1.0,Fragment Instructions / Second,0.704594185
173408773359253,-1.0,Textures / Fragment,0.704594758
173408773360034,0.0,% Time Shading Fragments,0.704595539
173408773360451,6.426181793212891,% Time Shading Vertices,0.704595956
173408773361024,0.0,% Time Compute,0.704596529
173408773361649,0.0,% Nearest Filtered,0.704597154
173408773362066,0.0,% Linear Filtered,0.704597571
173408773363003,0.0,% Anisotropic Filtered,0.704598508
173408773363732,0.6146823763847351,Avg Preemption Delay,0.704599237
173408809683527,22.742305755615234,application_prediction_milliseconds,0.740919032
173408809940871,0.0,stale_frames_per_second,0.741176376
173408809943788,0.0,last_used_foveation_level,0.741179293
173408809946705,1.0,application_layer_count,0.74118221
173408809949205,7855.0,app_vss_mb,0.74118471
173408809951600,260.0,app_rss_mb,0.741187105
173408809953111,48.0,app_uss_mb,0.741188616
173408809954569,0.33003002405166626,app_gpu_ms,0.741190074
173408873733690,0.5706415772438049,% Vertex Fetch Stall,0.804969195
173408873744576,22.20098114013672,% Texture Fetch Stall,0.804980081
173408873745565,22.100814819335938,,0.80498107
173408873746138,23.880046844482422,% Texture L2 Miss,0.804981643
173408873747023,9933877.0,Vertices Shaded / Second,0.804982528
173408873748013,1370102912.0,Fragments Shaded / Second,0.804983518
173408873748482,-1.0,Vertex Instructions / Second,0.804983987
173408873749055,-1.0,Fragment Instructions / Second,0.80498456
173408873750253,-1.0,Textures / Fragment,0.804985758
173408873751398,0.0,% Time Shading Fragments,0.804986903
173408873751867,6.740995407104492,% Time Shading Vertices,0.804987372
173408873752492,0.0,% Time Compute,0.804987997
173408873753378,0.0,% Nearest Filtered,0.804988883
173408873753794,0.0,% Linear Filtered,0.804989299
173408873754471,0.0,% Anisotropic Filtered,0.804989976
173408873755461,0.6299806237220764,Avg Preemption Delay,0.804990966
173408974105992,0.6354004740715027,% Vertex Fetch Stall,0.905341497
173408974117346,23.446182250976562,% Texture Fetch Stall,0.905352851
173408974121252,21.913578033447266,,0.905356757
173408974121721,23.534231185913086,% Texture L2 Miss,0.905357226
173408974122450,9339900.0,Vertices Shaded / Second,0.905357955
173408974123336,1286000768.0,Fragments Shaded / Second,0.905358841
173408974123752,-1.0,Vertex Instructions / Second,0.905359257
173408974124169,-1.0,Fragment Instructions / Second,0.905359674
173408974126565,-1.0,Textures / Fragment,0.90536207
173408974129013,0.0,% Time Shading Fragments,0.905364518
173408974129481,6.6147613525390625,% Time Shading Vertices,0.905364986
173408974130002,0.0,% Time Compute,0.905365507
173408974130679,0.0,% Nearest Filtered,0.905366184
173408974131044,0.0,% Linear Filtered,0.905366549
173408974131721,0.0,% Anisotropic Filtered,0.905367226
173408974132502,0.6091962456703186,Avg Preemption Delay,0.905368007
173409068239543,0.0,application_prediction_milliseconds,0.999475048
173409068248709,0.0,stale_frames_per_second,0.999484214
173409068250116,0.0,last_used_foveation_level,0.999485621
173409068251262,1.0,application_layer_count,0.999486767
173409068252512,6313.0,app_vss_mb,0.999488017
173409068253605,103.0,app_rss_mb,0.99948911
173409068254491,2.0,app_uss_mb,0.999489996
173409068255428,0.38354170322418213,app_gpu_ms,0.999490933
173409074476471,0.6090871095657349,% Vertex Fetch Stall,1.005711976
173409074485429,21.961835861206055,% Texture Fetch Stall,1.005720934
173409074486262,21.977291107177734,,1.005721767
173409074486679,23.775644302368164,% Texture L2 Miss,1.005722184
173409074487356,9281462.0,Vertices Shaded / Second,1.005722861
173409074488137,1239672704.0,Fragments Shaded / Second,1.005723642
173409074488554,-1.0,Vertex Instructions / Second,1.005724059
173409074488971,-1.0,Fragment Instructions / Second,1.005724476
173409074489596,-1.0,Textures / Fragment,1.005725101
173409074490325,0.0,% Time Shading Fragments,1.00572583
173409074490741,6.954041957855225,% Time Shading Vertices,1.005726246
173409074491158,0.0,% Time Compute,1.005726663
173409074491835,0.0,% Nearest Filtered,1.00572734
173409074492200,0.0,% Linear Filtered,1.005727705
173409074492825,0.0,% Anisotropic Filtered,1.00572833
173409074493658,0.658362627029419,Avg Preemption Delay,1.005729163
173409104763349,24.024229049682617,application_prediction_milliseconds,1.035998854
173409104773817,48.0,stale_frames_per_second,1.036009322
173409104775067,0.0,last_used_foveation_level,1.036010572
