ts,value,counter_name,t_s
173589228863011,545770240.0,Clocks / Second,0.0
173589228869157,100.0,GPU % Bus Busy,6.146e-06
173589228873323,0.0,% Vertex Fetch Stall,1.0312e-05
173589228875771,0.0,% Texture Fetch Stall,1.276e-05
173589228879990,-1.0,L1 Texture Cache Miss Per Pixel,1.6979e-05
173589228883532,0.0,% Texture L2 Miss,2.0521e-05
173589228887698,0.0,% Stalled on System Memory,2.4687e-05
173589228889834,0.0,Pre-clipped Polygons/Second,2.6823e-05
173589228891761,0.0,% Prims Trivially Rejected,2.875e-05
173589228894469,0.0,% Prims Clipped,3.1458e-05
173589228896657,0.0,Average Vertices / Polygon,3.3646e-05
173589228899001,0.0,Reused Vertices / Second,3.599e-05
173589228901396,-1.0,Average Polygon Area,3.8385e-05
173589228903428,0.0,% Shaders Busy,4.0417e-05
173589228906553,0.0,Vertices Shaded / Second,4.3542e-05
173589228909261,-1.0,Fragments Shaded / Second,4.625e-05
173589228911605,-1.0,Vertex Instructions / Second,4.8594e-05
173589228914001,-1.0,Fragment Instructions / Second,5.099e-05
173589228916240,-1.0,Fragment ALU Instructions / Sec (Full),5.3229e-05
173589228918376,-1.0,Fragment ALU Instructions / Sec (Half),5.5365e-05
173589228920459,-1.0,Fragment EFU Instructions / Second,5.7448e-05
173589228922438,-1.0,Textures / Vertex,5.9427e-05
173589228924469,-1.0,Textures / Fragment,6.1458e-05
173589228926448,-1.0,ALU / Vertex,6.3437e-05
173589228936292,-1.0,ALU / Fragment,7.3281e-05
173589228938167,-1.0,EFU / Fragment,7.5156e-05
173589228950355,-1.0,EFU / Vertex,8.7344e-05
173589228953636,0.0,% Time Shading Fragments,9.0625e-05
173589228956136,0.0,% Time Shading Vertices,9.3125e-05
173589228958219,0.0,% Time Compute,9.5208e-05
173589228960407,0.0,% Shader ALU Capacity Utilized,9.7396e-05
173589228962230,0.0,% Time ALUs Working,9.9219e-05
173589228964157,0.0,% Time EFUs Working,0.000101146
173589228969678,0.0,% Nearest Filtered,0.000106667
173589228971917,0.0,% Linear Filtered,0.000108906
173589228974417,0.0,% Anisotropic Filtered,0.000111406
173589228976501,0.0,% Non-Base Level Textures,0.00011349
173589228979365,0.0,Read Total (Bytes/sec),0.000116354
173589228982230,152256.875,Write Total (Bytes/sec),0.000119219
173589228984626,0.0,Texture Memory Read BW (Bytes/Second),0.000121615
173589228986813,0.0,Vertex Memory Read (Bytes/Second),0.000123802
173589228989730,0.0,SP Memory Read (Bytes/Second),0.000126719
173589228991813,-1.0,Avg Bytes / Fragment,0.000128802
173589228993792,0.0,Avg Bytes / Vertex,0.000130781
173589228996240,0.0,Preemptions / second,0.000133229
173589228999469,0.0,Avg Preemption Delay,0.000136458
173589229001396,545000000.0,GPU Frequency,0.000138385
173589230513688,544436992.0,Clocks / Second,0.001650677
173589230530719,7.619232177734375,GPU % Bus Busy,0.001667708
173589230531553,0.4390496015548706,% Vertex Fetch Stall,0.001668542
173589230532282,0.0,% Texture Fetch Stall,0.001669271
173589230534105,-1.0,L1 Texture Cache Miss Per Pixel,0.001671094
173589230534730,34.1259765625,% Texture L2 Miss,0.001671719
173589230535199,0.6043388247489929,% Stalled on System Memory,0.001672188
173589230535772,9727573.0,Pre-clipped Polygons/Second,0.001672761
173589230536240,52.884666442871094,% Prims Trivially Rejected,0.001673229
173589230537074,0.10793890804052353,% Prims Clipped,0.001674063
173589230537490,1.1922931671142578,Average Vertices / Polygon,0.001674479
173589230538376,22252302.0,Reused Vertices / Second,0.001675365
173589230539209,-1.0,Average Polygon Area,0.001676198
173589230539678,0.0,% Shaders Busy,0.001676667
173589230540511,11598119.0,Vertices Shaded / Second,0.0016775
173589230541240,-1.0,Fragments Shaded / Second,0.001678229
173589230541969,-1.0,Vertex Instructions / Second,0.001678958
173589230542490,-1.0,Fragment Instructions / Second,0.001679479
173589230542907,-1.0,Fragment ALU Instructions / Sec (Full),0.001679896
173589230543324,-1.0,Fragment ALU Instructions / Sec (Half),0.001680313
173589230543792,-1.0,Fragment EFU Instructions / Second,0.001680781
173589230544157,-1.0,Textures / Vertex,0.001681146
173589230544574,-1.0,Textures / Fragment,0.001681563
173589230545199,-1.0,ALU / Vertex,0.001682188
173589230546032,-1.0,ALU / Fragment,0.001683021
173589230546501,-1.0,EFU / Fragment,0.00168349
173589230546969,-1.0,EFU / Vertex,0.001683958
173589230547855,0.0,% Time Shading Fragments,0.001684844
173589230548324,0.0,% Time Shading Vertices,0.001685313
173589230548844,0.0,% Time Compute,0.001685833
173589230549313,0.0,% Shader ALU Capacity Utilized,0.001686302
173589230549730,0.0,% Time ALUs Working,0.001686719
173589230550407,0.0,% Time EFUs Working,0.001687396
173589230551344,0.0,% Nearest Filtered,0.001688333
173589230551813,0.0,% Linear Filtered,0.001688802
173589230552490,0.0,% Anisotropic Filtered,0.001689479
