ts,value,counter_name,t_s
4394347971196,544996480.0,Clocks / Second,0.0
4394347977967,100.0,GPU % Bus Busy,6.771e-06
4394347981925,0.0,% Vertex Fetch Stall,1.0729e-05
4394347984060,0.0,% Texture Fetch Stall,1.2864e-05
4394347987602,-1.0,L1 Texture Cache Miss Per Pixel,1.6406e-05
4394347989581,0.0,% Texture L2 Miss,1.8385e-05
4394347993487,0.0,% Stalled on System Memory,2.2291e-05
4394347996196,0.0,Pre-clipped Polygons/Second,2.5e-05
4394347998331,0.0,% Prims Trivially Rejected,2.7135e-05
4394348001508,0.0,% Prims Clipped,3.0312e-05
4394348003592,0.0,Average Vertices / Polygon,3.2396e-05
4394348005935,0.0,Reused Vertices / Second,3.4739e-05
4394348007862,-1.0,Average Polygon Area,3.6666e-05
4394348010467,0.0,% Shaders Busy,3.9271e-05
4394348013279,0.0,Vertices Shaded / Second,4.2083e-05
4394348015883,-1.0,Fragments Shaded / Second,4.4687e-05
4394348017810,-1.0,Vertex Instructions / Second,4.6614e-05
4394348019998,-1.0,Fragment Instructions / Second,4.8802e-05
4394348022029,-1.0,Fragment ALU Instructions / Sec (Full),5.0833e-05
4394348024008,-1.0,Fragment ALU Instructions / Sec (Half),5.2812e-05
4394348025987,-1.0,Fragment EFU Instructions / Second,5.4791e-05
4394348028175,-1.0,Textures / Vertex,5.6979e-05
4394348030154,-1.0,Textures / Fragment,5.8958e-05
4394348031977,-1.0,ALU / Vertex,6.0781e-05
4394348033956,-1.0,ALU / Fragment,6.276e-05
4394348035883,-1.0,EFU / Fragment,6.4687e-05
4394348046508,-1.0,EFU / Vertex,7.5312e-05
4394348049165,0.0,% Time Shading Fragments,7.7969e-05
4394348051404,0.0,% Time Shading Vertices,8.0208e-05
4394348053748,0.0,% Time Compute,8.2552e-05
4394348055675,0.0,% Shader ALU Capacity Utilized,8.4479e-05
4394348057550,0.0,% Time ALUs Working,8.6354e-05
4394348059790,0.0,% Time EFUs Working,8.8594e-05
4394348099737,0.0,% Nearest Filtered,0.000128541
4394348103904,0.0,% Linear Filtered,0.000132708
4394348107706,0.0,% Anisotropic Filtered,0.00013651
4394348110935,0.0,% Non-Base Level Textures,0.000139739
4394348113383,0.0,Read Total (Bytes/sec),0.000142187
4394348115623,149141.734375,Write Total (Bytes/sec),0.000144427
4394348118435,0.0,Texture Memory Read BW (Bytes/Second),0.000147239
4394348120519,0.0,Vertex Memory Read (Bytes/Second),0.000149323
4394348122602,0.0,SP Memory Read (Bytes/Second),0.000151406
4394348124633,-1.0,Avg Bytes / Fragment,0.000153437
4394348126873,0.0,Avg Bytes / Vertex,0.000155677
4394348128800,0.0,Preemptions / second,0.000157604
4394348131612,0.0,Avg Preemption Delay,0.000160416
4394348133540,545000000.0,GPU Frequency,0.000162344
4394349451925,544953536.0,Clocks / Second,0.001480729
4394349457758,23.267812728881836,GPU % Bus Busy,0.001486562
4394349458956,0.5105648636817932,% Vertex Fetch Stall,0.00148776
4394349459477,0.0,% Texture Fetch Stall,0.001488281
4394349460363,-1.0,L1 Texture Cache Miss Per Pixel,0.001489167
4394349460935,25.80333709716797,% Texture L2 Miss,0.001489739
4394349461456,0.03348866105079651,% Stalled on System Memory,0.00149026
4394349461925,15953771.0,Pre-clipped Polygons/Second,0.001490729
4394349462706,38.28841781616211,% Prims Trivially Rejected,0.00149151
4394349463123,2.6132404804229736,% Prims Clipped,0.001491927
4394349463592,1.0210481882095337,Average Vertices / Polygon,0.001492396
4394349464008,31676114.0,Reused Vertices / Second,0.001492812
4394349464633,-1.0,Average Polygon Area,0.001493437
4394349465154,0.0,% Shaders Busy,0.001493958
4394349465623,16289568.0,Vertices Shaded / Second,0.001494427
4394349466196,-1.0,Fragments Shaded / Second,0.001495
4394349467081,-1.0,Vertex Instructions / Second,0.001495885
4394349467550,-1.0,Fragment Instructions / Second,0.001496354
4394349467967,-1.0,Fragment ALU Instructions / Sec (Full),0.001496771
4394349468435,-1.0,Fragment ALU Instructions / Sec (Half),0.001497239
4394349468904,-1.0,Fragment EFU Instructions / Second,0.001497708
4394349469373,-1.0,Textures / Vertex,0.001498177
4394349469842,-1.0,Textures / Fragment,0.001498646
4394349470310,-1.0,ALU / Vertex,0.001499114
4394349470831,-1.0,ALU / Fragment,0.001499635
4394349471300,-1.0,EFU / Fragment,0.001500104
4394349471717,-1.0,EFU / Vertex,0.001500521
4394349472290,0.0,% Time Shading Fragments,0.001501094
4394349472810,0.0,% Time Shading Vertices,0.001501614
4394349473279,0.0,% Time Compute,0.001502083
4394349473748,0.0,% Shader ALU Capacity Utilized,0.001502552
4394349474165,0.0,% Time ALUs Working,0.001502969
4394349474633,0.0,% Time EFUs Working,0.001503437
4394349475102,0.0,% Nearest Filtered,0.001503906
4394349475623,0.0,% Linear Filtered,0.001504427
4394349476092,0.0,% Anisotropic Filtered,0.001504896
4394349476717,0.0,% Non-Base Level Textures,0.001505521
4394349477185,1635731712.0,Read Total (Bytes/sec),0.001505989
4394349477654,2205207552.0,Write Total (Bytes/sec),0.001506458
4394349478123,1370778752.0,Texture Memory Read BW (Bytes/Second),0.001506927
4394349478592,107092088.0,Vertex Memory Read (Bytes/Second),0.001507396
4394349479060,5118638.5,SP Memory Read (Bytes/Second),0.001507864
4394349479529,-1.0,Avg Bytes / Fragment,0.001508333
4394349479998,6.574274063110352,Avg Bytes / Vertex,0.001508802
4394349480779,283.6125183105469,Preemptions / second,0.001509583
4394349481248,1.3212136030197144,Avg Preemption Delay,0.001510052
4394349481717,545000000.0,GPU Frequency,0.001510521
4394350835519,544798400.0,Clocks / Second,0.002864323
4394350840727,23.350194931030273,GPU % Bus Busy,0.002869531
4394350841873,0.7180417776107788,% Vertex Fetch Stall,0.002870677
4394350842654,0.0,% Texture Fetch Stall,0.002871458
4394350843592,-1.0,L1 Texture Cache Miss Per Pixel,0.002872396
4394350844373,24.252592086791992,% Texture L2 Miss,0.002873177
4394350845154,0.07969699800014496,% Stalled on System Memory,0.002873958
4394350845936,30602470.0,Pre-clipped Polygons/Second,0.00287474
4394350846977,39.02061080932617,% Prims Trivially Rejected,0.002875781
4394350847498,1.8216817378997803,% Prims Clipped,0.002876302
4394350847915,1.0380299091339111,Average Vertices / Polygon,0.002876719
4394350848384,60092852.0,Reused Vertices / Second,0.002877188
4394350848852,-1.0,Average Polygon Area,0.002877656
4394350849269,0.0,% Shaders Busy,0.002878073
4394350849790,31766280.0,Vertices Shaded / Second,0.002878594
4394350850311,-1.0,Fragments Shaded / Second,0.002879115
4394350850884,-1.0,Vertex Instructions / Second,0.002879688
4394350851352,-1.0,Fragment Instructions / Second,0.002880156
4394350851769,-1.0,Fragment ALU Instructions / Sec (Full),0.002880573
4394350852238,-1.0,Fragment ALU Instructions / Sec (Half),0.002881042
4394350852706,-1.0,Fragment EFU Instructions / Second,0.00288151
4394350853123,-1.0,Textures / Vertex,0.002881927
4394350853540,-1.0,Textures / Fragment,0.002882344
4394350854009,-1.0,ALU / Vertex,0.002882813
4394350854529,-1.0,ALU / Fragment,0.002883333
4394350855050,-1.0,EFU / Fragment,0.002883854
4394350855519,-1.0,EFU / Vertex,0.002884323
4394350856248,0.0,% Time Shading Fragments,0.002885052
