ts,value,counter_name,t_s
6063675804160,545219840.0,Clocks / Second,0.0
6063675808691,100.0,GPU % Bus Busy,4.531e-06
6063675811712,0.0,% Vertex Fetch Stall,7.552e-06
6063675813587,0.0,% Texture Fetch Stall,9.427e-06
6063675816608,0.0,L1 Texture Cache Miss Per Pixel,1.2448e-05
6063675818691,0.0,% Texture L2 Miss,1.4531e-05
6063675821972,0.0,% Stalled on System Memory,1.7812e-05
6063675824212,0.0,Pre-clipped Polygons/Second,2.0052e-05
6063675826295,0.0,% Prims Trivially Rejected,2.2135e-05
6063675828847,0.0,% Prims Clipped,2.4687e-05
6063675830670,0.0,Average Vertices / Polygon,2.651e-05
6063675832754,0.0,Reused Vertices / Second,2.8594e-05
6063675834785,0.0,Average Polygon Area,3.0625e-05
6063675836764,0.0,% Shaders Busy,3.2604e-05
6063675839472,0.0,Vertices Shaded / Second,3.5312e-05
6063675841816,0.0,Fragments Shaded / Second,3.7656e-05
6063675843795,0.0,Vertex Instructions / Second,3.9635e-05
6063675845931,0.0,Fragment Instructions / Second,4.1771e-05
6063675847649,0.0,Fragment ALU Instructions / Sec (Full),4.3489e-05
6063675849577,0.0,Fragment ALU Instructions / Sec (Half),4.5417e-05
6063675851295,0.0,Fragment EFU Instructions / Second,4.7135e-05
6063675853483,0.0,Textures / Vertex,4.9323e-05
6063675855410,0.0,Textures / Fragment,5.125e-05
6063675857441,0.0,ALU / Vertex,5.3281e-05
6063675859264,0.0,ALU / Fragment,5.5104e-05
6063675860983,0.0,EFU / Fragment,5.6823e-05
6063675870566,0.0,EFU / Vertex,6.6406e-05
6063675872962,0.0,% Time Shading Fragments,6.8802e-05
6063675875358,0.0,% Time Shading Vertices,7.1198e-05
6063675877181,0.0,% Time Compute,7.3021e-05
6063675879472,0.0,% Shader ALU Capacity Utilized,7.5312e-05
6063675881347,0.0,% Time ALUs Working,7.7187e-05
6063675883118,0.0,% Time EFUs Working,7.8958e-05
6063675887337,0.0,% Nearest Filtered,8.3177e-05
6063675889264,0.0,% Linear Filtered,8.5104e-05
6063675891139,0.0,% Anisotropic Filtered,8.6979e-05
6063675893431,0.0,% Non-Base Level Textures,8.9271e-05
6063675895358,0.0,Read Total (Bytes/sec),9.1198e-05
6063675897233,140388.4375,Write Total (Bytes/sec),9.3073e-05
6063675899368,0.0,Texture Memory Read BW (Bytes/Second),9.5208e-05
6063675901452,0.0,Vertex Memory Read (Bytes/Second),9.7292e-05
6063675903431,0.0,SP Memory Read (Bytes/Second),9.9271e-05
6063675905202,0.0,Avg Bytes / Fragment,0.000101042
6063675906920,0.0,Avg Bytes / Vertex,0.00010276
6063675908952,0.0,Preemptions / second,0.000104792
6063675911556,0.0,Avg Preemption Delay,0.000107396
6063675913327,545000000.0,GPU Frequency,0.000109167
6063677236035,544815040.0,Clocks / Second,0.001431875
6063677240566,100.0,GPU % Bus Busy,0.001436406
6063677241504,0.0,% Vertex Fetch Stall,0.001437344
6063677241920,0.0,% Texture Fetch Stall,0.00143776
6063677242598,0.0,L1 Texture Cache Miss Per Pixel,0.001438438
6063677243118,0.0,% Texture L2 Miss,0.001438958
6063677243639,0.0,% Stalled on System Memory,0.001439479
6063677244108,0.0,Pre-clipped Polygons/Second,0.001439948
6063677244525,0.0,% Prims Trivially Rejected,0.001440365
6063677245045,0.0,% Prims Clipped,0.001440885
6063677245514,0.0,Average Vertices / Polygon,0.001441354
6063677246087,0.0,Reused Vertices / Second,0.001441927
6063677246608,0.0,Average Polygon Area,0.001442448
6063677247233,0.0,% Shaders Busy,0.001443073
6063677247702,0.0,Vertices Shaded / Second,0.001443542
6063677248170,0.0,Fragments Shaded / Second,0.00144401
6063677248795,0.0,Vertex Instructions / Second,0.001444635
6063677249264,0.0,Fragment Instructions / Second,0.001445104
6063677249733,0.0,Fragment ALU Instructions / Sec (Full),0.001445573
6063677250150,0.0,Fragment ALU Instructions / Sec (Half),0.00144599
6063677250670,0.0,Fragment EFU Instructions / Second,0.00144651
6063677251087,0.0,Textures / Vertex,0.001446927
6063677251504,0.0,Textures / Fragment,0.001447344
6063677251973,0.0,ALU / Vertex,0.001447813
6063677252545,0.0,ALU / Fragment,0.001448385
6063677253014,0.0,EFU / Fragment,0.001448854
6063677253431,0.0,EFU / Vertex,0.001449271
6063677253952,0.0,% Time Shading Fragments,0.001449792
6063677254473,0.0,% Time Shading Vertices,0.001450313
6063677254941,0.0,% Time Compute,0.001450781
6063677255410,0.0,% Shader ALU Capacity Utilized,0.00145125
6063677255879,0.0,% Time ALUs Working,0.001451719
6063677256400,0.0,% Time EFUs Working,0.00145224
6063677257077,0.0,% Nearest Filtered,0.001452917
6063677257598,0.0,% Linear Filtered,0.001453438
6063677258066,0.0,% Anisotropic Filtered,0.001453906
