ts,value,counter_name,t_s
6891014215380,545670400.0,Clocks / Second,0.0
6891014221474,100.0,GPU % Bus Busy,6.094e-06
6891014225120,0.0,% Vertex Fetch Stall,9.74e-06
6891014227255,0.0,% Texture Fetch Stall,1.1875e-05
6891014231109,0.0,L1 Texture Cache Miss Per Pixel,1.5729e-05
6891014233557,0.0,% Texture L2 Miss,1.8177e-05
6891014237099,0.0,% Stalled on System Memory,2.1719e-05
6891014239391,0.0,Pre-clipped Polygons/Second,2.4011e-05
6891014241943,0.0,% Prims Trivially Rejected,2.6563e-05
6891014245328,0.0,% Prims Clipped,2.9948e-05
6891014247464,0.0,Average Vertices / Polygon,3.2084e-05
6891014250328,0.0,Reused Vertices / Second,3.4948e-05
6891014252672,0.0,Average Polygon Area,3.7292e-05
6891014254964,0.0,% Shaders Busy,3.9584e-05
6891014258453,0.0,Vertices Shaded / Second,4.3073e-05
6891014261734,0.0,Fragments Shaded / Second,4.6354e-05
6891014263974,0.0,Vertex Instructions / Second,4.8594e-05
6891014266214,0.0,Fragment Instructions / Second,5.0834e-05
6891014268193,0.0,Fragment ALU Instructions / Sec (Full),5.2813e-05
6891014270953,0.0,Fragment ALU Instructions / Sec (Half),5.5573e-05
6891014273036,0.0,Fragment EFU Instructions / Second,5.7656e-05
6891014275380,0.0,Textures / Vertex,6e-05
6891014277932,0.0,Textures / Fragment,6.2552e-05
6891014280224,0.0,ALU / Vertex,6.4844e-05
6891014282359,0.0,ALU / Fragment,6.6979e-05
6891014284182,0.0,EFU / Fragment,6.8802e-05
6891014294182,0.0,EFU / Vertex,7.8802e-05
6891014297620,0.0,% Time Shading Fragments,8.224e-05
6891014300016,0.0,% Time Shading Vertices,8.4636e-05
6891014302411,0.0,% Time Compute,8.7031e-05
6891014304547,0.0,% Shader ALU Capacity Utilized,8.9167e-05
6891014306995,0.0,% Time ALUs Working,9.1615e-05
6891014309026,0.0,% Time EFUs Working,9.3646e-05
6891014314286,0.0,% Nearest Filtered,9.8906e-05
6891014316109,0.0,% Linear Filtered,0.000100729
6891014318505,0.0,% Anisotropic Filtered,0.000103125
6891014320849,0.0,% Non-Base Level Textures,0.000105469
6891014322932,0.0,Read Total (Bytes/sec),0.000107552
6891014326370,149587.84375,Write Total (Bytes/sec),0.00011099
6891014329651,0.0,Texture Memory Read BW (Bytes/Second),0.000114271
6891014331474,0.0,Vertex Memory Read (Bytes/Second),0.000116094
6891014333818,0.0,SP Memory Read (Bytes/Second),0.000118438
6891014335849,0.0,Avg Bytes / Fragment,0.000120469
6891014337932,0.0,Avg Bytes / Vertex,0.000122552
6891014339964,0.0,Preemptions / second,0.000124584
6891014342932,0.0,Avg Preemption Delay,0.000127552
6891014344703,545000000.0,GPU Frequency,0.000129323
6891015761110,544634496.0,Clocks / Second,0.00154573
6891015766422,100.0,GPU % Bus Busy,0.001551042
6891015767620,0.0,% Vertex Fetch Stall,0.00155224
6891015768401,0.0,% Texture Fetch Stall,0.001553021
6891015769599,0.0,L1 Texture Cache Miss Per Pixel,0.001554219
6891015770485,0.0,% Texture L2 Miss,0.001555105
6891015771422,0.0,% Stalled on System Memory,0.001556042
6891015771891,0.0,Pre-clipped Polygons/Second,0.001556511
6891015772620,0.0,% Prims Trivially Rejected,0.00155724
6891015773089,0.0,% Prims Clipped,0.001557709
6891015773557,0.0,Average Vertices / Polygon,0.001558177
6891015774078,0.0,Reused Vertices / Second,0.001558698
6891015774703,0.0,Average Polygon Area,0.001559323
6891015775380,0.0,% Shaders Busy,0.00156
6891015775797,0.0,Vertices Shaded / Second,0.001560417
6891015776422,0.0,Fragments Shaded / Second,0.001561042
6891015777151,0.0,Vertex Instructions / Second,0.001561771
6891015777568,0.0,Fragment Instructions / Second,0.001562188
6891015778037,0.0,Fragment ALU Instructions / Sec (Full),0.001562657
6891015778453,0.0,Fragment ALU Instructions / Sec (Half),0.001563073
6891015778922,0.0,Fragment EFU Instructions / Second,0.001563542
6891015779339,0.0,Textures / Vertex,0.001563959
6891015779860,0.0,Textures / Fragment,0.00156448
6891015780380,0.0,ALU / Vertex,0.001565
6891015780901,0.0,ALU / Fragment,0.001565521
