ts,value,counter_name,t_s
7006354828068,545006976.0,Clocks / Second,0.0
7006354833797,17.779983520507812,GPU % Bus Busy,5.729e-06
7006354837131,0.9918292760848999,% Vertex Fetch Stall,9.063e-06
7006354839058,0.0,% Texture Fetch Stall,1.099e-05
7006354842912,-1.0,L1 Texture Cache Miss Per Pixel,1.4844e-05
7006354845308,24.75826644897461,% Texture L2 Miss,1.724e-05
7006354848276,0.018091581761837006,% Stalled on System Memory,2.0208e-05
7006354850308,30331632.0,Pre-clipped Polygons/Second,2.224e-05
7006354852131,56.709197998046875,% Prims Trivially Rejected,2.4063e-05
7006354854579,1.7057089805603027,% Prims Clipped,2.6511e-05
7006354857026,0.861360490322113,Average Vertices / Polygon,2.8958e-05
7006354859266,43759344.0,Reused Vertices / Second,3.1198e-05
7006354861141,-1.0,Average Polygon Area,3.3073e-05
7006354863016,0.0,% Shaders Busy,3.4948e-05
7006354866245,26126470.0,Vertices Shaded / Second,3.8177e-05
7006354868693,-1.0,Fragments Shaded / Second,4.0625e-05
7006354870985,-1.0,Vertex Instructions / Second,4.2917e-05
7006354873329,-1.0,Fragment Instructions / Second,4.5261e-05
7006354875412,-1.0,Fragment ALU Instructions / Sec (Full),4.7344e-05
7006354877599,-1.0,Fragment ALU Instructions / Sec (Half),4.9531e-05
7006354879370,-1.0,Fragment EFU Instructions / Second,5.1302e-05
7006354881401,-1.0,Textures / Vertex,5.3333e-05
7006354883641,-1.0,Textures / Fragment,5.5573e-05
7006354885672,-1.0,ALU / Vertex,5.7604e-05
7006354887860,-1.0,ALU / Fragment,5.9792e-05
7006354889579,-1.0,EFU / Fragment,6.1511e-05
7006354900204,-1.0,EFU / Vertex,7.2136e-05
7006354902756,0.0,% Time Shading Fragments,7.4688e-05
7006354904839,0.0,% Time Shading Vertices,7.6771e-05
7006354906818,0.0,% Time Compute,7.875e-05
7006354909891,0.0,% Shader ALU Capacity Utilized,8.1823e-05
7006354911714,0.0,% Time ALUs Working,8.3646e-05
7006354913693,0.0,% Time EFUs Working,8.5625e-05
7006354918329,0.0,% Nearest Filtered,9.0261e-05
7006354920308,0.0,% Linear Filtered,9.224e-05
7006354922235,0.0,% Anisotropic Filtered,9.4167e-05
7006354924318,0.0,% Non-Base Level Textures,9.625e-05
7006354926141,2523866880.0,Read Total (Bytes/sec),9.8073e-05
7006354928277,3523178752.0,Write Total (Bytes/sec),0.000100209
7006354931245,2075833344.0,Texture Memory Read BW (Bytes/Second),0.000103177
7006354933068,152103856.0,Vertex Memory Read (Bytes/Second),0.000105
7006354934995,8256068.5,SP Memory Read (Bytes/Second),0.000106927
7006354936870,-1.0,Avg Bytes / Fragment,0.000108802
7006354938745,5.821829795837402,Avg Bytes / Vertex,0.000110677
