ts,value,counter_name,t_s
5137295915834,545222848.0,Clocks / Second,0.0
5137295921667,100.0,GPU % Bus Busy,5.833e-06
5137295924584,0.0,% Vertex Fetch Stall,8.75e-06
5137295926511,0.0,% Texture Fetch Stall,1.0677e-05
5137295929584,0.0,L1 Texture Cache Miss Per Pixel,1.375e-05
5137295931979,0.0,% Texture L2 Miss,1.6145e-05
5137295934844,0.0,% Stalled on System Memory,1.901e-05
5137295936823,0.0,Pre-clipped Polygons/Second,2.0989e-05
5137295939011,0.0,% Prims Trivially Rejected,2.3177e-05
5137295941927,0.0,% Prims Clipped,2.6093e-05
5137295943854,0.0,Average Vertices / Polygon,2.802e-05
5137295945573,0.0,Reused Vertices / Second,2.9739e-05
5137295947500,0.0,Average Polygon Area,3.1666e-05
5137295949896,0.0,% Shaders Busy,3.4062e-05
5137295990417,0.0,Vertices Shaded / Second,7.4583e-05
5137295993177,0.0,Fragments Shaded / Second,7.7343e-05
5137295995157,0.0,Vertex Instructions / Second,7.9323e-05
5137295997292,0.0,Fragment Instructions / Second,8.1458e-05
5137295999219,0.0,Fragment ALU Instructions / Sec (Full),8.3385e-05
5137296001042,0.0,Fragment ALU Instructions / Sec (Half),8.5208e-05
5137296002761,0.0,Fragment EFU Instructions / Second,8.6927e-05
5137296022969,0.0,Textures / Vertex,0.000107135
5137296056042,0.0,Textures / Fragment,0.000140208
5137296057917,0.0,ALU / Vertex,0.000142083
5137296059688,0.0,ALU / Fragment,0.000143854
5137296061511,0.0,EFU / Fragment,0.000145677
5137296070938,0.0,EFU / Vertex,0.000155104
5137296073282,0.0,% Time Shading Fragments,0.000157448
5137296075313,0.0,% Time Shading Vertices,0.000159479
5137296077344,0.0,% Time Compute,0.00016151
5137296079427,0.0,% Shader ALU Capacity Utilized,0.000163593
5137296081302,0.0,% Time ALUs Working,0.000165468
5137296083229,0.0,% Time EFUs Working,0.000167395
5137296087865,0.0,% Nearest Filtered,0.000172031
5137296089844,0.0,% Linear Filtered,0.00017401
5137296091771,0.0,% Anisotropic Filtered,0.000175937
5137296093959,0.0,% Non-Base Level Textures,0.000178125
5137296095938,0.0,Read Total (Bytes/sec),0.000180104
5137296098334,139116.9375,Write Total (Bytes/sec),0.0001825
5137296100677,0.0,Texture Memory Read BW (Bytes/Second),0.000184843
5137296102709,0.0,Vertex Memory Read (Bytes/Second),0.000186875
5137296104896,0.0,SP Memory Read (Bytes/Second),0.000189062
5137296106823,0.0,Avg Bytes / Fragment,0.000190989
5137296108594,0.0,Avg Bytes / Vertex,0.00019276
5137296110417,0.0,Preemptions / second,0.000194583
5137296112448,0.0,Avg Preemption Delay,0.000196614
5137296114479,545000000.0,GPU Frequency,0.000198645
5137297471980,544900416.0,Clocks / Second,0.001556146
5137297476771,100.0,GPU % Bus Busy,0.001560937
5137297477500,0.0,% Vertex Fetch Stall,0.001561666
5137297478021,0.0,% Texture Fetch Stall,0.001562187
5137297478646,0.0,L1 Texture Cache Miss Per Pixel,0.001562812
5137297479115,0.0,% Texture L2 Miss,0.001563281
5137297479584,0.0,% Stalled on System Memory,0.00156375
5137297480053,0.0,Pre-clipped Polygons/Second,0.001564219
5137297480469,0.0,% Prims Trivially Rejected,0.001564635
5137297480990,0.0,% Prims Clipped,0.001565156
5137297481459,0.0,Average Vertices / Polygon,0.001565625
5137297481928,0.0,Reused Vertices / Second,0.001566094
5137297482396,0.0,Average Polygon Area,0.001566562
5137297482813,0.0,% Shaders Busy,0.001566979
5137297483282,0.0,Vertices Shaded / Second,0.001567448
5137297483855,0.0,Fragments Shaded / Second,0.001568021
5137297484375,0.0,Vertex Instructions / Second,0.001568541
5137297484844,0.0,Fragment Instructions / Second,0.00156901
5137297485261,0.0,Fragment ALU Instructions / Sec (Full),0.001569427
5137297485678,0.0,Fragment ALU Instructions / Sec (Half),0.001569844
5137297486146,0.0,Fragment EFU Instructions / Second,0.001570312
5137297486511,0.0,Textures / Vertex,0.001570677
5137297487084,0.0,Textures / Fragment,0.00157125
5137297487448,0.0,ALU / Vertex,0.001571614
5137297488125,0.0,ALU / Fragment,0.001572291
5137297488542,0.0,EFU / Fragment,0.001572708
5137297489011,0.0,EFU / Vertex,0.001573177
5137297489480,0.0,% Time Shading Fragments,0.001573646
5137297489896,0.0,% Time Shading Vertices,0.001574062
5137297490417,0.0,% Time Compute,0.001574583
5137297490886,0.0,% Shader ALU Capacity Utilized,0.001575052
5137297491303,0.0,% Time ALUs Working,0.001575469
5137297491875,0.0,% Time EFUs Working,0.001576041
5137297492344,0.0,% Nearest Filtered,0.00157651
