ts,value,counter_name,t_s
5235112491099,25.65871810913086,application_prediction_milliseconds,0.0
5235112629328,0.0,stale_frames_per_second,0.000138229
5235112632245,0.0,last_used_foveation_level,0.000141146
5235112634484,6.0,application_layer_count,0.000143385
5235112636672,12250.0,app_vss_mb,0.000145573
5235112638963,1125.0,app_rss_mb,0.000147864
5235112640578,451.0,app_uss_mb,0.000149479
5235112642036,1.051217794418335,app_gpu_ms,0.000150937
5235112643807,90.0,display_refresh_rate,0.000152708
5235112645890,3.0,cpu_level,0.000154791
5235112647505,2.0,gpu_level,0.000156406
5235112649068,2361.0,cpu_frequency_mhz,0.000157969
5235112651047,545.0,gpu_frequency_mhz,0.000159948
5235112652765,3196.0,mem_frequency_mhz,0.000161666
5235112654380,2766.0,available_memory_mb,0.000163281
5235112656047,2.5336387157440186,timewarp_gpu_ms,0.000164948
5235112657609,0.0,guardian_gpu_ms,0.00016651
5235112659276,0.0,screen_tears_per_second,0.000168177
5235112661151,47.0,cpu_util_0,0.000170052
5235112662974,41.0,cpu_util_1,0.000171875
5235112664640,41.0,cpu_util_2,0.000173541
5235112666255,60.0,cpu_util_3,0.000175156
5235112667974,31.0,cpu_util_4,0.000176875
5235112669588,32.0,cpu_util_5,0.000178489
5235112671203,0.0,cpu_util_6,0.000180104
5235112672922,0.0,cpu_util_7,0.000181823
5235112674432,36.36104166507721,gpu_util,0.000183333
5235342236122,0.5589166879653931,% Vertex Fetch Stall,0.229745023
5235342241590,15.020809173583984,% Texture Fetch Stall,0.229750491
5235342245340,22.15077018737793,,0.229754241
5235342248778,26.44084930419922,% Texture L2 Miss,0.229757679
5235342251747,10516955.0,Vertices Shaded / Second,0.229760648
5235342255601,1616326912.0,Fragments Shaded / Second,0.229764502
5235342257632,1710285312.0,Vertex Instructions / Second,0.229766533
5235342259768,-1.0,Fragment Instructions / Second,0.229768669
5235342262684,-1.0,Textures / Fragment,0.229771585
5235342265184,0.0,% Time Shading Fragments,0.229774085
5235342267424,0.0,% Time Shading Vertices,0.229776325
5235342270028,0.0,% Time Compute,0.229778929
5235342272893,0.0,% Nearest Filtered,0.229781794
5235342274820,0.0,% Linear Filtered,0.229783721
5235342276747,0.0,% Anisotropic Filtered,0.229785648
5235342279820,23.744274139404297,Avg Preemption Delay,0.229788721
5235442660142,0.600716233253479,% Vertex Fetch Stall,0.330169043
5235442671913,15.284863471984863,% Texture Fetch Stall,0.330180814
5235442672903,22.13070297241211,,0.330181804
5235442673475,26.038270950317383,% Texture L2 Miss,0.330182376
5235442674205,10708442.0,Vertices Shaded / Second,0.330183106
5235442675246,1658360960.0,Fragments Shaded / Second,0.330184147
5235442675663,1746893312.0,Vertex Instructions / Second,0.330184564
5235442676080,-1.0,Fragment Instructions / Second,0.330184981
5235442676965,-1.0,Textures / Fragment,0.330185866
5235442677798,0.0,% Time Shading Fragments,0.330186699
5235442678215,0.0,% Time Shading Vertices,0.330187116
5235442692798,0.0,% Time Compute,0.330201699
5235442693423,0.0,% Nearest Filtered,0.330202324
5235442693840,0.0,% Linear Filtered,0.330202741
5235442694465,0.0,% Anisotropic Filtered,0.330203366
5235442695298,26.53854751586914,Avg Preemption Delay,0.330204199
5235543121871,0.5987876057624817,% Vertex Fetch Stall,0.430630772
5235543131194,14.927841186523438,% Texture Fetch Stall,0.430640095
5235543132444,22.175884246826172,,0.430641345
5235543133329,26.467105865478516,% Texture L2 Miss,0.43064223
5235543134371,10424585.0,Vertices Shaded / Second,0.430643272
5235543135100,1621976704.0,Fragments Shaded / Second,0.430644001
5235543135465,1701391488.0,Vertex Instructions / Second,0.430644366
5235543135829,-1.0,Fragment Instructions / Second,0.43064473
5235543136506,-1.0,Textures / Fragment,0.430645407
5235543137392,0.0,% Time Shading Fragments,0.430646293
5235543137808,0.0,% Time Shading Vertices,0.430646709
5235543138381,0.0,% Time Compute,0.430647282
5235543139058,0.0,% Nearest Filtered,0.430647959
5235543139423,0.0,% Linear Filtered,0.430648324
5235543139788,0.0,% Anisotropic Filtered,0.430648689
5235543140569,22.180744171142578,Avg Preemption Delay,0.43064947
5235643565787,0.5569620132446289,% Vertex Fetch Stall,0.531074688
5235643575006,14.63797378540039,% Texture Fetch Stall,0.531083907
5235643576152,22.187097549438477,,0.531085053
5235643576620,25.915115356445312,% Texture L2 Miss,0.531085521
5235643577662,10431849.0,Vertices Shaded / Second,0.531086563
5235643578548,1619700736.0,Fragments Shaded / Second,0.531087449
5235643578912,1702557952.0,Vertex Instructions / Second,0.531087813
5235643579329,-1.0,Fragment Instructions / Second,0.53108823
5235643580214,-1.0,Textures / Fragment,0.531089115
5235643581048,0.0,% Time Shading Fragments,0.531089949
5235643581464,0.0,% Time Shading Vertices,0.531090365
5235643581985,0.0,% Time Compute,0.531090886
5235643583079,0.0,% Nearest Filtered,0.53109198
5235643583495,0.0,% Linear Filtered,0.531092396
5235643584068,0.0,% Anisotropic Filtered,0.531092969
5235643584850,22.786968231201172,Avg Preemption Delay,0.531093751
5235743958141,0.6727339029312134,% Vertex Fetch Stall,0.631467042
5235743974860,17.539854049682617,% Texture Fetch Stall,0.631483761
5235743976058,22.02495574951172,,0.631484959
5235743976474,25.196332931518555,% Texture L2 Miss,0.631485375
5235743977308,10426613.0,Vertices Shaded / Second,0.631486209
5235743978193,1620164992.0,Fragments Shaded / Second,0.631487094
5235743978662,1702952448.0,Vertex Instructions / Second,0.631487563
5235743979078,-1.0,Fragment Instructions / Second,0.631487979
5235743979912,-1.0,Textures / Fragment,0.631488813
5235743980693,0.0,% Time Shading Fragments,0.631489594
5235743981110,0.0,% Time Shading Vertices,0.631490011
5235743981683,0.0,% Time Compute,0.631490584
5235743982308,0.0,% Nearest Filtered,0.631491209
5235743982672,0.0,% Linear Filtered,0.631491573
5235743983193,0.0,% Anisotropic Filtered,0.631492094
5235743984183,6.561897277832031,Avg Preemption Delay,0.631493084
5235845225703,0.6033512949943542,% Vertex Fetch Stall,0.732734604
5235845235338,15.124302864074707,% Texture Fetch Stall,0.732744239
5235845236328,22.105113983154297,,0.732745229
5235845236849,26.163423538208008,% Texture L2 Miss,0.73274575
5235845237422,10349893.0,Vertices Shaded / Second,0.732746323
5235845238463,1606978688.0,Fragments Shaded / Second,0.732747364
5235845238880,1689860480.0,Vertex Instructions / Second,0.732747781
5235845239401,-1.0,Fragment Instructions / Second,0.732748302
5235845240182,-1.0,Textures / Fragment,0.732749083
5235845241276,0.0,% Time Shading Fragments,0.732750177
5235845241693,0.0,% Time Shading Vertices,0.732750594
5235845242266,0.0,% Time Compute,0.732751167
5235845242891,0.0,% Nearest Filtered,0.732751792
5235845243255,0.0,% Linear Filtered,0.732752156
5235845243932,0.0,% Anisotropic Filtered,0.732752833
5235845244818,17.814180374145508,Avg Preemption Delay,0.732753719
5235898019250,22.835966110229492,application_prediction_milliseconds,0.785528151
5235898285240,3.0,stale_frames_per_second,0.785794141
5235898290396,0.0,last_used_foveation_level,0.785799297
5235898294667,1.0,application_layer_count,0.785803568
5235898297062,7810.0,app_vss_mb,0.785805963
5235898299250,300.0,app_rss_mb,0.785808151
5235898300708,46.0,app_uss_mb,0.785809609
5235898302115,0.11890992522239685,app_gpu_ms,0.785811016
5235902836646,0.0,application_prediction_milliseconds,0.790345547
5235902980084,0.0,stale_frames_per_second,0.790488985
5235902983313,0.0,last_used_foveation_level,0.790492214
5235902986073,1.0,application_layer_count,0.790494974
5235902988678,6330.0,app_vss_mb,0.790497579
5235902991334,115.0,app_rss_mb,0.790500235
5235902992792,2.0,app_uss_mb,0.790501693
5235902994198,1.0817331075668335,app_gpu_ms,0.790503099
5235946094151,0.619455873966217,% Vertex Fetch Stall,0.833603052
5235946106182,15.422739028930664,% Texture Fetch Stall,0.833615083
5235946107953,22.158010482788086,,0.833616854
5235946108526,25.789020538330078,% Texture L2 Miss,0.833617427
5235946109828,10379206.0,Vertices Shaded / Second,0.833618729
5235946111286,1612621696.0,Fragments Shaded / Second,0.833620187
5235946111703,1694602240.0,Vertex Instructions / Second,0.833620604
5235946112171,-1.0,Fragment Instructions / Second,0.833621072
5235946113682,-1.0,Textures / Fragment,0.833622583
5235946114880,0.0,% Time Shading Fragments,0.833623781
5235946115296,0.0,% Time Shading Vertices,0.833624197
5235946115921,0.0,% Time Compute,0.833624822
5235946116651,0.0,% Nearest Filtered,0.833625552
5235946117067,0.0,% Linear Filtered,0.833625968
5235946117901,0.0,% Anisotropic Filtered,0.833626802
5235946118890,15.890591621398926,Avg Preemption Delay,0.833627791
5236046465046,0.6363288164138794,% Vertex Fetch Stall,0.933973947
5236046474265,14.87056827545166,% Texture Fetch Stall,0.933983166
5236046475098,22.12567710876465,,0.933983999
5236046475619,26.353227615356445,% Texture L2 Miss,0.93398452
5236046476661,10425301.0,Vertices Shaded / Second,0.933985562
5236046477494,1619441152.0,Fragments Shaded / Second,0.933986395
5236046477911,1701849344.0,Vertex Instructions / Second,0.933986812
5236046478327,-1.0,Fragment Instructions / Second,0.933987228
5236046479161,-1.0,Textures / Fragment,0.933988062
5236046479890,0.0,% Time Shading Fragments,0.933988791
5236046480306,0.0,% Time Shading Vertices,0.933989207
5236046480879,0.0,% Time Compute,0.93398978
5236046481556,0.0,% Nearest Filtered,0.933990457
5236046481921,0.0,% Linear Filtered,0.933990822
5236046482442,0.0,% Anisotropic Filtered,0.933991343
5236046483067,20.970064163208008,Avg Preemption Delay,0.933991968
5236113337292,24.747493743896484,application_prediction_milliseconds,1.000846193
5236113345782,0.0,stale_frames_per_second,1.000854683
5236113347136,0.0,last_used_foveation_level,1.000856037
5236113347917,6.0,application_layer_count,1.000856818
5236113348803,12250.0,app_vss_mb,1.000857704
5236113349740,1125.0,app_rss_mb,1.000858641
5236113350209,451.0,app_uss_mb,1.00085911
5236113350678,1.0812758207321167,app_gpu_ms,1.000859579
5236113351198,90.0,display_refresh_rate,1.000860099
5236113352032,3.0,cpu_level,1.000860933
5236113352501,2.0,gpu_level,1.000861402
5236113353021,2361.0,cpu_frequency_mhz,1.000861922
5236113353751,545.0,gpu_frequency_mhz,1.000862652
5236113354323,3196.0,mem_frequency_mhz,1.000863224
5236113354740,2766.0,available_memory_mb,1.000863641
5236113355521,2.5116050243377686,timewarp_gpu_ms,1.000864422
5236113356094,0.0,guardian_gpu_ms,1.000864995
5236113356511,0.0,screen_tears_per_second,1.000865412
5236113356928,47.0,cpu_util_0,1.000865829
5236113357501,44.0,cpu_util_1,1.000866402
5236113358126,39.0,cpu_util_2,1.000867027
5236113358594,44.0,cpu_util_3,1.000867495
