Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.84651;12.48209;15.41735;268;108;111;1;1;4158.61190986633;13.86204;13.52808;14.17432;300;1;1;1;300;1;12.48209;15.41735;108;111;13.84651
"EarlyUpdate.XRUpdate";10.30807;9.01172;11.7462;248;127;37;2;2;3108.41410064697;10.36138;10.03547;10.70141;300;1;1;1;300;1;9.01172;11.7462;127;37;9.95448
"PostLateUpdate.FinishFrameRendering";1.693229;1.06698;2.739011;175;36;104;2;2;503.245776057243;1.677486;1.529636;1.819584;300;1;1;1;300;1;1.06698;2.739011;36;104;2.007708
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.580834;1.00849;2.643542;252;36;104;3;3;471.768748641014;1.572562;1.436615;1.701406;300;1;1;1;300;1;1.00849;2.643542;36;104;1.893907
"Inl_UniversalRenderTotal";1.543073;0.988125;2.567135;148;36;104;4;4;460.340309917927;1.534468;1.40948;1.658594;300;1;1;1;300;1;0.988125;2.567135;36;104;1.851146
"Inl_RenderCameraStack";1.498646;0.962552;2.505157;148;36;104;5;5;445.947076439857;1.48649;1.370001;1.60026;300;1;1;1;300;1;0.962552;2.505157;36;104;1.800729
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";0.976615;0.643125;1.778177;65;36;104;6;6;294.211120843887;0.9807037;0.903802;1.057969;300;1;1;1;300;1;0.643125;1.778177;36;104;0.965938
"Update.ScriptRunBehaviourUpdate";0.603698;0.371511;1.061927;274;36;265;2;2;181.285133361816;0.6042838;0.556719;0.659323;300;1;1;1;300;1;0.371511;1.061927;36;265;0.614375
"BehaviourUpdate";0.601823;0.370312;1.06099;138;36;265;3;3;180.80017259717;0.6026672;0.555573;0.657916;300;1;1;1;300;1;0.370312;1.06099;36;265;0.612865
"PostLateUpdate.PlayerSendFrameStarted";0.372344;0.232813;1.056406;144;3;217;2;2;114.830218523741;0.3827674;0.333646;0.417552;300;1;1;1;300;1;0.232813;1.056406;3;217;0.44401
"Inl_ExecuteRenderGraph";0.321094;0.215781;0.677032;166;1;104;7;7;100.686668872833;0.3356222;0.294323;0.367709;300;1;1;1;300;1;0.215781;0.677032;1;104;0.357135
"FrameEvents.XRBeginFrame";0.306198;0.197187;0.99302;82;3;217;3;3;95.1023467630148;0.3170078;0.278385;0.344063;300;1;1;1;300;1;0.197187;0.99302;3;217;0.344011
"Inl_ScriptableRenderContext.Submit";0.252031;0.155469;0.701198;167;7;183;6;6;79.687929853797;0.2656264;0.21526;0.293907;300;1;1;1;300;1;0.155469;0.701198;7;183;0.623177
"Inl_RecordRenderGraph";0.245468;0.160677;0.464427;64;36;277;7;7;76.497567743063;0.2549919;0.226198;0.279636;300;1;1;1;300;1;0.160677;0.464427;36;277;0.226771
"PostLateUpdate.ProfilerEndFrame";0.235157;0.147343;0.772396;95;17;109;2;2;75.1976998150349;0.250659;0.20323;0.280469;300;1;1;1;300;1;0.147343;0.772396;17;109;0.211823
"meta.xr.mrutilitykit.dll!Meta.XR.MRUtilityKit::MRUK.Update() [Invoke]";0.23401;0.136094;0.45802;116;36;299;4;4;71.2886037230492;0.2376287;0.215573;0.252708;300;1;1;1;300;1;0.136094;0.45802;36;299;0.257292
"Profiler.FlushCounters";0.232084;0.145521;0.737813;155;17;109;3;3;74.4131357818842;0.2480438;0.200573;0.278073;300;1;1;1;300;1;0.145521;0.737813;17;109;0.210156
"Inl_On Record Render Graph";0.231354;0.151563;0.450781;64;36;277;8;8;72.2179697006941;0.2407266;0.213854;0.26151;300;1;1;1;300;1;0.151563;0.450781;36;277;0.214114
"Oculus.VR.dll!::OVRManager.Update() [Invoke]";0.216875;0.148698;0.386146;104;59;46;4;4;67.0630307048559;0.2235434;0.207083;0.236406;300;1;1;1;300;1;0.148698;0.386146;59;46;0.213698
"Profiler.FlushMemoryCounters";0.190626;0.118177;0.492656;144;17;238;4;4;60.560947842896;0.2018698;0.163698;0.230208;300;1;1;1;300;1;0.118177;0.492656;17;238;0.175833
"CullScriptable";0.153333;0.104687;0.350104;29;7;111;7;7;47.5611568614841;0.1585372;0.140625;0.173125;300;1;1;1;300;1;0.104687;0.350104;7;111;0.162344
"Gfx.WaitForRenderThread";0.15224;0.104739;0.845781;114;7;217;4;4;48.6387539282441;0.1621292;0.137968;0.179479;300;1;1;1;300;1;0.104739;0.845781;7;217;0.180573
"Semaphore.WaitForSignal";0.150937;0.103854;0.844479;114;7;217;5;5;48.2533438056707;0.1608445;0.136511;0.177917;300;1;1;1;300;1;0.103854;0.844479;7;217;0.178802
"ExecuteRenderGraph";0.128958;0.078854;0.481042;204;60;203;7;7;41.407245837152;0.1380242;0.109115;0.148646;300;1;1;1;300;1;0.078854;0.481042;60;203;0.440417
"Inl_Setup Forward Lights";0.125;0.083385;0.36724;263;1;267;8;8;39.7103679329157;0.1323679;0.114114;0.144375;300;1;1;1;300;1;0.083385;0.36724;1;267;0.125208
"Inl_Setup Light Constants";0.122448;0.081614;0.363854;132;1;267;9;9;38.8708817958832;0.1295696;0.112031;0.141667;300;1;1;1;300;1;0.081614;0.363854;1;267;0.122865
"SceneCulling";0.071041;0.047552;0.168437;85;31;111;8;8;22.5379629917443;0.07512654;0.064063;0.080521;300;1;1;1;300;1;0.047552;0.168437;31;111;0.086615
"EndRenderQueueExtraction";0.065677;0.037813;0.375156;181;50;193;8;9;21.0233379672281;0.07007779;0.057813;0.074687;600;2;2;2;300;1;0.005781;0.325677;50;193;0.082188
