Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.88542;12.47042;15.0175;273;132;222;1;1;4144.99956703186;13.86287;13.55886;14.16771;299;1;1;1;299;1;12.47042;15.0175;132;222;13.87516
"EarlyUpdate.XRUpdate";10.28084;9.002969;11.43964;285;132;9;2;2;3087.56070804596;10.32629;9.997866;10.66552;299;1;1;1;299;1;9.002969;11.43964;132;9;10.29531
"PostLateUpdate.FinishFrameRendering";1.702032;1.166927;2.735521;217;27;130;2;2;509.653697490692;1.704527;1.512187;1.870313;299;1;1;1;299;1;1.166927;2.735521;27;130;1.70724
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.591614;1.090104;2.641563;101;41;130;3;3;478.195363640785;1.599316;1.421823;1.74849;299;1;1;1;299;1;1.090104;2.641563;41;130;1.527969
"Inl_UniversalRenderTotal";1.552708;1.064688;2.605938;167;41;130;4;4;466.752444267273;1.561045;1.386666;1.698438;299;1;1;1;299;1;1.064688;2.605938;41;130;1.499792
"Inl_RenderCameraStack";1.50526;1.032552;2.563178;93;41;130;5;5;452.346039652824;1.512863;1.347031;1.649792;299;1;1;1;299;1;1.032552;2.563178;41;130;1.461198
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";0.999219;0.682396;1.611979;270;41;222;6;6;298.929233849049;0.9997633;0.889896;1.088385;299;1;1;1;299;1;0.682396;1.611979;41;222;0.973802
"Update.ScriptRunBehaviourUpdate";0.634479;0.414739;0.921927;257;49;131;2;2;188.516226142645;0.6304891;0.572188;0.685;299;1;1;1;299;1;0.414739;0.921927;49;131;0.67776
"BehaviourUpdate";0.633021;0.413177;0.919531;257;49;131;3;3;188.086697429419;0.6290525;0.571407;0.68349;299;1;1;1;299;1;0.413177;0.919531;49;131;0.676458
"PostLateUpdate.PlayerSendFrameStarted";0.353489;0.235261;0.661407;3;27;251;2;2;108.754923582077;0.3637289;0.31776;0.396667;299;1;1;1;299;1;0.235261;0.661407;27;251;0.35875
"Inl_ExecuteRenderGraph";0.326146;0.218333;0.636928;66;41;90;7;7;100.842877730727;0.3372672;0.284219;0.378698;299;1;1;1;299;1;0.218333;0.636928;41;90;0.307188
"FrameEvents.XRBeginFrame";0.292031;0.199271;0.570313;129;27;286;3;3;89.5885657072067;0.2996273;0.262552;0.325521;299;1;1;1;299;1;0.199271;0.570313;27;286;0.31026
"meta.xr.mrutilitykit.dll!Meta.XR.MRUtilityKit::MRUK.Update() [Invoke]";0.276198;0.173386;0.518802;173;49;131;4;4;83.4092296212912;0.2789606;0.248177;0.301927;299;1;1;1;299;1;0.173386;0.518802;49;131;0.30875
"Inl_RecordRenderGraph";0.252969;0.176823;0.680781;194;10;222;7;7;78.7030218839645;0.2632208;0.225104;0.292187;299;1;1;1;299;1;0.176823;0.680781;10;222;0.260365
"Inl_ScriptableRenderContext.Submit";0.25073;0.150937;0.741042;244;21;83;6;6;80.2476067245007;0.2683866;0.213282;0.294166;299;1;1;1;299;1;0.150937;0.741042;21;83;0.231562
"PostLateUpdate.ProfilerEndFrame";0.242708;0.153958;0.465521;246;92;203;2;2;76.5765638202429;0.2561089;0.207604;0.293854;299;1;1;1;299;1;0.153958;0.465521;92;203;0.259427
"Profiler.FlushCounters";0.240729;0.153073;0.461979;184;92;203;3;3;75.9048047959805;0.2538622;0.205938;0.291458;299;1;1;1;299;1;0.153073;0.461979;92;203;0.257448
"Inl_On Record Render Graph";0.238698;0.166302;0.661302;253;10;222;8;8;74.1528199464083;0.2480027;0.211667;0.274739;299;1;1;1;299;1;0.166302;0.661302;10;222;0.245521
"Oculus.VR.dll!::OVRManager.Update() [Invoke]";0.213906;0.151615;0.436094;292;49;159;4;4;65.0024008154869;0.2173993;0.192604;0.231302;299;1;1;1;299;1;0.151615;0.436094;49;159;0.218385
"Profiler.FlushMemoryCounters";0.190469;0.122812;0.380417;298;92;141;4;4;61.192922860384;0.2046586;0.167657;0.234583;299;1;1;1;299;1;0.122812;0.380417;92;141;0.213021
"CullScriptable";0.155052;0.110572;0.565052;278;36;107;7;7;49.270274952054;0.1647835;0.139427;0.178593;299;1;1;1;299;1;0.110572;0.565052;36;107;0.168385
"Gfx.WaitForRenderThread";0.147291;0.10302;0.327708;271;49;286;4;4;45.7429689690471;0.1529865;0.133438;0.164167;299;1;1;1;299;1;0.10302;0.327708;49;286;0.180105
"Semaphore.WaitForSignal";0.145937;0.101927;0.326511;271;49;286;5;5;45.3429677784443;0.1516487;0.132188;0.16276;299;1;1;1;299;1;0.101927;0.326511;49;286;0.179166
"Inl_Setup Forward Lights";0.125;0.078438;0.329271;185;41;90;8;8;38.9279689416289;0.1301939;0.109323;0.146563;299;1;1;1;299;1;0.078438;0.329271;41;90;0.125
