Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.86604;11.06203;16.525;8;68;67;1;1;4160.14515113831;13.86715;13.57417;14.13839;300;1;1;1;300;1;11.06203;16.525;68;67;13.86604
"EarlyUpdate.XRUpdate";10.35099;7.92823;11.64958;207;68;70;2;2;3101.78039979935;10.33927;10.08922;10.62984;300;1;1;1;300;1;7.92823;11.64958;68;70;10.7787
"PostLateUpdate.FinishFrameRendering";1.642343;1.165521;2.667344;148;290;67;2;2;505.921189546585;1.686404;1.545;1.779844;300;1;1;1;300;1;1.165521;2.667344;290;67;1.53875
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.54448;1.069896;2.516771;240;290;67;3;3;474.927489876747;1.583092;1.452135;1.674219;300;1;1;1;300;1;1.069896;2.516771;290;67;1.442605
"Inl_UniversalRenderTotal";1.511198;1.038281;2.450469;144;290;67;4;4;464.275561094284;1.547585;1.421406;1.636667;300;1;1;1;300;1;1.038281;2.450469;290;67;1.415781
"Inl_RenderCameraStack";1.461667;0.994583;2.313802;18;290;147;5;5;450.088799118996;1.500296;1.38151;1.585885;300;1;1;1;300;1;0.994583;2.313802;290;147;1.376563
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";0.975156;0.655;1.670834;82;290;245;6;6;300.656597793102;1.002189;0.90375;1.055521;300;1;1;1;300;1;0.655;1.670834;290;245;0.866302
"Update.ScriptRunBehaviourUpdate";0.658385;0.473177;1.328438;37;250;106;2;2;203.213097274303;0.677377;0.613438;0.729167;300;1;1;1;300;1;0.473177;1.328438;250;106;0.615781
"BehaviourUpdate";0.657188;0.47224;1.327135;35;250;106;3;3;202.766842544079;0.6758895;0.612343;0.727343;300;1;1;1;300;1;0.47224;1.327135;250;106;0.614271
"PostLateUpdate.PlayerSendFrameStarted";0.36;0.263333;0.826511;122;85;67;2;2;111.852974534035;0.3728432;0.313177;0.415938;300;1;1;1;300;1;0.263333;0.826511;85;67;0.284323
"Inl_ExecuteRenderGraph";0.316563;0.213802;0.900156;118;290;171;7;7;100.974224567413;0.3365808;0.290417;0.357395;300;1;1;1;300;1;0.213802;0.900156;290;171;0.284688
"FrameEvents.XRBeginFrame";0.300521;0.221355;0.671094;154;248;245;3;3;93.2034904956818;0.3106783;0.262032;0.34875;300;1;1;1;300;1;0.221355;0.671094;248;245;0.239115
"meta.xr.mrutilitykit.dll!Meta.XR.MRUtilityKit::MRUK.Update() [Invoke]";0.29599;0.189687;0.606666;65;247;213;4;4;90.6542225033045;0.3021807;0.249791;0.333698;300;1;1;1;300;1;0.189687;0.606666;247;213;0.291927
