Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.87016;12.4537;15.06599;195;133;132;1;1;4159.17540645599;13.86392;13.52313;14.20922;300;1;1;1;300;1;12.4537;15.06599;133;132;13.87427
"EarlyUpdate.XRUpdate";10.36948;9.106668;11.34677;183;133;17;2;2;3108.00390625;10.36001;10.07985;10.64583;300;1;1;1;300;1;9.106668;11.34677;133;17;10.14078
"PostLateUpdate.FinishFrameRendering";1.675469;1.183802;2.479115;242;47;144;2;2;507.611038208008;1.692037;1.527031;1.8225;300;1;1;1;300;1;1.183802;2.479115;47;144;1.892292
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.566302;1.110573;2.260417;267;47;156;3;3;476.318631410599;1.587729;1.436927;1.705834;300;1;1;1;300;1;1.110573;2.260417;47;156;1.735677
"Inl_UniversalRenderTotal";1.531042;1.086302;2.164688;254;47;173;4;4;465.084057211876;1.55028;1.401979;1.668854;300;1;1;1;300;1;1.086302;2.164688;47;173;1.692917
"Inl_RenderCameraStack";1.479219;1.054688;2.111927;115;47;173;5;5;450.735405683517;1.502451;1.362135;1.626771;300;1;1;1;300;1;1.054688;2.111927;47;173;1.637552
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";0.972657;0.683854;1.522865;14;47;131;6;6;300.561561524868;1.001872;0.898073;1.078177;300;1;1;1;300;1;0.683854;1.522865;47;131;1.070677
"Update.ScriptRunBehaviourUpdate";0.613698;0.40599;1.104375;190;16;286;2;2;188.755732148886;0.6291858;0.566042;0.674375;300;1;1;1;300;1;0.40599;1.104375;16;286;0.637396
"BehaviourUpdate";0.612604;0.405;1.100937;285;16;286;3;3;188.282935500145;0.6276098;0.561875;0.672709;300;1;1;1;300;1;0.405;1.100937;16;286;0.635625
"PostLateUpdate.PlayerSendFrameStarted";0.354896;0.226198;0.750678;234;12;240;2;2;111.816984713078;0.3727233;0.310885;0.408854;300;1;1;1;300;1;0.226198;0.750678;12;240;0.328594
"Inl_ExecuteRenderGraph";0.322969;0.219792;0.742188;278;222;108;7;7;101.496941670775;0.3383231;0.288854;0.374323;300;1;1;1;300;1;0.219792;0.742188;222;108;0.422656
"FrameEvents.XRBeginFrame";0.294375;0.191719;0.681406;297;12;240;3;3;92.929589137435;0.3097653;0.258125;0.337657;300;1;1;1;300;1;0.191719;0.681406;12;240;0.275105
