Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.87495;12.00771;15.80287;128;8;7;1;1;4159.22446918488;13.86408;13.52495;14.19651;300;1;1;1;300;1;12.00771;15.80287;8;7;13.86927
"EarlyUpdate.XRUpdate";10.25641;8.710469;11.44011;195;8;26;2;2;3094.13613510132;10.31379;9.94599;10.72662;300;1;1;1;300;1;8.710469;11.44011;8;26;10.82021
"PostLateUpdate.FinishFrameRendering";1.70349;1.151302;2.452136;240;13;191;2;2;510.919951796532;1.703066;1.519323;1.854219;300;1;1;1;300;1;1.151302;2.452136;13;191;1.396302
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.594271;1.085156;2.348854;158;44;191;3;3;479.913531899452;1.599712;1.435208;1.744323;300;1;1;1;300;1;1.085156;2.348854;44;191;1.312657
"Inl_UniversalRenderTotal";1.554062;1.058125;2.301355;236;44;191;4;4;468.272273898125;1.560908;1.40224;1.703958;300;1;1;1;300;1;1.058125;2.301355;44;191;1.283334
"Inl_RenderCameraStack";1.501927;1.024011;2.258229;271;44;124;5;5;453.777917742729;1.512593;1.366979;1.659063;300;1;1;1;300;1;1.024011;2.258229;44;124;1.244635
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";1.001146;0.688593;1.655833;288;77;275;6;6;302.385652303696;1.007952;0.898594;1.09401;300;1;1;1;300;1;0.688593;1.655833;77;275;0.884219
"Update.ScriptRunBehaviourUpdate";0.653802;0.441511;1.030157;214;15;198;2;2;195.927889436483;0.653093;0.590208;0.708021;300;1;1;1;300;1;0.441511;1.030157;15;198;0.558906
"BehaviourUpdate";0.652448;0.440677;1.028958;214;15;198;3;3;195.481212675571;0.6516041;0.588281;0.706406;300;1;1;1;300;1;0.440677;1.028958;15;198;0.557813
"PostLateUpdate.PlayerSendFrameStarted";0.366094;0.244583;0.965053;92;13;148;2;2;113.14516967535;0.3771506;0.32427;0.411719;300;1;1;1;300;1;0.244583;0.965053;13;148;0.376614
"Inl_ExecuteRenderGraph";0.318802;0.215729;0.595209;254;77;126;7;7;99.9003767073154;0.3330013;0.289687;0.364115;300;1;1;1;300;1;0.215729;0.595209;77;126;0.317917
