Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.84469;12.20755;15.69432;104;238;237;1;1;4143.37642669678;13.85745;13.53677;14.17854;299;1;1;1;299;1;12.20755;15.69432;238;237;13.84469
"EarlyUpdate.XRUpdate";10.21031;8.566407;11.65266;141;238;62;2;2;3057.82061195374;10.22682;9.947397;10.53099;299;1;1;1;299;1;8.566407;11.65266;238;62;10.4763
"PostLateUpdate.FinishFrameRendering";1.754323;1.122761;3.040156;219;6;237;2;2;527.476191401482;1.764134;1.578073;1.907501;299;1;1;1;299;1;1.122761;3.040156;6;237;1.746458
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.651354;1.059584;2.789948;104;6;237;3;3;495.490523815155;1.657159;1.483646;1.794583;299;1;1;1;299;1;1.059584;2.789948;6;237;1.651354
"Inl_UniversalRenderTotal";1.612917;1.034687;2.753073;226;6;237;4;4;484.277859091759;1.619658;1.451041;1.757813;299;1;1;1;299;1;1.034687;2.753073;6;237;1.608907
"Inl_RenderCameraStack";1.568802;1.004427;2.699167;234;6;237;5;5;469.931702136993;1.571678;1.415156;1.707917;299;1;1;1;299;1;1.004427;2.699167;6;237;1.560521
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";1.047709;0.679427;2.130521;91;6;232;6;6;317.190913140774;1.060839;0.936823;1.152344;299;1;1;1;299;1;0.679427;2.130521;6;232;1.081614
"Update.ScriptRunBehaviourUpdate";0.614323;0.421094;1.134479;251;8;228;2;2;186.630847096443;0.6241834;0.572917;0.666979;299;1;1;1;299;1;0.421094;1.134479;8;228;0.590365
"BehaviourUpdate";0.613125;0.420313;1.133229;236;8;228;3;3;186.194664984941;0.6227247;0.571667;0.663958;299;1;1;1;299;1;0.420313;1.133229;8;228;0.588541
"PostLateUpdate.PlayerSendFrameStarted";0.368073;0.23599;0.622969;181;8;196;2;2;112.585531741381;0.3765402;0.333958;0.412864;299;1;1;1;299;1;0.23599;0.622969;8;196;0.32026
"Inl_ExecuteRenderGraph";0.349323;0.217032;1.138333;93;6;160;7;7;107.883715838194;0.3608151;0.310364;0.386302;299;1;1;1;299;1;0.217032;1.138333;6;160;0.423385
"FrameEvents.XRBeginFrame";0.30427;0.198073;0.527135;131;8;196;3;3;93.5002636611462;0.3127099;0.27875;0.340052;299;1;1;1;299;1;0.198073;0.527135;8;196;0.272292
"Inl_RecordRenderGraph";0.270417;0.178125;0.629219;76;4;286;7;7;83.7381897568703;0.2800608;0.242187;0.303437;299;1;1;1;299;1;0.178125;0.629219;4;286;0.273802
"Inl_ScriptableRenderContext.Submit";0.25901;0.165625;0.762917;196;6;120;6;6;81.0324921756983;0.2710117;0.225989;0.295;299;1;1;1;299;1;0.165625;0.762917;6;120;0.270365
"PostLateUpdate.ProfilerEndFrame";0.254636;0.156563;0.552239;252;47;196;2;2;80.4076649397612;0.2689219;0.216354;0.303281;299;1;1;1;299;1;0.156563;0.552239;47;196;0.207865
"Inl_On Record Render Graph";0.252865;0.167865;0.575208;241;4;286;8;8;78.9565727412701;0.2640688;0.228281;0.289115;299;1;1;1;299;1;0.167865;0.575208;4;286;0.25875
"Profiler.FlushCounters";0.252396;0.154844;0.548594;252;47;196;3;3;79.7014688998461;0.2665601;0.214479;0.301146;299;1;1;1;299;1;0.154844;0.548594;47;196;0.206094
"meta.xr.mrutilitykit.dll!Meta.XR.MRUtilityKit::MRUK.Update() [Invoke]";0.240625;0.158281;0.762239;154;12;228;4;4;76.0435945540667;0.2543264;0.226093;0.26724;299;1;1;1;299;1;0.158281;0.762239;12;228;0.241406
"Oculus.VR.dll!::OVRManager.Update() [Invoke]";0.217656;0.155209;0.342396;240;8;160;4;4;66.4652167707682;0.2222917;0.21099;0.234063;299;1;1;1;299;1;0.155209;0.342396;8;160;0.2125
"Profiler.FlushMemoryCounters";0.204114;0.112344;0.419063;165;63;170;4;4;64.6054218038917;0.2160717;0.170885;0.244166;299;1;1;1;299;1;0.112344;0.419063;63;170;0.170573
"CullScriptable";0.157292;0.106614;1.024792;198;8;232;7;7;51.7407927811146;0.1730461;0.142031;0.181406;299;1;1;1;299;1;0.106614;1.024792;8;232;0.144739
"Gfx.WaitForRenderThread";0.153073;0.104167;0.28625;159;6;206;4;4;48.0039228945971;0.1605482;0.139115;0.178073;299;1;1;1;299;1;0.104167;0.28625;6;206;0.129375
"Semaphore.WaitForSignal";0.152032;0.103333;0.285156;53;6;206;5;5;47.6168679147959;0.1592537;0.138021;0.176927;299;1;1;1;299;1;0.103333;0.285156;6;206;0.128437
"Inl_Setup Forward Lights";0.135573;0.080677;0.588489;155;4;244;8;8;42.5667179599404;0.1423636;0.122135;0.151198;299;1;1;1;299;1;0.080677;0.588489;4;244;0.213854
"Inl_Setup Light Constants";0.132865;0.079011;0.585416;140;4;244;9;9;41.8227048888803;0.1398753;0.120156;0.148594;299;1;1;1;299;1;0.079011;0.585416;4;244;0.211927
"ExecuteRenderGraph";0.129635;0.080938;0.349063;271;10;24;7;7;40.7586939632893;0.1363167;0.11276;0.148802;299;1;1;1;299;1;0.080938;0.349063;10;24;0.137761
"SceneCulling";0.072292;0.046354;0.537916;200;5;237;8;8;23.7019779384136;0.07927083;0.064218;0.082396;299;1;1;1;299;1;0.046354;0.537916;5;237;0.060261
"EndRenderQueueExtraction";0.068594;0.037552;0.880105;196;28;232;8;9;23.0751559296623;0.07717443;0.060989;0.078906;598;2;2;2;299;1;0.004584;0.84948;47;232;0.068438
"PreUpdate.NewInputUpdate";0.06349;0.043646;0.185573;256;8;166;2;2;20.6789069361985;0.06916022;0.058021;0.075209;299;1;1;1;299;1;0.043646;0.185573;8;166;0.073125
"Inl_Forward+ Upload";0.063333;0.034219;0.5;120;4;244;10;10;20.6826089248061;0.06917261;0.056406;0.074115;299;1;1;1;299;1;0.034219;0.5;4;244;0.101927
"CullResults.CreateSharedRendererScene";0.058229;0.038594;0.888073;160;8;232;8;8;19.7518209852278;0.0660596;0.051563;0.067187;299;1;1;1;299;1;0.038594;0.888073;8;232;0.060573
"WaitForJobGroupID";0.052552;0.027188;0.862812;267;28;232;9;10;17.8762019427377;0.05978663;0.045626;0.061563;747;2;1;4;299;1;0.000625;0.840729;17;232;0.052708
"Shadows.PrepareDrawShadows";0.049584;0.025886;0.423386;152;45;120;7;7;16.7119199917652;0.05589271;0.043073;0.05849;598;2;2;2;299;1;0.005677;0.370209;47;120;0.047447
"Inl_Forward+ Setup";0.04875;0.031928;0.131823;161;37;145;9;9;16.1473489515483;0.05400451;0.04375;0.058802;299;1;1;1;299;1;0.031928;0.131823;37;145;0.044792
"UnityEngine.InputModule.dll!UnityEngineInternal.Input::NativeInputSystem.NotifyUpdate() [Invoke]";0.041927;0.028282;0.125417;94;8;184;3;4;13.2359279738739;0.04426732;0.03776;0.046822;598;2;2;2;299;1;0.009948;0.100209;6;184;0.035209
"UnityEngine.InputModule.dll!UnityEngineInternal.Input::NativeInputSystem.NotifyBeforeUpdate() [Invoke]";0.03974;0.026614;0.110209;147;8;166;3;4;12.5095309547614;0.0418379;0.036302;0.043281;598;2;2;2;299;1;0.002448;0.105313;35;166;0.039114
"InputUpdate";0.03849;0.025937;0.121511;192;8;184;4;5;12.1838069790974;0.04074852;0.034739;0.043125;598;2;2;2;299;1;0.00901;0.098438;6;184;0.03224
"Oculus.VR.dll!::OVRCameraRig.Update() [Invoke]";0.035312;0.024479;0.069583;191;6;254;4;4;11.1629689652473;0.03733435;0.033177;0.03849;299;1;1;1;299;1;0.024479;0.069583;6;254;0.031823
"Idle";0.034584;0.034584;0.034584;232;232;232;11;11;0.0345840007066727;0.034584;0.034584;0.034584;1;1;1;1;1;232;0.034584;0.034584;232;232;0
"Inl_UniversalRenderPipeline.CreateCameraData";0.033125;0.023229;0.099323;262;35;297;6;6;10.891252970323;0.03642559;0.030521;0.039636;299;1;1;1;299;1;0.023229;0.099323;35;297;0.03177
"Inl_RenderPipeline.BeginCameraRendering";0.032865;0.022916;0.098802;200;35;290;6;6;10.7732219733298;0.03603084;0.030625;0.038542;299;1;1;1;299;1;0.022916;0.098802;35;290;0.029792
"EngineJob";0.030208;0.013907;0.126093;191;31;275;10;12;7.01838200689235;0.03423601;0.026666;0.037604;298;1;1;6;205;1;0.000156;0.126093;11;275;0.03573
"Draw Main Light Shadowmap";0.030156;0.016511;0.194427;221;20;126;8;8;9.98651197366416;0.0333997;0.025989;0.035938;299;1;1;1;299;1;0.016511;0.194427;20;126;0.030781
"FrameEvents.OnBeforeRenderCallback";0.030052;0.018854;0.069062;162;35;168;3;3;9.42968495748937;0.03153741;0.027552;0.03401;299;1;1;1;299;1;0.018854;0.069062;35;168;0.026354
"MainLightShadow";0.028646;0.015625;0.19151;278;20;126;9;9;9.53866698592901;0.0319019;0.024791;0.034479;299;1;1;1;299;1;0.015625;0.19151;20;126;0.029636
"UnityEngine.CoreModule.dll!UnityEngine::Application.InvokeOnBeforeRender() [Invoke]";0.028438;0.017657;0.065938;269;35;168;4;4;8.930673988536;0.02986847;0.026094;0.03224;299;1;1;1;299;1;0.017657;0.065938;35;168;0.024896
"FrameEvents.NewInputBeforeRenderUpdate";0.028177;0.016198;0.113698;142;6;184;3;3;9.03734398819506;0.03022523;0.024895;0.033385;299;1;1;1;299;1;0.016198;0.113698;6;184;0.019948
