Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";13.85656;12.55427;15.36068;127;75;31;1;1;4161.92784976959;13.87309;13.61833;14.13682;300;1;1;1;300;1;12.55427;15.36068;75;31;13.85698
"EarlyUpdate.XRUpdate";10.72302;9.308439;11.7761;180;73;42;2;2;3217.17291259766;10.72391;10.54276;10.91208;300;1;1;1;300;1;9.308439;11.7761;73;42;11.09115
"PostLateUpdate.FinishFrameRendering";1.516302;1.127396;2.253541;233;38;141;2;2;456.879205703735;1.522931;1.395781;1.621979;300;1;1;1;300;1;1.127396;2.253541;38;141;1.270626
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.424948;1.06375;2.102865;250;23;141;3;3;430.627132296562;1.435424;1.310261;1.53599;300;1;1;1;300;1;1.06375;2.102865;23;141;1.08974
"Inl_UniversalRenderTotal";1.387292;1.038698;2.033698;297;38;141;4;4;420.650878787041;1.40217;1.280156;1.504844;300;1;1;1;300;1;1.038698;2.033698;38;141;1.064948
"Inl_RenderCameraStack";1.342344;1.007605;1.981146;127;38;141;5;5;407.277947664261;1.357593;1.240209;1.458958;300;1;1;1;300;1;1.007605;1.981146;38;141;1.03026
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: CenterEyeAnchor";0.913437;0.681146;1.366719;143;23;141;6;6;278.527063250542;0.9284235;0.822657;1.016719;300;1;1;1;300;1;0.681146;1.366719;23;141;0.705834
"Update.ScriptRunBehaviourUpdate";0.59375;0.415365;1.003802;196;50;74;2;2;180.184332460165;0.6006144;0.525573;0.656198;300;1;1;1;300;1;0.415365;1.003802;50;74;0.533229
"BehaviourUpdate";0.590886;0.414167;1.000782;160;50;74;3;3;179.65304094553;0.5988435;0.524479;0.654427;300;1;1;1;300;1;0.414167;1.000782;50;74;0.531823
"PostLateUpdate.PlayerSendFrameStarted";0.315729;0.225937;0.744062;171;52;72;2;2;97.9915697872639;0.3266386;0.280052;0.35375;300;1;1;1;300;1;0.225937;0.744062;52;72;0.333334
"Inl_ExecuteRenderGraph";0.277865;0.203906;0.584219;193;157;62;7;7;87.2566150724888;0.2908554;0.247656;0.314115;300;1;1;1;300;1;0.203906;0.584219;157;62;0.225781
"meta.xr.mrutilitykit.dll!Meta.XR.MRUtilityKit::MRUK.Update() [Invoke]";0.272552;0.1725;0.583646;53;50;74;4;4;83.8303146064281;0.2794344;0.229219;0.315781;300;1;1;1;300;1;0.1725;0.583646;50;74;0.277448
"FrameEvents.XRBeginFrame";0.2625;0.186563;0.67276;142;107;72;3;3;82.0268245339394;0.2734227;0.234167;0.295678;300;1;1;1;300;1;0.186563;0.67276;107;72;0.273646
"Inl_RecordRenderGraph";0.237969;0.170156;0.677604;100;8;211;7;7;76.808504909277;0.2560284;0.203854;0.283177;300;1;1;1;300;1;0.170156;0.677604;8;211;0.177813
"Inl_On Record Render Graph";0.222031;0.160156;0.661771;115;8;211;8;8;72.2177668213844;0.2407259;0.192604;0.267656;300;1;1;1;300;1;0.160156;0.661771;8;211;0.168437
"Inl_ScriptableRenderContext.Submit";0.204844;0.152604;0.696354;285;123;134;6;6;66.882927775383;0.2229431;0.17974;0.244166;300;1;1;1;300;1;0.152604;0.696354;123;134;0.161458
"PostLateUpdate.ProfilerEndFrame";0.190521;0.139115;0.442604;242;284;26;2;2;62.0301528126001;0.2067672;0.168542;0.229219;300;1;1;1;300;1;0.139115;0.442604;284;26;0.221771
"Profiler.FlushCounters";0.189167;0.137709;0.416667;242;284;26;3;3;61.410104855895;0.2047004;0.166875;0.227031;300;1;1;1;300;1;0.137709;0.416667;284;26;0.220365
